# 引擎硬编码串翻译表 ja<TAB>zhCN（换行写作 \n）
いいえ	否
火属性攻撃力	火属性攻击力
闇属性攻撃力	暗属性攻击力
光属性攻撃力	光属性攻击力
水属性攻撃力	水属性攻击力
木属性攻撃力	木属性攻击力
再開確認	回到战斗确认
攻撃力Up	攻击力提升
防御力Up	防御力提升
状態異常耐性Up	异常状态耐性提升
攻撃力Down	攻击力下降
防御力Down	防御力下降
状態異常耐性Down	异常状态耐性下降
行動不能	无法行动
HP回復禁止	禁止回复HP
MP回復禁止	禁止回复MP
MP回復不能	无法回复MP
回避無効	回避无效
HP自動回復	自动回复HP
防御無視	无视防御
MP自動回復	自动回复MP
挑発無視	无视挑衅
水属性耐性Down	水属性耐性下降
光属性耐性Down	光属性耐性下降
闇属性耐性Down	暗属性耐性下降
状態異常無効	状态异常无效
火属性攻撃力UP	火属性攻击力提升
闇属性攻撃力UP	暗属性攻击力提升
光属性攻撃力UP	光属性攻击力提升
水属性攻撃力UP	水属性攻击力提升
木属性攻撃力UP	木属性攻击力提升
木属性耐性Down	木属性耐性下降
瀕死時攻撃力UP	濒死时攻击力提升
瀕死時防御力UP	濒死时防御力提升
火属性耐性Down	火属性耐性下降
開始前	开始前
開始後	开始后
難易度	难度
はい	是
カーテンコールで終いやな	在欢声中谢幕吧
Mitama Yakumo	八云御魂
Your Coordinator would appreciate a compliment or two!	调整师也想被表扬一下啦～
I'm so nervous, my heart is pounding...	已经紧张得怦怦直跳了……
Critical Hit Chance [IV] / ATK UP [II] / Negate Charm	概率暴击[Ⅳ] & 攻击力提升[Ⅱ] & 必定魅惑无效
発動	发动
Magia Drain [VI]	Magia汲取[Ⅵ]
Magia Damage DOWN [VI] (Target/1 Turn) / Magia Damage UP [VI] (Self/1 Turn)	Magia伤害下降[Ⅵ](敌单/1T) & Magia伤害提升[Ⅵ](自/1T)
Magia	Magia
^ネットワーク接続に失敗しました。再接続しますか？\nエラーコード：	网络连接失败。要重新连接吗？\n错误代码：
^ネットワーク接続に失敗しました。\nエラーコード：	网络连接失败。\n错误代码：
50 AP Potion	AP回复药50
AP Potion	AP回复药
Magia Stones	魔法石
^Use 	消费 
^Stock: 	持有数 
^Cost: 	消费 
Restore	回复
Connect	连携
^1 AP will recover in 0:00 / AP will be fully recovered in 	距回复1 AP还有 0:00 / 距AP全部回复还有 
^1 AP will recover in 0:01 / AP will be fully recovered in 	距回复1 AP还有 0:01 / 距AP全部回复还有 
^1 AP will recover in 0:02 / AP will be fully recovered in 	距回复1 AP还有 0:02 / 距AP全部回复还有 
^1 AP will recover in 0:03 / AP will be fully recovered in 	距回复1 AP还有 0:03 / 距AP全部回复还有 
^1 AP will recover in 0:04 / AP will be fully recovered in 	距回复1 AP还有 0:04 / 距AP全部回复还有 
^1 AP will recover in 0:05 / AP will be fully recovered in 	距回复1 AP还有 0:05 / 距AP全部回复还有 
^1 AP will recover in 0:06 / AP will be fully recovered in 	距回复1 AP还有 0:06 / 距AP全部回复还有 
^1 AP will recover in 0:07 / AP will be fully recovered in 	距回复1 AP还有 0:07 / 距AP全部回复还有 
^1 AP will recover in 0:08 / AP will be fully recovered in 	距回复1 AP还有 0:08 / 距AP全部回复还有 
^1 AP will recover in 0:09 / AP will be fully recovered in 	距回复1 AP还有 0:09 / 距AP全部回复还有 
^1 AP will recover in 0:10 / AP will be fully recovered in 	距回复1 AP还有 0:10 / 距AP全部回复还有 
^1 AP will recover in 0:11 / AP will be fully recovered in 	距回复1 AP还有 0:11 / 距AP全部回复还有 
^1 AP will recover in 0:12 / AP will be fully recovered in 	距回复1 AP还有 0:12 / 距AP全部回复还有 
^1 AP will recover in 0:13 / AP will be fully recovered in 	距回复1 AP还有 0:13 / 距AP全部回复还有 
^1 AP will recover in 0:14 / AP will be fully recovered in 	距回复1 AP还有 0:14 / 距AP全部回复还有 
^1 AP will recover in 0:15 / AP will be fully recovered in 	距回复1 AP还有 0:15 / 距AP全部回复还有 
^1 AP will recover in 0:16 / AP will be fully recovered in 	距回复1 AP还有 0:16 / 距AP全部回复还有 
^1 AP will recover in 0:17 / AP will be fully recovered in 	距回复1 AP还有 0:17 / 距AP全部回复还有 
^1 AP will recover in 0:18 / AP will be fully recovered in 	距回复1 AP还有 0:18 / 距AP全部回复还有 
^1 AP will recover in 0:19 / AP will be fully recovered in 	距回复1 AP还有 0:19 / 距AP全部回复还有 
^1 AP will recover in 0:20 / AP will be fully recovered in 	距回复1 AP还有 0:20 / 距AP全部回复还有 
^1 AP will recover in 0:21 / AP will be fully recovered in 	距回复1 AP还有 0:21 / 距AP全部回复还有 
^1 AP will recover in 0:22 / AP will be fully recovered in 	距回复1 AP还有 0:22 / 距AP全部回复还有 
^1 AP will recover in 0:23 / AP will be fully recovered in 	距回复1 AP还有 0:23 / 距AP全部回复还有 
^1 AP will recover in 0:24 / AP will be fully recovered in 	距回复1 AP还有 0:24 / 距AP全部回复还有 
^1 AP will recover in 0:25 / AP will be fully recovered in 	距回复1 AP还有 0:25 / 距AP全部回复还有 
^1 AP will recover in 0:26 / AP will be fully recovered in 	距回复1 AP还有 0:26 / 距AP全部回复还有 
^1 AP will recover in 0:27 / AP will be fully recovered in 	距回复1 AP还有 0:27 / 距AP全部回复还有 
^1 AP will recover in 0:28 / AP will be fully recovered in 	距回复1 AP还有 0:28 / 距AP全部回复还有 
^1 AP will recover in 0:29 / AP will be fully recovered in 	距回复1 AP还有 0:29 / 距AP全部回复还有 
^1 AP will recover in 0:30 / AP will be fully recovered in 	距回复1 AP还有 0:30 / 距AP全部回复还有 
^1 AP will recover in 0:31 / AP will be fully recovered in 	距回复1 AP还有 0:31 / 距AP全部回复还有 
^1 AP will recover in 0:32 / AP will be fully recovered in 	距回复1 AP还有 0:32 / 距AP全部回复还有 
^1 AP will recover in 0:33 / AP will be fully recovered in 	距回复1 AP还有 0:33 / 距AP全部回复还有 
^1 AP will recover in 0:34 / AP will be fully recovered in 	距回复1 AP还有 0:34 / 距AP全部回复还有 
^1 AP will recover in 0:35 / AP will be fully recovered in 	距回复1 AP还有 0:35 / 距AP全部回复还有 
^1 AP will recover in 0:36 / AP will be fully recovered in 	距回复1 AP还有 0:36 / 距AP全部回复还有 
^1 AP will recover in 0:37 / AP will be fully recovered in 	距回复1 AP还有 0:37 / 距AP全部回复还有 
^1 AP will recover in 0:38 / AP will be fully recovered in 	距回复1 AP还有 0:38 / 距AP全部回复还有 
^1 AP will recover in 0:39 / AP will be fully recovered in 	距回复1 AP还有 0:39 / 距AP全部回复还有 
^1 AP will recover in 0:40 / AP will be fully recovered in 	距回复1 AP还有 0:40 / 距AP全部回复还有 
^1 AP will recover in 0:41 / AP will be fully recovered in 	距回复1 AP还有 0:41 / 距AP全部回复还有 
^1 AP will recover in 0:42 / AP will be fully recovered in 	距回复1 AP还有 0:42 / 距AP全部回复还有 
^1 AP will recover in 0:43 / AP will be fully recovered in 	距回复1 AP还有 0:43 / 距AP全部回复还有 
^1 AP will recover in 0:44 / AP will be fully recovered in 	距回复1 AP还有 0:44 / 距AP全部回复还有 
^1 AP will recover in 0:45 / AP will be fully recovered in 	距回复1 AP还有 0:45 / 距AP全部回复还有 
^1 AP will recover in 0:46 / AP will be fully recovered in 	距回复1 AP还有 0:46 / 距AP全部回复还有 
^1 AP will recover in 0:47 / AP will be fully recovered in 	距回复1 AP还有 0:47 / 距AP全部回复还有 
^1 AP will recover in 0:48 / AP will be fully recovered in 	距回复1 AP还有 0:48 / 距AP全部回复还有 
^1 AP will recover in 0:49 / AP will be fully recovered in 	距回复1 AP还有 0:49 / 距AP全部回复还有 
^1 AP will recover in 0:50 / AP will be fully recovered in 	距回复1 AP还有 0:50 / 距AP全部回复还有 
^1 AP will recover in 0:51 / AP will be fully recovered in 	距回复1 AP还有 0:51 / 距AP全部回复还有 
^1 AP will recover in 0:52 / AP will be fully recovered in 	距回复1 AP还有 0:52 / 距AP全部回复还有 
^1 AP will recover in 0:53 / AP will be fully recovered in 	距回复1 AP还有 0:53 / 距AP全部回复还有 
^1 AP will recover in 0:54 / AP will be fully recovered in 	距回复1 AP还有 0:54 / 距AP全部回复还有 
^1 AP will recover in 0:55 / AP will be fully recovered in 	距回复1 AP还有 0:55 / 距AP全部回复还有 
^1 AP will recover in 0:56 / AP will be fully recovered in 	距回复1 AP还有 0:56 / 距AP全部回复还有 
^1 AP will recover in 0:57 / AP will be fully recovered in 	距回复1 AP还有 0:57 / 距AP全部回复还有 
^1 AP will recover in 0:58 / AP will be fully recovered in 	距回复1 AP还有 0:58 / 距AP全部回复还有 
^1 AP will recover in 0:59 / AP will be fully recovered in 	距回复1 AP还有 0:59 / 距AP全部回复还有 
^1 AP will recover in 1:00 / AP will be fully recovered in 	距回复1 AP还有 1:00 / 距AP全部回复还有 
^1 AP will recover in 1:01 / AP will be fully recovered in 	距回复1 AP还有 1:01 / 距AP全部回复还有 
^1 AP will recover in 1:02 / AP will be fully recovered in 	距回复1 AP还有 1:02 / 距AP全部回复还有 
^1 AP will recover in 1:03 / AP will be fully recovered in 	距回复1 AP还有 1:03 / 距AP全部回复还有 
^1 AP will recover in 1:04 / AP will be fully recovered in 	距回复1 AP还有 1:04 / 距AP全部回复还有 
^1 AP will recover in 1:05 / AP will be fully recovered in 	距回复1 AP还有 1:05 / 距AP全部回复还有 
^1 AP will recover in 1:06 / AP will be fully recovered in 	距回复1 AP还有 1:06 / 距AP全部回复还有 
^1 AP will recover in 1:07 / AP will be fully recovered in 	距回复1 AP还有 1:07 / 距AP全部回复还有 
^1 AP will recover in 1:08 / AP will be fully recovered in 	距回复1 AP还有 1:08 / 距AP全部回复还有 
^1 AP will recover in 1:09 / AP will be fully recovered in 	距回复1 AP还有 1:09 / 距AP全部回复还有 
^1 AP will recover in 1:10 / AP will be fully recovered in 	距回复1 AP还有 1:10 / 距AP全部回复还有 
^1 AP will recover in 1:11 / AP will be fully recovered in 	距回复1 AP还有 1:11 / 距AP全部回复还有 
^1 AP will recover in 1:12 / AP will be fully recovered in 	距回复1 AP还有 1:12 / 距AP全部回复还有 
^1 AP will recover in 1:13 / AP will be fully recovered in 	距回复1 AP还有 1:13 / 距AP全部回复还有 
^1 AP will recover in 1:14 / AP will be fully recovered in 	距回复1 AP还有 1:14 / 距AP全部回复还有 
^1 AP will recover in 1:15 / AP will be fully recovered in 	距回复1 AP还有 1:15 / 距AP全部回复还有 
^1 AP will recover in 1:16 / AP will be fully recovered in 	距回复1 AP还有 1:16 / 距AP全部回复还有 
^1 AP will recover in 1:17 / AP will be fully recovered in 	距回复1 AP还有 1:17 / 距AP全部回复还有 
^1 AP will recover in 1:18 / AP will be fully recovered in 	距回复1 AP还有 1:18 / 距AP全部回复还有 
^1 AP will recover in 1:19 / AP will be fully recovered in 	距回复1 AP还有 1:19 / 距AP全部回复还有 
^1 AP will recover in 1:20 / AP will be fully recovered in 	距回复1 AP还有 1:20 / 距AP全部回复还有 
^1 AP will recover in 1:21 / AP will be fully recovered in 	距回复1 AP还有 1:21 / 距AP全部回复还有 
^1 AP will recover in 1:22 / AP will be fully recovered in 	距回复1 AP还有 1:22 / 距AP全部回复还有 
^1 AP will recover in 1:23 / AP will be fully recovered in 	距回复1 AP还有 1:23 / 距AP全部回复还有 
^1 AP will recover in 1:24 / AP will be fully recovered in 	距回复1 AP还有 1:24 / 距AP全部回复还有 
^1 AP will recover in 1:25 / AP will be fully recovered in 	距回复1 AP还有 1:25 / 距AP全部回复还有 
^1 AP will recover in 1:26 / AP will be fully recovered in 	距回复1 AP还有 1:26 / 距AP全部回复还有 
^1 AP will recover in 1:27 / AP will be fully recovered in 	距回复1 AP还有 1:27 / 距AP全部回复还有 
^1 AP will recover in 1:28 / AP will be fully recovered in 	距回复1 AP还有 1:28 / 距AP全部回复还有 
^1 AP will recover in 1:29 / AP will be fully recovered in 	距回复1 AP还有 1:29 / 距AP全部回复还有 
^1 AP will recover in 1:30 / AP will be fully recovered in 	距回复1 AP还有 1:30 / 距AP全部回复还有 
^1 AP will recover in 1:31 / AP will be fully recovered in 	距回复1 AP还有 1:31 / 距AP全部回复还有 
^1 AP will recover in 1:32 / AP will be fully recovered in 	距回复1 AP还有 1:32 / 距AP全部回复还有 
^1 AP will recover in 1:33 / AP will be fully recovered in 	距回复1 AP还有 1:33 / 距AP全部回复还有 
^1 AP will recover in 1:34 / AP will be fully recovered in 	距回复1 AP还有 1:34 / 距AP全部回复还有 
^1 AP will recover in 1:35 / AP will be fully recovered in 	距回复1 AP还有 1:35 / 距AP全部回复还有 
^1 AP will recover in 1:36 / AP will be fully recovered in 	距回复1 AP还有 1:36 / 距AP全部回复还有 
^1 AP will recover in 1:37 / AP will be fully recovered in 	距回复1 AP还有 1:37 / 距AP全部回复还有 
^1 AP will recover in 1:38 / AP will be fully recovered in 	距回复1 AP还有 1:38 / 距AP全部回复还有 
^1 AP will recover in 1:39 / AP will be fully recovered in 	距回复1 AP还有 1:39 / 距AP全部回复还有 
^1 AP will recover in 1:40 / AP will be fully recovered in 	距回复1 AP还有 1:40 / 距AP全部回复还有 
^1 AP will recover in 1:41 / AP will be fully recovered in 	距回复1 AP还有 1:41 / 距AP全部回复还有 
^1 AP will recover in 1:42 / AP will be fully recovered in 	距回复1 AP还有 1:42 / 距AP全部回复还有 
^1 AP will recover in 1:43 / AP will be fully recovered in 	距回复1 AP还有 1:43 / 距AP全部回复还有 
^1 AP will recover in 1:44 / AP will be fully recovered in 	距回复1 AP还有 1:44 / 距AP全部回复还有 
^1 AP will recover in 1:45 / AP will be fully recovered in 	距回复1 AP还有 1:45 / 距AP全部回复还有 
^1 AP will recover in 1:46 / AP will be fully recovered in 	距回复1 AP还有 1:46 / 距AP全部回复还有 
^1 AP will recover in 1:47 / AP will be fully recovered in 	距回复1 AP还有 1:47 / 距AP全部回复还有 
^1 AP will recover in 1:48 / AP will be fully recovered in 	距回复1 AP还有 1:48 / 距AP全部回复还有 
^1 AP will recover in 1:49 / AP will be fully recovered in 	距回复1 AP还有 1:49 / 距AP全部回复还有 
^1 AP will recover in 1:50 / AP will be fully recovered in 	距回复1 AP还有 1:50 / 距AP全部回复还有 
^1 AP will recover in 1:51 / AP will be fully recovered in 	距回复1 AP还有 1:51 / 距AP全部回复还有 
^1 AP will recover in 1:52 / AP will be fully recovered in 	距回复1 AP还有 1:52 / 距AP全部回复还有 
^1 AP will recover in 1:53 / AP will be fully recovered in 	距回复1 AP还有 1:53 / 距AP全部回复还有 
^1 AP will recover in 1:54 / AP will be fully recovered in 	距回复1 AP还有 1:54 / 距AP全部回复还有 
^1 AP will recover in 1:55 / AP will be fully recovered in 	距回复1 AP还有 1:55 / 距AP全部回复还有 
^1 AP will recover in 1:56 / AP will be fully recovered in 	距回复1 AP还有 1:56 / 距AP全部回复还有 
^1 AP will recover in 1:57 / AP will be fully recovered in 	距回复1 AP还有 1:57 / 距AP全部回复还有 
^1 AP will recover in 1:58 / AP will be fully recovered in 	距回复1 AP还有 1:58 / 距AP全部回复还有 
^1 AP will recover in 1:59 / AP will be fully recovered in 	距回复1 AP还有 1:59 / 距AP全部回复还有 
