item_id	path	line	channel	source_text	language_flag	classification	context
VISIBLE-00011	css/_common/common.css	1	css-content	条件クリアで解放	japanese	visible-review	".resultMessageWrap .rowBox.close .textBox span:nth-child(6):before{content:""5""}#charaComposeResult .resultMessageWrap .rowBox.close .titleBox:after{color:#5b3072;text-align:center;content:""条件クリアで解放"";width:150px;height:20px;text-shadow:none;background-color:#fff;border-radius:10"
VISIBLE-00012	css/_common/common.css	1	css-content	Rank	latin	visible-review	"adding-left:92px;font-size:20px;line-height:34px;display:block;position:absolute;top:52px;left:14px}#myProfile #followerParamDetail .detailMainWrap .userLevel:before{color:#b28750;content:""Rank"";font-size:16px;line-height:34px;position:absolute;bottom:0;left:0}#myProfile #f"
VISIBLE-00013	css/_common/common.css	1	css-content	Stage	latin	visible-review	"n_battlemuseum_01.png) no-repeat;width:24px;height:24px;position:absolute;bottom:4px;left:0}#myProfile #followerParamDetail .detailMainWrap .reachingAccomplish:after{color:#b28750;content:""Stage"";font-size:16px;line-height:34px;position:absolute;bottom:-1px;left:25px}#myProf"
VISIBLE-00014	css/_common/common.css	1	css-content	最終ログイン	japanese	visible-review	"t:46px;font-size:16px;line-height:46px;display:block;position:absolute;top:0;right:16px}#myProfile #followerParamDetail .detailMainWrap .friendWrap .lastLogin:before{color:#b28750;content:""最終ログイン"";width:200px;font-size:14px;position:absolute;bottom:0;right:85px}#myProfile #fo"
VISIBLE-00015	css/_common/common.css	1	css-content	スキルタイプ	japanese	visible-review	"ia_pop_skill.png)}.announcementPopup .pickUpDetail.MEMORIA.SKILL .memoriaTypeName:before,.announcementPopupMainte .pickUpDetail.MEMORIA.SKILL .memoriaTypeName:before{color:#ef638b;content:""スキルタイプ""}.announcementPopup .pickUpDetail.MEMORIA.SKILL .description .common_dl dt,.anno"
VISIBLE-00016	css/_common/common.css	1	css-content	スキル	japanese	visible-review	"width:120px}.announcementPopup .pickUpDetail.MEMORIA.SKILL .description .common_dl dt:before,.announcementPopupMainte .pickUpDetail.MEMORIA.SKILL .description .common_dl dt:before{content:""スキル""}.announcementPopup .pickUpDetail.MEMORIA.ABILITY .memoriaTypeIcon,.announcement"
VISIBLE-00017	css/_common/common.css	1	css-content	アビリティタイプ	japanese	visible-review	"-spacing:-1px}.announcementPopup .pickUpDetail.MEMORIA.ABILITY .memoriaTypeName:before,.announcementPopupMainte .pickUpDetail.MEMORIA.ABILITY .memoriaTypeName:before{color:#3a9abd;content:""アビリティタイプ""}.announcementPopup .pickUpDetail.MEMORIA.ABILITY .description .common_dl dt,.an"
VISIBLE-00018	css/_common/common.css	1	css-content	アビリティ	japanese	visible-review	"h:120px}.announcementPopup .pickUpDetail.MEMORIA.ABILITY .description .common_dl dt:before,.announcementPopupMainte .pickUpDetail.MEMORIA.ABILITY .description .common_dl dt:before{content:""アビリティ""}.announcementPopup .pickUpDetail.MEMORIA .rarity .stars,.announcementPopupMaint"
VISIBLE-00019	css/_common/common.css	4	css-content	事件Lv	latin	visible-review	"rame4{-webkit-transform:translateZ(0);transform:translateZ(0)} /* MagiaCN: localized visible generated labels; upstream bytes above stay unchanged. */ .userCharaIcon .eplv:before{content:""事件Lv""!important} .userCharaIcon .mlv:before{content:""魔法Lv""!important} .userCharaIcon"
VISIBLE-00020	css/_common/common.css	5	css-content	魔法Lv	latin	visible-review	"lateZ(0)} /* MagiaCN: localized visible generated labels; upstream bytes above stay unchanged. */ .userCharaIcon .eplv:before{content:""事件Lv""!important} .userCharaIcon .mlv:before{content:""魔法Lv""!important} .userCharaIcon .enhance:before{content:""精神强化""!important} .userCharaI"
VISIBLE-00021	css/_common/common.css	9	css-content	Magia	latin	formal-retained-review	"#memoriaDetailWrap #memoriaDetailPopup .popupDetailWrap .infoWrap .illustrator:before{content:""画师""!important} #charaComposeResult .resultMessageWrap .rowBox.magia .titleBox:after{content:""Magia""!important} #charaComposeResult .resultMessageWrap .rowBox.exSkill .titleBox:aft"
VISIBLE-00022	css/_common/common.css	10	css-content	EX技能	latin	visible-review	"""!important} #charaComposeResult .resultMessageWrap .rowBox.magia .titleBox:after{content:""Magia""!important} #charaComposeResult .resultMessageWrap .rowBox.exSkill .titleBox:after{content:""EX技能""!important} #charaComposeResult .resultMessageWrap .rowBox.connect .titleBox:aft"
VISIBLE-00023	css/_common/common.css	11	css-content	Connect	latin	formal-retained-review	"!important} #charaComposeResult .resultMessageWrap .rowBox.exSkill .titleBox:after{content:""EX技能""!important} #charaComposeResult .resultMessageWrap .rowBox.connect .titleBox:after{content:""Connect""!important} #charaComposeResult .resultMessageWrap .rowBox.close .titleBox:after"
VISIBLE-00024	css/chara/CharaCommon.css	1	css-content	魔力\a 強化	latin	visible-review	"form:translate(-50%,-50%);-ms-transform:translate(-50%,-50%);transform:translate(-50%,-50%)}#btnArea.charaDetail li.compose{top:0;right:-4px}#btnArea.charaDetail li.compose:before{content:""魔力\a 強化""}#btnArea.charaDetail li.composeMagia{top:68px;right:-4px}#btnArea.charaDetail l"
VISIBLE-00025	css/chara/CharaCommon.css	1	css-content	マギア\a 強化	japanese+latin	visible-review	"pose{top:0;right:-4px}#btnArea.charaDetail li.compose:before{content:""魔力\a 強化""}#btnArea.charaDetail li.composeMagia{top:68px;right:-4px}#btnArea.charaDetail li.composeMagia:before{content:""マギア\a 強化""}#btnArea.charaDetail li.customize{top:136px;right:-4px}#btnArea.charaDetail li."
VISIBLE-00026	css/chara/CharaCommon.css	1	css-content	魔力\a 解放	latin	visible-review	"ail li.customize{top:136px;right:-4px}#btnArea.charaDetail li.customize:before{content:""覚醒""}#btnArea.charaDetail li.equip{top:204px;right:-4px}#btnArea.charaDetail li.equip:before{content:""魔力\a 解放""}#btnArea.charaDetail li.enhance{top:272px;right:-4px}#btnArea.charaDetail li.en"
VISIBLE-00027	css/chara/CharaCommon.css	1	css-content	精神\a 強化	latin	visible-review	"il li.equip{top:204px;right:-4px}#btnArea.charaDetail li.equip:before{content:""魔力\a 解放""}#btnArea.charaDetail li.enhance{top:272px;right:-4px}#btnArea.charaDetail li.enhance:before{content:""精神\a 強化""}#btnArea.charaDetail li.composeAttribute{top:340px;right:-4px}#btnArea.charaDet"
VISIBLE-00028	css/chara/CharaCommon.css	1	css-content	属性\a 強化	latin	visible-review	"x;right:-4px}#btnArea.charaDetail li.enhance:before{content:""精神\a 強化""}#btnArea.charaDetail li.composeAttribute{top:340px;right:-4px}#btnArea.charaDetail li.composeAttribute:before{content:""属性\a 強化""}#btnArea.charaDetail li.current{color:#ff5e7c;text-shadow:0 0;background:url(/m"
VISIBLE-00029	css/chara/CharaCommon.css	4	css-content	魔力\A强化	latin	visible-review	"50px)}to{opacity:1;-webkit-transform:translate(0)}} /* MagiaCN: localized visible generated labels; upstream bytes above stay unchanged. */ #btnArea.charaDetail li.compose:before{content:""魔力\A强化""!important} #btnArea.charaDetail li.composeMagia:before{content:""Magia\A强化""!impo"
VISIBLE-00030	css/chara/CharaCommon.css	5	css-content	Magia\A强化	latin	visible-review	"ed visible generated labels; upstream bytes above stay unchanged. */ #btnArea.charaDetail li.compose:before{content:""魔力\A强化""!important} #btnArea.charaDetail li.composeMagia:before{content:""Magia\A强化""!important} #btnArea.charaDetail li.customize:before{content:""觉醒""!important} #bt"
VISIBLE-00031	css/chara/CharaCommon.css	7	css-content	魔力\A解放	latin	visible-review	"t} #btnArea.charaDetail li.composeMagia:before{content:""Magia\A强化""!important} #btnArea.charaDetail li.customize:before{content:""觉醒""!important} #btnArea.charaDetail li.equip:before{content:""魔力\A解放""!important} #btnArea.charaDetail li.enhance:before{content:""精神\A强化""!important} #"
VISIBLE-00032	css/chara/CharaCommon.css	8	css-content	精神\A强化	latin	visible-review	"important} #btnArea.charaDetail li.customize:before{content:""觉醒""!important} #btnArea.charaDetail li.equip:before{content:""魔力\A解放""!important} #btnArea.charaDetail li.enhance:before{content:""精神\A强化""!important} #btnArea.charaDetail li.composeAttribute:before{content:""属性\A强化""!imp"
VISIBLE-00033	css/chara/CharaCommon.css	9	css-content	属性\A强化	latin	visible-review	"#btnArea.charaDetail li.equip:before{content:""魔力\A解放""!important} #btnArea.charaDetail li.enhance:before{content:""精神\A强化""!important} #btnArea.charaDetail li.composeAttribute:before{content:""属性\A强化""!important}"
VISIBLE-00034	css/chara/CharaEnhancementTree.css	1	css-content	HP	latin	formal-retained-review	"n.hp .pointIcon{background:url(/magica/resource/image_web/page/chara/tree/icon_hp.png) 0 0 no-repeat}#CharaEnhancementTree #pointData .pointDescription.hp .descriptionParam:before{content:""HP""}#CharaEnhancementTree #pointData .pointDescription.atk .pointIcon{background:ur"
VISIBLE-00035	css/chara/CharaEnhancementTree.css	1	css-content	ATK	latin	formal-retained-review	"tk .pointIcon{background:url(/magica/resource/image_web/page/chara/tree/icon_atk.png) 0 0 no-repeat}#CharaEnhancementTree #pointData .pointDescription.atk .descriptionParam:before{content:""ATK""}#CharaEnhancementTree #pointData .pointDescription.def .pointIcon{background:ur"
VISIBLE-00036	css/chara/CharaEnhancementTree.css	1	css-content	DEF	latin	formal-retained-review	"ef .pointIcon{background:url(/magica/resource/image_web/page/chara/tree/icon_def.png) 0 0 no-repeat}#CharaEnhancementTree #pointData .pointDescription.def .descriptionParam:before{content:""DEF""}#CharaEnhancementTree #pointData .pointDescription.detail{height:156px}#CharaEn"
VISIBLE-00037	css/event/dailytower/EventDailyTower.css	1	css-content	次のクエストは未解放です\a 解放日時までお待ち下さい	japanese	visible-review	"60px;height:88px;display:none}#EventDailyTower.EventDailyTowerTop .allClear.show{display:block}#EventDailyTower.EventDailyTowerTop .allClear:before{color:#5b3072;text-align:center;content:""次のクエストは未解放です\a 解放日時までお待ち下さい"";white-space:pre;background:url(/magica/resource/image_web/page/quest/bg_section"
VISIBLE-00038	css/event/dailytower/EventDailyTower.css	4	css-content	下一个副本尚未解锁\A解锁前请耐心等候	latin	visible-review	"on{margin:0 1px;display:inline-block} /* MagiaCN: localized visible generated labels; upstream bytes above stay unchanged. */ #EventDailyTower.EventDailyTowerTop .allClear:before{content:""下一个副本尚未解锁\A解锁前请耐心等候""!important}"
VISIBLE-00039	css/event/EventWitch/ExchangeTop.css	1	css-content	スキルタイプ	japanese	visible-review	"ge_web/page/memoria/memoria_pop_skill.png)}.EventMemoriaDetailPopup.popupContent.typeA .popupInner .popupTextArea .pickUpDetail.MEMORIA.SKILL .memoriaTypeName:before{color:#ef638b;content:""スキルタイプ""}.EventMemoriaDetailPopup.popupContent.typeA .popupInner .popupTextArea .pickUpD"
VISIBLE-00040	css/event/EventWitch/ExchangeTop.css	1	css-content	スキル	japanese	visible-review	"A.SKILL .description .common_dl dt{width:120px}.EventMemoriaDetailPopup.popupContent.typeA .popupInner .popupTextArea .pickUpDetail.MEMORIA.SKILL .description .common_dl dt:before{content:""スキル""}.EventMemoriaDetailPopup.popupContent.typeA .popupInner .popupTextArea .pickUpD"
VISIBLE-00041	css/event/EventWitch/ExchangeTop.css	1	css-content	アビリティタイプ	japanese	visible-review	"ITY .memoriaTypeName{letter-spacing:-1px}.EventMemoriaDetailPopup.popupContent.typeA .popupInner .popupTextArea .pickUpDetail.MEMORIA.ABILITY .memoriaTypeName:before{color:#3a9abd;content:""アビリティタイプ""}.EventMemoriaDetailPopup.popupContent.typeA .popupInner .popupTextArea .pickUpD"
VISIBLE-00042	css/event/EventWitch/ExchangeTop.css	1	css-content	アビリティ	japanese	visible-review	"ILITY .description .common_dl dt{width:120px}.EventMemoriaDetailPopup.popupContent.typeA .popupInner .popupTextArea .pickUpDetail.MEMORIA.ABILITY .description .common_dl dt:before{content:""アビリティ""}.EventMemoriaDetailPopup.popupContent.typeA .popupInner .popupTextArea .pickUpD"
VISIBLE-00043	css/event/raid/EventRaidTop.css	1	css-content	受け取る	japanese	visible-review	";left:96px;overflow:hidden}#MissionArea .wrap .missionBtn{width:166px;min-width:166px;position:absolute;top:14px;right:10px}#MissionArea .wrap .missionBtn:before{text-align:center;content:""受け取る"";width:166px;font-size:20px;display:inline-block}#MissionArea .wrap.clear:before"
VISIBLE-00044	css/event/tower/EventTower.css	1	css-content	次のクエストは未解放です\a 解放日時までお待ち下さい	japanese	visible-review	"op .allClear{width:560px;height:88px;display:none}#EventTower.EventTowerTop .allClear.show{display:block}#EventTower.EventTowerTop .allClear:before{color:#5b3072;text-align:center;content:""次のクエストは未解放です\a 解放日時までお待ち下さい"";white-space:pre;background:url(/magica/resource/image_web/page/quest/bg_section"
VISIBLE-00045	css/event/tower/EventTower.css	4	css-content	下一个副本尚未解锁\A解锁前请耐心等候	latin	visible-review	"4px;height:88px;position:absolute;top:0;left:0} /* MagiaCN: localized visible generated labels; upstream bytes above stay unchanged. */ #EventTower.EventTowerTop .allClear:before{content:""下一个副本尚未解锁\A解锁前请耐心等候""!important}"
VISIBLE-00046	css/formation/DeckFormation.css	1	css-content	コピー先	japanese	visible-review	"text-shadow:-1px -1px 2px #ff005d,1px -1px 2px #ff005d,-1px 1px 2px #ff005d,1px 1px 2px #ff005d,-1px -1px 2px #ff005d,1px -1px 2px #ff005d,-1px 1px 2px #ff005d,1px 1px 2px #ff005d;content:""コピー先"";font-size:20px}#DeckFormation.formation #bonusTextWrap{display:none!important}#"
VISIBLE-00047	css/formation/DeckFormation.css	1	css-content	第一の結界	japanese	visible-review	"p no-repeat}#DeckFormation .deckName.deck63:before{background:url(/magica/resource/image_web/page/formation_2/icon_team_3.png) top no-repeat}#DeckFormation .deckName.deck71:before{content:""第一の結界""}#DeckFormation .deckName.deck72:before{content:""第二の結界""}#DeckFormation .deckName"
VISIBLE-00048	css/formation/DeckFormation.css	1	css-content	第二の結界	japanese	visible-review	"ground:url(/magica/resource/image_web/page/formation_2/icon_team_3.png) top no-repeat}#DeckFormation .deckName.deck71:before{content:""第一の結界""}#DeckFormation .deckName.deck72:before{content:""第二の結界""}#DeckFormation .deckName.deck73:before{content:""第三の結界""}#DeckFormation .deckName"
VISIBLE-00049	css/formation/DeckFormation.css	1	css-content	第三の結界	japanese	visible-review	"icon_team_3.png) top no-repeat}#DeckFormation .deckName.deck71:before{content:""第一の結界""}#DeckFormation .deckName.deck72:before{content:""第二の結界""}#DeckFormation .deckName.deck73:before{content:""第三の結界""}#DeckFormation .deckName.deck74:before{content:""第四の結界""}#DeckFormation .deckName"
VISIBLE-00050	css/formation/DeckFormation.css	1	css-content	第四の結界	japanese	visible-review	".deck71:before{content:""第一の結界""}#DeckFormation .deckName.deck72:before{content:""第二の結界""}#DeckFormation .deckName.deck73:before{content:""第三の結界""}#DeckFormation .deckName.deck74:before{content:""第四の結界""}#DeckFormation .deckName.deck75:before{content:""終の結界""}#DeckFormation .formation"
VISIBLE-00051	css/formation/DeckFormation.css	1	css-content	終の結界	japanese	visible-review	".deck72:before{content:""第二の結界""}#DeckFormation .deckName.deck73:before{content:""第三の結界""}#DeckFormation .deckName.deck74:before{content:""第四の結界""}#DeckFormation .deckName.deck75:before{content:""終の結界""}#DeckFormation .formationSheet,#DeckFormation #formationDetail{display:none}#De"
VISIBLE-00052	css/memoria/MemoriaComposeTop.css	1	css-content	LV	latin	formal-retained-review	":23px;position:absolute;top:3px;left:8px}#MemoriaComposeTop #mainWrap #statusWrap #beforeStatus .lvWrap:before,#MemoriaComposeTop #mainWrap #statusWrap #afterStatus .lvWrap:before{content:""LV"";font-size:16px;position:absolute;bottom:4px;left:0}#MemoriaComposeTop #mainWrap"
VISIBLE-00053	css/memoria/MemoriaComposeTop.css	1	css-content	ベース選択	japanese	visible-review	"-repeat;position:relative}#MemoriaComposeTop #cardListWrap .userMemoriaIcon.select .overWrap:before{width:-webkit-calc(100%);height:-webkit-calc(100%);color:#fff;text-align:center;content:""ベース選択"";text-shadow:-2px -2px 2px #724a33,2px -2px 2px #724a33,-2px 2px 2px #724a33,2px"
VISIBLE-00054	css/memoria/UserMemoriaList.css	1	css-content	OVER	latin	visible-review	"pBtnArea .toListBtn.now{pointer-events:none}#popupArea .archiveMoveSelectPop .popupBtnArea .toListBtn.off:after,#popupArea .archiveMoveSelectPop .popupBtnArea .toListBtn.now:after{content:""OVER"";-webkit-box-sizing:border-box;box-sizing:border-box;color:#fff;text-shadow:-1px"
VISIBLE-00055	css/memoria/UserMemoriaList.css	1	css-content	Lv MAX	latin	visible-review	"lor:#00000080;border-radius:18px 8px 8px;display:block;position:absolute;top:0;left:0}#UserMemoriaList.compose .userMemoriaIcon.lvMax .overWrap:before{color:#fff;text-align:center;content:""Lv MAX"";text-shadow:-2px -2px 2px #724a33,2px -2px 2px #724a33,-2px 2px 2px #724a33,2px"
VISIBLE-00056	css/mission/MissionTop.css	1	css-content	挑戦する	japanese	visible-review	"on:absolute;top:50%;right:10px;-webkit-transform:translateY(-50%);-ms-transform:translateY(-50%);transform:translateY(-50%)}#MissionList .wrap .missionBtn:before{text-align:center;content:""挑戦する"";width:166px;font-size:20px;display:inline-block}#MissionList .wrap .missionBtn."
VISIBLE-00057	css/mission/MissionTop.css	1	css-content	受け取る	japanese	visible-review	"translateY(-50%)}#MissionList .wrap .missionBtn:before{text-align:center;content:""挑戦する"";width:166px;font-size:20px;display:inline-block}#MissionList .wrap .missionBtn.clear:before{content:""受け取る""}#MissionList .wrap .missionBtn.clear.inactive{pointer-events:none;-webkit-filte"
VISIBLE-00058	css/patrol/PatrolLumpFormation.css	1	css-content	EXP	latin	formal-retained-review	";display:inline-block}#popupArea #autoFormationContainer .deck #rewardArea #other #expArea span:before,#PatrolLumpFormation #deckWrap .deck #rewardArea #other #expArea span:before{content:""EXP""}#popupArea #autoFormationContainer .deck #rewardArea #other #ccArea,#PatrolLump"
VISIBLE-00059	css/patrol/PatrolLumpFormation.css	1	css-content	ドロップ期待度	japanese	visible-review	"araListWarp .rightArea #strengthArea #goalStrength #expected:before,#PatrolLumpFormation #deckWrap .deck .userCharaListWarp .rightArea #strengthArea #goalStrength #expected:before{content:""ドロップ期待度"";color:#9148d6;width:120px;font-size:13px;display:block;position:absolute;top:-1"
VISIBLE-00060	css/patrol/PatrolLumpFormation.css	1	css-content	BONUS	latin	formal-retained-review	"1px 1px 3px #8a5f29;font-size:14px;display:none;position:absolute;bottom:-8px;right:-2px}#popupArea .popupDetail #popupDetailScrollWrap .scrollInner .commonItemImgWrap.bonus:after{content:""BONUS"";text-align:center;color:#fff;text-shadow:0 0 4px #ff3b81,0 0 4px #ff3b81,0 0 4p"
VISIBLE-00061	css/quest/MainQuest.css	1	css-content	最新までクリア済です\a 次回のストーリー配信をお待ち下さい	japanese	visible-review	"fore,#QuestMap #content #questListWrapSeason2 #questList.allClear:before,#QuestMap #content #questListWrapSeason2 #questListSeason2.allClear:before{color:#5b3072;text-align:center;content:""最新までクリア済です\a 次回のストーリー配信をお待ち下さい"";white-space:pre;background:url(/magica/resource/image_web/page/quest/bg_section"
VISIBLE-00062	css/quest/MainQuest.css	4	css-content	已通关最新剧情\A请等待后续剧情的更新	latin	visible-review	"ap #questListSeason2.allClear:before,#QuestMap #content #questListWrapSeason2 #questList.allClear:before,#QuestMap #content #questListWrapSeason2 #questListSeason2.allClear:before{content:""已通关最新剧情\A请等待后续剧情的更新""!important}"
VISIBLE-00063	css/regularEvent/groupBattle/RegularEventGroupBattleBoss.css	1	css-content	現在のグレード	japanese	visible-review	"in:0 0 10px;padding:20px;position:relative}#rewardPopup #rewardListWrap #rewardList .reward:last-child{height:156px}#rewardPopup #rewardListWrap #rewardList .reward.current:before{content:""現在のグレード"";color:#fff;z-index:5;text-align:center;width:168px;font-size:15px;line-height:2"
VISIBLE-00064	css/regularEvent/groupBattle/RegularEventGroupBattleBoss.css	1	css-content	必要GP	latin	visible-review	"x 48px,18px 48px);background:#000;width:168px;height:48px;padding:22px 8px 0 0;position:absolute;top:28px;left:126px}#rewardPopup #rewardListWrap #rewardList .reward .needGp:after{content:""必要GP"";color:#fff;font-size:14px;position:absolute;top:0;left:20px}#rewardPopup #rewar"
VISIBLE-00065	css/regularEvent/groupBattle/RegularEventGroupBattleBoss.css	1	css-content	到達した撃退Lv	japanese+latin	visible-review	"Popup #rewardListWrap #rewardList .reward .rewardImgList .rewardImg.userTitle_m{width:190px;height:24px}#rewardPopup #rewardListWrap.subjugation #rewardList .reward.current:before{content:""到達した撃退Lv""}#rewardPopup #rewardListWrap.emblem #rewardList .reward.current:before{content:"
VISIBLE-00066	css/regularEvent/groupBattle/RegularEventGroupBattleBoss.css	1	css-content	最高獲得エンブレム	japanese	visible-review	"x;height:24px}#rewardPopup #rewardListWrap.subjugation #rewardList .reward.current:before{content:""到達した撃退Lv""}#rewardPopup #rewardListWrap.emblem #rewardList .reward.current:before{content:""最高獲得エンブレム""}#rewardPopup #rewardListWrap.emblem #rewardList .reward .needGp:after{content:"""
VISIBLE-00067	css/regularEvent/groupBattle/RegularEventGroupBattleBoss.css	1	css-content	デイリーダメージ	japanese	visible-review	"content:""到達した撃退Lv""}#rewardPopup #rewardListWrap.emblem #rewardList .reward.current:before{content:""最高獲得エンブレム""}#rewardPopup #rewardListWrap.emblem #rewardList .reward .needGp:after{content:""デイリーダメージ""}#rewardPopup #rewardListWrap.groupRanking,#rewardPopup #rewardListWrap.memberRa"
VISIBLE-00068	css/regularEvent/groupBattle/RegularEventGroupBattleBoss.css	6	css-content	所需GP	latin	visible-review	":""现在的层级""!important} #rewardPopup #rewardListWrap.group #rewardList .reward.current:before{content:""现在的层级""!important} #rewardPopup #rewardListWrap #rewardList .reward .needGp:after{content:""所需GP""!important} #rewardPopup #rewardListWrap #rewardList .reward .needRepel:after{co"
VISIBLE-00069	css/regularEvent/groupBattle/RegularEventGroupBattleBoss.css	8	css-content	已达成的击退Lv	latin	visible-review	"important} #rewardPopup #rewardListWrap #rewardList .reward .needRepel:after{content:""所需击退数""!important} #rewardPopup #rewardListWrap.subjugation #rewardList .reward.current:before{content:""已达成的击退Lv""!important} #rewardPopup #rewardListWrap.emblem #rewardList .reward.current:befo"
VISIBLE-00070	css/regularEvent/groupBattle/RegularEventGroupBattleBoss.css	15	css-content	战斗\A开始	latin	visible-review	"b19;text-align:center;font-weight:700;font-size:22px;line-height:36px;text-shadow:0 1px #fff} #RegularEventGroupBattleBoss #bottomWrap .battleStartBtn[data-type=performance]:after{content:""战斗\A开始"";white-space:pre;pointer-events:none;box-sizing:border-box;position:absolute;top"
VISIBLE-00071	css/regularEvent/groupBattle/RegularEventGroupBattleResult.css	1	css-content	現在のグレード	japanese	visible-review	"in:0 0 10px;padding:20px;position:relative}#rewardPopup #rewardListWrap #rewardList .reward:last-child{height:156px}#rewardPopup #rewardListWrap #rewardList .reward.current:before{content:""現在のグレード"";color:#fff;z-index:5;text-align:center;width:168px;font-size:15px;line-height:2"
VISIBLE-00072	css/regularEvent/groupBattle/RegularEventGroupBattleResult.css	1	css-content	必要GP	latin	visible-review	"x 48px,18px 48px);background:#000;width:168px;height:48px;padding:22px 8px 0 0;position:absolute;top:28px;left:126px}#rewardPopup #rewardListWrap #rewardList .reward .needGp:after{content:""必要GP"";color:#fff;font-size:14px;position:absolute;top:0;left:20px}#rewardPopup #rewar"
VISIBLE-00073	css/regularEvent/groupBattle/RegularEventGroupBattleResult.css	1	css-content	到達した撃退Lv	japanese+latin	visible-review	"Popup #rewardListWrap #rewardList .reward .rewardImgList .rewardImg.userTitle_m{width:190px;height:24px}#rewardPopup #rewardListWrap.subjugation #rewardList .reward.current:before{content:""到達した撃退Lv""}#rewardPopup #rewardListWrap.emblem #rewardList .reward.current:before{content:"
VISIBLE-00074	css/regularEvent/groupBattle/RegularEventGroupBattleResult.css	1	css-content	最高獲得エンブレム	japanese	visible-review	"x;height:24px}#rewardPopup #rewardListWrap.subjugation #rewardList .reward.current:before{content:""到達した撃退Lv""}#rewardPopup #rewardListWrap.emblem #rewardList .reward.current:before{content:""最高獲得エンブレム""}#rewardPopup #rewardListWrap.emblem #rewardList .reward .needGp:after{content:"""
