sequence	layer	file	key_field	stable_key	field	expected_before	after	runtime_byte_change	counts_toward_residual	original_pass9_residual	authority_tier	authority_type	source_locator	source_record_sha256	wiki_locator	wiki_record_sha256	note
11	pass15	cardMagiaMap.json	dict_key	90015	name	通向辉煌路的书页	通向辉煌路的书页	false	true		1-linked	official_cn_dump_linked_same_skill	authority.json/cardMagiaMap.json/30112				exact skill-name linkage + identical full numeric/Roman/turn signature + strict mechanical equivalence to current or pre-LLM baseline
12	pass15	cardMagiaMap.json	dict_key	90015	shortDescription	对敌方单体造成伤害[Ⅰ] & HP自动回复(我方全体/3T)	对单个敌人造成伤害[Ⅰ] & HP自动回复（全体/3T）	true	true		1-linked	official_cn_dump_linked_same_skill	authority.json/cardMagiaMap.json/30112				exact skill-name linkage + identical full numeric/Roman/turn signature + strict mechanical equivalence to current or pre-LLM baseline
13	pass15	cardMagiaMap.json	dict_key	90022	name	魔法☆之雨	魔法☆之雨	false	true		1-linked	official_cn_dump_linked_same_skill	authority.json/cardMagiaMap.json/20015				exact skill-name linkage + identical full numeric/Roman/turn signature + strict mechanical equivalence to current or pre-LLM baseline
14	pass15	cardMagiaMap.json	dict_key	90022	shortDescription	对敌方全体造成伤害[Ⅵ] & MP回复(我方全体) & 伤害削减(我方全体/3T)	对全体敌人造成伤害[Ⅵ] & MP回复（全体） &伤害削减（全体/3T）	true	true		1-linked	official_cn_dump_linked_same_skill	authority.json/cardMagiaMap.json/20015				exact skill-name linkage + identical full numeric/Roman/turn signature + strict mechanical equivalence to current or pre-LLM baseline
15	pass15	cardMagiaMap.json	dict_key	90025	name	隐身的暗杀者	隐身的暗杀者	false	true		1-linked	official_cn_dump_linked_same_skill	authority.json/cardMagiaMap.json/30294				exact skill-name linkage + identical full numeric/Roman/turn signature + strict mechanical equivalence to current or pre-LLM baseline
16	pass15	cardMagiaMap.json	dict_key	90029	name	圣贤光束	圣贤光束	false	true		1-linked	official_cn_dump_linked_same_skill	authority.json/cardMagiaMap.json/40014				exact skill-name linkage + identical full numeric/Roman/turn signature + strict mechanical equivalence to current or pre-LLM baseline
17	pass15	cardMagiaMap.json	dict_key	90030	name	吸血鬼之牙	吸血鬼之牙	false	true		1-linked	official_cn_dump_linked_same_skill	authority.json/cardMagiaMap.json/40025				exact skill-name linkage + identical full numeric/Roman/turn signature + strict mechanical equivalence to current or pre-LLM baseline
18	pass15	cardMagiaMap.json	dict_key	90031	shortDescription	对敌方单体造成伤害[Ⅱ] & HP回复(我方全体)	对单个敌人造成伤害[Ⅱ] & HP回复（全体）	true	true		1-linked	official_cn_dump_linked_same_skill	authority.json/cardMagiaMap.json/40033				exact skill-name linkage + identical full numeric/Roman/turn signature + strict mechanical equivalence to current or pre-LLM baseline
19	pass15	cardMagiaMap.json	dict_key	90033	shortDescription	对敌方全体造成伤害[Ⅴ] & 防御力提升(我方全体/3T) & 伤害削减(我方全体/3T)	对全体敌人造成伤害[Ⅴ] & 防御力提升（全体/3T） & 伤害削减（全体/3T）	true	true		1-linked	official_cn_dump_linked_same_skill	authority.json/cardMagiaMap.json/10044				exact skill-name linkage + identical full numeric/Roman/turn signature + strict mechanical equivalence to current or pre-LLM baseline
20	pass15	cardMagiaMap.json	dict_key	90035	name	审判大地	审判大地	false	true		1-linked	official_cn_dump_linked_same_skill	authority.json/cardMagiaMap.json/10114				exact skill-name linkage + identical full numeric/Roman/turn signature + strict mechanical equivalence to current or pre-LLM baseline
21	pass15	cardMagiaMap.json	dict_key	90042	shortDescription	对敌方全体造成伤害[Ⅴ] & 防御力提升(我方全体/3T) & 伤害削减(我方全体/3T)	对全体敌人造成伤害[Ⅴ] & 防御力提升（全体/3T） & 伤害削减（全体/3T）	true	true		1-linked	official_cn_dump_linked_same_skill	authority.json/cardMagiaMap.json/10044				exact skill-name linkage + identical full numeric/Roman/turn signature + strict mechanical equivalence to current or pre-LLM baseline
22	pass15	cardMagiaMap.json	dict_key	90043	name	未知飞焰	未知飞焰	false	true		1-linked	official_cn_dump_linked_same_skill	authority.json/cardMagiaMap.json/30282				exact skill-name linkage + identical full numeric/Roman/turn signature + strict mechanical equivalence to current or pre-LLM baseline
23	pass15	cardMagiaMap.json	dict_key	90044	name	闪电激流	闪电激流	false	true		1-linked	official_cn_dump_linked_same_skill	authority.json/cardMagiaMap.json/30273				exact skill-name linkage + identical full numeric/Roman/turn signature + strict mechanical equivalence to current or pre-LLM baseline
24	pass15	cardMagiaMap.json	dict_key	90045	shortDescription	对敌方全体造成伤害[Ⅵ] & HP自动回复(我方全体/3T) & 反击无效(我方全体/3T)	对全体敌人造成伤害[Ⅵ] & HP自动回复（全体/3T）  & 反击无效（全体/3T）	true	true		1-linked	official_cn_dump_linked_same_skill	authority.json/cardMagiaMap.json/30265				exact skill-name linkage + identical full numeric/Roman/turn signature + strict mechanical equivalence to current or pre-LLM baseline
25	pass15	cardMagiaMap.json	dict_key	90046	name	通往未来的道路	通往未来的道路	false	true		1-linked	official_cn_dump_linked_same_skill	authority.json/cardMagiaMap.json/10011				exact skill-name linkage + identical full numeric/Roman/turn signature + strict mechanical equivalence to current or pre-LLM baseline
26	pass15	cardMagiaMap.json	dict_key	90046	shortDescription	对敌方全体造成伤害[Ⅰ] & 复活	对全体敌人造成伤害[Ⅰ] & 复活	true	true		1-linked	official_cn_dump_linked_same_skill	authority.json/cardMagiaMap.json/10011				exact skill-name linkage + identical full numeric/Roman/turn signature + strict mechanical equivalence to current or pre-LLM baseline
27	pass15	cardMagiaMap.json	dict_key	90047	name	无尽的波塞冬	无尽的波塞冬	false	true		1-linked	official_cn_dump_linked_same_skill	authority.json/cardMagiaMap.json/10094				exact skill-name linkage + identical full numeric/Roman/turn signature + strict mechanical equivalence to current or pre-LLM baseline
28	pass15	cardMagiaMap.json	dict_key	90048	shortDescription	对敌方单体造成伤害[Ⅰ] & 防御力提升 & 攻击力提升(我方全体/3T)	对单个敌人造成伤害[Ⅰ] & 防御力提升 & 攻击力提升（全体/3T）	true	true		1-linked	official_cn_dump_linked_same_skill	authority.json/cardMagiaMap.json/30022				exact skill-name linkage + identical full numeric/Roman/turn signature + strict mechanical equivalence to current or pre-LLM baseline
29	pass15	cardMagiaMap.json	dict_key	90051	name	通向辉煌路的书页	通向辉煌路的书页	false	true		1-linked	official_cn_dump_linked_same_skill	authority.json/cardMagiaMap.json/30112				exact skill-name linkage + identical full numeric/Roman/turn signature + strict mechanical equivalence to current or pre-LLM baseline
30	pass15	cardMagiaMap.json	dict_key	90051	shortDescription	对敌方单体造成伤害[Ⅰ] & HP自动回复(我方全体/3T)	对单个敌人造成伤害[Ⅰ] & HP自动回复（全体/3T）	true	true		1-linked	official_cn_dump_linked_same_skill	authority.json/cardMagiaMap.json/30112				exact skill-name linkage + identical full numeric/Roman/turn signature + strict mechanical equivalence to current or pre-LLM baseline
31	pass15	cardMagiaMap.json	dict_key	90053	shortDescription	对敌方单体造成伤害[Ⅲ] & 防御力提升(我方全体/3T)	对单个敌人造成伤害[Ⅲ] & 防御力提升（全体/3T）	true	true		1-linked	official_cn_dump_linked_same_skill	authority.json/cardMagiaMap.json/30193				exact skill-name linkage + identical full numeric/Roman/turn signature + strict mechanical equivalence to current or pre-LLM baseline
32	pass15	cardMagiaMap.json	dict_key	90056	name	人家的嗜虐之心	人家的嗜虐之心	false	true		1-linked	official_cn_dump_linked_same_skill	authority.json/cardMagiaMap.json/30062				exact skill-name linkage + identical full numeric/Roman/turn signature + strict mechanical equivalence to current or pre-LLM baseline
33	pass15	cardMagiaMap.json	dict_key	90056	shortDescription	对敌方全体造成伤害[Ⅰ] & 伤害下降(敌方全体/3T)	对全体敌人造成伤害[Ⅰ] & 伤害下降（全体敌人/3T）	true	true		1-linked	official_cn_dump_linked_same_skill	authority.json/cardMagiaMap.json/30062				exact skill-name linkage + identical full numeric/Roman/turn signature + strict mechanical equivalence to current or pre-LLM baseline
34	pass15	cardMagiaMap.json	dict_key	90057	shortDescription	对敌方单体造成伤害[Ⅰ] & 必定赋予诱惑(敌方单体/1T)	对单个敌人造成伤害[Ⅰ] & 必定附带诱惑（单个敌人/1T）	true	true		1-linked	official_cn_dump_linked_same_skill	authority.json/cardMagiaMap.json/30012				exact skill-name linkage + identical full numeric/Roman/turn signature + strict mechanical equivalence to current or pre-LLM baseline
35	pass15	cardMagiaMap.json	dict_key	90059	shortDescription	对敌方全体造成伤害[Ⅱ] & HP回复(我方全体)	对全体敌人造成伤害[Ⅱ] & HP回复（全体）	true	true		1-linked	official_cn_dump_linked_same_skill	authority.json/cardMagiaMap.json/40123				exact skill-name linkage + identical full numeric/Roman/turn signature + strict mechanical equivalence to current or pre-LLM baseline
36	pass15	cardMagiaMap.json	dict_key	90060	name	加农炮弹	加农炮弹	false	true		1-linked	official_cn_dump_linked_same_skill	authority.json/cardMagiaMap.json/40133				exact skill-name linkage + identical full numeric/Roman/turn signature + strict mechanical equivalence to current or pre-LLM baseline
37	pass15	cardMagiaMap.json	dict_key	90060	shortDescription	对敌方单体造成伤害[Ⅲ] & 攻击力提升(我方全体/3T)	对单个敌人造成伤害[Ⅲ] & 攻击力提升（全体/3T）	true	true		1-linked	official_cn_dump_linked_same_skill	authority.json/cardMagiaMap.json/40133				exact skill-name linkage + identical full numeric/Roman/turn signature + strict mechanical equivalence to current or pre-LLM baseline
38	pass15	cardMagiaMap.json	dict_key	90082	name	通往未来的道路	通往未来的道路	false	true		1-linked	official_cn_dump_linked_same_skill	authority.json/cardMagiaMap.json/10011				exact skill-name linkage + identical full numeric/Roman/turn signature + strict mechanical equivalence to current or pre-LLM baseline
39	pass15	cardMagiaMap.json	dict_key	90082	shortDescription	对敌方全体造成伤害[Ⅰ] & 复活	对全体敌人造成伤害[Ⅰ] & 复活	true	true		1-linked	official_cn_dump_linked_same_skill	authority.json/cardMagiaMap.json/10011				exact skill-name linkage + identical full numeric/Roman/turn signature + strict mechanical equivalence to current or pre-LLM baseline
40	pass15	cardMagiaMap.json	dict_key	90083	name	新年☆之雨	新年☆之雨	false	true		1-linked	official_cn_dump_linked_same_skill	authority.json/cardMagiaMap.json/21004				exact skill-name linkage + identical full numeric/Roman/turn signature + strict mechanical equivalence to current or pre-LLM baseline
41	pass15	cardMagiaMap.json	dict_key	90083	shortDescription	对敌方全体造成伤害[Ⅴ] & MP回复(自身) & 异常状态耐性提升(我方全体/1T)	对全体敌人造成伤害[Ⅴ] & MP回复（自己）&状态异常耐性提升（全体/1T）	true	true		1-linked	official_cn_dump_linked_same_skill	authority.json/cardMagiaMap.json/21004				exact skill-name linkage + identical full numeric/Roman/turn signature + strict mechanical equivalence to current or pre-LLM baseline
42	pass15	cardMagiaMap.json	dict_key	90113	name	魂之救赎	魂之救赎	false	true		1-linked	official_cn_dump_linked_same_skill	authority.json/cardMagiaMap.json/30254				exact skill-name linkage + identical full numeric/Roman/turn signature + strict mechanical equivalence to current or pre-LLM baseline
43	pass15	cardMagiaMap.json	dict_key	90113	shortDescription	对敌方单体造成伤害[Ⅵ] & HP越低威力越大 & 回避(自身/1T)	对单个敌人造成伤害[Ⅵ]&HP越低威力越大&回避（自己/1T）	true	true		1-linked	official_cn_dump_linked_same_skill	authority.json/cardMagiaMap.json/30254				exact skill-name linkage + identical full numeric/Roman/turn signature + strict mechanical equivalence to current or pre-LLM baseline
44	pass15	cardMagiaMap.json	dict_key	90115	name	魔法☆之雨	魔法☆之雨	false	true		1-linked	official_cn_dump_linked_same_skill	authority.json/cardMagiaMap.json/20014				exact skill-name linkage + identical full numeric/Roman/turn signature + strict mechanical equivalence to current or pre-LLM baseline
45	pass15	cardMagiaMap.json	dict_key	90115	shortDescription	对敌方全体造成伤害[Ⅳ] & MP回复(我方全体)	对全体敌人造成伤害[Ⅳ] & MP回复（全体）	true	true		1-linked	official_cn_dump_linked_same_skill	authority.json/cardMagiaMap.json/20014				exact skill-name linkage + identical full numeric/Roman/turn signature + strict mechanical equivalence to current or pre-LLM baseline
46	pass15	cardMagiaMap.json	dict_key	90117	name	Nine Phases	Nine Phases	false	true		1-linked	official_cn_dump_linked_same_skill	authority.json/cardMagiaMap.json/10084				exact skill-name linkage + identical full numeric/Roman/turn signature + strict mechanical equivalence to current or pre-LLM baseline
47	pass15	cardMagiaMap.json	dict_key	90122	name	隐身的暗杀者	隐身的暗杀者	false	true		1-linked	official_cn_dump_linked_same_skill	authority.json/cardMagiaMap.json/30293				exact skill-name linkage + identical full numeric/Roman/turn signature + strict mechanical equivalence to current or pre-LLM baseline
48	pass15	cardMagiaMap.json	dict_key	90124	name	圣贤光束	圣贤光束	false	true		1-linked	official_cn_dump_linked_same_skill	authority.json/cardMagiaMap.json/40013				exact skill-name linkage + identical full numeric/Roman/turn signature + strict mechanical equivalence to current or pre-LLM baseline
49	pass15	cardMagiaMap.json	dict_key	90125	name	吸血鬼之牙	吸血鬼之牙	false	true		1-linked	official_cn_dump_linked_same_skill	authority.json/cardMagiaMap.json/40025				exact skill-name linkage + identical full numeric/Roman/turn signature + strict mechanical equivalence to current or pre-LLM baseline
50	pass15	cardMagiaMap.json	dict_key	90129	shortDescription	对敌方全体造成伤害[Ⅲ] & 防御力提升(我方全体/3T)	对全体敌人造成伤害[Ⅲ] & 防御力提升（全体/3T）	true	true		1-linked	official_cn_dump_linked_same_skill	authority.json/cardMagiaMap.json/10043				exact skill-name linkage + identical full numeric/Roman/turn signature + strict mechanical equivalence to current or pre-LLM baseline
51	pass15	cardMagiaMap.json	dict_key	90130	name	无尽的波塞冬	无尽的波塞冬	false	true		1-linked	official_cn_dump_linked_same_skill	authority.json/cardMagiaMap.json/10094				exact skill-name linkage + identical full numeric/Roman/turn signature + strict mechanical equivalence to current or pre-LLM baseline
52	pass15	cardMagiaMap.json	dict_key	90131	name	未知飞焰	未知飞焰	false	true		1-linked	official_cn_dump_linked_same_skill	authority.json/cardMagiaMap.json/30283				exact skill-name linkage + identical full numeric/Roman/turn signature + strict mechanical equivalence to current or pre-LLM baseline
53	pass15	cardMagiaMap.json	dict_key	90132	shortDescription	对敌方全体造成伤害[Ⅵ] & HP自动回复(我方全体/3T) & 反击无效(我方全体/3T)	对全体敌人造成伤害[Ⅵ] & HP自动回复（全体/3T）  & 反击无效（全体/3T）	true	true		1-linked	official_cn_dump_linked_same_skill	authority.json/cardMagiaMap.json/30265				exact skill-name linkage + identical full numeric/Roman/turn signature + strict mechanical equivalence to current or pre-LLM baseline
54	pass15	cardMagiaMap.json	dict_key	90133	name	闪电激流	闪电激流	false	true		1-linked	official_cn_dump_linked_same_skill	authority.json/cardMagiaMap.json/30274				exact skill-name linkage + identical full numeric/Roman/turn signature + strict mechanical equivalence to current or pre-LLM baseline
55	pass15	cardMagiaMap.json	dict_key	90135	name	暗影千重	暗影千重	false	true		1-linked	official_cn_dump_linked_same_skill	authority.json/cardMagiaMap.json/40225				exact skill-name linkage + identical full numeric/Roman/turn signature + strict mechanical equivalence to current or pre-LLM baseline
56	pass15	cardMagiaMap.json	dict_key	90136	name	裂变	裂变	false	true		1-linked	official_cn_dump_linked_same_skill	authority.json/cardMagiaMap.json/40233				exact skill-name linkage + identical full numeric/Roman/turn signature + strict mechanical equivalence to current or pre-LLM baseline
57	pass15	cardMagiaMap.json	dict_key	90142	shortDescription	对敌方单体造成伤害[Ⅰ] & 防御力提升 & 攻击力提升(我方全体/3T)	对单个敌人造成伤害[Ⅰ] & 防御力提升 & 攻击力提升（全体/3T）	true	true		1-linked	official_cn_dump_linked_same_skill	authority.json/cardMagiaMap.json/30022				exact skill-name linkage + identical full numeric/Roman/turn signature + strict mechanical equivalence to current or pre-LLM baseline
58	pass15	cardMagiaMap.json	dict_key	90146	shortDescription	对敌方单体造成伤害[Ⅲ] & 防御力提升(我方全体/3T)	对单个敌人造成伤害[Ⅲ] & 防御力提升（全体/3T）	true	true		1-linked	official_cn_dump_linked_same_skill	authority.json/cardMagiaMap.json/30193				exact skill-name linkage + identical full numeric/Roman/turn signature + strict mechanical equivalence to current or pre-LLM baseline
59	pass15	cardMagiaMap.json	dict_key	90148	name	连环巨拳	连环巨拳	false	true		1-linked	official_cn_dump_linked_same_skill	authority.json/cardMagiaMap.json/30083				exact skill-name linkage + identical full numeric/Roman/turn signature + strict mechanical equivalence to current or pre-LLM baseline
60	pass15	cardMagiaMap.json	dict_key	90148	shortDescription	对敌方单体造成伤害[Ⅲ] & Charge后伤害提升(我方全体/3T)	对单个敌人造成伤害[Ⅲ] & Charge后伤害提升（全体/3T）	true	true		1-linked	official_cn_dump_linked_same_skill	authority.json/cardMagiaMap.json/30083				exact skill-name linkage + identical full numeric/Roman/turn signature + strict mechanical equivalence to current or pre-LLM baseline
61	pass15	cardMagiaMap.json	dict_key	90149	name	真龙闪光爪牙	真龙闪光爪牙	false	true		1-linked	official_cn_dump_linked_same_skill	authority.json/cardMagiaMap.json/10133				exact skill-name linkage + identical full numeric/Roman/turn signature + strict mechanical equivalence to current or pre-LLM baseline
62	pass15	cardMagiaMap.json	dict_key	90152	name	通向辉煌路的书页	通向辉煌路的书页	false	true		1-linked	official_cn_dump_linked_same_skill	authority.json/cardMagiaMap.json/30113				exact skill-name linkage + identical full numeric/Roman/turn signature + strict mechanical equivalence to current or pre-LLM baseline
63	pass15	cardMagiaMap.json	dict_key	90152	shortDescription	对敌方单体造成伤害[Ⅱ] & HP自动回复(我方全体/3T)	对单个敌人造成伤害[Ⅱ] & HP自动回复（全体/3T）	true	true		1-linked	official_cn_dump_linked_same_skill	authority.json/cardMagiaMap.json/30113				exact skill-name linkage + identical full numeric/Roman/turn signature + strict mechanical equivalence to current or pre-LLM baseline
64	pass15	cardMagiaMap.json	dict_key	90153	name	无尽的波塞冬	无尽的波塞冬	false	true		1-linked	official_cn_dump_linked_same_skill	authority.json/cardMagiaMap.json/10094				exact skill-name linkage + identical full numeric/Roman/turn signature + strict mechanical equivalence to current or pre-LLM baseline
65	pass15	cardMagiaMap.json	dict_key	90155	name	未知飞焰	未知飞焰	false	true		1-linked	official_cn_dump_linked_same_skill	authority.json/cardMagiaMap.json/30283				exact skill-name linkage + identical full numeric/Roman/turn signature + strict mechanical equivalence to current or pre-LLM baseline
66	pass15	cardMagiaMap.json	dict_key	90158	name	魔法☆之雨	魔法☆之雨	false	true		1-linked	official_cn_dump_linked_same_skill	authority.json/cardMagiaMap.json/20014				exact skill-name linkage + identical full numeric/Roman/turn signature + strict mechanical equivalence to current or pre-LLM baseline
67	pass15	cardMagiaMap.json	dict_key	90158	shortDescription	对敌方全体造成伤害[Ⅳ] & MP回复(我方全体)	对全体敌人造成伤害[Ⅳ] & MP回复（全体）	true	true		1-linked	official_cn_dump_linked_same_skill	authority.json/cardMagiaMap.json/20014				exact skill-name linkage + identical full numeric/Roman/turn signature + strict mechanical equivalence to current or pre-LLM baseline
68	pass15	cardMagiaMap.json	dict_key	90162	name	Nine Phases	Nine Phases	false	true		1-linked	official_cn_dump_linked_same_skill	authority.json/cardMagiaMap.json/10084				exact skill-name linkage + identical full numeric/Roman/turn signature + strict mechanical equivalence to current or pre-LLM baseline
69	pass15	cardMagiaMap.json	dict_key	90164	shortDescription	对敌方全体造成伤害[Ⅱ] & HP回复(我方全体)	对全体敌人造成伤害[Ⅱ] & HP回复（全体）	true	true		1-linked	official_cn_dump_linked_same_skill	authority.json/cardMagiaMap.json/40123				exact skill-name linkage + identical full numeric/Roman/turn signature + strict mechanical equivalence to current or pre-LLM baseline
70	pass15	cardMagiaMap.json	dict_key	90165	name	加农炮弹	加农炮弹	false	true		1-linked	official_cn_dump_linked_same_skill	authority.json/cardMagiaMap.json/40133				exact skill-name linkage + identical full numeric/Roman/turn signature + strict mechanical equivalence to current or pre-LLM baseline
71	pass15	cardMagiaMap.json	dict_key	90165	shortDescription	对敌方单体造成伤害[Ⅲ] & 攻击力提升(我方全体/3T)	对单个敌人造成伤害[Ⅲ] & 攻击力提升（全体/3T）	true	true		1-linked	official_cn_dump_linked_same_skill	authority.json/cardMagiaMap.json/40133				exact skill-name linkage + identical full numeric/Roman/turn signature + strict mechanical equivalence to current or pre-LLM baseline
72	pass15	cardMagiaMap.json	dict_key	90167	shortDescription	对敌方全体造成伤害[Ⅲ] & 防御力提升(我方全体/3T)	对全体敌人造成伤害[Ⅲ] & 防御力提升（全体/3T）	true	true		1-linked	official_cn_dump_linked_same_skill	authority.json/cardMagiaMap.json/10043				exact skill-name linkage + identical full numeric/Roman/turn signature + strict mechanical equivalence to current or pre-LLM baseline
73	pass15	cardMagiaMap.json	dict_key	90168	name	隐身的暗杀者	隐身的暗杀者	false	true		1-linked	official_cn_dump_linked_same_skill	authority.json/cardMagiaMap.json/30293				exact skill-name linkage + identical full numeric/Roman/turn signature + strict mechanical equivalence to current or pre-LLM baseline
74	pass15	cardMagiaMap.json	dict_key	90199	name	漆黑的阿卡纳	漆黑的阿卡纳	false	true		1-linked	official_cn_dump_linked_same_skill	authority.json/cardMagiaMap.json/30373				exact skill-name linkage + identical full numeric/Roman/turn signature + strict mechanical equivalence to current or pre-LLM baseline
75	pass15	cardMagiaMap.json	dict_key	90199	shortDescription	对敌方全体造成伤害[Ⅱ] & 概率赋予毒(敌方全体/3T) & 概率赋予黑暗、束缚、技能封印(敌方全体/1T)	对全体敌人造成伤害[Ⅱ] & 一定几率附带毒（全体敌人/3T） & 一定几率附带黑暗·束缚·禁用技能（全体敌人/1T）	true	true		1-linked	official_cn_dump_linked_same_skill	authority.json/cardMagiaMap.json/30373				exact skill-name linkage + identical full numeric/Roman/turn signature + strict mechanical equivalence to current or pre-LLM baseline
76	pass15	cardMagiaMap.json	dict_key	90204	name	连环巨拳	连环巨拳	false	true		1-linked	official_cn_dump_linked_same_skill	authority.json/cardMagiaMap.json/30084				exact skill-name linkage + identical full numeric/Roman/turn signature + strict mechanical equivalence to current or pre-LLM baseline
77	pass15	cardMagiaMap.json	dict_key	90204	shortDescription	对敌方单体造成伤害[Ⅴ] & Charge后伤害提升(我方全体/3T) & 伤害提升(自身/3T)	对单个敌人造成伤害[Ⅴ]&Charge后伤害提升（全体/3T）&伤害提升（自己/3T）	true	true		1-linked	official_cn_dump_linked_same_skill	authority.json/cardMagiaMap.json/30084				exact skill-name linkage + identical full numeric/Roman/turn signature + strict mechanical equivalence to current or pre-LLM baseline
78	pass15	cardMagiaMap.json	dict_key	90205	name	继承之炎	继承之炎	false	true		1-linked	official_cn_dump_linked_same_skill	authority.json/cardMagiaMap.json/40315				exact skill-name linkage + identical full numeric/Roman/turn signature + strict mechanical equivalence to current or pre-LLM baseline
79	pass15	cardMagiaMap.json	dict_key	90207	name	加农炮弹	加农炮弹	false	true		1-linked	official_cn_dump_linked_same_skill	authority.json/cardMagiaMap.json/40134				exact skill-name linkage + identical full numeric/Roman/turn signature + strict mechanical equivalence to current or pre-LLM baseline
80	pass15	cardMagiaMap.json	dict_key	90207	shortDescription	对敌方单体造成伤害[Ⅴ] & 攻击力提升 & Charge后伤害提升(我方全体/3T)	对单个敌人造成伤害[Ⅴ] & 攻击力提升 & Charge后伤害提升（全体/3T）	true	true		1-linked	official_cn_dump_linked_same_skill	authority.json/cardMagiaMap.json/40134				exact skill-name linkage + identical full numeric/Roman/turn signature + strict mechanical equivalence to current or pre-LLM baseline
81	pass15	cardMagiaMap.json	dict_key	90210	name	原子暴怒	原子暴怒	false	true		1-linked	official_cn_dump_linked_same_skill	authority.json/cardMagiaMap.json/30033				exact skill-name linkage + identical full numeric/Roman/turn signature + strict mechanical equivalence to current or pre-LLM baseline
82	pass15	cardMagiaMap.json	dict_key	90215	name	美貌下的荆棘	美貌下的荆棘	false	true		1-linked	official_cn_dump_linked_same_skill	authority.json/cardMagiaMap.json/30103				exact skill-name linkage + identical full numeric/Roman/turn signature + strict mechanical equivalence to current or pre-LLM baseline
