logical_path,kind,apk_path,apk_size,manifest_size,apk_md5,manifest_md5,same_md5
resource/image_native/card/frame/bg_water.png,image,legacy-client/assets/resource/image_native/card/frame/bg_water.png,1105,1105,e0c7e739e9fc42a7cd8fcff417a0e93d,e0c7e739e9fc42a7cd8fcff417a0e93d,true
resource/image_native/card/frame/frame_dark_rank_x.png,image,legacy-client/assets/resource/image_native/card/frame/frame_dark_rank_x.png,24777,25852,0a7247191ed7cdc05a7eb38a3e1b3e7e,9d257a3beebb37392f7e43c66223e620,false
resource/image_native/card/frame/frame_fire_rank_x.png,image,legacy-client/assets/resource/image_native/card/frame/frame_fire_rank_x.png,24777,25852,0a7247191ed7cdc05a7eb38a3e1b3e7e,9d257a3beebb37392f7e43c66223e620,false
resource/image_native/card/frame/frame_light_rank_x.png,image,legacy-client/assets/resource/image_native/card/frame/frame_light_rank_x.png,24777,25852,0a7247191ed7cdc05a7eb38a3e1b3e7e,9d257a3beebb37392f7e43c66223e620,false
resource/image_native/card/frame/frame_rank_x.png,image,legacy-client/assets/resource/image_native/card/frame/frame_rank_x.png,2414,2414,6b7eae050102954945de3c3ee9b0832e,6b7eae050102954945de3c3ee9b0832e,true
resource/image_native/card/frame/frame_timber_rank_x.png,image,legacy-client/assets/resource/image_native/card/frame/frame_timber_rank_x.png,24777,25852,0a7247191ed7cdc05a7eb38a3e1b3e7e,9d257a3beebb37392f7e43c66223e620,false
resource/image_native/card/frame/frame_void_rank_x.png,image,legacy-client/assets/resource/image_native/card/frame/frame_void_rank_x.png,24777,25852,0a7247191ed7cdc05a7eb38a3e1b3e7e,9d257a3beebb37392f7e43c66223e620,false
resource/image_native/card/frame/frame_water_rank_x.png,image,legacy-client/assets/resource/image_native/card/frame/frame_water_rank_x.png,24777,25852,0a7247191ed7cdc05a7eb38a3e1b3e7e,9d257a3beebb37392f7e43c66223e620,false
resource/image_native/card/frame/star_rank_x.png,image,legacy-client/assets/resource/image_native/card/frame/star_rank_x.png,92,106,a27fb3c06c78c8e08b618a20f46cb008,68c0e0b4149ffe853ae3ea039789ef2e,false
resource/image_native/card/image/card_10011_l.png,image,legacy-client/assets/resource/image_native/card/image/card_10011_l.png,82711,87665,5a3222d1d4984d8175e78231fd546bd7,75b7ffa2305ee9ad43dc47a3ce25e6b9,false
resource/image_native/card/image/card_10011_m.png,image,legacy-client/assets/resource/image_native/card/image/card_10011_m.png,52232,55153,26f900599abc1897472d1e7dc8d92140,06568c480fc18e612d3b8c46ad69e5cc,false
resource/image_native/card/image/card_xxxxx_c.png,image,legacy-client/assets/resource/image_native/card/image/card_xxxxx_c.png,56464,63720,d4a4cc5af7be39e93d340e5bcfd95b7d,e3bfae6e57abca2c26a1cad92c73b7ed,false
resource/image_native/card/image/card_xxxxx_d.png,image,legacy-client/assets/resource/image_native/card/image/card_xxxxx_d.png,1199,1328,2c694d5e257c571eadc1b588f1d3aa54,87aa051b5bac42a495bdbc669c2fb78f,false
resource/image_native/card/image/card_xxxxx_f.png,image,legacy-client/assets/resource/image_native/card/image/card_xxxxx_f.png,2145,2457,78ffde67bb6ccfca538e0a5d7403ef65,a3ee1574b4f407311dc73f7bf22c4ab1,false
resource/image_native/card/image/card_xxxxx_l.png,image,legacy-client/assets/resource/image_native/card/image/card_xxxxx_l.png,6128,7668,211cf87d3ccb98c1eb749f092d1abce7,c517a17969dc8b388c8d8c628187a235,false
resource/image_native/card/image/card_xxxxx_m.png,image,legacy-client/assets/resource/image_native/card/image/card_xxxxx_m.png,3618,4410,32b5e831e221b666b7a5f9e5767ab511,b85d8c56ed10fe4e37a3b81b5f0aba7b,false
resource/image_native/card/image/card_xxxxx_s.png,image,legacy-client/assets/resource/image_native/card/image/card_xxxxx_s.png,2297,2581,f6c0b61b9c7afbf52d2389fd2901590b,1e467909dcb6f8cf00d9cd4a5541d95c,false
resource/image_native/card/image/card_xxxxx_v.png,image,legacy-client/assets/resource/image_native/card/image/card_xxxxx_v.png,3765,4155,c55ef546a95a3e742303c1a070c6379f,b53a780715165fee83e2fd2bdc74ef1a,false
resource/image_native/chara/chara_xxxx_b.png,image,legacy-client/assets/resource/image_native/chara/chara_xxxx_b.png,7571,8912,b5d648d0ff4d6aee347f1d14ef11647e,9b590d6b99d7f2180e004be83a8f2956,false
resource/image_native/chara/chara_xxxx_e.png,image,legacy-client/assets/resource/image_native/chara/chara_xxxx_e.png,61029,61207,7500539f93d57629909d0f5b323a6805,4f9970337e0c47bce8a3bdfb555f3b1c,false
resource/image_native/chara/chara_xxxx_h.png,image,legacy-client/assets/resource/image_native/chara/chara_xxxx_h.png,1589,1357,1faab42a0e6179eefb5e9012f5880a2a,34733915104815d2e882cb9c2c39535f,false
resource/image_native/chara/chara_xxxx_n.png,image,legacy-client/assets/resource/image_native/chara/chara_xxxx_n.png,6666,9747,c15a01fe4df6c334ccbaf7852eb010fe,1da834fa78271990a8c3c3b9e6cca4cc,false
resource/image_native/memoria/memoria_xxxxxx_c.png,image,legacy-client/assets/resource/image_native/memoria/memoria_xxxxxx_c.png,29753,34833,7684a7795339cfadee3dc48e442b2ea8,26f80cbc4ccee548e46dd761a60e131f,false
resource/image_native/memoria/memoria_xxxxxx_s.png,image,legacy-client/assets/resource/image_native/memoria/memoria_xxxxxx_s.png,6257,8934,68c12a6b372b32b98902ca150ea4dc2a,aa3c3183390baa783aef73a7c891617b,false
resource/image_native/mini/anime/mini_xxxxxx_l.ExportJson,other,legacy-client/assets/resource/image_native/mini/anime/mini_xxxxxx_l.ExportJson,15787,17112,e9820534f886c88afc2646b16d3f8c67,1d7cb98c9a74c03ea76b4adf4610aa31,false
resource/image_native/mini/anime_v2/mini_699999_l.ExportJson,other,legacy-client/assets/resource/image_native/mini/anime_v2/mini_699999_l.ExportJson,7676,7676,ceadf90dfaafb626b83c8b76766fb4e1,ceadf90dfaafb626b83c8b76766fb4e1,true
resource/image_native/mini/anime_v2/mini_skip_d_l.ExportJson,other,legacy-client/assets/resource/image_native/mini/anime_v2/mini_skip_d_l.ExportJson,2534,2512,8db4acbc6087f95cf7fa79f4d77ebb0b,db23470a1902592094ac10e1f90d7c9b,false
resource/image_native/mini/anime_v2/mini_skip_d_r.ExportJson,other,legacy-client/assets/resource/image_native/mini/anime_v2/mini_skip_d_r.ExportJson,2534,2512,f12835f0b4fa3d07b4e61c5231fc179b,cffbbbf700dd9533d956b00542e6e400,false
resource/image_native/mini/anime_v2/mini_skip_m_l.ExportJson,other,legacy-client/assets/resource/image_native/mini/anime_v2/mini_skip_m_l.ExportJson,2053,2053,e617694b55dd190a40d495efb30d6d1e,e617694b55dd190a40d495efb30d6d1e,true
resource/image_native/mini/anime_v2/mini_skip_m_r.ExportJson,other,legacy-client/assets/resource/image_native/mini/anime_v2/mini_skip_m_r.ExportJson,2053,2053,da3ff5910cba8bf2c044319a1cc846c6,da3ff5910cba8bf2c044319a1cc846c6,true
resource/image_native/mini/anime_v2/mini_xxxxxx_d_l.ExportJson,other,legacy-client/assets/resource/image_native/mini/anime_v2/mini_xxxxxx_d_l.ExportJson,3888,3888,77dc1c3b042215790fb853faa7c67362,77dc1c3b042215790fb853faa7c67362,true
resource/image_native/mini/anime_v2/mini_xxxxxx_d_l0.plist,other,legacy-client/assets/resource/image_native/mini/anime_v2/mini_xxxxxx_d_l0.plist,1261,1524,1d284ca4ea074bbed731506bbe9db625,b4e30e3a822cb7f3bcc086b0ef9dfc00,false
resource/image_native/mini/anime_v2/mini_xxxxxx_d_l0.png,image,legacy-client/assets/resource/image_native/mini/anime_v2/mini_xxxxxx_d_l0.png,993,999,95c1f9138987096076ea69f29d065be1,f4662d7e7c4de27365c13d09e3276151,false
resource/image_native/mini/anime_v2/mini_xxxxxx_d_r.ExportJson,other,legacy-client/assets/resource/image_native/mini/anime_v2/mini_xxxxxx_d_r.ExportJson,3888,3888,2db763c5f71ab96cdb5c0c89c3599959,2db763c5f71ab96cdb5c0c89c3599959,true
resource/image_native/mini/anime_v2/mini_xxxxxx_d_r0.plist,other,legacy-client/assets/resource/image_native/mini/anime_v2/mini_xxxxxx_d_r0.plist,1261,1524,360f5e5482a8985c2d6a8c1e27bcc280,85414daa410e88b19688cfe22f3bb425,false
resource/image_native/mini/anime_v2/mini_xxxxxx_d_r0.png,image,legacy-client/assets/resource/image_native/mini/anime_v2/mini_xxxxxx_d_r0.png,993,999,95c1f9138987096076ea69f29d065be1,f4662d7e7c4de27365c13d09e3276151,false
resource/image_native/mini/anime_v2/mini_xxxxxx_l.ExportJson,other,legacy-client/assets/resource/image_native/mini/anime_v2/mini_xxxxxx_l.ExportJson,15787,17112,e9820534f886c88afc2646b16d3f8c67,1d7cb98c9a74c03ea76b4adf4610aa31,false
resource/image_native/mini/anime_v2/mini_xxxxxx_l0.plist,other,legacy-client/assets/resource/image_native/mini/anime_v2/mini_xxxxxx_l0.plist,1262,1525,293fd5bb3c9399ac742e5773e03db58e,7e443fdc456d56be5407a9bd2aaec903,false
resource/image_native/mini/anime_v2/mini_xxxxxx_l0.png,image,legacy-client/assets/resource/image_native/mini/anime_v2/mini_xxxxxx_l0.png,6367,10135,939ca3425d7d2721d169a163382b61f3,ab1e38c97d40851345323dcb2303d4c0,false
resource/image_native/mini/anime_v2/mini_xxxxxx_m_l.ExportJson,other,legacy-client/assets/resource/image_native/mini/anime_v2/mini_xxxxxx_m_l.ExportJson,4544,4544,c67e2c29649b72e57ed8e95be734eb45,c67e2c29649b72e57ed8e95be734eb45,true
resource/image_native/mini/anime_v2/mini_xxxxxx_m_l0.plist,other,legacy-client/assets/resource/image_native/mini/anime_v2/mini_xxxxxx_m_l0.plist,1261,1524,854df2ef2444d0c6848efd04f8f8a1a3,402a64a847e46938dd8a68c7c3645e98,false
resource/image_native/mini/anime_v2/mini_xxxxxx_m_l0.png,image,legacy-client/assets/resource/image_native/mini/anime_v2/mini_xxxxxx_m_l0.png,993,999,95c1f9138987096076ea69f29d065be1,f4662d7e7c4de27365c13d09e3276151,false
resource/image_native/mini/anime_v2/mini_xxxxxx_m_r.ExportJson,other,legacy-client/assets/resource/image_native/mini/anime_v2/mini_xxxxxx_m_r.ExportJson,4544,4544,85101d4fe952bbffe50c3f13de40109c,85101d4fe952bbffe50c3f13de40109c,true
resource/image_native/mini/anime_v2/mini_xxxxxx_m_r0.plist,other,legacy-client/assets/resource/image_native/mini/anime_v2/mini_xxxxxx_m_r0.plist,1261,1524,653f6be27bc523f8cf6e948d7bcdcb43,c4f12cb320becac7de6f2732337da335,false
resource/image_native/mini/anime_v2/mini_xxxxxx_m_r0.png,image,legacy-client/assets/resource/image_native/mini/anime_v2/mini_xxxxxx_m_r0.png,993,999,95c1f9138987096076ea69f29d065be1,f4662d7e7c4de27365c13d09e3276151,false
resource/image_native/mini/anime_v2/mini_xxxxxx_r.ExportJson,other,legacy-client/assets/resource/image_native/mini/anime_v2/mini_xxxxxx_r.ExportJson,17160,17160,da0411a969af3ca5ed36350c76aab9a9,da0411a969af3ca5ed36350c76aab9a9,true
resource/image_native/mini/anime_v2/mini_xxxxxx_r0.plist,other,legacy-client/assets/resource/image_native/mini/anime_v2/mini_xxxxxx_r0.plist,1262,1525,1a7147f29b8a715ccd549660535f943c,c24a68ac94be53e439de58a90d1a5be5,false
resource/image_native/mini/anime_v2/mini_xxxxxx_r0.png,image,legacy-client/assets/resource/image_native/mini/anime_v2/mini_xxxxxx_r0.png,6367,10135,939ca3425d7d2721d169a163382b61f3,ab1e38c97d40851345323dcb2303d4c0,false
resource/scenario/json/general/xxxx.json,other,legacy-client/assets/resource/scenario/json/general/xxxx.json,14641,9989,644fc5ae7efc880fa83739a2c8bbf48d,d25bd836b1d5156386f324c0d487ba4a,false
