item_id	file	key	field	before	after	source_tier	review_status	evidence
POST-MANUAL-007	magica/js/libs/eventStoryList.json	504901-4,504901-5	pointTitle	Story	故事	new-root-translation	not-yet-human-reviewed	A:\magicaOLD\api\page\StoryCollection_001.json/eventStoryList/storyIds=504901-4,504901-5/pointTitle retains English; careful Chinese completion
POST-MANUAL-008	magica/js/libs/eventStoryList.json	504901-6,504901-7	pointTitle	Story	故事	new-root-translation	not-yet-human-reviewed	A:\magicaOLD\api\page\StoryCollection_001.json/eventStoryList/storyIds=504901-6,504901-7/pointTitle retains English; careful Chinese completion
POST-MANUAL-010	magica/js/libs/eventStoryList.json	504901-8	pointTitle	Story	故事	new-root-translation	not-yet-human-reviewed	A:\magicaOLD\api\page\StoryCollection_001.json/eventStoryList/storyIds=504901-8/pointTitle retains English; careful Chinese completion
POST-MANUAL-009	magica/js/libs/eventStoryList.json	504901-8	storyTitle	Intermission	幕间	new-root-translation	not-yet-human-reviewed	A:\magicaOLD\api\page\StoryCollection_001.json/eventStoryList/storyIds=504901-8/storyTitle retains English; careful Chinese completion
POST-MANUAL-011	magica/js/libs/eventStoryList.json	504901-9,504901-10	pointTitle	Story	故事	new-root-translation	not-yet-human-reviewed	A:\magicaOLD\api\page\StoryCollection_001.json/eventStoryList/storyIds=504901-9,504901-10/pointTitle retains English; careful Chinese completion
POST-MANUAL-026	magica/js/libs/eventStoryList.json	505901-42	storyTitle	EPILOGUE	尾声	new-root-translation	not-yet-human-reviewed	A:\magicaOLD\api\page\StoryCollection_001.json/eventStoryList/storyIds=505901-42/storyTitle retains English; careful Chinese completion
POST-MANUAL-025	magica/js/libs/eventStoryList.json	505901-43	storyTitle	INTERMISSION	幕间	new-root-translation	not-yet-human-reviewed	A:\magicaOLD\api\page\StoryCollection_001.json/eventStoryList/storyIds=505901-43/storyTitle retains English; careful Chinese completion
POST-MANUAL-027	magica/js/libs/eventStoryList.json	506001-67_prYFv	storyTitle	EPILOGUE	尾声	new-root-translation	not-yet-human-reviewed	A:\magicaOLD\api\page\StoryCollection_001.json/eventStoryList/storyIds=506001-67_prYFv/storyTitle retains English; careful Chinese completion
POST-MANUAL-028	magica/js/libs/eventStoryList.json	506882-82_LiUXu	storyTitle	EPILOGUE	尾声	new-root-translation	not-yet-human-reviewed	A:\magicaOLD\api\page\StoryCollection_001.json/eventStoryList/storyIds=506882-82_LiUXu/storyTitle retains English; careful Chinese completion
POST-MANUAL-002	magica/js/libs/eventStoryList.json	510051-42	storyTitle	EPILOGUE	尾声	new-root-translation	not-yet-human-reviewed	A:\magicaOLD\api\page\StoryCollection_001.json/eventStoryList/storyIds=510051-42/storyTitle retains English; careful Chinese completion
POST-MANUAL-001	magica/js/libs/eventStoryList.json	510051-43	storyTitle	INTERMISSION	幕间	new-root-translation	not-yet-human-reviewed	A:\magicaOLD\api\page\StoryCollection_001.json/eventStoryList/storyIds=510051-43/storyTitle retains English; careful Chinese completion
POST-MANUAL-034	magica/js/libs/pieceList.json	1608	pieceName	Disguise	伪装	new-root-translation	not-yet-human-reviewed	D:\magia\MyProducts\magireco-wiki-data\data\memoria.json/number=1608/name_ja=ディスガイズ; name_zh retains English; careful Chinese completion
POST-MANUAL-029	magica/js/libs/sectionList.json	310421	charaName	Kyubert	小丘比	wiki	authority-exact-stable-character	D:\magia\MyProducts\magireco-wiki-data\data\characters.json/charaId=1042/nameZh + magica/js/libs/charaList.json#id=1042
POST-MANUAL-030	magica/js/libs/sectionList.json	310422	charaName	Kyubert	小丘比	wiki	authority-exact-stable-character	D:\magia\MyProducts\magireco-wiki-data\data\characters.json/charaId=1042/nameZh + magica/js/libs/charaList.json#id=1042
POST-MANUAL-031	magica/js/libs/sectionList.json	310423	charaName	Kyubert	小丘比	wiki	authority-exact-stable-character	D:\magia\MyProducts\magireco-wiki-data\data\characters.json/charaId=1042/nameZh + magica/js/libs/charaList.json#id=1042
POST-MANUAL-032	magica/js/libs/sectionList.json	310424	charaName	Kyubert	小丘比	wiki	authority-exact-stable-character	D:\magia\MyProducts\magireco-wiki-data\data\characters.json/charaId=1042/nameZh + magica/js/libs/charaList.json#id=1042
POST-MANUAL-037	magica/js/libs/sectionList.json	310424	title	Kyubert 的试炼	小丘比的试炼	wiki	authority-exact-stable-character	D:\magia\MyProducts\magireco-wiki-data\data\characters.json/charaId=1042/nameZh + same sectionId=310424 context
POST-MANUAL-033	magica/js/libs/sectionList.json	330491	title	Encounter	邂逅	new-root-translation	not-yet-human-reviewed	A:\magicaOLD\api\page\MainQuest_001.json/sectionId=330491/title retains English; careful Chinese completion
