path	slot	category	base	main	pass	current	raw_expected	raw_status	semantic_expected	semantic_status	review_note
magica/js/test/Backdoor.js	24	main_only	OK	确定	OK	确定	确定	PASS	确定	PASS	—
magica/js/test/Backdoor.js	53	main_only	好友点数	友情点	好友点数	友情点	友情点	PASS	友情点	PASS	—
magica/js/test/Backdoor.js	55	main_only	Magia 石（免费）	Magia石（免费）	Magia 石（免费）	Magia石（免费）	Magia石（免费）	PASS	Magia石（免费）	PASS	—
magica/js/test/Backdoor.js	57	main_only	<span class='c_red'>Magia 石头（付费）</span>	<span class='c_red'>Magia石（付费）</span>	<span class='c_red'>Magia 石头（付费）</span>	<span class='c_red'>Magia石（付费）</span>	<span class='c_red'>Magia石（付费）</span>	PASS	<span class='c_red'>Magia石（付费）</span>	PASS	—
magica/js/test/Backdoor.js	67	main_only	每日硬币	每日币	每日硬币	每日币	每日币	PASS	每日币	PASS	—
magica/js/test/Backdoor.js	73	main_only	始发船	原点之器	始发船	原点之器	原点之器	PASS	原点之器	PASS	—
magica/js/test/Backdoor.js	75	main_only	命运水晶	命运结晶	命运水晶	命运结晶	命运结晶	PASS	命运结晶	PASS	—
magica/js/test/Backdoor.js	77	main_only	抽卡票，10张连票套	扭蛋券与十连扭蛋券套装	抽卡票，10张连票套	扭蛋券与十连扭蛋券套装	扭蛋券与十连扭蛋券套装	PASS	扭蛋券与十连扭蛋券套装	PASS	—
magica/js/test/Backdoor.js	79	main_only	赠品序列号 抽卡券	特典兑换扭蛋券	赠品序列号 抽卡券	特典兑换扭蛋券	特典兑换扭蛋券	PASS	特典兑换扭蛋券	PASS	—
magica/js/test/Backdoor.js	81	main_only	章节强化道具	剧情强化道具	章节强化道具	剧情强化道具	剧情强化道具	PASS	剧情强化道具	PASS	—
magica/js/test/Backdoor.js	83	main_only	记忆结晶强化道具各种	各类记忆结晶强化道具	记忆结晶强化道具各种	各类记忆结晶强化道具	各类记忆结晶强化道具	PASS	各类记忆结晶强化道具	PASS	—
magica/js/test/Backdoor.js	85	main_only	回忆的片段	追忆碎片	回忆的片段	追忆碎片	追忆碎片	PASS	追忆碎片	PASS	—
magica/js/test/Backdoor.js	108	main_only	抽卡票，10张连票套	扭蛋券与十连扭蛋券套装	抽卡票，10张连票套	扭蛋券与十连扭蛋券套装	扭蛋券与十连扭蛋券套装	PASS	扭蛋券与十连扭蛋券套装	PASS	—
magica/js/test/Backdoor.js	208	pass_only	受取完了	受取完了	领取完成	领取完成	领取完成	PASS	领取完成	PASS	—
magica/js/test/Backdoor.js	209	main_only	收到一套强化道具	已领取整套强化道具	收到一套强化道具	已领取整套强化道具	已领取整套强化道具	PASS	已领取整套强化道具	PASS	—
magica/js/test/Backdoor.js	211	main_only	卡牌结束	卡牌处理完成	卡牌结束	卡牌处理完成	卡牌处理完成	PASS	卡牌处理完成	PASS	—
magica/js/test/Backdoor.js	212	main_only	记忆结晶 结束	记忆结晶处理完成	记忆结晶 结束	记忆结晶处理完成	记忆结晶处理完成	PASS	记忆结晶处理完成	PASS	—
magica/js/test/Backdoor.js	213	pass_only	受取完了	受取完了	领取完成	领取完成	领取完成	PASS	领取完成	PASS	—
magica/js/test/Backdoor.js	214	main_only	请收到 魔法少女 作为礼物。	请从礼物盒领取魔法少女。	请收到 魔法少女 作为礼物。	请从礼物盒领取魔法少女。	请从礼物盒领取魔法少女。	PASS	请从礼物盒领取魔法少女。	PASS	—
magica/js/test/Backdoor.js	216	main_only	卡牌结束	卡牌处理完成	卡牌结束	卡牌处理完成	卡牌处理完成	PASS	卡牌处理完成	PASS	—
magica/js/test/Backdoor.js	217	pass_only	受取完了	受取完了	领取完成	领取完成	领取完成	PASS	领取完成	PASS	—
magica/js/test/Backdoor.js	218	main_only	请收到 魔法少女 作为礼物。	请从礼物盒领取魔法少女。	请收到 魔法少女 作为礼物。	请从礼物盒领取魔法少女。	请从礼物盒领取魔法少女。	PASS	请从礼物盒领取魔法少女。	PASS	—
magica/js/test/BackdoorList.js	34	dual_change	回复 战斗博物馆重置	重置战斗博物馆回复次数	重置战斗博物馆回复功能	重置战斗博物馆回复次数	重置战斗博物馆回复次数	PASS	重置战斗博物馆回复次数	PASS	—
magica/js/test/BackdoorList.js	35	pass_only	是否要重置战斗博物馆的回复功能？<br>eventId：<input id='inputEventId' class='commonFrame3' readonly='readonly' type='text' maxlength='4' value=''>	是否要重置战斗博物馆的回复功能？<br>eventId：<input id='inputEventId' class='commonFrame3' readonly='readonly' type='text' maxlength='4' value=''>	是否重置战斗博物馆的回复功能？<br>eventId：<input id='inputEventId' class='commonFrame3' readonly='readonly' type='text' maxlength='4' value=''>	是否重置战斗博物馆的回复功能？<br>eventId：<input id='inputEventId' class='commonFrame3' readonly='readonly' type='text' maxlength='4' value=''>	是否重置战斗博物馆的回复功能？<br>eventId：<input id='inputEventId' class='commonFrame3' readonly='readonly' type='text' maxlength='4' value=''>	PASS	是否重置战斗博物馆的回复功能？<br>eventId：<input id='inputEventId' class='commonFrame3' readonly='readonly' type='text' maxlength='4' value=''>	PASS	—
magica/js/test/BackdoorList.js	36	dual_change	回复 战斗博物馆重置	重置战斗博物馆回复次数	重置战斗博物馆回复功能	重置战斗博物馆回复次数	重置战斗博物馆回复次数	PASS	重置战斗博物馆回复次数	PASS	—
magica/js/test/BackdoorList.js	37	pass_only	战斗 博物馆的 回复 功能已重置	战斗 博物馆的 回复 功能已重置	已重置战斗博物馆的回复功能	已重置战斗博物馆的回复功能	已重置战斗博物馆的回复功能	PASS	已重置战斗博物馆的回复功能	PASS	—
magica/js/test/BackdoorList.js	43	pass_only	完了	完了	完成	完成	完成	PASS	完成	PASS	—
magica/js/test/BackdoorList.js	44	pass_only	用户 已在搜索服务器上注册。<br>过一会儿，你就可以搜索了。 （最多 15 分钟）	用户 已在搜索服务器上注册。<br>过一会儿，你就可以搜索了。 （最多 15 分钟）	已在搜索服务器注册用户。<br>稍候即可搜索（最长需15分钟）。	已在搜索服务器注册用户。<br>稍候即可搜索（最长需15分钟）。	已在搜索服务器注册用户。<br>稍候即可搜索（最长需15分钟）。	PASS	已在搜索服务器注册用户。<br>稍候即可搜索（最长需15分钟）。	PASS	—
magica/js/test/BackdoorList.js	48	dual_change	1 份散装 通关	一键通关第一部	第一部一键通关	一键通关第一部	一键通关第一部	PASS	一键通关第一部	PASS	—
magica/js/test/BackdoorList.js	49	pass_only	要执行此操作，甲板 1 必须是单个 Iroha 甲板。<br>有需要。	要执行此操作，甲板 1 必须是单个 Iroha 甲板。<br>有需要。	要执行此操作，队伍１必须<br>设为「仅含环彩羽的单人队伍」。	要执行此操作，队伍１必须<br>设为「仅含环彩羽的单人队伍」。	要执行此操作，队伍１必须<br>设为「仅含环彩羽的单人队伍」。	PASS	要执行此操作，队伍１必须<br>设为「仅含环彩羽的单人队伍」。	PASS	—
magica/js/test/BackdoorList.js	52	main_only	所有目标剧情已更改为通关状态。	已将目标剧情全部设为通关状态。	所有目标剧情已更改为通关状态。	已将目标剧情全部设为通关状态。	已将目标剧情全部设为通关状态。	PASS	已将目标剧情全部设为通关状态。	PASS	—
magica/js/test/BackdoorList.js	56	main_only	第2部分第11章散装通关	一键通关第二部第11章	第2部分第11章散装通关	一键通关第二部第11章	一键通关第二部第11章	PASS	一键通关第二部第11章	PASS	—
magica/js/test/BackdoorList.js	57	pass_only	通关 直至第 2 部分第 11 章。	通关 直至第 2 部分第 11 章。	将第二部至第11章一键通关。	将第二部至第11章一键通关。	将第二部至第11章一键通关。	PASS	将第二部至第11章一键通关。	PASS	—
magica/js/test/BackdoorList.js	60	main_only	第2部分第11章散装通关	一键通关第二部第11章	第2部分第11章散装通关	一键通关第二部第11章	一键通关第二部第11章	PASS	一键通关第二部第11章	PASS	—
magica/js/test/BackdoorList.js	61	main_only	所有目标剧情已更改为通关状态。	已将目标剧情全部设为通关状态。	所有目标剧情已更改为通关状态。	已将目标剧情全部设为通关状态。	已将目标剧情全部设为通关状态。	PASS	已将目标剧情全部设为通关状态。	PASS	—
magica/js/test/BackdoorList.js	77	main_only	OK	确定	OK	确定	确定	PASS	确定	PASS	—
magica/js/test/BackdoorList.js	80	pass_only	已被注册。	已被注册。	已注册。	已注册。	已注册。	PASS	已注册。	PASS	—
magica/js/test/BackdoorList.js	85	pass_only	TU999已注册。	TU999已注册。	已注册TU999。	已注册TU999。	已注册TU999。	PASS	已注册TU999。	PASS	—
magica/js/test/BackdoorList.js	106	main_only	推文	发布推文	推文	发布推文	发布推文	PASS	发布推文	PASS	—
magica/js/test/BackdoorList.js	111	main_only	网址无效	URL不正确	网址无效	URL不正确	URL不正确	PASS	URL不正确	PASS	—
magica/js/test/BackdoorList.js	113	pass_only	 ★试用测试★%0a https://twitter.com/	 ★试用测试★%0a https://twitter.com/	 ★测试推文★%0a https://twitter.com/	 ★测试推文★%0a https://twitter.com/	 ★测试推文★%0a https://twitter.com/	PASS	 ★测试推文★%0a https://twitter.com/	PASS	—
magica/js/test/BackdoorList.js	115	pass_only	/照片/1%0a★试听课★	/照片/1%0a★试听课★	/photo/1%0a★测试推文★	/photo/1%0a★测试推文★	/photo/1%0a★测试推文★	PASS	/photo/1%0a★测试推文★	PASS	—
magica/js/test/BackdoorList.js	157	main_only	LocalStorage 数据已被删除。	已删除localStorage数据。	LocalStorage 数据已被删除。	已删除localStorage数据。	已删除localStorage数据。	PASS	已删除localStorage数据。	PASS	—
magica/js/test/BackdoorList.js	162	main_only	OK	确定	OK	确定	确定	PASS	确定	PASS	—
magica/js/test/BackdoorList.js	164	same_change	突破活动调试模式	踏破活动调试模式	踏破活动调试模式	踏破活动调试模式	踏破活动调试模式	PASS	踏破活动调试模式	PASS	—
magica/js/test/BackdoorList.js	165	pass_only	剧情任务打开调试模式。<br>请重新启动应用程序以将其关闭。	剧情任务打开调试模式。<br>请重新启动应用程序以将其关闭。	已启用剧情关卡调试模式。<br>要关闭此模式，请重新启动应用。	已启用剧情关卡调试模式。<br>要关闭此模式，请重新启动应用。	已启用剧情关卡调试模式。<br>要关闭此模式，请重新启动应用。	PASS	已启用剧情关卡调试模式。<br>要关闭此模式，请重新启动应用。	PASS	—
magica/js/test/BackdoorList.js	168	same_change	突破活动调试模式	踏破活动调试模式	踏破活动调试模式	踏破活动调试模式	踏破活动调试模式	PASS	踏破活动调试模式	PASS	—
magica/js/test/BackdoorList.js	169	pass_only	挑战任务打开调试模式。<br>请重新启动应用程序以将其关闭。	挑战任务打开调试模式。<br>请重新启动应用程序以将其关闭。	已启用挑战关卡调试模式。<br>要关闭此模式，请重新启动应用。	已启用挑战关卡调试模式。<br>要关闭此模式，请重新启动应用。	已启用挑战关卡调试模式。<br>要关闭此模式，请重新启动应用。	PASS	已启用挑战关卡调试模式。<br>要关闭此模式，请重新启动应用。	PASS	—
magica/js/test/BackdoorList.js	177	pass_only	地牢 1	地牢 1	地下城1	地下城1	地下城1	PASS	地下城1	PASS	—
magica/js/test/BackdoorList.js	182	pass_only	地下城 活动 已过时。	地下城 活动 已过时。	当前不在地下城活动开放期间。	当前不在地下城活动开放期间。	当前不在地下城活动开放期间。	PASS	当前不在地下城活动开放期间。	PASS	—
magica/js/test/BackdoorList.js	187	main_only	剧情 播放完毕	剧情播放结束	剧情 播放完毕	剧情播放结束	剧情播放结束	PASS	剧情播放结束	PASS	—
magica/js/test/BackdoorList.js	188	main_only	剧情 结束了。	剧情已结束。	剧情 结束了。	剧情已结束。	剧情已结束。	PASS	剧情已结束。	PASS	—
magica/js/test/BackdoorList.js	190	main_only	无理 战斗 再试一次	重新挑战理违战	无理 战斗 再试一次	重新挑战理违战	重新挑战理违战	PASS	重新挑战理违战	PASS	—
magica/js/test/BackdoorList.js	191	main_only	您现在可以再次尝试非理性的 战斗。	现在可以重新挑战理违战。	您现在可以再次尝试非理性的 战斗。	现在可以重新挑战理违战。	现在可以重新挑战理违战。	PASS	现在可以重新挑战理违战。	PASS	—
magica/js/test/BackdoorList.js	196	main_only	没有锁定状态	没有处于锁定状态的项目	没有锁定状态	没有处于锁定状态的项目	没有处于锁定状态的项目	PASS	没有处于锁定状态的项目	PASS	—
magica/js/test/BackdoorList.js	197	pass_only	锁定的product_id列表<br>	锁定的product_id列表<br>	处于锁定状态的product_id列表<br>	处于锁定状态的product_id列表<br>	处于锁定状态的product_id列表<br>	PASS	处于锁定状态的product_id列表<br>	PASS	—
magica/js/test/BackdoorList.js	200	dual_change	Magia 石材购买状态确认	确认Magia石购买状态	魔法石购买状态	确认魔法石购买状态	确认魔法石购买状态	PASS	确认魔法石购买状态	PASS	—
magica/js/test/BackdoorQuestList.js	15	pass_only	現代神浜編	現代神浜編	现代神滨篇	现代神滨篇	现代神滨篇	PASS	现代神滨篇	PASS	—
magica/js/test/BackdoorQuestList.js	16	pass_only	神滨战神版	神滨战神版	神滨的战神子篇	神滨的战神子篇	神滨的战神子篇	PASS	神滨的战神子篇	PASS	—
magica/js/test/BackdoorQuestList.js	17	pass_only	亚历山大海市蜃楼	亚历山大海市蜃楼	亚历山德里亚的蜃楼篇	亚历山德里亚的蜃楼篇	亚历山德里亚的蜃楼篇	PASS	亚历山德里亚的蜃楼篇	PASS	—
magica/js/test/BackdoorQuestList.js	18	pass_only	维克的瓦尔基里版	维克的瓦尔基里版	维京的女武神篇	维京的女武神篇	维京的女武神篇	PASS	维京的女武神篇	PASS	—
magica/js/test/BackdoorQuestList.js	19	pass_only	藏罗刹版	藏罗刹版	藏地的罗刹女篇	藏地的罗刹女篇	藏地的罗刹女篇	PASS	藏地的罗刹女篇	PASS	—
magica/js/test/BackdoorQuestList.js	20	pass_only	邪马台国的踪迹	邪马台国的踪迹	邪马台国的后嗣篇	邪马台国的后嗣篇	邪马台国的后嗣篇	PASS	邪马台国的后嗣篇	PASS	—
magica/js/test/BackdoorQuestList.js	21	pass_only	罗马和平之情人版	罗马和平之情人版	罗马治世的恋人篇	罗马治世的恋人篇	罗马治世的恋人篇	PASS	罗马治世的恋人篇	PASS	—
magica/js/test/BackdoorQuestList.js	39	pass_only	話 Battle	話 Battle	话 战斗	话 战斗	话 战斗	PASS	话 战斗	PASS	—
magica/js/test/BackdoorQuestList.js	50	main_only	条件设定为任务	这是设有条件的任务	条件设定为任务	这是设有条件的任务	这是设有条件的任务	PASS	这是设有条件的任务	PASS	—
magica/js/test/BackdoorQuestList.js	57	pass_only	” 是 <span class='c_red'>	” 是 <span class='c_red'>	」还差 <span class='c_red'>	」还差 <span class='c_red'>	」还差 <span class='c_red'>	PASS	」还差 <span class='c_red'>	PASS	—
magica/js/test/BackdoorQuestList.js	58	pass_only	缺少	缺少	</span> 个	</span> 个	</span> 个	PASS	</span> 个	PASS	—
magica/js/test/BackdoorQuestList.js	59	main_only	根据需要补充	补足所需数量	根据需要补充	补足所需数量	补足所需数量	PASS	补足所需数量	PASS	—
magica/js/test/MailSendTest.js	7	pass_only	送信完了	送信完了	发送完成	发送完成	发送完成	PASS	发送完成	PASS	—
magica/js/test/MailSendTest.js	8	dual_change	电子邮件地址已发送	邮箱地址已发送	已发送电子邮件地址	已发送邮箱地址	已发送邮箱地址	PASS	已发送邮箱地址	PASS	—
magica/js/test/MailSendTest.js	11	dual_change	请输入您的电子邮件地址	请输入邮箱地址	请输入电子邮件地址	请输入邮箱地址	请输入邮箱地址	PASS	请输入邮箱地址	PASS	—
magica/js/test/MailSendTest.js	17	pass_only	错误留言<br><br>【 	错误留言<br><br>【 	错误信息<br><br>【 	错误信息<br><br>【 	错误信息<br><br>【 	PASS	错误信息<br><br>【 	PASS	—
magica/js/test/MailSendTest.js	20	pass_only	送信完了	送信完了	发送完成	发送完成	发送完成	PASS	发送完成	PASS	—
magica/js/test/MailSendTest.js	21	pass_only	验证码已发送	验证码已发送	已发送验证码	已发送验证码	已发送验证码	PASS	已发送验证码	PASS	—
magica/js/test/MailSendTest.js	24	same_change	请输入您的验证码	请输入验证码	请输入验证码	请输入验证码	请输入验证码	PASS	请输入验证码	PASS	—
magica/js/test/NativeSandBox.js	14	main_only	OK	确定	OK	确定	确定	PASS	确定	PASS	—
magica/js/test/NativeSandBox.js	20	main_only	OK	确定	OK	确定	确定	PASS	确定	PASS	—
magica/js/test/NativeSandBox.js	29	pass_only	请在输入字段中输入 userQuestBattleResultId。	请在输入字段中输入 userQuestBattleResultId。	请在输入框中输入userQuestBattleResultId。	请在输入框中输入userQuestBattleResultId。	请在输入框中输入userQuestBattleResultId。	PASS	请在输入框中输入userQuestBattleResultId。	PASS	—
magica/js/test/NativeSandBox.js	30	main_only	OK	确定	OK	确定	确定	PASS	确定	PASS	—
magica/js/test/SoundTest.js	3	same_change	卡片详情中的自我介绍	卡牌详情中的自我介绍	卡牌详情中的自我介绍	卡牌详情中的自我介绍	卡牌详情中的自我介绍	PASS	卡牌详情中的自我介绍	PASS	—
magica/js/test/SoundTest.js	5	dual_change	获取抽卡时	扭蛋获得时	扭蛋获取时	扭蛋获得时	扭蛋获得时	PASS	扭蛋获得时	PASS	—
magica/js/test/SoundTest.js	7	pass_only	第①节通关	第①节通关	剧情第1话通关时	剧情第1话通关时	剧情第1话通关时	PASS	剧情第1话通关时	PASS	—
magica/js/test/SoundTest.js	9	pass_only	第二节通关	第二节通关	剧情第2话通关时	剧情第2话通关时	剧情第2话通关时	PASS	剧情第2话通关时	PASS	—
magica/js/test/SoundTest.js	11	pass_only	第三节通关	第三节通关	剧情第3话通关时	剧情第3话通关时	剧情第3话通关时	PASS	剧情第3话通关时	PASS	—
magica/js/test/SoundTest.js	13	pass_only	自己紹介演出用①	自己紹介演出用①	自我介绍演出用①	自我介绍演出用①	自我介绍演出用①	PASS	自我介绍演出用①	PASS	—
magica/js/test/SoundTest.js	15	pass_only	自己紹介演出用②	自己紹介演出用②	自我介绍演出用②	自我介绍演出用②	自我介绍演出用②	PASS	自我介绍演出用②	PASS	—
magica/js/test/SoundTest.js	17	pass_only	自己紹介演出用③	自己紹介演出用③	自我介绍演出用③	自我介绍演出用③	自我介绍演出用③	PASS	自我介绍演出用③	PASS	—
magica/js/test/SoundTest.js	19	pass_only	自己紹介演出用④	自己紹介演出用④	自我介绍演出用④	自我介绍演出用④	自我介绍演出用④	PASS	自我介绍演出用④	PASS	—
magica/js/test/SoundTest.js	21	pass_only	自己紹介演出用⑤	自己紹介演出用⑤	自我介绍演出用⑤	自我介绍演出用⑤	自我介绍演出用⑤	PASS	自我介绍演出用⑤	PASS	—
magica/js/test/SoundTest.js	23	pass_only	自己紹介演出用⑥	自己紹介演出用⑥	自我介绍演出用⑥	自我介绍演出用⑥	自我介绍演出用⑥	PASS	自我介绍演出用⑥	PASS	—
magica/js/test/SoundTest.js	25	pass_only	自己紹介演出用⑦	自己紹介演出用⑦	自我介绍演出用⑦	自我介绍演出用⑦	自我介绍演出用⑦	PASS	自我介绍演出用⑦	PASS	—
magica/js/test/SoundTest.js	27	pass_only	强化	强化	强化完成	强化完成	强化完成	PASS	强化完成	PASS	—
magica/js/test/SoundTest.js	29	pass_only	強化MAX	強化MAX	强化（等级已满时）	强化（等级已满时）	强化（等级已满时）	PASS	强化（等级已满时）	PASS	—
magica/js/test/SoundTest.js	31	same_change	章节Lv 上升	剧情等级提升	剧情等级提升	剧情等级提升	剧情等级提升	PASS	剧情等级提升	PASS	—
magica/js/test/SoundTest.js	33	pass_only	魔力解放１回目	魔力解放１回目	魔力解放第1次	魔力解放第1次	魔力解放第1次	PASS	魔力解放第1次	PASS	—
magica/js/test/SoundTest.js	35	pass_only	魔力解放２回目	魔力解放２回目	魔力解放第2次	魔力解放第2次	魔力解放第2次	PASS	魔力解放第2次	PASS	—
magica/js/test/SoundTest.js	37	pass_only	魔力解放３回目	魔力解放３回目	魔力解放第3次	魔力解放第3次	魔力解放第3次	PASS	魔力解放第3次	PASS	—
magica/js/test/SoundTest.js	39	same_change	MagiaLv 上升	Magia等级提升	Magia等级提升	Magia等级提升	Magia等级提升	PASS	Magia等级提升	PASS	—
magica/js/test/SoundTest.js	41	pass_only	觉醒（稀有度上升）②	觉醒（稀有度上升）②	觉醒（稀有度提升）②	觉醒（稀有度提升）②	觉醒（稀有度提升）②	PASS	觉醒（稀有度提升）②	PASS	—
magica/js/test/SoundTest.js	43	pass_only	觉醒（稀有度上升）③	觉醒（稀有度上升）③	觉醒（稀有度提升）③	觉醒（稀有度提升）③	觉醒（稀有度提升）③	PASS	觉醒（稀有度提升）③	PASS	—
magica/js/test/SoundTest.js	45	pass_only	觉醒（稀有度上升）④	觉醒（稀有度上升）④	觉醒（稀有度提升）④	觉醒（稀有度提升）④	觉醒（稀有度提升）④	PASS	觉醒（稀有度提升）④	PASS	—
magica/js/test/SoundTest.js	47	pass_only	觉醒（稀有度上升）⑤	觉醒（稀有度上升）⑤	觉醒（稀有度提升）⑤	觉醒（稀有度提升）⑤	觉醒（稀有度提升）⑤	PASS	觉醒（稀有度提升）⑤	PASS	—
magica/js/test/SoundTest.js	49	pass_only	当天第一时间 登录	当天第一时间 登录	每日首次登录时	每日首次登录时	每日首次登录时	PASS	每日首次登录时	PASS	—
magica/js/test/SoundTest.js	51	pass_only	時間変化①6-9時	時間変化①6-9時	时间变化①（6～9时）	时间变化①（6～9时）	时间变化①（6～9时）	PASS	时间变化①（6～9时）	PASS	—
magica/js/test/SoundTest.js	53	pass_only	時間変化②11-13時	時間変化②11-13時	时间变化②（11～13时）	时间变化②（11～13时）	时间变化②（11～13时）	PASS	时间变化②（11～13时）	PASS	—
magica/js/test/SoundTest.js	55	pass_only	時間変化③17-19時	時間変化③17-19時	时间变化③（17～19时）	时间变化③（17～19时）	时间变化③（17～19时）	PASS	时间变化③（17～19时）	PASS	—
magica/js/test/SoundTest.js	57	pass_only	時間変化④22-24時	時間変化④22-24時	时间变化④（22～24时）	时间变化④（22～24时）	时间变化④（22～24时）	PASS	时间变化④（22～24时）	PASS	—
magica/js/test/SoundTest.js	59	pass_only	時間変化⑤上記以外	時間変化⑤上記以外	时间变化⑤（上述时段以外）	时间变化⑤（上述时段以外）	时间变化⑤（上述时段以外）	PASS	时间变化⑤（上述时段以外）	PASS	—
magica/js/test/SoundTest.js	67	pass_only	点击时的线条（默认①）	点击时的线条（默认①）	点击时台词（默认①）	点击时台词（默认①）	点击时台词（默认①）	PASS	点击时台词（默认①）	PASS	—
magica/js/test/SoundTest.js	69	pass_only	点击时的对话（默认②）	点击时的对话（默认②）	点击时台词（默认②）	点击时台词（默认②）	点击时台词（默认②）	PASS	点击时台词（默认②）	PASS	—
magica/js/test/SoundTest.js	71	pass_only	点击时的线条（默认 ③）	点击时的线条（默认 ③）	点击时台词（默认③）	点击时台词（默认③）	点击时台词（默认③）	PASS	点击时台词（默认③）	PASS	—
magica/js/test/SoundTest.js	73	pass_only	点击时的对话（默认 ④）	点击时的对话（默认 ④）	点击时台词（默认④）	点击时台词（默认④）	点击时台词（默认④）	PASS	点击时台词（默认④）	PASS	—
magica/js/test/SoundTest.js	75	pass_only	点击时的线条 (章节Lv2)	点击时的线条 (章节Lv2)	点击时台词（剧情等级2）	点击时台词（剧情等级2）	点击时台词（剧情等级2）	PASS	点击时台词（剧情等级2）	PASS	—
magica/js/test/SoundTest.js	77	pass_only	点击时的线条 (章节Lv3)	点击时的线条 (章节Lv3)	点击时台词（剧情等级3）	点击时台词（剧情等级3）	点击时台词（剧情等级3）	PASS	点击时台词（剧情等级3）	PASS	—
magica/js/test/SoundTest.js	79	pass_only	点击时的线条 (章节Lv4)	点击时的线条 (章节Lv4)	点击时台词（剧情等级4）	点击时台词（剧情等级4）	点击时台词（剧情等级4）	PASS	点击时台词（剧情等级4）	PASS	—
magica/js/test/SoundTest.js	81	pass_only	点击时的线条 (章节Lv5)	点击时的线条 (章节Lv5)	点击时台词（剧情等级5）	点击时台词（剧情等级5）	点击时台词（剧情等级5）	PASS	点击时台词（剧情等级5）	PASS	—
magica/js/test/SoundTest.js	83	pass_only	点击时的线条（多次点击）	点击时的线条（多次点击）	点击时台词（多次点击）	点击时台词（多次点击）	点击时台词（多次点击）	PASS	点击时台词（多次点击）	PASS	—
magica/js/test/SoundTest.js	85	same_change	以战斗开头	战斗开始时	战斗开始时	战斗开始时	战斗开始时	PASS	战斗开始时	PASS	—
magica/js/test/SoundTest.js	87	pass_only	勝利①（★１、２、３）	勝利①（★１、２、３）	胜利①（★1、2、3）	胜利①（★1、2、3）	胜利①（★1、2、3）	PASS	胜利①（★1、2、3）	PASS	—
magica/js/test/SoundTest.js	89	pass_only	勝利②（★４）	勝利②（★４）	胜利②（★4）	胜利②（★4）	胜利②（★4）	PASS	胜利②（★4）	PASS	—
magica/js/test/SoundTest.js	91	pass_only	勝利③（★５）	勝利③（★５）	胜利③（★5）	胜利③（★5）	胜利③（★5）	PASS	胜利③（★5）	PASS	—
magica/js/test/SoundTest.js	93	pass_only	勝利④（★６）	勝利④（★６）	胜利④（★6）	胜利④（★6）	胜利④（★6）	PASS	胜利④（★6）	PASS	—
magica/js/test/SoundTest.js	95	pass_only	光盘组①	光盘组①	行动盘选择①	行动盘选择①	行动盘选择①	PASS	行动盘选择①	PASS	—
