change_id	file	json_pointer	stable_key	field	before	after	source_tier	evidence	translation_method	manual_review_status	confidence	rules	notes	current_product_cn	pass18_current_status	strict_lookup_method	superseding_closure_id	superseding_source_tier	superseding_review_status	inventory_component	inventory_review_status
P18-00011	magica/js/libs/cardList.json	/230/cardName	21044	cardName	圆·伊吕波	圆·彩羽	official_cn_character_name	official dump authority.json#/charaList.json/1001/name	authority-component-normalization	authority-verified	1.00	official_cn_character_name		圆·彩羽	direct-current-after-image	stable-key				runtime_pass18_outside_pass15	authority-verified
P18-00012	magica/js/libs/cardList.json	/231/cardName	21045	cardName	圆·伊吕波	圆·彩羽	official_cn_character_name	official dump authority.json#/charaList.json/1001/name	authority-component-normalization	authority-verified	1.00	official_cn_character_name		圆·彩羽	direct-current-after-image	stable-key				runtime_pass18_outside_pass15	authority-verified
P18-00013	magica/js/libs/cardList.json	/236/cardName	21074	cardName	小圆前辈·小伊吕波	小圆前辈·小彩羽	official_cn_character_name	official dump authority.json#/charaList.json/1001/name	authority-component-normalization	authority-verified	1.00	official_cn_character_name		小圆前辈·小彩羽	direct-current-after-image	stable-key				runtime_pass18_outside_pass15	authority-verified
P18-00014	magica/js/libs/cardList.json	/237/cardName	21075	cardName	小圆前辈·小伊吕波	小圆前辈·小彩羽	official_cn_character_name	official dump authority.json#/charaList.json/1001/name	authority-component-normalization	authority-verified	1.00	official_cn_character_name		小圆前辈·小彩羽	direct-current-after-image	stable-key				runtime_pass18_outside_pass15	authority-verified
P18-00015	magica/js/libs/cardList.json	/428/cardName	35024	cardName	万年樱之谣	万年樱的传闻	official_cn_character_name	official dump authority.json#/charaList.json/3043/name	authority-component-normalization	authority-verified	1.00	official_cn_character_name		万年樱的传闻	direct-current-after-image	stable-key				runtime_pass18_outside_pass15	authority-verified
P18-00016	magica/js/libs/cardList.json	/429/cardName	35025	cardName	万年樱之谣	万年樱的传闻	official_cn_character_name	official dump authority.json#/charaList.json/3043/name	authority-component-normalization	authority-verified	1.00	official_cn_character_name		万年樱的传闻	direct-current-after-image	stable-key				runtime_pass18_outside_pass15	authority-verified
P18-00017	magica/js/libs/cardMagiaMap.json	/10444/name	10444	name	无望镜-{界}-	无望镜界	wiki	wiki_authority_pairs.tsv character_data_table magia_name for 無望鏡界	authority-adoption	authority-verified	1.00	P0_authority_exact		无望镜界	direct-current-after-image	stable-key				runtime_pass18_outside_pass15	authority-verified
P18-00018	magica/js/libs/cardMagiaMap.json	/26018/shortDescription	26018	shortDescription	对敌方全体属性强化伤害[Ⅹ] & 状态强化解除(敌全) & 火属性耐性DOWN(敌全/3T) & 火属性攻击力UP & 伤害UP & Doppel伤害UP(自/5T)	对敌方全体属性强化伤害[Ⅹ] & 状态强化解除(敌全) & 火属性耐性DOWN(敌全/3T) & 火属性攻击力UP & 伤害UP & 魔女化身伤害UP(自/5T)	official_cn_game_term	official dump authority.json doppelList + skill shortDescription	authority-component-normalization	authority-verified	1.00	official_cn_game_term		对敌方全体属性强化伤害[Ⅹ] & 状态强化解除(敌全) & 火属性耐性下降(敌全/3T) & 火属性攻击力提升 & 伤害提升 & 魔女化身伤害提升(自/5T)	visible-term-closure-exact-supersession	stable-key	DICT-00252	root-reviewed-official-cn-terminology	root-reviewed-approved	runtime_pass18_outside_pass15	authority-verified
P18-00019	magica/js/libs/cardMagiaMap.json	/39028/shortDescription	39028	shortDescription	对敌方全体属性强化伤害[XI] & 暗属性耐性DOWN(敌全/2T) & Buff解除(敌全) & 暗属性攻击力UP & 伤害UP & Doppel伤害UP(自/2T) & Survive(自/1T)	对敌方全体属性强化伤害[XI] & 暗属性耐性DOWN(敌全/2T) & 解除增益(敌全) & 暗属性攻击力UP & 伤害UP & 魔女化身伤害UP(自/2T) & 幸存(自/1T)	official_cn_game_term	official dump authority.json doppelList + skill shortDescription; D:/magia/MyProducts/MAGIA RECORD CN/Full_Raw_Dump_V2/magica/api/page/MyPage_001.json; SHA256 a82601d7cad737bf00a9a2f714d401c81389b825b27d45b492ae6f3bcc8a10db; stable mechanics examples: cardMagia art 200300700=解除增益, cardMagia/cardSkill art 200200800=解除减益, doppelCardMagia id 30208=幸存	authority-component-normalization+official-cn-visible-token-normalization	authority-verified	1.00	official_cn_game_term;official_cn_game_term	reconciled-with-runtime-dictionary-combat-term-round3	对敌方全体属性强化伤害[XI] & 暗属性耐性下降(敌全/2T) & 解除增益(敌全) & 暗属性攻击力提升 & 伤害提升 & 魔女化身伤害提升(自/2T) & 幸存(自/1T)	visible-term-closure-exact-supersession	stable-key	DICT-00362	root-reviewed-official-cn-terminology	root-reviewed-approved	runtime_pass18_outside_pass15	authority-verified
P18-00020	magica/js/libs/charaList.json	/124/description	2602	description	出身于风见野市的魔法少女。出生于提倡新信仰的父亲身边，现在却孤苦伶仃。前往存在着Doppel这一新可能性的神滨市，在那里直面了自己无法逃避的过去。曾经擅长眩惑的魔法。	出身于风见野市的魔法少女。出生于提倡新信仰的父亲身边，现在却孤苦伶仃。前往存在着魔女化身这一新可能性的神滨市，在那里直面了自己无法逃避的过去。曾经擅长眩惑的魔法。	official_cn_game_term	official dump authority.json doppelList + skill shortDescription	authority-component-normalization	authority-verified	1.00	official_cn_game_term		出身于风见野市的魔法少女。出生于提倡新信仰的父亲身边，现在却孤苦伶仃。前往存在着魔女化身这一新可能性的神滨市，在那里直面了自己无法逃避的过去。曾经擅长眩惑的魔法。	direct-current-after-image	stable-key				runtime_pass18_outside_pass15	authority-verified
P18-00021	magica/js/libs/charaList.json	/187/name	3502	name	万年樱之谣	万年樱的传闻	official_cn_character_name	official dump authority.json#/charaList.json/3043/name	authority-component-normalization	authority-verified	1.00	official_cn_character_name		万年樱的传闻	direct-current-after-image	stable-key				runtime_pass18_outside_pass15	authority-verified
P18-00022	magica/js/libs/charaList.json	/56/name	1104	name	谣莎奈	传闻莎奈	official_cn_term_component	official dump authority.json uses 传闻 terminology; Wiki exact variant context	authority-component-normalization	authority-verified	1.00	official_cn_term_component		传闻莎奈	direct-current-after-image	stable-key				runtime_pass18_outside_pass15	authority-verified
P18-00023	magica/js/libs/charaList.json	/85/name	1303	name	谣鹤乃	传闻鹤乃	official_cn_character_name	official dump authority.json official character component	authority-component-normalization	authority-verified	1.00	official_cn_character_name		传闻鹤乃	direct-current-after-image	stable-key				runtime_pass18_outside_pass15	authority-verified
P18-00024	magica/js/libs/charaList.json	/92/description	1701	description	平行宇宙的伊吕波们通过串联连携而合体成的拥有无限大可能性的魔法少女。虽然因存在的不稳定性而产生出各种超越次元之壁的歪曲，但同时也在逐渐解决于各世界引起的麻烦。在合体前和合体后，伊吕波们的人数似乎总是会有几人之差，因此大家决定从下次开始要点名。	平行宇宙的彩羽们通过串联连携而合体成的拥有无限大可能性的魔法少女。虽然因存在的不稳定性而产生出各种超越次元之壁的歪曲，但同时也在逐渐解决于各世界引起的麻烦。在合体前和合体后，彩羽们的人数似乎总是会有几人之差，因此大家决定从下次开始要点名。	official_cn_character_name	official dump authority.json#/charaList.json/1001/name	authority-component-normalization	authority-verified	1.00	official_cn_character_name		平行宇宙的彩羽们通过串联连携而合体成的拥有无限大可能性的魔法少女。虽然因存在的不稳定性而产生出各种超越次元之壁的歪曲，但同时也在逐渐解决于各世界引起的麻烦。在合体前和合体后，彩羽们的人数似乎总是会有几人之差，因此大家决定从下次开始要点名。	direct-current-after-image	stable-key				runtime_pass18_outside_pass15	authority-verified
P18-00025	magica/js/libs/charaMessageList.json	/8263/message	8263	message	"我是约定之血的一员，
铃鹿咲夜。最近刚转学到神滨的学校。
啊，转学的原因不能说，
不过我可没做什么亏心事！
……你是神滨的魔法少女，
对吧？若想和平收场，
最好别和我牵扯太深。"	"我是PROMISED BLOOD的一员，
铃鹿咲夜。最近刚转学到神滨的学校。
啊，转学的原因不能说，
不过我可没做什么亏心事！
……你是神滨的魔法少女，
对吧？若想和平收场，
最好别和我牵扯太深。"	wiki_exact_organization	wiki characters.json#/promised_blood	authority-component-normalization	authority-verified	1.00	wiki_exact_organization		"我是PROMISED BLOOD的一员，
铃鹿咲夜。最近刚转学到神滨的学校。
啊，转学的原因不能说，
不过我可没做什么亏心事！
……你是神滨的魔法少女，
对吧？若想和平收场，
最好别和我牵扯太深。"	direct-current-after-image	json-pointer				runtime_pass18_outside_pass15	authority-verified
P18-00026	magica/js/libs/charaMessageList.json	/9078/message	9078	message	"我明白魔法联盟和约定之血
都有各自信念，所以才会冲突。
但我还是不想放弃通过
对话解决问题的希望。"	"我明白魔法联盟和PROMISED BLOOD
都有各自信念，所以才会冲突。
但我还是不想放弃通过
对话解决问题的希望。"	wiki_exact_organization	wiki characters.json#/promised_blood	authority-component-normalization	authority-verified	1.00	wiki_exact_organization		"我明白魔法联盟和PROMISED BLOOD
都有各自信念，所以才会冲突。
但我还是不想放弃通过
对话解决问题的希望。"	direct-current-after-image	json-pointer				runtime_pass18_outside_pass15	authority-verified
P18-00027	magica/js/libs/doppelCardMagiaMap.json	/26018/shortDescription	26018	shortDescription	对敌方全体属性强化伤害[Ⅹ] & 状态强化解除(敌全) & 火属性耐性DOWN(敌全/3T) & 火属性攻击力UP & 伤害UP & Doppel伤害UP(自/5T)	对敌方全体属性强化伤害[Ⅹ] & 状态强化解除(敌全) & 火属性耐性DOWN(敌全/3T) & 火属性攻击力UP & 伤害UP & 魔女化身伤害UP(自/5T)	official_cn_game_term	official dump authority.json doppelList + skill shortDescription	authority-component-normalization	authority-verified	1.00	official_cn_game_term		对敌方全体属性强化伤害[Ⅹ] & 状态强化解除(敌全) & 火属性耐性下降(敌全/3T) & 火属性攻击力提升 & 伤害提升 & 魔女化身伤害提升(自/5T)	visible-term-closure-exact-supersession	stable-key	DICT-00795	root-reviewed-official-cn-terminology	root-reviewed-approved	runtime_pass18_outside_pass15	authority-verified
P18-00028	magica/js/libs/doppelCardMagiaMap.json	/39028/shortDescription	39028	shortDescription	对敌方全体属性强化伤害[XI] & 暗属性耐性DOWN(敌全/2T) & Buff解除(敌全) & 暗属性攻击力UP & 伤害UP & Doppel伤害UP(自/2T) & Survive(自/1T)	对敌方全体属性强化伤害[XI] & 暗属性耐性DOWN(敌全/2T) & 解除增益(敌全) & 暗属性攻击力UP & 伤害UP & 魔女化身伤害UP(自/2T) & 幸存(自/1T)	official_cn_game_term	official dump authority.json doppelList + skill shortDescription; D:/magia/MyProducts/MAGIA RECORD CN/Full_Raw_Dump_V2/magica/api/page/MyPage_001.json; SHA256 a82601d7cad737bf00a9a2f714d401c81389b825b27d45b492ae6f3bcc8a10db; stable mechanics examples: cardMagia art 200300700=解除增益, cardMagia/cardSkill art 200200800=解除减益, doppelCardMagia id 30208=幸存	authority-component-normalization+official-cn-visible-token-normalization	authority-verified	1.00	official_cn_game_term;official_cn_game_term	reconciled-with-runtime-dictionary-combat-term-round3	对敌方全体属性强化伤害[XI] & 暗属性耐性下降(敌全/2T) & 解除增益(敌全) & 暗属性攻击力提升 & 伤害提升 & 魔女化身伤害提升(自/2T) & 幸存(自/1T)	visible-term-closure-exact-supersession	stable-key	DICT-00835	root-reviewed-official-cn-terminology	root-reviewed-approved	runtime_pass18_outside_pass15	authority-verified
P18-00029	magica/js/libs/doppelList.json	/107/description	210600	description	这份感情的主人，情雀跃地想要在度假胜地享受只有现在才能做的事情。虽然这也影响了Doppel的形象，但由于无法具体地联想到度假胜地，所以形成了特别的水果冰淇淋的形状。被这个Doppel吸收的周围的东西。毫无疑问地沐浴在冰冷的糖浆和水果中，感受到了寒冷。但只要忍耐住，无论怎样的夏天都能讴歌。似乎就得到了救赎。在这样的情况下，感情的主人会梦到吃着美味的水果冰淇淋而入睡。	这份感情的主人，情雀跃地想要在度假胜地享受只有现在才能做的事情。虽然这也影响了魔女化身的形象，但由于无法具体地联想到度假胜地，所以形成了特别的水果冰淇淋的形状。被这个魔女化身吸收的周围的东西。毫无疑问地沐浴在冰冷的糖浆和水果中，感受到了寒冷。但只要忍耐住，无论怎样的夏天都能讴歌。似乎就得到了救赎。在这样的情况下，感情的主人会梦到吃着美味的水果冰淇淋而入睡。	official_cn_game_term	official dump authority.json doppelList + skill shortDescription	authority-component-normalization	authority-verified	1.00	official_cn_game_term		这份感情的主人，情雀跃地想要在度假胜地享受只有现在才能做的事情。虽然这也影响了魔女化身的形象，但由于无法具体地联想到度假胜地，所以形成了特别的水果冰淇淋的形状。被这个魔女化身吸收的周围的东西。毫无疑问地沐浴在冰冷的糖浆和水果中，感受到了寒冷。但只要忍耐住，无论怎样的夏天都能讴歌。似乎就得到了救赎。在这样的情况下，感情的主人会梦到吃着美味的水果冰淇淋而入睡。	direct-current-after-image	stable-key				runtime_pass18_outside_pass15	authority-verified
P18-00030	magica/js/libs/doppelList.json	/111/description	220300	description	这份感情的主人，思念着旧年中放置的失去的光辉。宝船携带的7尊宝物，是在新年的开始时，主人想要分离的感情所产生的残渣，但由于主人后悔的表情，无法读取原来的感情。这个Doppel无法承受主后悔的重量，把宝船一起放出来击溃敌人。新年的日出越刺眼，主人的后悔就越沉重，因此7尊为了不被新年的曙光弄瞎眼睛，都戴着眼镜。	这份感情的主人，思念着旧年中放置的失去的光辉。宝船携带的7尊宝物，是在新年的开始时，主人想要分离的感情所产生的残渣，但由于主人后悔的表情，无法读取原来的感情。这个魔女化身无法承受主后悔的重量，把宝船一起放出来击溃敌人。新年的日出越刺眼，主人的后悔就越沉重，因此7尊为了不被新年的曙光弄瞎眼睛，都戴着眼镜。	official_cn_game_term	official dump authority.json doppelList + skill shortDescription	authority-component-normalization	authority-verified	1.00	official_cn_game_term		这份感情的主人，思念着旧年中放置的失去的光辉。宝船携带的7尊宝物，是在新年的开始时，主人想要分离的感情所产生的残渣，但由于主人后悔的表情，无法读取原来的感情。这个魔女化身无法承受主后悔的重量，把宝船一起放出来击溃敌人。新年的日出越刺眼，主人的后悔就越沉重，因此7尊为了不被新年的曙光弄瞎眼睛，都戴着眼镜。	direct-current-after-image	stable-key				runtime_pass18_outside_pass15	authority-verified
P18-00031	magica/js/libs/doppelList.json	/114/description	240000	description	这份感情的主人，虽然年末依旧为恋心所苦恼，但能穿上自己喜欢的盛装还是非常开心。尽管如此，未曾改变的恋情中产生的不安依然潜藏在心底，静静地苛责着主人。＠那个Doppel同样向往着恋爱，不过在裹上吉祥物之后有了自信，放出被称为招福除灾的光辉，即使道路前方存在障碍，也可以毫不胆怯地正面突击。被这种气势压倒的人，最后会目击太阳和富士山，并被一气扫除吧。	这份感情的主人，虽然年末依旧为恋心所苦恼，但能穿上自己喜欢的盛装还是非常开心。尽管如此，未曾改变的恋情中产生的不安依然潜藏在心底，静静地苛责着主人。＠那个魔女化身同样向往着恋爱，不过在裹上吉祥物之后有了自信，放出被称为招福除灾的光辉，即使道路前方存在障碍，也可以毫不胆怯地正面突击。被这种气势压倒的人，最后会目击太阳和富士山，并被一气扫除吧。	official_cn_game_term	official dump authority.json doppelList + skill shortDescription	authority-component-normalization	authority-verified	1.00	official_cn_game_term		这份感情的主人，虽然年末依旧为恋心所苦恼，但能穿上自己喜欢的盛装还是非常开心。尽管如此，未曾改变的恋情中产生的不安依然潜藏在心底，静静地苛责着主人。＠那个魔女化身同样向往着恋爱，不过在裹上吉祥物之后有了自信，放出被称为招福除灾的光辉，即使道路前方存在障碍，也可以毫不胆怯地正面突击。被这种气势压倒的人，最后会目击太阳和富士山，并被一气扫除吧。	direct-current-after-image	stable-key				runtime_pass18_outside_pass15	authority-verified
P18-00032	magica/js/libs/doppelList.json	/115/description	240100	description	这种感情的主人将目光从“如果不告白的话就传达不到”这一真理中移开，继续等待着名为偶发良机的夏天的大波浪。＠这只Doppel因此闲得很，一解放就奔放地游来游去。＠那个攻击是单纯的动能和势能的结合技，利用加速的夏日热情和不断增长的恋心的压倒性质量粉碎敌人。＠主人释放出自己一时的感情，清爽之后，会再次提醒自己“好机会还没有到来”。	这种感情的主人将目光从“如果不告白的话就传达不到”这一真理中移开，继续等待着名为偶发良机的夏天的大波浪。＠这只魔女化身因此闲得很，一解放就奔放地游来游去。＠那个攻击是单纯的动能和势能的结合技，利用加速的夏日热情和不断增长的恋心的压倒性质量粉碎敌人。＠主人释放出自己一时的感情，清爽之后，会再次提醒自己“好机会还没有到来”。	official_cn_game_term	official dump authority.json doppelList + skill shortDescription	authority-component-normalization	authority-verified	1.00	official_cn_game_term		这种感情的主人将目光从“如果不告白的话就传达不到”这一真理中移开，继续等待着名为偶发良机的夏天的大波浪。＠这只魔女化身因此闲得很，一解放就奔放地游来游去。＠那个攻击是单纯的动能和势能的结合技，利用加速的夏日热情和不断增长的恋心的压倒性质量粉碎敌人。＠主人释放出自己一时的感情，清爽之后，会再次提醒自己“好机会还没有到来”。	direct-current-after-image	stable-key				runtime_pass18_outside_pass15	authority-verified
P18-00033	magica/js/libs/doppelList.json	/118/description	250100	description	这份感情的主人，由于有了一起战斗的伙伴们感到无比欣喜。＠怀着想要成为模范前辈的心情，想要保持和平时一样的冷静，但也许是出于反作用，Doppel无法隐藏热情且带着热带风情的外表。＠Doppel奔放的爆发力和主人冷静的瞄准控制保持了危险的平衡，最终发挥了无与伦比的战斗能力。	这份感情的主人，由于有了一起战斗的伙伴们感到无比欣喜。＠怀着想要成为模范前辈的心情，想要保持和平时一样的冷静，但也许是出于反作用，魔女化身无法隐藏热情且带着热带风情的外表。＠魔女化身奔放的爆发力和主人冷静的瞄准控制保持了危险的平衡，最终发挥了无与伦比的战斗能力。	official_cn_game_term	official dump authority.json doppelList + skill shortDescription	authority-component-normalization	authority-verified	1.00	official_cn_game_term		这份感情的主人，由于有了一起战斗的伙伴们感到无比欣喜。＠怀着想要成为模范前辈的心情，想要保持和平时一样的冷静，但也许是出于反作用，魔女化身无法隐藏热情且带着热带风情的外表。＠魔女化身奔放的爆发力和主人冷静的瞄准控制保持了危险的平衡，最终发挥了无与伦比的战斗能力。	direct-current-after-image	stable-key				runtime_pass18_outside_pass15	authority-verified
P18-00034	magica/js/libs/doppelList.json	/124/description	270000	description	这份感情的主人，总是会弄错执着的对象。＠每次看到巧克力蛋糕都会屈服于那褐色的诱惑，想要一口吞下，但实际上装进胃里的，都是乳白色的鲜奶酪蛋糕。＠这个Doppel有时会违背自身的欲望，故意去吃奶酪蛋糕，但也只有在那种时候，装进胃里的是真正的奶酪蛋糕。	这份感情的主人，总是会弄错执着的对象。＠每次看到巧克力蛋糕都会屈服于那褐色的诱惑，想要一口吞下，但实际上装进胃里的，都是乳白色的鲜奶酪蛋糕。＠这个魔女化身有时会违背自身的欲望，故意去吃奶酪蛋糕，但也只有在那种时候，装进胃里的是真正的奶酪蛋糕。	official_cn_game_term	official dump authority.json doppelList + skill shortDescription	authority-component-normalization	authority-verified	1.00	official_cn_game_term		这份感情的主人，总是会弄错执着的对象。＠每次看到巧克力蛋糕都会屈服于那褐色的诱惑，想要一口吞下，但实际上装进胃里的，都是乳白色的鲜奶酪蛋糕。＠这个魔女化身有时会违背自身的欲望，故意去吃奶酪蛋糕，但也只有在那种时候，装进胃里的是真正的奶酪蛋糕。	direct-current-after-image	stable-key				runtime_pass18_outside_pass15	authority-verified
P18-00035	magica/js/libs/doppelList.json	/125/description	270100	description	这份感情的主人，怀着不想离开的心情，想要在最后创造满夏的回忆。与主人同调的Doppel打算用青春的夏色打扮自己。将包裹自身的碳酸饮料含在口中，无所顾忌地喷出后便使其炸开，无论是体能强劲还是性格跳脱，抑或发型爆炸的各种各样的“炸爆”事物都从中诞生。尽管这副光景受Doppel的影响而四处扩散，可无论何人都只是因碳酸饮料的美味而兴奋，不会使得场面陷入混乱。顺便一提Doppel似乎讨厌那些象征着夏天结束的线香花火。	这份感情的主人，怀着不想离开的心情，想要在最后创造满夏的回忆。与主人同调的魔女化身打算用青春的夏色打扮自己。将包裹自身的碳酸饮料含在口中，无所顾忌地喷出后便使其炸开，无论是体能强劲还是性格跳脱，抑或发型爆炸的各种各样的“炸爆”事物都从中诞生。尽管这副光景受魔女化身的影响而四处扩散，可无论何人都只是因碳酸饮料的美味而兴奋，不会使得场面陷入混乱。顺便一提魔女化身似乎讨厌那些象征着夏天结束的线香花火。	official_cn_game_term	official dump authority.json doppelList + skill shortDescription	authority-component-normalization	authority-verified	1.00	official_cn_game_term		这份感情的主人，怀着不想离开的心情，想要在最后创造满夏的回忆。与主人同调的魔女化身打算用青春的夏色打扮自己。将包裹自身的碳酸饮料含在口中，无所顾忌地喷出后便使其炸开，无论是体能强劲还是性格跳脱，抑或发型爆炸的各种各样的“炸爆”事物都从中诞生。尽管这副光景受魔女化身的影响而四处扩散，可无论何人都只是因碳酸饮料的美味而兴奋，不会使得场面陷入混乱。顺便一提魔女化身似乎讨厌那些象征着夏天结束的线香花火。	direct-current-after-image	stable-key				runtime_pass18_outside_pass15	authority-verified
P18-00036	magica/js/libs/doppelList.json	/126/description	300100	description	这份感情的主人，忌惮着这个拥有与自身完全相反力量的Doppel。能够“拆解”所触对象的Doppel，只要能用微不足道的魔力作出一个小小的缺口，便能发挥令任何事物乃至概念都自其处崩散的恐怖能力。然而，这个Doppel似乎只对毁坏主人的作品抱有兴趣，仅仅热衷于令主人费力缝合的事物全部落为徒劳。同时这个Doppel也拥有与较低的魔力量完全不符的自我增殖能力，在通过压倒性的省能模式保有魔力的另一面，形成了对照般的巨大体型。	这份感情的主人，忌惮着这个拥有与自身完全相反力量的魔女化身。能够“拆解”所触对象的魔女化身，只要能用微不足道的魔力作出一个小小的缺口，便能发挥令任何事物乃至概念都自其处崩散的恐怖能力。然而，这个魔女化身似乎只对毁坏主人的作品抱有兴趣，仅仅热衷于令主人费力缝合的事物全部落为徒劳。同时这个魔女化身也拥有与较低的魔力量完全不符的自我增殖能力，在通过压倒性的省能模式保有魔力的另一面，形成了对照般的巨大体型。	official_cn_game_term	official dump authority.json doppelList + skill shortDescription	authority-component-normalization	authority-verified	1.00	official_cn_game_term		这份感情的主人，忌惮着这个拥有与自身完全相反力量的魔女化身。能够“拆解”所触对象的魔女化身，只要能用微不足道的魔力作出一个小小的缺口，便能发挥令任何事物乃至概念都自其处崩散的恐怖能力。然而，这个魔女化身似乎只对毁坏主人的作品抱有兴趣，仅仅热衷于令主人费力缝合的事物全部落为徒劳。同时这个魔女化身也拥有与较低的魔力量完全不符的自我增殖能力，在通过压倒性的省能模式保有魔力的另一面，形成了对照般的巨大体型。	direct-current-after-image	stable-key				runtime_pass18_outside_pass15	authority-verified
P18-00037	magica/js/libs/doppelList.json	/127/description	300200	description	这份感情的主人认为Doppel是可以展现自己特征的正面存在，还不知道它有着会把支持它的人耗尽的危险。在Doppel本体的周围，漂浮着为了吸引支援与对方战斗到死的亡灵。一旦被这个亡灵附身，就会变成肉壁守护主人直到死亡。	这份感情的主人认为魔女化身是可以展现自己特征的正面存在，还不知道它有着会把支持它的人耗尽的危险。在魔女化身本体的周围，漂浮着为了吸引支援与对方战斗到死的亡灵。一旦被这个亡灵附身，就会变成肉壁守护主人直到死亡。	official_cn_game_term	official dump authority.json doppelList + skill shortDescription	authority-component-normalization	authority-verified	1.00	official_cn_game_term		这份感情的主人认为魔女化身是可以展现自己特征的正面存在，还不知道它有着会把支持它的人耗尽的危险。在魔女化身本体的周围，漂浮着为了吸引支援与对方战斗到死的亡灵。一旦被这个亡灵附身，就会变成肉壁守护主人直到死亡。	direct-current-after-image	stable-key				runtime_pass18_outside_pass15	authority-verified
