unique_id	scope	japanese_or_source_original	current_cn	occurrences	provenance_class	max_risk	authority_statuses	authority_matches	sample_locations	review_status	suggested_cn
MTU-00011	frontend_i18n_input	&nbsp;&nbsp;挑戦中	&nbsp;&nbsp;挑战中	1	legacy_unverified_ai_assisted	medium	no_per_entry_official_or_wiki_pair		i18n/frontend-strings.tsv#07597a251cb6bca821fa96cd/candidate_cn	needs-human-review	needs-review/root-translation-required
MTU-00012	frontend_i18n_input	&nbsp;&nbsp;結果	&nbsp;&nbsp;结果	1	legacy_unverified_ai_assisted	medium	no_per_entry_official_or_wiki_pair		i18n/frontend-strings.tsv#ee24eb87d0d5a0fc1a1fc42a/candidate_cn	needs-human-review	needs-review/root-translation-required
MTU-00013	frontend_i18n_input	&nbsp;です	&nbsp;	1	legacy_unverified_ai_assisted	medium	no_per_entry_official_or_wiki_pair		i18n/frontend-strings.tsv#2b451aab0a1228f3c49902b5/candidate_cn	needs-human-review	needs-review/root-translation-required
MTU-00014	frontend_i18n_input	&nbsp;問	&nbsp;题	1	legacy_unverified_ai_assisted	medium	no_per_entry_official_or_wiki_pair		i18n/frontend-strings.tsv#a37686654fa75f0db1975870/candidate_cn	needs-human-review	needs-review/root-translation-required
MTU-00015	frontend_i18n_input	&nbsp;年&nbsp;&nbsp;		1	current_product_exact_node_absence	none	runtime-absent/not-backlog		i18n/frontend-strings.tsv#global:250558ed3152ec3e23ef/candidate_cn	needs-human-review	
MTU-00016	frontend_i18n_input	&nbsp;月		1	current_product_exact_node_absence	none	runtime-absent/not-backlog		i18n/frontend-strings.tsv#global:cd3b13999120d21b32fa/candidate_cn	needs-human-review	
MTU-00017	frontend_i18n_input	&nbsp;獲得&nbsp;Pt×	&nbsp;获得&nbsp;Pt×	1	legacy_unverified_ai_assisted	medium	no_per_entry_official_or_wiki_pair		i18n/frontend-strings.tsv#346da24b41bb34c00551754f/candidate_cn	needs-human-review	needs-review/root-translation-required
MTU-00018	frontend_i18n_input	(オファー可能：	(可邀请:	1	legacy_unverified_ai_assisted	medium	no_per_entry_official_or_wiki_pair		i18n/frontend-strings.tsv#6d816091a5091dede145e8c0/candidate_cn	needs-human-review	needs-review/root-translation-required
MTU-00019	frontend_i18n_input	(対戦相手の再抽選まであと	(距对手重新抽选还有	1	legacy_unverified_ai_assisted	medium	no_per_entry_official_or_wiki_pair		i18n/frontend-strings.tsv#c8b2f21fec7bcb6577fb4641/candidate_cn	needs-human-review	needs-review/root-translation-required
MTU-00020	frontend_i18n_input	)\\x3c/span\\x3eを選択しています。\\x3cbr\\x3e	)\\x3c/span\\x3e已被选中。\\x3cbr\\x3e	1	legacy_unverified_ai_assisted	medium	no_per_entry_official_or_wiki_pair		i18n/frontend-strings.tsv#89aab257c321b01a597978af/candidate_cn	needs-human-review	needs-review/root-translation-required
MTU-00021	frontend_i18n_input	-/10問	-/10题	1	legacy_unverified_ai_assisted	medium	no_per_entry_official_or_wiki_pair		i18n/frontend-strings.tsv#e7d31a9b9d080d88517c87d1/candidate_cn	needs-human-review	needs-review/root-translation-required
MTU-00022	frontend_i18n_input	-日前	-天前	1	legacy_unverified_ai_assisted	medium	no_per_entry_official_or_wiki_pair		i18n/frontend-strings.tsv#682da1379392dd945c769cdc/candidate_cn	needs-human-review	needs-review/root-translation-required
MTU-00023	frontend_i18n_input	/10問	/10题	1	legacy_unverified_ai_assisted	medium	no_per_entry_official_or_wiki_pair		i18n/frontend-strings.tsv#34467b92cc4ddb5de1d1a1c9/candidate_cn	needs-human-review	needs-review/root-translation-required
MTU-00024	frontend_i18n_input	/20文字	/20字	1	legacy_unverified_ai_assisted	medium	no_per_entry_official_or_wiki_pair		i18n/frontend-strings.tsv#e9531a449149343737e335f8/candidate_cn	needs-human-review	needs-review/root-translation-required
MTU-00025	frontend_i18n_input	/7連勝	/7连胜	1	legacy_unverified_ai_assisted	medium	no_per_entry_official_or_wiki_pair		i18n/frontend-strings.tsv#492c5e0481b7736b8a0dc7a7/candidate_cn	needs-human-review	needs-review/root-translation-required
MTU-00026	frontend_i18n_input	/8文字	/8字	1	legacy_unverified_ai_assisted	medium	no_per_entry_official_or_wiki_pair		i18n/frontend-strings.tsv#b34a5bd9c4631def972d5c80/candidate_cn	needs-human-review	needs-review/root-translation-required
MTU-00027	frontend_i18n_input	15/15問	15/15题	1	legacy_unverified_ai_assisted	medium	no_per_entry_official_or_wiki_pair		i18n/frontend-strings.tsv#427e19ad3a877e32ce7eb004/candidate_cn	needs-human-review	needs-review/root-translation-required
MTU-00028	frontend_i18n_input	15分以内	15 分钟以内	1	legacy_unverified_ai_assisted	medium	no_per_entry_official_or_wiki_pair		i18n/frontend-strings.tsv#89963765125add51c7aaea56/candidate_cn	needs-human-review	needs-review/root-translation-required
MTU-00029	frontend_i18n_input	16〜17歳	16〜17岁	1	legacy_unverified_ai_assisted	medium	no_per_entry_official_or_wiki_pair		i18n/frontend-strings.tsv#1ef88a28a58d3cdceea9cbe8/candidate_cn	needs-human-review	needs-review/root-translation-required
MTU-00030	frontend_i18n_input	1カ月あたりの限度額は15歳以下が5,000	每月限额为15岁以下5,000	1	legacy_unverified_ai_assisted	medium	no_per_entry_official_or_wiki_pair		i18n/frontend-strings.tsv#ead3e95d74aaba3a9042a138/candidate_cn	needs-human-review	needs-review/root-translation-required
MTU-00031	frontend_i18n_input	1位〜10位	第1名〜第10名	1	legacy_unverified_ai_assisted	medium	no_per_entry_official_or_wiki_pair		i18n/frontend-strings.tsv#9f3c002c603566f71cd42bb2/candidate_cn	needs-human-review	needs-review/root-translation-required
MTU-00032	frontend_i18n_input	1体	1个	1	legacy_unverified_ai_assisted	medium	no_per_entry_official_or_wiki_pair		i18n/frontend-strings.tsv#d8ef9996f995c260086fce6a/candidate_cn	needs-human-review	needs-review/root-translation-required
MTU-00033	frontend_i18n_input	1個	1个	1	legacy_unverified_ai_assisted	medium	no_per_entry_official_or_wiki_pair		i18n/frontend-strings.tsv#384d750db9f0946b79c391cc/candidate_cn	needs-human-review	needs-review/root-translation-required
MTU-00034	frontend_i18n_input	1回	1次	1	legacy_unverified_ai_assisted	medium	no_per_entry_official_or_wiki_pair		i18n/frontend-strings.tsv#5ec2662a60fd32f93474c1d7/candidate_cn	needs-human-review	needs-review/root-translation-required
MTU-00035	frontend_i18n_input	1日1回、グループメンバーに	每天1次,可以向小组成员	1	legacy_unverified_ai_assisted	medium	no_per_entry_official_or_wiki_pair		i18n/frontend-strings.tsv#88510b67d297fdbd2ffba2b5/candidate_cn	needs-human-review	needs-review/root-translation-required
MTU-00036	frontend_i18n_input	1日1回「ランクメダル」が獲得できます。	每天可获得1次「段位奖章」。	1	legacy_unverified_ai_assisted	medium	no_per_entry_official_or_wiki_pair		i18n/frontend-strings.tsv#25d9a7024d6c4dcffbba0a89/candidate_cn	needs-human-review	needs-review/root-translation-required
MTU-00037	frontend_i18n_input	1日1回無料10連ノーマルガチャを行います。\\x3cbr\\x3eよろしいですか？\\x3cdiv class\\x3d'gachaAttentionArea commonFrame3'\\x3e本日、\\x3cspan class\\x3d'c_pink'\\x3e残り	进行每日1次免费10连普通扭蛋。\\x3cbr\\x3e确定吗?\\x3cdiv class\\x3d'gachaAttentionArea commonFrame3'\\x3e今天\\x3cspan class\\x3d'c_pink'\\x3e剩余	1	legacy_unverified_ai_assisted	medium	no_per_entry_official_or_wiki_pair		i18n/frontend-strings.tsv#7a37bcdcb031f0c77535fa0c/candidate_cn	needs-human-review	needs-review/root-translation-required
MTU-00038	frontend_i18n_input	1日1回無料10連ノーマルガチャを行います。\\x3cbr\\x3eよろしいですか？\\x3cdiv id\\x3d'saleSettingBtn' class\\x3d'sb_gold_02 TE se_decide'\\x3e自動設定\\x3c/div\\x3e	进行每日1次免费10连普通扭蛋。\\x3cbr\\x3e确定要进行吗？\\x3cdiv id\\x3d'saleSettingBtn' class\\x3d'sb_gold_02 TE se_decide'\\x3e自动设置\\x3c/div\\x3e	1	legacy_unverified_ai_assisted	medium	no_per_entry_official_or_wiki_pair		i18n/frontend-strings.tsv#eb1f05c62bf3f47dba6e87bf/candidate_cn	needs-human-review	needs-review/root-translation-required
MTU-00039	frontend_i18n_input	1枚	1张	1	legacy_unverified_ai_assisted	medium	no_per_entry_official_or_wiki_pair		i18n/frontend-strings.tsv#51a088ed1f5e5181e437460a/candidate_cn	needs-human-review	needs-review/root-translation-required
MTU-00040	frontend_i18n_input	24時間以内	24小时内	1	legacy_unverified_ai_assisted	medium	no_per_entry_official_or_wiki_pair		i18n/frontend-strings.tsv#5cff7c01b817930cf0b8bca6/candidate_cn	needs-human-review	needs-review/root-translation-required
MTU-00041	frontend_i18n_input	2回目以降の投稿には適応されません。	第2次及以后的投稿不适用。	1	legacy_unverified_ai_assisted	medium	no_per_entry_official_or_wiki_pair		i18n/frontend-strings.tsv#f52777bd9c41b1b7e5061a75/candidate_cn	needs-human-review	needs-review/root-translation-required
MTU-00042	frontend_i18n_input	2枚め、3枚めのAcceleディスクほど@マギアゲージが溜まりやすくなります	越是第 2 张、第 3 张 Accele 圆盘@越容易积攒 Magia 槽	1	legacy_unverified_ai_assisted	medium	no_per_entry_official_or_wiki_pair		i18n/frontend-strings.tsv#1f42594ad8695f38c89198ef/candidate_cn	needs-human-review	needs-review/root-translation-required
MTU-00043	frontend_i18n_input	3 が自動売却の対象に選択されています。	3 已被选为自动出售对象。	1	legacy_unverified_ai_assisted	medium	no_per_entry_official_or_wiki_pair		i18n/frontend-strings.tsv#f494826b83d8e9b406f7d0ec/candidate_cn	needs-human-review	needs-review/root-translation-required
MTU-00044	frontend_i18n_input	30秒デバッグメニュー非表示	30秒隐藏调试菜单	1	legacy_unverified_ai_assisted	medium	no_per_entry_official_or_wiki_pair		i18n/frontend-strings.tsv#72a03687d2bb37bf7ebb906b/candidate_cn	needs-human-review	needs-review/root-translation-required
MTU-00045	frontend_i18n_input	3日以内	3天内	1	legacy_unverified_ai_assisted	medium	no_per_entry_official_or_wiki_pair		i18n/frontend-strings.tsv#658d087cc407d0ee2134b74b/candidate_cn	needs-human-review	needs-review/root-translation-required
MTU-00046	frontend_i18n_input	59分59秒99		1	current_product_visible_identity	low	visible-cn-compatible-identity	59分59秒99	i18n/frontend-strings.tsv#global:be8694bf471ae99b2d3f/candidate_cn	needs-human-review	59分59秒99
MTU-00047	frontend_i18n_input	5クエスト毎に現れるボスを撃破することで特別な報酬が入手できます。	击破每5关出现一次的BOSS,即可获得特别报酬。	1	legacy_unverified_ai_assisted	medium	no_per_entry_official_or_wiki_pair		i18n/frontend-strings.tsv#57993c81dcf56791d87361e8/candidate_cn	needs-human-review	needs-review/root-translation-required
MTU-00048	frontend_i18n_input	6時間以内	6小时内	1	legacy_unverified_ai_assisted	medium	no_per_entry_official_or_wiki_pair		i18n/frontend-strings.tsv#f2ae08f3e32320cf98385fce/candidate_cn	needs-human-review	needs-review/root-translation-required
MTU-00049	frontend_i18n_input	</span>のHPは最大です。	</span>的HP已满。	1	legacy_unverified_ai_assisted	medium	no_per_entry_official_or_wiki_pair		i18n/frontend-strings.tsv#68b4ef272929af7b0019346b/candidate_cn	needs-human-review	needs-review/root-translation-required
MTU-00050	frontend_i18n_input	"<br><br><span class=""c_red selectCaution"">※Lv、エピソードLvが最大の魔法少女が選択されています。<br>これ以上EXP、エピソードPtを入手することはできません。</span>"	"<br><br><span class=""c_red selectCaution"">※已选择Lv、篇章Lv最大的魔法少女。<br>无法再获得EXP、篇章Pt。</span>"	1	legacy_unverified_ai_assisted	medium	no_per_entry_official_or_wiki_pair		i18n/frontend-strings.tsv#9cdc3f100b1c58f1cbf0aaa2/candidate_cn	needs-human-review	needs-review/root-translation-required
MTU-00051	frontend_i18n_input	"<br><br><span class=""c_red selectCaution"">※Lvが最大の魔法少女が選択されています。<br>これ以上EXPを入手することはできません。</span>"	"<br><br><span class=""c_red selectCaution"">※已选择Lv最大的魔法少女。<br>无法再获得EXP。</span>"	1	legacy_unverified_ai_assisted	medium	no_per_entry_official_or_wiki_pair		i18n/frontend-strings.tsv#6535cb0e480648b44e03ee1e/candidate_cn	needs-human-review	needs-review/root-translation-required
MTU-00052	frontend_i18n_input	"<br><br><span class=""c_red selectCaution"">※エピソードLvが最大の魔法少女が選択されています。<br>これ以上エピソードPtを入手することはできません。</span>"	"<br><br><span class=""c_red selectCaution"">※已选择篇章Lv最大的魔法少女。<br>无法再获得篇章Pt。</span>"	1	legacy_unverified_ai_assisted	medium	no_per_entry_official_or_wiki_pair		i18n/frontend-strings.tsv#42275c4bb803269b1e1a290e/candidate_cn	needs-human-review	needs-review/root-translation-required
MTU-00053	frontend_i18n_input	<br><br>本日の回復	<br><br>今日回复	1	legacy_unverified_ai_assisted	medium	no_per_entry_official_or_wiki_pair		i18n/frontend-strings.tsv#42afff3215c6cabff7480c4d/candidate_cn	needs-human-review	needs-review/root-translation-required
MTU-00054	frontend_i18n_input	<div id='totalMissionValidityMask' class='c_pink'>全体撃破報酬は自分で発見したボスを<br>【	<div id='totalMissionValidityMask' class='c_pink'>全体击破报酬需击破自己发现的BOSS<br>【	1	legacy_unverified_ai_assisted	medium	no_per_entry_official_or_wiki_pair		i18n/frontend-strings.tsv#54416c14a0aa98ba7eb8cb92/candidate_cn	needs-human-review	needs-review/root-translation-required
MTU-00055	frontend_i18n_input	"<li class=""nomatch""><div class=""textSec"">残り対戦回数がありません。<br>対戦回数は毎日16:00にリセットされるほか<br>マギアストーンやランクマッチバトルチケットを<br>使用することで回復できます。<br></div></li>"	"<li class=""nomatch""><div class=""textSec"">没有剩余的对战次数。<br>对战次数除每天16:00重置外,<br>也可以使用魔法石或排位赛对战券<br>进行回复。<br></div></li>"	1	legacy_unverified_ai_assisted	medium	no_per_entry_official_or_wiki_pair		i18n/frontend-strings.tsv#a8e652a5057aa518e885ed3b/candidate_cn	needs-human-review	needs-review/root-translation-required
MTU-00056	frontend_i18n_input	"<li class=""nomatch"">現在対戦可能な相手がいません。<br>しばらくしてから再度来場ください。</li>"	"<li class=""nomatch"">现在没有可以对战的对手。<br>请稍后再来。</li>"	1	legacy_unverified_ai_assisted	medium	no_per_entry_official_or_wiki_pair		i18n/frontend-strings.tsv#5bf01bca6dca405dccfa30ad/candidate_cn	needs-human-review	needs-review/root-translation-required
MTU-00057	frontend_i18n_input	"<option value=""0"">▼ コメントを選ぶ</option>"	"<option value=""0"">▼ 选择留言</option>"	1	legacy_unverified_ai_assisted	medium	no_per_entry_official_or_wiki_pair		i18n/frontend-strings.tsv#21d142fb7c1fb89b5afe6526/candidate_cn	needs-human-review	needs-review/root-translation-required
MTU-00058	frontend_i18n_input	"<p class=""noMission ts_white"">全てのミッションをクリアしました</p>"	"<p class=""noMission ts_white"">已完成全部任务</p>"	1	legacy_unverified_ai_assisted	medium	no_per_entry_official_or_wiki_pair		i18n/frontend-strings.tsv#01d2b52d9db27d1f1fcc1904/candidate_cn	needs-human-review	needs-review/root-translation-required
MTU-00059	frontend_i18n_input	"<p class=""noMission ts_white"">挑戦できるミッションがありません</p>"	"<p class=""noMission ts_white"">没有可以挑战的任务</p>"	1	legacy_unverified_ai_assisted	medium	no_per_entry_official_or_wiki_pair		i18n/frontend-strings.tsv#7ae741a9d50aeddf63a46b30/candidate_cn	needs-human-review	needs-review/root-translation-required
MTU-00060	frontend_i18n_input	"<p class=""nomatch commonFrame4"">現在対戦可能な相手がいません<br>しばらくしてから再度来場ください</p>"	"<p class=""nomatch commonFrame4"">现在没有可以对战的对手<br>请稍后再来</p>"	1	legacy_unverified_ai_assisted	medium	no_per_entry_official_or_wiki_pair		i18n/frontend-strings.tsv#ee58e1427ca363212f9ba29f/candidate_cn	needs-human-review	needs-review/root-translation-required
MTU-00061	frontend_i18n_input	"<span class=""b_screen""></span>回復する"	"<span class=""b_screen""></span>回复"	1	legacy_unverified_ai_assisted	medium	no_per_entry_official_or_wiki_pair		i18n/frontend-strings.tsv#3d3ba93272952ca2d9e6e6a6/candidate_cn	needs-human-review	needs-review/root-translation-required
MTU-00062	frontend_i18n_input	<span>または</span>	<span>或</span>	1	legacy_unverified_ai_assisted	low	explicit-higher-authority-selected	<span>或者</span>	i18n/frontend-strings.tsv#fcaed7bfa9a5637f25393969/candidate_cn	needs-human-review	<span>或者</span>
MTU-00063	frontend_i18n_input	APが不足しています	AP 不足	1	legacy_unverified_ai_assisted	medium	no_per_entry_official_or_wiki_pair		i18n/frontend-strings.tsv#351d7b492b29a20bb35cac07/candidate_cn	needs-human-review	needs-review/root-translation-required
MTU-00064	frontend_i18n_input	APはこれ以上回復できません。\\x3cbr\\x3eクエストをプレイしてAPを消費することで\\x3cbr\\x3e再度回復が可能になります。	AP无法继续回复。\\x3cbr\\x3e游玩关卡消耗AP后\\x3cbr\\x3e才能再次回复。	1	legacy_unverified_ai_assisted	medium	no_per_entry_official_or_wiki_pair		i18n/frontend-strings.tsv#5cb9f5dfc9619395f961d7bb/candidate_cn	needs-human-review	needs-review/root-translation-required
MTU-00065	frontend_i18n_input	AP回復	AP回复	1	legacy_unverified_ai_assisted	medium	no_per_entry_official_or_wiki_pair		i18n/frontend-strings.tsv#a5d49fb6284abbca2f2d7544/candidate_cn	needs-human-review	needs-review/root-translation-required
MTU-00066	frontend_i18n_input	AP回復薬50	AP回复药50	1	legacy_unverified_ai_assisted	medium	no_per_entry_official_or_wiki_pair		i18n/frontend-strings.tsv#24d3c9a358e381a69e8d6ad0/candidate_cn	needs-human-review	needs-review/root-translation-required
MTU-00067	frontend_i18n_input	AP回復薬MAX	AP回复药MAX	1	legacy_unverified_ai_assisted	medium	no_per_entry_official_or_wiki_pair		i18n/frontend-strings.tsv#862d7859ff296e9b944fb425/candidate_cn	needs-human-review	needs-review/root-translation-required
MTU-00068	frontend_i18n_input	ATK最大能力値アップ	ATK最大能力值提升	1	legacy_unverified_ai_assisted	medium	no_per_entry_official_or_wiki_pair		i18n/frontend-strings.tsv#6128f431667d1a09511d73b4/candidate_cn	needs-human-review	needs-review/root-translation-required
MTU-00069	frontend_i18n_input	ATK順	按 ATK	1	legacy_unverified_ai_assisted	medium	no_per_entry_official_or_wiki_pair		i18n/frontend-strings.tsv#93924012658ef85ca421a858/candidate_cn	needs-human-review	needs-review/root-translation-required
MTU-00070	frontend_i18n_input	Accele Comboを決めると@チーム全員のマギアゲージが増加します	达成 Accele Combo 后@全队的 Magia 槽都会增加	1	legacy_unverified_ai_assisted	medium	no_per_entry_official_or_wiki_pair		i18n/frontend-strings.tsv#be4ec9be6c93bc5432b932bd/candidate_cn	needs-human-review	needs-review/root-translation-required
MTU-00071	frontend_i18n_input	Acceleディスク	Accele 圆盘	1	legacy_unverified_ai_assisted	medium	no_per_entry_official_or_wiki_pair		i18n/frontend-strings.tsv#a74c5ee23deeed8fb9f59dc1/candidate_cn	needs-human-review	needs-review/root-translation-required
MTU-00072	frontend_i18n_input	Accele性能アップ	Accele性能提升	1	legacy_unverified_ai_assisted	low	explicit-higher-authority-selected	Accele性能提升	i18n/frontend-strings.tsv#fa6590705b839013176cc644/candidate_cn	needs-human-review	Accele性能提升
MTU-00073	frontend_i18n_input	BATTLE ◆ 上級	BATTLE ◆ 上级	1	legacy_unverified_ai_assisted	low	explicit-higher-authority-selected	BATTLE ◆ 上级	i18n/frontend-strings.tsv#f18063279136dbd0f21487a8/candidate_cn	needs-human-review	BATTLE ◆ 上级
MTU-00074	frontend_i18n_input	BATTLE ◆ 中級	BATTLE ◆ 中级	1	legacy_unverified_ai_assisted	medium	no_per_entry_official_or_wiki_pair		i18n/frontend-strings.tsv#0680accee9167a9f1b2f36a5/candidate_cn	needs-human-review	needs-review/root-translation-required
MTU-00075	frontend_i18n_input	BATTLE ◆ 初級	BATTLE ◆ 初级	1	legacy_unverified_ai_assisted	medium	no_per_entry_official_or_wiki_pair		i18n/frontend-strings.tsv#9699807525a20648188a1b6b/candidate_cn	needs-human-review	needs-review/root-translation-required
MTU-00076	frontend_i18n_input	BATTLE ◆ 超級	BATTLE ◆ 超级	1	legacy_unverified_ai_assisted	medium	no_per_entry_official_or_wiki_pair		i18n/frontend-strings.tsv#da151b1b3253c082bf5e1590/candidate_cn	needs-human-review	needs-review/root-translation-required
MTU-00077	frontend_i18n_input	BATTLE◆上級	BATTLE◆上级	1	legacy_unverified_ai_assisted	medium	no_per_entry_official_or_wiki_pair		i18n/frontend-strings.tsv#8a8a75799b905d933285b51d/candidate_cn	needs-human-review	needs-review/root-translation-required
MTU-00078	frontend_i18n_input	BATTLE◆中級	BATTLE◆中级	1	legacy_unverified_ai_assisted	medium	no_per_entry_official_or_wiki_pair		i18n/frontend-strings.tsv#2285eae8eee3657856abd49c/candidate_cn	needs-human-review	needs-review/root-translation-required
MTU-00079	frontend_i18n_input	BATTLE◆初級	BATTLE◆初级	1	legacy_unverified_ai_assisted	medium	no_per_entry_official_or_wiki_pair		i18n/frontend-strings.tsv#74d7dc695f42265a3e53a091/candidate_cn	needs-human-review	needs-review/root-translation-required
MTU-00080	frontend_i18n_input	BPが不足しています。	BP 不足。	1	legacy_unverified_ai_assisted	medium	no_per_entry_official_or_wiki_pair		i18n/frontend-strings.tsv#25bb316abe3f569bddb468b8/candidate_cn	needs-human-review	needs-review/root-translation-required
MTU-00081	frontend_i18n_input	BPが足りません	BP不足	1	legacy_unverified_ai_assisted	medium	no_per_entry_official_or_wiki_pair		i18n/frontend-strings.tsv#57895a205a0418489b5fb03f/candidate_cn	needs-human-review	needs-review/root-translation-required
MTU-00082	frontend_i18n_input	BPを1消費して対戦相手を変更しますか？<br>(対戦相手の再抽選まであと	要消耗1BP更换对战对手吗?<br>(距对手重新抽选还有	1	legacy_unverified_ai_assisted	medium	no_per_entry_official_or_wiki_pair		i18n/frontend-strings.tsv#a7b18085c7e5c2376d92307d/candidate_cn	needs-human-review	needs-review/root-translation-required
MTU-00083	frontend_i18n_input	BPを1消費して対戦相手を変更しますか？\\x3cbr\\x3e(対戦相手の再抽選まであと	要消耗1BP更换对战对手吗?\\x3cbr\\x3e(距对手重新抽选还有	1	legacy_unverified_ai_assisted	medium	no_per_entry_official_or_wiki_pair		i18n/frontend-strings.tsv#4202e59ea6f76ce0e773e872/candidate_cn	needs-human-review	needs-review/root-translation-required
