file	stable_key	field	japanese_original	pass15_cn	current_cn	authority_tier	authority_source	resolution
charaMessageList.json	3021|30	message	"さーて、活動、活動…。あ、もちろん、魔女
退治のことだよ！それ以外の意味なんてあ
るわけないし！んじゃ、パトロールにしゅ
っぱーつ！"	好，该活动了……。\n啊，当然是指讨伐魔女！\n怎么可能还有别的意思！\n那么，出发巡逻！	"好，该活动了……。
啊，当然是指讨伐魔女！
怎么可能还有别的意思！
那么，出发巡逻！"			linebreak_serialization_normalized
charaMessageList.json	3021|31	message	"「果てなしのミラーズ」で私のコピーに会っ
たら、一度はスピード勝負してみたいな。
「最大の敵は自分」って言うしね！"	如果在无尽镜层遇见我的复制体，\n我想至少比一次速度。\n不是常说“最大的敌人是自己”吗！	"如果在无尽镜层遇见我的复制体，
我想至少比一次速度。
不是常说“最大的敌人是自己”吗！"			linebreak_serialization_normalized
charaMessageList.json	3021|32	message	"何度やっても、チーム戦は緊張するね。私の
ヘマでみんなをピンチに巻き込むわけには
いかないし。…ふぅ、気を引き締めていこ
う！"	无论经历多少次，\n团队战还是会紧张。\n不能因为我的失误让大家陷入危机。\n……呼，打起精神上吧！	"无论经历多少次，
团队战还是会紧张。
不能因为我的失误让大家陷入危机。
……呼，打起精神上吧！"			linebreak_serialization_normalized
charaMessageList.json	3021|33	message	"大丈夫、やればできる！今は不安でも、自信
なんてあとからついてくる！いけるいける
！頑張れ頑張れ！ゴールはもうすぐそこだ
ー！"	没问题，只要做就一定能做到！\n就算现在不安，\n自信之后自然会跟上！没问题没问题！\n加油加油！终点就在前方！	"没问题，只要做就一定能做到！
就算现在不安，
自信之后自然会跟上！没问题没问题！
加油加油！终点就在前方！"			linebreak_serialization_normalized
charaMessageList.json	3021|34	message	"そろそろ引っ越しバイトに応募しようと思っ
てるんだよね！家族には転校したいってワ
ガママ聞いてもらったし、少しでも恩を返
さなきゃ！"	我正打算去应聘搬家兼职！\n家里已经迁就我转学\n的任性要求了，\n我也得尽量报答他们！	"我正打算去应聘搬家兼职！
家里已经迁就我转学
的任性要求了，
我也得尽量报答他们！"			linebreak_serialization_normalized
charaMessageList.json	3021|35	message	"はぁ…大丈夫かなぁ…実家のスニーカーコレ
クション。いや、そりゃあ心配だよ！私が
目を離すと、お母さんが勝手に履こうとす
るしさ！"	唉……不知道家里的球\n鞋收藏还好吗。\n那当然会担心啊！只要我没盯着，\n妈妈就会擅自拿来穿！	"唉……不知道家里的球
鞋收藏还好吗。
那当然会担心啊！只要我没盯着，
妈妈就会擅自拿来穿！"			linebreak_serialization_normalized
charaMessageList.json	3021|36	message	"ぬ、ぐぅぅ…食べたいぃっ…イヤ！我慢我慢
…！ラーメンは太る…ラーメンは筋肉にな
らない…けどラーメンはウマい…あぁ！食
べたいッ！"	呜、唔……好想吃……不行，\n要忍住！拉面会长胖……\n拉面不能变成肌肉……\n但拉面真的很好吃……啊！好想吃！	"呜、唔……好想吃……不行，
要忍住！拉面会长胖……
拉面不能变成肌肉……
但拉面真的很好吃……啊！好想吃！"			linebreak_serialization_normalized
charaMessageList.json	3021|37	message	"ああ、もう！なんでこうも、「臨機応変」と
か「柔軟」って言葉が似合わないかなー！
らんかみたいにうまくやりたいのに…"	真是的！为什么“随机应变”“灵活”\n这些词就这么不适合我啊！\n我明明也想像兰华一样处理得游刃有余……	"真是的！为什么“随机应变”“灵活”
这些词就这么不适合我啊！
我明明也想像兰华一样处理得游刃有余……"			linebreak_serialization_normalized
charaMessageList.json	3021|38	message	"あー…やれやれ…。次女は人使いが荒いなー
。まぁ、頼まれ事の難易度が高いほど、私
も燃えてくるんだけどさ！"	唉……真拿她没办法。\n二姐使唤人也太不客气了。\n不过委托越困难，我反而越有干劲！	"唉……真拿她没办法。
二姐使唤人也太不客气了。
不过委托越困难，我反而越有干劲！"			linebreak_serialization_normalized
charaMessageList.json	3021|39	message	"たまに…怖い夢を見るんだ。昔の友だちが、
追いかけて来る夢…。私が…、…いや、何
でもないよ…何でもない…"	有时……我会做很可怕的梦。\n梦见从前的朋友追着我……是我…\n…不，没什么……真的没什么……	"有时……我会做很可怕的梦。
梦见从前的朋友追着我……是我…
…不，没什么……真的没什么……"			linebreak_serialization_normalized
charaMessageList.json	3021|40	message	"れ、恋愛なんて私全然わからないよ！昔好き
な人は居たけど「好き！」って告白したら
速攻断られて玉砕したっていうかああもう
何言ってんの私!?"	恋、恋爱什么的我完全不懂！\n以前倒是有喜欢的人，\n可我一告白就立刻被拒绝，\n惨败而归——啊啊，我到底在说什么！？	"恋、恋爱什么的我完全不懂！
以前倒是有喜欢的人，
可我一告白就立刻被拒绝，
惨败而归——啊啊，我到底在说什么！？"			linebreak_serialization_normalized
charaMessageList.json	3021|41	message	"…998、999、1000！はぁぁ、終わ
ったー…！筋トレのこの達成感が好きなん
だよね～！さーて、腹筋さんは～…うん、
見事な仕上がりだよ！"	……998、999、1000！\n呼——结束了！\n我就是喜欢练完后的成就感！那么，\n腹肌怎么样……嗯，练得真漂亮！	"……998、999、1000！
呼——结束了！
我就是喜欢练完后的成就感！那么，
腹肌怎么样……嗯，练得真漂亮！"			linebreak_serialization_normalized
charaMessageList.json	3021|77	message	"マギア・レコード　魔法少女まどか☆マギカ
外伝"	魔法纪录　魔\n法少女小圆外传	"魔法纪录　魔
法少女小圆外传"			linebreak_serialization_normalized
charaMessageList.json	3056|1	message	"僕の名は水樹塁。数千年前の異世界大戦を勝
利に導いた伝説の覇王の生まれ変わりなん
だ。おっと、僕は“奴ら”から呪いを受け
ている。だから僕に触るのはやめるんだ。
君の存在を「なかった」ことにされたくな
ければね。“奴ら”、この世界でも元気に
してるようだね"	我的名字是水树垒，\n是数千年前引领异世界大战走向\n胜利的传说霸王转世。等等，\n我受到“那些家伙”的诅咒，\n所以不要碰我。除非你想让自己的\n存在变成“从未存在过”。\n看来“那些家伙”在这个世界也活跃得很。	"我的名字是水树垒，
是数千年前引领异世界大战走向
胜利的传说霸王转世。等等，
我受到“那些家伙”的诅咒，
所以不要碰我。除非你想让自己的
存在变成“从未存在过”。
看来“那些家伙”在这个世界也活跃得很。"			linebreak_serialization_normalized
charaMessageList.json	3056|2	message	"僕は水樹塁。またの名をフォートレス・ザ・
ウィザード。深淵の多次元世界より舞い降
りし混沌の覇王…。フフ、完ぺ…わぁ!?
い、いたの…？"	我是水树垒，别名 Fortress\n the Wizard——自深渊多\n维世界降临的混沌霸王……呵呵，完美…\n…哇！？你、你什么时候来的……？	"我是水树垒，别名 Fortress
 the Wizard——自深渊多
维世界降临的混沌霸王……呵呵，完美…
…哇！？你、你什么时候来的……？"			linebreak_serialization_normalized
charaMessageList.json	3056|14	message	"パーフェクト・フォートレス・ザ・ウィザー
ドだ！"	我就是 Perfect Fort\nress the Wizard！	"我就是 Perfect Fort
ress the Wizard！"			linebreak_serialization_normalized
charaMessageList.json	3056|16	message	"好きなゲームはね…同人ゲームの…「終約聖
書」シリーズだよ…。どこがいいのかって
プレゼンは苦手だけど…とにかく真九位院
先生は神！"	我喜欢的游戏……\n是同人游戏《终约圣书》系列。\n要我介绍它哪里好，我不太擅长…\n…总之真九位院老师就是神！	"我喜欢的游戏……
是同人游戏《终约圣书》系列。
要我介绍它哪里好，我不太擅长…
…总之真九位院老师就是神！"			linebreak_serialization_normalized
