review_index	original_text	final_cn	expected_occurrences	classification	risk	source_tier	source_path	translation_note
11	1900日纪念特別套装。详情可点击图标查看。	1900日纪念特别套装。详情可点击图标查看。	1	A	low	1_official_cn_dump_component	A:\magireco_cn_dump_20221010_decrypted_json\authority\authority.json#/shopItemList.json/8625/description	官方国服商店说明采用“特别套装”；仅统一该词形
12	2000日纪念特別套装。详情可点击图标查看。	2000日纪念特别套装。详情可点击图标查看。	1	A	low	1_official_cn_dump_component	A:\magireco_cn_dump_20221010_decrypted_json\authority\authority.json#/shopItemList.json/8625/description	官方国服商店说明采用“特别套装”；仅统一该词形
13	2100日纪念特別套装。详情可点击图标查看。	2100日纪念特别套装。详情可点击图标查看。	1	A	low	1_official_cn_dump_component	A:\magireco_cn_dump_20221010_decrypted_json\authority\authority.json#/shopItemList.json/8625/description	官方国服商店说明采用“特别套装”；仅统一该词形
14	2300日纪念特別套装。详情可点击图标查看。	2300日纪念特别套装。详情可点击图标查看。	1	A	low	1_official_cn_dump_component	A:\magireco_cn_dump_20221010_decrypted_json\authority\authority.json#/shopItemList.json/8625/description	官方国服商店说明采用“特别套装”；仅统一该词形
15	2400日纪念特別套装。详情可点击图标查看。	2400日纪念特别套装。详情可点击图标查看。	1	A	low	1_official_cn_dump_component	A:\magireco_cn_dump_20221010_decrypted_json\authority\authority.json#/shopItemList.json/8625/description	官方国服商店说明采用“特别套装”；仅统一该词形
16	3世紀日本 邪馬台国	3世纪日本 邪马台国	1	A	medium	2_wiki_component	C:\Users\proje\Documents\Codex\2026-08-06\https-github-com-hiiraginemu-magireco-wiki-3\work\wiki_authority\wiki-data\data\memoria.json;C:\Users\proje\Documents\Codex\2026-08-06\https-github-com-hiiraginemu-magireco-wiki-3\work\wiki_authority\wiki-data\data\pages_index.json#/究極vs至高/desc_ja;/究極vs至高/desc_zh;/96/title	Wiki分别确认“世紀→世纪”和“邪馬台国→邪马台国”
17	3周年DX福袋(銀)	3周年DX福袋（银）	1	A	low	2_wiki_component	C:\Users\proje\Documents\Codex\2026-08-06\https-github-com-hiiraginemu-magireco-wiki-3\work\wiki_authority\wiki-data\data\memoria.json#/銀の魔女の手下/name_ja;/銀の魔女の手下/name_zh	Wiki日中字段明确确认名称组件“銀→银”；其余商品名结构保持原样
18	"3周年DX福袋(銅)	"	3周年DX福袋（铜）	1	A	medium	3_manual_verified	人工逐项字形、语义与同族字段核对	保留 ID、数字、范围、回合、等级和字段结构
19	"4周年DX福袋(銅)	"	4周年DX福袋（铜）	1	A	medium	3_manual_verified	人工逐项字形、语义与同族字段核对	保留 ID、数字、范围、回合、等级和字段结构
20	"5周年DX福袋(銅)	"	5周年DX福袋（铜）	1	A	medium	3_manual_verified	人工逐项字形、语义与同族字段核对	保留 ID、数字、范围、回合、等级和字段结构
21	"6周年DX福袋(銅)	"	6周年DX福袋（铜）	1	A	medium	3_manual_verified	人工逐项字形、语义与同族字段核对	保留 ID、数字、范围、回合、等级和字段结构
22	AP回复药内含特別套装。详情可点击图标查看。	AP回复药内含特别套装。详情可点击图标查看。	1	A	low	1_official_cn_dump_component	A:\magireco_cn_dump_20221010_decrypted_json\authority\authority.json#/shopItemList.json/8625/description	官方国服商店说明采用“特别套装”；仅统一该词形
23	HP自动回复[Ⅱ] & 防御力上昇[Ⅰ]	自动回复HP[Ⅱ] & 防御力UP[Ⅰ]	1	B	medium	2_wiki_component	C:\Users\proje\Documents\Codex\2026-08-06\https-github-com-hiiraginemu-magireco-wiki-3\work\wiki_authority\wiki-data\data\memoria.json#/いつもの朝の光景/effect_ja;/いつもの朝の光景/effect;/これが恋の香り/effect_ja;/これが恋の香り/effect	Wiki结构化效果对分别确认“HP自动回复→自动回复HP”和“防御力上昇→防御力UP”
24	HP自动回复[Ⅲ] & 状态異常耐性UP[Ⅲ](我方全体/3T)	自动回复HP[Ⅲ] & 状态异常耐性UP[Ⅲ](己全/3T)	2	A	medium	2_wiki_explicit_pair	C:\Users\proje\Documents\Codex\2026-08-06\https-github-com-hiiraginemu-magireco-wiki-3\work\wiki_authority\wiki-data\data\memoria.json#/ファースト・レコード/effect_ja;/ファースト・レコード/effect	Wiki记忆结晶日文效果与中文效果的结构化对应；活动加成尾段未写入技能短说明
25	HP自动回复[Ⅳ] & 状态異常耐性UP[Ⅱ](自身/3T)	自动回复HP[Ⅳ] & 状态异常耐性UP[Ⅱ](自/3T)	2	A	medium	2_wiki_explicit_pair	C:\Users\proje\Documents\Codex\2026-08-06\https-github-com-hiiraginemu-magireco-wiki-3\work\wiki_authority\wiki-data\data\memoria.json#/縋ってしまった光/effect_ja;/縋ってしまった光/effect	Wiki记忆结晶日文效果与中文效果的结构化对应；活动加成尾段未写入技能短说明
26	“你们要悔改”（译注：《圣经·马太福音》3章第2節）＠背对十字的光线，稳静地陈述着＠班里活跃的开心果＠站在有烦恼的人面前，也会露出这样的一面	“你们要悔改”（译注：《圣经·马太福音》3章第2節）＠背对十字的光线，稳静地陈述着＠班里活跃的开心果＠站在有烦恼的人面前，也会露出这样的一面	1	A	medium	2_wiki_exact_equivalent	C:\Users\proje\Documents\Codex\2026-08-06\https-github-com-hiiraginemu-magireco-wiki-3\work\wiki_authority\wiki-data\data\memoria.json#/町の片隅の小さな光/desc_zh	当前文本已与Wiki中文字段一致（换行规范化为＠后逐字相等）；保留原值，无需替换
27	★4必得扭蛋券内含特別套装。※具体内容请查看公告	★4必得扭蛋券内含特别套装。※具体内容请查看公告	1	A	low	1_official_cn_dump_component	A:\magireco_cn_dump_20221010_decrypted_json\authority\authority.json#/shopItemList.json/8625/description	官方国服商店说明采用“特别套装”；仅统一该词形
28	★4魔法少女必得扭蛋券内含特別套装。详情可点击图标查看。	★4魔法少女必得扭蛋券内含特别套装。详情可点击图标查看。	7	A	low	1_official_cn_dump_component	A:\magireco_cn_dump_20221010_decrypted_json\authority\authority.json#/shopItemList.json/8625/description	官方国服商店说明采用“特别套装”；仅统一该词形
29	「情人节交換券」的兑换道具	在「情人节兑换券」中用于兑换的道具	5	B	medium	1_official_cn_dump_same_record	A:\magireco_cn_dump_20221010_decrypted_json\authority\authority.json#/itemList.json/EVENT_DAILYTOWER_1086_EXCHANGE_2/description	采用官方国服同一记录中的中文值
30	「时女拾遺物語」的兑换道具	「时女拾遗物语」的兑换道具	4	C	high	2_wiki_component	C:\Users\proje\Documents\Codex\2026-08-06\https-github-com-hiiraginemu-magireco-wiki-3\work\wiki_authority\wiki-data\data\pages_index.json#/590/title	仅替换Wiki已确认的名称或用词组件
31	「神滨时空運動会」的兑换道具	「神滨时空运动会」的兑换道具	2	C	high	2_wiki_component	C:\Users\proje\Documents\Codex\2026-08-06\https-github-com-hiiraginemu-magireco-wiki-3\work\wiki_authority\wiki-data\data\pages_index.json#/796/title;/6678/headings/27/text	Wiki中日活动标题共同确认“運動会→运动会”
32	一次又一次地想起来＠垂死的少女们的慟哭，和令人窒息的血腥味＠握住手掌上残留着鲜血感觉，直面无法赦免的罪＠也许是因为想受到制裁，亦或是...	一次又一次地想起来＠垂死的少女们的慟哭，和令人窒息的血腥味＠握住手掌上残留着鲜血感觉，直面无法赦免的罪＠也许是因为想受到制裁，亦或是...	1	A	medium	2_wiki_exact_equivalent	C:\Users\proje\Documents\Codex\2026-08-06\https-github-com-hiiraginemu-magireco-wiki-3\work\wiki_authority\wiki-data\data\memoria.json#/赦されぬ罪/desc_zh	当前文本已与Wiki中文字段一致（换行规范化为＠后逐字相等）；保留原值，无需替换
33	七色夏模様	七彩夏日绘	1	C	high	2_wiki_explicit_pair	C:\Users\proje\Documents\Codex\2026-08-06\https-github-com-hiiraginemu-magireco-wiki-3\work\wiki_authority\wiki-data\data\archive\articles.jsonl.gz#jsonl:1888:/title;jsonl:1888:/wikitext/活动信息框/日文标题	Wiki活动页显式给出日文标题与中文页名；仅保留原字段包装
34	主页背景「七色夏模様」。	主页背景「七彩夏日绘」。	1	C	high	2_wiki_explicit_pair	C:\Users\proje\Documents\Codex\2026-08-06\https-github-com-hiiraginemu-magireco-wiki-3\work\wiki_authority\wiki-data\data\archive\articles.jsonl.gz#jsonl:1888:/title;jsonl:1888:/wikitext/活动信息框/日文标题	Wiki活动页显式给出日文标题与中文页名；仅保留原字段包装
35	主页背景「时女拾遺物語」。	主页背景「时女拾遗物语」。	1	C	high	2_wiki_component	C:\Users\proje\Documents\Codex\2026-08-06\https-github-com-hiiraginemu-magireco-wiki-3\work\wiki_authority\wiki-data\data\pages_index.json#/590/title	仅替换Wiki已确认的名称或用词组件
36	主页背景「神滨大運動会」。	主页背景「神滨大运动会」。	1	C	high	2_wiki_component	C:\Users\proje\Documents\Codex\2026-08-06\https-github-com-hiiraginemu-magireco-wiki-3\work\wiki_authority\wiki-data\data\pages_index.json#/796/title;/6678/headings/27/text	仅替换Wiki已确认的名称或用词组件
37	仏罰！	佛罚！	1	B	medium	3_manual_verified	人工逐项字形、语义与同族字段核对	保留 ID、数字、范围、回合、等级和字段结构
38	兑换券内含特別套装。详情可点击图标查看。	兑换券内含特别套装。详情可点击图标查看。	1	A	low	1_official_cn_dump_component	A:\magireco_cn_dump_20221010_decrypted_json\authority\authority.json#/shopItemList.json/8625/description	官方国服商店说明采用“特别套装”；仅统一该词形
39	兑换券内含特別套装。详情可通过按钮查看。	兑换券内含特别套装。详情可通过按钮查看。	1	A	low	1_official_cn_dump_component	A:\magireco_cn_dump_20221010_decrypted_json\authority\authority.json#/shopItemList.json/8625/description	官方国服商店说明采用“特别套装”；仅统一该词形
40	全体編 10話	全体篇 10话	1	B	high	2_wiki_explicit_pair	C:\Users\proje\Documents\Codex\2026-08-06\https-github-com-hiiraginemu-magireco-wiki-3\work\wiki_authority\wiki-data\data\story.json#/主线剧情-第2部第8章-60话/title	Wiki对应主线章节标题
41	全体編 1話	全体篇 1话	1	B	high	2_wiki_explicit_pair	C:\Users\proje\Documents\Codex\2026-08-06\https-github-com-hiiraginemu-magireco-wiki-3\work\wiki_authority\wiki-data\data\story.json#/主线剧情-第2部第8章-51话/title	Wiki对应主线章节标题
42	全体編 2話	全体篇 2话	1	B	high	2_wiki_explicit_pair	C:\Users\proje\Documents\Codex\2026-08-06\https-github-com-hiiraginemu-magireco-wiki-3\work\wiki_authority\wiki-data\data\story.json#/主线剧情-第2部第8章-52话/title	Wiki对应主线章节标题
43	全体編 3話	全体篇 3话	1	B	high	2_wiki_explicit_pair	C:\Users\proje\Documents\Codex\2026-08-06\https-github-com-hiiraginemu-magireco-wiki-3\work\wiki_authority\wiki-data\data\story.json#/主线剧情-第2部第8章-53话/title	Wiki对应主线章节标题
44	全体編 4話	全体篇 4话	1	B	high	2_wiki_explicit_pair	C:\Users\proje\Documents\Codex\2026-08-06\https-github-com-hiiraginemu-magireco-wiki-3\work\wiki_authority\wiki-data\data\story.json#/主线剧情-第2部第8章-54话/title	Wiki对应主线章节标题
45	全体編 5話	全体篇 5话	1	B	high	2_wiki_explicit_pair	C:\Users\proje\Documents\Codex\2026-08-06\https-github-com-hiiraginemu-magireco-wiki-3\work\wiki_authority\wiki-data\data\story.json#/主线剧情-第2部第8章-55话/title	Wiki对应主线章节标题
46	全体編 6話	全体篇 6话	1	B	high	2_wiki_explicit_pair	C:\Users\proje\Documents\Codex\2026-08-06\https-github-com-hiiraginemu-magireco-wiki-3\work\wiki_authority\wiki-data\data\story.json#/主线剧情-第2部第8章-56话/title	Wiki对应主线章节标题
47	全体編 7話	全体篇 7话	1	B	high	2_wiki_explicit_pair	C:\Users\proje\Documents\Codex\2026-08-06\https-github-com-hiiraginemu-magireco-wiki-3\work\wiki_authority\wiki-data\data\story.json#/主线剧情-第2部第8章-57话/title	Wiki对应主线章节标题
48	全体編 8話	全体篇 8话	1	B	high	2_wiki_explicit_pair	C:\Users\proje\Documents\Codex\2026-08-06\https-github-com-hiiraginemu-magireco-wiki-3\work\wiki_authority\wiki-data\data\story.json#/主线剧情-第2部第8章-58话/title	Wiki对应主线章节标题
49	全体編 9話	全体篇 9话	1	B	high	2_wiki_explicit_pair	C:\Users\proje\Documents\Codex\2026-08-06\https-github-com-hiiraginemu-magireco-wiki-3\work\wiki_authority\wiki-data\data\story.json#/主线剧情-第2部第8章-59话/title	Wiki对应主线章节标题
50	千石 撫子	千石抚子	4	C	high	1_official_cn_dump_exact	A:\magireco_cn_dump_20221010_decrypted_json\authority\authority.json#/cardList.json/40444/cardName	官方国服直接值
51	南津 涼子	南津凉子	6	C	high	1_official_cn_dump_exact	A:\magireco_cn_dump_20221010_decrypted_json\authority\authority.json#/cardList.json/30584/cardName	官方国服直接值
52	南津涼子	南津凉子	2	C	high	1_official_cn_dump_exact	A:\magireco_cn_dump_20221010_decrypted_json\authority\authority.json#/cardList.json/30584/cardName	官方国服直接值
53	可使用1次周年纪念★4魔法少女1体必得10連扭蛋的券	可使用1次周年纪念★4魔法少女1体必得10连扭蛋的券	1	B	medium	1_official_cn_dump_component	A:\magireco_cn_dump_20221010_decrypted_json\authority\authority.json#/itemList.json/GACHA10_TICKET/name;/itemList.json/GACHA10_TICKET/shortDescription	官方国服同类票券明确采用“10连扭蛋券”；目标仅替换日文旧字“連”
54	可兑换専用在商店泳装衣装的券	可在商店兑换泳装服装的专用券	2	B	medium	3_manual_verified	人工逐项字形、语义与同族字段核对	保留 ID、数字、范围、回合、等级和字段结构
55	史乃 沙優希	史乃沙优希	2	C	high	1_official_cn_dump_exact	A:\magireco_cn_dump_20221010_decrypted_json\authority\authority.json#/charaList.json/3033/name	官方国服直接值
56	史乃沙優希	史乃沙优希	1	C	high	1_official_cn_dump_exact	A:\magireco_cn_dump_20221010_decrypted_json\authority\authority.json#/charaList.json/3033/name	官方国服直接值
57	史乃沙優希的服装【泳装】	史乃沙优希的服装【泳装】	1	C	high	1_official_cn_dump_component	A:\magireco_cn_dump_20221010_decrypted_json\authority\authority.json#/charaList.json/3033/name	仅替换官方国服已确认的名称或用词组件
58	喫茶店	咖啡店	1	B	medium	1_official_cn_dump_exact	A:\magireco_cn_dump_20221010_decrypted_json\authority\authority.json#/sectionList.json/101877/areaDetailName	官方国服直接值
59	困難級	困难级	1	A	medium	2_wiki_explicit_pair	C:\Users\proje\Documents\Codex\2026-08-06\https-github-com-hiiraginemu-magireco-wiki-3\work\wiki_authority\wiki-data\data\archive\articles.jsonl.gz#jsonl:2175:/wikitext/玩法	Wiki页面在同一句中显式标注中文“困难级”和日文“困難級”
60	天乃鈴音	天乃铃音	1	C	high	1_official_cn_dump_exact	A:\magireco_cn_dump_20221010_decrypted_json\authority\authority.json#/charaList.json/4031/name	官方国服直接值
61	好評配信中	好评发布中	3	B	medium	2_wiki_component	C:\Users\proje\Documents\Codex\2026-08-06\https-github-com-hiiraginemu-magireco-wiki-3\work\wiki_authority\wiki-data\data\archive\articles.jsonl.gz#jsonl:2700:/wikitext/台词77;jsonl:2709:/wikitext/台词77;jsonl:2730:/wikitext/台词77	Wiki多名角色的同类固定片尾语音均采用“好评发布中”
62	好評配信中！	好评发布中！	1	B	medium	2_wiki_component	C:\Users\proje\Documents\Codex\2026-08-06\https-github-com-hiiraginemu-magireco-wiki-3\work\wiki_authority\wiki-data\data\archive\articles.jsonl.gz#jsonl:2735:/wikitext/台词76;jsonl:2792:/wikitext/台词78;jsonl:2801:/wikitext/台词77	Wiki同类固定片尾语音采用“好评发布中”，保留原感叹号
63	安寧―Peace―	安宁―Peace―	1	C	high	2_wiki_component	C:\Users\proje\Documents\Codex\2026-08-06\https-github-com-hiiraginemu-magireco-wiki-3\work\wiki_authority\wiki-data\data\archive\articles.jsonl.gz#jsonl:1000:/wikitext/Doppel日文;jsonl:1000:/wikitext/Doppel中文	Wiki魔女化身日中字段明确采用“安寧→安宁”；英文副题及原分隔符保持不变
64	宝崎市立光塚中等教育学校	宝崎市立光冢中等教育学校	2	C	high	2_wiki_component	C:\Users\proje\Documents\Codex\2026-08-06\https-github-com-hiiraginemu-magireco-wiki-3\work\wiki_authority\wiki-data\data\characters.json#/神乐灿/infobox/出身地;/游狩美由利/infobox/出身地	两名该校角色的Wiki出身地均采用“宝崎市光冢”
65	宝崎市立光塚中等教育学校校服	宝崎市立光冢中等教育学校校服	2	C	high	2_wiki_component	C:\Users\proje\Documents\Codex\2026-08-06\https-github-com-hiiraginemu-magireco-wiki-3\work\wiki_authority\wiki-data\data\characters.json#/神乐灿/infobox/出身地;/游狩美由利/infobox/出身地	仅替换Wiki已确认的名称或用词组件
66	引縄批根	引绳批根	2	C	high	2_wiki_explicit_pair	C:\Users\proje\Documents\Codex\2026-08-06\https-github-com-hiiraginemu-magireco-wiki-3\work\wiki_authority\wiki-data\data\memoria.json#/引縄批根/name_ja;/引縄批根/name_zh	Wiki日中显式对应
67	恵 萌花	惠萌花	4	C	high	1_official_cn_dump_exact	A:\magireco_cn_dump_20221010_decrypted_json\authority\authority.json#/cardList.json/30343/cardName	官方国服直接值
68	恵萌花	惠萌花	1	C	high	1_official_cn_dump_exact	A:\magireco_cn_dump_20221010_decrypted_json\authority\authority.json#/cardList.json/30343/cardName	官方国服直接值
69	"您好，我叫篠目约鹤，
在中央区经营调整屋。
您光临时，
请允许我用美味甜点款待您。"	"您好，我叫篠目夜鹤，
在中央区经营调整屋。
您光临时，
请允许我用美味甜点款待您。"	1	C	high	1_official_cn_dump_component	A:\magireco_cn_dump_20221010_decrypted_json\authority\authority.json#/cardList.json/10404/cardName	仅替换官方国服已确认的名称或用词组件
70	我慢我慢我慢…追跡	忍耐忍耐忍耐…追踪	1	C	high	2_wiki_component	C:\Users\proje\Documents\Codex\2026-08-06\https-github-com-hiiraginemu-magireco-wiki-3\work\wiki_authority\wiki-data\data\archive\articles.jsonl.gz#jsonl:3:/wikitext/我慢のドッペル;jsonl:641:/wikitext/魔法少女タップ7-ja;jsonl:641:/wikitext/魔法少女タップ7-zh	Wiki分别明确采用“我慢→忍耐”和“追跡→追踪”；重复与省略号保持不变
71	"我是旅行调整屋之一，篠目约鹤。
受老师邀请，我成为了调整屋。
作为魔法少女，我实在太过弱小，
甚至没有活下去的力量，
是老师为我指明了生存之路。
虽然我作为调整屋还缺乏经验，
但我会怀着自豪，替您保管灵魂宝石。"	"我是旅行调整屋之一，篠目夜鹤。
受老师邀请，我成为了调整屋。
作为魔法少女，我实在太过弱小，
甚至没有活下去的力量，
是老师为我指明了生存之路。
虽然我作为调整屋还缺乏经验，
但我会怀着自豪，替您保管灵魂宝石。"	1	C	high	1_official_cn_dump_component	A:\magireco_cn_dump_20221010_decrypted_json\authority\authority.json#/cardList.json/10404/cardName	仅替换官方国服已确认的名称或用词组件
72	攻击力提升[Ⅲ] & 瀕死时攻击力提升[Ⅰ]	攻击力提升[Ⅲ] & 濒死时攻击力提升[Ⅰ]	2	A	medium	1_official_cn_dump_exact	A:\magireco_cn_dump_20221010_decrypted_json\authority\authority.json#/pieceSkillMap.json/127301/shortDescription	官方国服直接值
73	攻击力降低[XⅡ](敌単/1T) & 防御力提升[Ⅵ](自身/1T)	攻击力DOWN[XⅡ](敌单/1T) & 防御力UP[Ⅵ](自/1T)	1	A	high	2_wiki_explicit_pair	C:\Users\proje\Documents\Codex\2026-08-06\https-github-com-hiiraginemu-magireco-wiki-3\work\wiki_authority\wiki-data\data\memoria.json#/遊びだって真剣勝負/effect_ja;/遊びだって真剣勝負/effect	Wiki记忆结晶日文效果与中文效果的结构化对应；活动加成尾段未写入技能短说明
74	攻击力降低[XⅢ](敌単/1T) & 防御力提升[Ⅶ](自身/1T)	攻击力DOWN[XⅢ](敌单/1T) & 防御力UP[Ⅶ](自/1T)	1	A	high	2_wiki_explicit_pair	C:\Users\proje\Documents\Codex\2026-08-06\https-github-com-hiiraginemu-magireco-wiki-3\work\wiki_authority\wiki-data\data\memoria.json#/遊びだって真剣勝負/effect_max_ja;/遊びだって真剣勝負/effect_max	Wiki记忆结晶日文效果与中文效果的结构化对应；活动加成尾段未写入技能短说明
75	攻击力降低[Ⅱ] & 状态異常耐性DOWN[Ⅱ](敌全/3T)	攻击力DOWN[Ⅱ] & 状态异常耐性DOWN[Ⅱ](敌全/3T)	2	A	high	2_wiki_explicit_pair	C:\Users\proje\Documents\Codex\2026-08-06\https-github-com-hiiraginemu-magireco-wiki-3\work\wiki_authority\wiki-data\data\memoria.json#/迷わず進むための光/effect_ja;/迷わず進むための光/effect	Wiki记忆结晶日文效果与中文效果的结构化对应；活动加成尾段未写入技能短说明
76	攻击力降低[Ⅲ](敌単/1T) & 防御力提升[Ⅱ](自身/1T)	攻击力DOWN[Ⅲ](敌单/1T) & 防御力UP[Ⅱ](自/1T)	1	A	high	2_wiki_explicit_pair	C:\Users\proje\Documents\Codex\2026-08-06\https-github-com-hiiraginemu-magireco-wiki-3\work\wiki_authority\wiki-data\data\memoria.json#/星合に浮かぶ/effect_ja;/星合に浮かぶ/effect	Wiki记忆结晶日文效果与中文效果的结构化对应；活动加成尾段未写入技能短说明
77	攻击力降低[Ⅳ] & 防御力降低[Ⅳ](敌単/1T) & HP自动回复[Ⅲ](自身/3T)	攻击力DOWN[Ⅳ] & 防御力DOWN[Ⅳ](敌单/1T) & 自动回复HP[Ⅲ](自/3T)	1	A	high	2_wiki_explicit_pair	C:\Users\proje\Documents\Codex\2026-08-06\https-github-com-hiiraginemu-magireco-wiki-3\work\wiki_authority\wiki-data\data\memoria.json#/お菓子の宝石箱/effect_ja;/お菓子の宝石箱/effect	Wiki记忆结晶日文效果与中文效果的结构化对应；活动加成尾段未写入技能短说明
78	攻击力降低[Ⅴ] & 防御力降低[Ⅴ](敌単/1T)	攻击力DOWN[Ⅴ] & 防御力DOWN[Ⅴ](敌单/1T)	1	A	high	2_wiki_explicit_pair	C:\Users\proje\Documents\Codex\2026-08-06\https-github-com-hiiraginemu-magireco-wiki-3\work\wiki_authority\wiki-data\data\memoria.json#/約束を胸に刻んで/effect_ja;/約束を胸に刻んで/effect	Wiki记忆结晶日文效果与中文效果的结构化对应；活动加成尾段未写入技能短说明
79	攻击力降低[Ⅴ] & 防御力降低[Ⅴ](敌単/1T) & HP自动回复[Ⅳ](自身/3T)	攻击力DOWN[Ⅴ] & 防御力DOWN[Ⅴ](敌单/1T) & 自动回复HP[Ⅳ](自/3T)	1	A	high	2_wiki_explicit_pair	C:\Users\proje\Documents\Codex\2026-08-06\https-github-com-hiiraginemu-magireco-wiki-3\work\wiki_authority\wiki-data\data\memoria.json#/お菓子の宝石箱/effect_max_ja;/お菓子の宝石箱/effect_max	Wiki记忆结晶日文效果与中文效果的结构化对应；活动加成尾段未写入技能短说明
80	攻击力降低[Ⅴ](敌単/1T) & 防御力提升[Ⅱ](自身/1T)	攻击力DOWN[Ⅴ](敌单/1T) & 防御力UP[Ⅱ](自/1T)	1	A	high	2_wiki_explicit_pair	C:\Users\proje\Documents\Codex\2026-08-06\https-github-com-hiiraginemu-magireco-wiki-3\work\wiki_authority\wiki-data\data\memoria.json#/星合に浮かぶ/effect_max_ja;/星合に浮かぶ/effect_max	Wiki记忆结晶日文效果与中文效果的结构化对应；活动加成尾段未写入技能短说明
81	攻击力降低[Ⅵ] & 防御力降低[Ⅵ](敌単/1T)	攻击力DOWN[Ⅵ] & 防御力DOWN[Ⅵ](敌单/1T)	1	A	high	2_wiki_explicit_pair	C:\Users\proje\Documents\Codex\2026-08-06\https-github-com-hiiraginemu-magireco-wiki-3\work\wiki_authority\wiki-data\data\memoria.json#/約束を胸に刻んで/effect_max_ja;/約束を胸に刻んで/effect_max	Wiki记忆结晶日文效果与中文效果的结构化对应；活动加成尾段未写入技能短说明
82	时女一族編 10話	时女一族篇 10话	1	B	high	2_wiki_explicit_pair	C:\Users\proje\Documents\Codex\2026-08-06\https-github-com-hiiraginemu-magireco-wiki-3\work\wiki_authority\wiki-data\data\story.json#/主线剧情-第2部第8章-31话/title	Wiki对应主线章节标题
83	时女一族編 1話	时女一族篇 1话	1	B	high	2_wiki_explicit_pair	C:\Users\proje\Documents\Codex\2026-08-06\https-github-com-hiiraginemu-magireco-wiki-3\work\wiki_authority\wiki-data\data\story.json#/主线剧情-第2部第8章-22话/title	Wiki对应主线章节标题
84	时女一族編 2話	时女一族篇 2话	1	B	high	2_wiki_explicit_pair	C:\Users\proje\Documents\Codex\2026-08-06\https-github-com-hiiraginemu-magireco-wiki-3\work\wiki_authority\wiki-data\data\story.json#/主线剧情-第2部第8章-23话/title	Wiki对应主线章节标题
85	时女一族編 3話	时女一族篇 3话	1	B	high	2_wiki_explicit_pair	C:\Users\proje\Documents\Codex\2026-08-06\https-github-com-hiiraginemu-magireco-wiki-3\work\wiki_authority\wiki-data\data\story.json#/主线剧情-第2部第8章-24话/title	Wiki对应主线章节标题
86	时女一族編 4話	时女一族篇 4话	1	B	high	2_wiki_explicit_pair	C:\Users\proje\Documents\Codex\2026-08-06\https-github-com-hiiraginemu-magireco-wiki-3\work\wiki_authority\wiki-data\data\story.json#/主线剧情-第2部第8章-25话/title	Wiki对应主线章节标题
