path	line	text	disposition
template/card/ComposeResult.html	9	ATK :	formal-retained
template/card/ComposeResult.html	10	DEF :	formal-retained
template/card/ComposeResult.html	11	HP :	formal-retained
template/card/ComposeResult.html	12	SPE :	debug-code-or-unreferenced-template
template/card/ComposeTop.html	48	cardDetailWrap	debug-code-or-unreferenced-template
template/card/ComposeTop.html	54	Lv.	formal-retained
template/card/ComposeTop.html	62	Lv:	formal-retained
template/card/ComposeTop.html	65	篇章Lv:	localized-with-retained-formal-term
template/chara/CharaCompose.html	85	MAX	formal-retained
template/chara/CharaData.html	48	HP	formal-retained
template/chara/CharaData.html	54	ATK	formal-retained
template/chara/CharaData.html	61	DEF	formal-retained
template/chara/CharaData.html	124	Magia等级	localized-with-retained-formal-term
template/chara/CharaDetail.html	128	Magia等级	localized-with-retained-formal-term
template/chara/CharaDetail.html	194	HP	formal-retained
template/chara/CharaDetail.html	204	ATK	formal-retained
template/chara/CharaDetail.html	214	DEF	formal-retained
template/chara/CharaDetail.html	229	HP	formal-retained
template/chara/CharaDetail.html	233	ATK	formal-retained
template/chara/CharaDetail.html	237	DEF	formal-retained
template/chara/CharaDetail.html	274	强化Magia	localized-with-retained-formal-term
template/chara/CharaDetail.html	298	EX技能	localized-with-retained-formal-term
template/chara/CharaDetail.html	334	Magia	formal-retained
template/chara/CharaDetail.html	438	HP	formal-retained
template/chara/CharaDetail.html	439	ATK	formal-retained
template/chara/CharaDetail.html	440	DEF	formal-retained
template/chara/CharaDetail.html	490	HP	formal-retained
template/chara/CharaDetail.html	491	ATK	formal-retained
template/chara/CharaDetail.html	492	DEF	formal-retained
template/chara/CharaDetail.html	542	HP	formal-retained
template/chara/CharaDetail.html	543	ATK	formal-retained
template/chara/CharaDetail.html	544	DEF	formal-retained
template/chara/CharaDetail.html	594	HP	formal-retained
template/chara/CharaDetail.html	595	ATK	formal-retained
template/chara/CharaDetail.html	596	DEF	formal-retained
template/chara/CharaDetail.html	679	SD	formal-retained
template/chara/CharaEnhancementTree.html	94	Lv	formal-retained
template/chara/CharaEnhancementTree.html	119	HP	formal-retained
template/chara/CharaEnhancementTree.html	124	ATK	formal-retained
template/chara/CharaEnhancementTree.html	129	DEF	formal-retained
template/chara/CharaEnhancementTree.html	142	所需 CC	localized-with-retained-formal-term
template/chara/CharaEnhancementTree.html	144	持有 CC	localized-with-retained-formal-term
template/chara/CharaMagiaComposePopup.html	3	Magia强化素材确认	localized-with-retained-formal-term
template/collection/StoryCollection.html	10	Puella Historia	brand-or-contact-retained
template/config/ConfigTop.html	26	玩家ID	localized-with-retained-formal-term
template/config/ConfigTop.html	31	BGM	formal-retained
template/config/ConfigTop.html	54	AP回复	localized-with-retained-formal-term
template/config/ConfigTop.html	127	数据转移ID	localized-with-retained-formal-term
template/config/ConfigTop.html	136	设置后请妥善保管数据转移ID和密码。	localized-with-retained-formal-term
template/config/ConfigTop.html	196	转移 ID	localized-with-retained-formal-term
template/config/ConfigTop.html	200	继承／绑定时需要输入继承／绑定ID。	localized-with-retained-formal-term
template/config/ConfigTop.html	223	※推荐在Wi-Fi等稳定的通讯环境下进行。	localized-with-retained-formal-term
template/config/ConfigTop.html	228	OK	formal-retained
template/config/ConfigTop.html	235	数据量较大，建议使用稳定的 Wi-Fi 网络。	localized-with-retained-formal-term
template/etc/Help.html	27	FAQ／客服网站	localized-with-retained-formal-term
template/etc/Help.html	28	你的玩家ID是	localized-with-retained-formal-term
template/etc/Help.html	29	复制玩家ID	localized-with-retained-formal-term
template/etc/LawPopup.html	19	support@magireco.com	brand-or-contact-retained
template/etc/LawPopup.html	44	需要能够运行相应服务的Android设备、iOS设备或PC。	localized-with-retained-formal-term
template/etc/LawPopup.html	64	邮箱：support@magireco.com	localized-with-retained-formal-term
template/etc/LawPopup.html	69	但仅可在iOS版、Google Play版或DMM GAMES版中各自购买时所使用的平台内使用。	localized-with-retained-formal-term
template/etc/LawPopup.html	73	（2）15岁及以下用户每月购买Magia石的上限为5,000日元（含税），16～17岁用户为30,000日元（含税）。	localized-with-retained-formal-term
template/etc/LawPopup.html	74	※使用DMM GAMES版时，按1 DMM点数＝1日元换算。	localized-with-retained-formal-term
template/etc/LawPopup.html	75	（3）Magia石不得转让、出借给第三方。	localized-with-retained-formal-term
template/etc/LawPopup.html	79	可在《魔法纪录 魔法少女小圆外传》应用内“HOME”画面上方点击所持Magia石栏，并在出现的“购买Magia石”画面中确认。	localized-with-retained-formal-term
template/etc/LawPopup.html	83	可在应用内“TOP页面”＞“使用条款”中确认。	localized-with-retained-formal-term
template/event/accomplish/EventAccomplishDeck.html	182	Lv	formal-retained
template/event/accomplish/EventAccomplishDeck.html	224	ATK	formal-retained
template/event/accomplish/EventAccomplishDeck.html	228	DEF	formal-retained
template/event/accomplish/EventAccomplishDeck.html	360	Lv	formal-retained
template/event/accomplish/EventAccomplishDeck.html	386	Lv	formal-retained
template/event/accomplish/EventAccomplishEnemyDetail.html	15	消耗 AP	localized-with-retained-formal-term
template/event/accomplish/EventAccomplishEnemyDetail.html	46	displayBase：	debug-code-or-unreferenced-template
template/event/accomplish/EventAccomplishEnemyDetail.html	47	displayAlignIcon：	debug-code-or-unreferenced-template
template/event/accomplish/EventAccomplishEnemyDetail.html	48	X：	debug-code-or-unreferenced-template
template/event/accomplish/EventAccomplishEnemyDetail.html	49	Y：	debug-code-or-unreferenced-template
template/event/accomplish/EventAccomplishEnemyDetail.html	50	scale：	debug-code-or-unreferenced-template
template/event/accomplish/EventAccomplishEnemyDetail.html	51	currentHp：	debug-code-or-unreferenced-template
template/event/accomplish/EventAccomplishRecovery.html	31	HP	formal-retained
template/event/accomplish/EventAccomplishRecovery.html	38	MP	formal-retained
template/event/accomplish/EventAccomplishRecovery.html	46	ATK	formal-retained
template/event/accomplish/EventAccomplishRecovery.html	50	DEF	formal-retained
template/event/accomplish/EventAccomplishTop.html	43	击破每5关出现一次的BOSS,即可获得特别报酬。	localized-with-retained-formal-term
template/event/accomplish/EventAccomplishTop.html	63	消耗 AP	localized-with-retained-formal-term
template/event/arenaMission/EventArenaMissionConfirm.html	35	Pt	formal-retained
template/event/arenaMission/EventArenaMissionConfirm.html	35	获得 Pt×	localized-with-retained-formal-term
template/event/arenaMission/EventArenaMissionResult.html	96	Pt	formal-retained
template/event/arenaMission/EventArenaMissionResult.html	100	Pt	formal-retained
template/event/arenaMission/EventArenaMissionResult.html	104	Pt	formal-retained
template/event/arenaMission/EventArenaMissionResult.html	111	310Pt	formal-retained
template/event/arenaMission/EventArenaMissionResult.html	112	-Pt	formal-retained
template/event/arenaMission/EventArenaMissionStage.html	30	Pt	formal-retained
template/event/arenaMission/EventArenaMissionStage.html	33	队伍Pt +Pt	localized-with-retained-formal-term
template/event/arenaMission/EventArenaMissionStage.html	35	还有Pt	localized-with-retained-formal-term
template/event/arenaMission/EventArenaMissionStage.html	51	Pt	formal-retained
template/event/arenaMission/EventArenaMissionTop.html	17	Pt	formal-retained
template/event/arenaMission/EventArenaMissionTop.html	38	Pt达成	localized-with-retained-formal-term
template/event/arenaMission/EventArenaMissionTop.html	82	Pt达成	localized-with-retained-formal-term
template/event/arenaranking/EventArenaRankingHistory.html	12	排行Pt	localized-with-retained-formal-term
template/event/arenaranking/EventArenaRankingHistory.html	13	Pt	formal-retained
template/event/branch/EventBranchTop.html	34	debug	debug-code-or-unreferenced-template
template/event/branch/EventBranchTop.html	77	消耗 AP	localized-with-retained-formal-term
template/event/dailytower/EventDailyTowerTop.html	52	EX挑战	localized-with-retained-formal-term
template/event/dailytower/EventDailyTowerTop.html	159	消耗 AP	localized-with-retained-formal-term
template/event/dungeon/EventDungeonCurePopupParts.html	4	CP已满。  没有CP回复药。	localized-with-retained-formal-term
template/event/dungeon/EventDungeonCurePopupParts.html	4	要使用CP回复药全部回复吗?	localized-with-retained-formal-term
template/event/dungeon/EventDungeonCurePopupParts.html	7	CP回复药	localized-with-retained-formal-term
template/event/dungeon/EventDungeonMap.html	101	※至今获得的EXP·诅咒碎片(CC)·宝箱中的道具都可以拿到。	localized-with-retained-formal-term
template/event/EventWalpurgis/GroupRaid.html	6	获得 DP	localized-with-retained-formal-term
template/event/EventWalpurgis/MainBossPopup.html	23	消耗 AP	localized-with-retained-formal-term
template/event/EventWalpurgis/QuestResultMainBoss.html	46	获得 DP	localized-with-retained-formal-term
template/event/EventWalpurgis/QuestResultMainBoss.html	58	合计DP	localized-with-retained-formal-term
template/event/EventWalpurgis/QuestResultSubBoss.html	29	获得 DP	localized-with-retained-formal-term
template/event/EventWalpurgis/QuestResultSubBoss.html	41	合计DP	localized-with-retained-formal-term
template/event/EventWalpurgis/SubBossList.html	17	消耗 AP	localized-with-retained-formal-term
template/event/EventWitch/page/Top.html	43	消耗 AP	localized-with-retained-formal-term
template/event/raid/EventRaidCloseTop.html	71	x	formal-retained
template/event/raid/EventRaidCloseTop.html	74	x	formal-retained
template/event/raid/EventRaidCurePopupParts.html	4	RP已满。  没有RP回复药。	localized-with-retained-formal-term
template/event/raid/EventRaidCurePopupParts.html	4	要使用RP回复药全部回复吗?	localized-with-retained-formal-term
template/event/raid/EventRaidCurePopupParts.html	7	RP回复药	localized-with-retained-formal-term
template/event/raid/EventRaidRewardParts.html	24	Lv	formal-retained
template/event/raid/EventRaidTop.html	7	点击BOSS	localized-with-retained-formal-term
template/event/raid/EventRaidTop.html	65	Lv	formal-retained
template/event/raid/EventRaidTop.html	96	Lv	formal-retained
template/event/raid/EventRaidTop.html	185	Lv	formal-retained
template/event/raid/EventRaidTop.html	254	Lv	formal-retained
template/event/raid/EventRaidTop.html	378	x	formal-retained
template/event/raid/EventRaidTop.html	381	x	formal-retained
template/event/singleraid/EventSingleRaidSelect.html	85	消耗 AP	localized-with-retained-formal-term
template/event/storyraid/EventStoryRaidSelect.html	22	消耗 AP	localized-with-retained-formal-term
template/event/storyraid/EventStoryRaidTop.html	10	hideSingleRaid	debug-code-or-unreferenced-template
template/event/storyraid/EventStoryRaidTop.html	11	redumeSingleRaid	debug-code-or-unreferenced-template
template/event/storyraid/EventStoryRaidTop.html	12	popSingleRaid	debug-code-or-unreferenced-template
template/event/tower/EventTowerTop.html	58	消耗 AP	localized-with-retained-formal-term
template/event/training/EventTrainingCharaSelect.html	45	Lv	formal-retained
template/event/training/EventTrainingCharaSelect.html	63	HP	formal-retained
template/event/training/EventTrainingCharaSelect.html	65	ATK	formal-retained
template/event/training/EventTrainingCharaSelect.html	67	DEF	formal-retained
template/event/training/EventTrainingTop.html	24	EX挑战	localized-with-retained-formal-term
template/event/training/EventTrainingTop.html	51	消耗 AP	localized-with-retained-formal-term
template/follow/FollowSearch.html	48	好友ID	localized-with-retained-formal-term
template/formation/DeckFormation.html	281	Lv	formal-retained
template/formation/DeckFormation.html	325	ATK	formal-retained
template/formation/DeckFormation.html	329	DEF	formal-retained
template/formation/DeckFormation.html	349	HP	formal-retained
template/formation/DeckFormation.html	353	ATK	formal-retained
template/formation/DeckFormation.html	357	DEF	formal-retained
template/formation/DeckFormation.html	396	ATK	formal-retained
template/formation/DeckFormation.html	400	DEF	formal-retained
template/formation/DeckFormation.html	409	HP	formal-retained
template/formation/DeckFormation.html	411	ATK	formal-retained
template/formation/DeckFormation.html	413	DEF	formal-retained
template/formation/DeckFormation.html	439	HP	formal-retained
template/formation/DeckFormation.html	441	ATK	formal-retained
template/formation/DeckFormation.html	443	DEF	formal-retained
template/formation/DeckFormation.html	580	Lvl.	formal-retained
template/formation/DeckFormation.html	605	Lv	formal-retained
template/formation/DeckFormation.html	679	OK	formal-retained
template/formation/DeckFormation.html	697	OK	formal-retained
template/formation/DeckFormation.html	820	OK	formal-retained
template/formation/DeckFormation.html	854	OK	formal-retained
template/formation/DeckFormation.html	888	OK	formal-retained
template/formation/FormationQuest.html	90	OK	formal-retained
template/formation/FormationQuest.html	166	Lv	formal-retained
template/formation/FormationQuest.html	190	HP	formal-retained
template/formation/FormationQuest.html	198	ATK	formal-retained
template/formation/FormationQuest.html	205	DEF	formal-retained
template/formation/FormationQuest.html	234	Magia	formal-retained
template/formation/FormationSupport.html	74	Lv	formal-retained
template/formation/FormationSupport.html	84	HP	formal-retained
template/formation/FormationSupport.html	85	ATK	formal-retained
template/formation/FormationSupport.html	86	DEF	formal-retained
template/formation/FormationSupport.html	99	Lv	formal-retained
template/formation/FormationSupport.html	116	HP	formal-retained
template/formation/FormationSupport.html	124	ATK	formal-retained
template/formation/FormationSupport.html	131	DEF	formal-retained
template/formation/FormationSupport.html	160	Magia	formal-retained
template/formation/ProfileFormationSupport.html	97	Lv	formal-retained
template/formation/ProfileFormationSupport.html	115	HP	formal-retained
template/formation/ProfileFormationSupport.html	117	ATK	formal-retained
template/formation/ProfileFormationSupport.html	119	DEF	formal-retained
template/formation/ProfileFormationSupport.html	236	Lv	formal-retained
template/formation/ProfileFormationSupport.html	261	Lv	formal-retained
template/gacha/GachaTop.html	326	HP	formal-retained
template/gacha/GachaTop.html	328	ATK	formal-retained
template/gacha/GachaTop.html	330	DEF	formal-retained
template/gacha/GachaTop.html	340	※显示的状态为Lv最大(4次界限突破)时的数值。	localized-with-retained-formal-term
template/gacha/SelectableGachaCharaSelect.html	32	HP	formal-retained
template/gacha/SelectableGachaCharaSelect.html	36	ATK	formal-retained
template/gacha/SelectableGachaCharaSelect.html	40	DEF	formal-retained
template/gacha/SelectableGachaCharaSelect.html	77	Connect	formal-retained
template/gacha/SelectableGachaCharaSelect.html	84	Magia	formal-retained
template/gacha/SelectableGachaPieceSelect.html	67	HP	formal-retained
template/gacha/SelectableGachaPieceSelect.html	69	ATK	formal-retained
template/gacha/SelectableGachaPieceSelect.html	71	DEF	formal-retained
template/loginBonus/loginBonusPopupTemp.html	36	Pt	formal-retained
template/loginBonus/loginBonusPopupTemp.html	37	支援Pt	localized-with-retained-formal-term
template/loginBonus/loginBonusPopupTemp.html	42	Magia通行证	localized-with-retained-formal-term
template/memoria/bulkSelectPopupView.html	51	Lv 最大	localized-with-retained-formal-term
template/memoria/MemoriaComposeAnimation.html	2	记忆结晶ComposeAnimation	localized-with-retained-formal-term
template/memoria/MemoriaComposeResult.html	2	ComposeResult	debug-code-or-unreferenced-template
template/memoria/MemoriaComposeResult.html	5	Lv. : /	debug-code-or-unreferenced-template
template/memoria/MemoriaComposeResult.html	7	ATK :	formal-retained
template/memoria/MemoriaComposeResult.html	8	DEF :	formal-retained
template/memoria/MemoriaComposeResult.html	9	HP :	formal-retained
template/memoria/MemoriaComposeResult.html	10	SPE :	debug-code-or-unreferenced-template
template/memoria/MemoriaComposeResult.html	15	Lv. :	formal-retained
template/memoria/MemoriaComposeResult.html	17	ATK :	formal-retained
template/memoria/MemoriaComposeResult.html	18	DEF :	formal-retained
template/memoria/MemoriaComposeResult.html	19	HP :	formal-retained
template/memoria/MemoriaComposeResult.html	20	SPE :	debug-code-or-unreferenced-template
template/memoria/MemoriaComposeTop.html	83	所需 CC	localized-with-retained-formal-term
template/memoria/MemoriaComposeTop.html	87	持有 CC	localized-with-retained-formal-term
template/memoria/MemoriaComposeTop.html	92	可获得的EXP	localized-with-retained-formal-term
template/memoria/MemoriaComposeTop.html	106	Lv	formal-retained
template/memoria/MemoriaComposeTop.html	133	MAX	formal-retained
template/memoria/MemoriaComposeTop.html	141	Lv	formal-retained
template/memoria/MemoriaComposeTop.html	169	HP	formal-retained
template/memoria/MemoriaComposeTop.html	170	ATK	formal-retained
template/memoria/MemoriaComposeTop.html	171	DEF	formal-retained
template/memoria/MemoriaComposeTop.html	253	OK	formal-retained
template/memoria/MemoriaComposeTop.html	281	所需 CC	localized-with-retained-formal-term
template/memoria/MemoriaComposeTop.html	285	持有 CC	localized-with-retained-formal-term
template/memoria/MemoriaEquip.html	83	Lv /	formal-retained
template/memoria/MemoriaEquip.html	104	HP	formal-retained
template/memoria/MemoriaEquip.html	106	ATK	formal-retained
template/memoria/MemoriaEquip.html	108	DEF	formal-retained
template/memoria/MemoriaEquip.html	125	Lv	formal-retained
template/memoria/MemoriaEquipInfo.html	23	HP	formal-retained
template/memoria/MemoriaEquipInfo.html	25	ATK	formal-retained
template/memoria/MemoriaEquipInfo.html	27	DEF	formal-retained
template/memoria/MemoriaSetEquip.html	36	Lv /	formal-retained
template/memoria/MemoriaSetEquip.html	48	HP	formal-retained
template/memoria/MemoriaSetEquip.html	52	ATK	formal-retained
template/memoria/MemoriaSetEquip.html	56	DEF	formal-retained
template/memoria/MemoriaSetEquip.html	108	Lv /	formal-retained
template/memoria/MemoriaSetEquip.html	129	HP	formal-retained
template/memoria/MemoriaSetEquip.html	131	ATK	formal-retained
template/memoria/MemoriaSetEquip.html	133	DEF	formal-retained
template/memoria/MemoriaSetList.html	34	Lv /	formal-retained
template/memoria/MemoriaSetList.html	46	HP	formal-retained
template/memoria/MemoriaSetList.html	50	ATK	formal-retained
template/memoria/MemoriaSetList.html	54	DEF	formal-retained
template/memoria/MemoriaSetList.html	79	OK	formal-retained
template/memoria/PieceArchive.html	75	Lv	formal-retained
template/memoria/PieceArchive.html	122	OK	formal-retained
template/memoria/PieceArchive.html	151	合计出售CC	localized-with-retained-formal-term
template/memoria/PieceArchive.html	155	持有 CC	localized-with-retained-formal-term
template/memoria/PieceArchive.html	255	OK	formal-retained
template/memoria/UserMemoriaList.html	70	Lv	formal-retained
template/memoria/UserMemoriaList.html	117	OK	formal-retained
template/memoria/UserMemoriaList.html	149	张记忆结晶以CC出售。	localized-with-retained-formal-term
template/memoria/UserMemoriaList.html	164	合计出售CC	localized-with-retained-formal-term
template/memoria/UserMemoriaList.html	168	持有 CC	localized-with-retained-formal-term
template/memoria/UserMemoriaList.html	197	OK	formal-retained
template/patrol/PatrolDeckView.html	88	Lv	formal-retained
template/patrol/PatrolLumpResult.html	77	CC	formal-retained
template/patrol/PatrolLumpResult.html	82	CC	formal-retained
template/patrol/PatrolResult.html	77	CC	formal-retained
template/patrol/PatrolResult.html	82	CC	formal-retained
template/purchase/PurchaseTemps.html	2	DMM点数,	localized-with-retained-formal-term
template/purchase/PurchaseTemps.html	2	"16〜17岁
	为30,000日元DMM点数。"	localized-with-retained-formal-term
template/quest/EventQuest.html	264	消耗 AP	localized-with-retained-formal-term
template/quest/PreQuestPopup.html	47	按 HP	localized-with-retained-formal-term
template/quest/PreQuestPopup.html	65	Lv.99	formal-retained
template/quest/PreQuestPopup.html	72	Lv.99	formal-retained
template/quest/PreQuestPopup.html	79	Lv.99	formal-retained
template/quest/PreQuestPopup.html	86	Lv.99	formal-retained
template/quest/PreQuestPopup.html	100	Lv.	formal-retained
template/quest/puellaHistoria/lastBattle/GroupRaid.html	6	获得 DP	localized-with-retained-formal-term
template/quest/puellaHistoria/lastBattle/MainBossPopup.html	23	消耗 AP	localized-with-retained-formal-term
template/quest/puellaHistoria/lastBattle/QuestResultMainBoss.html	33	获得 DP	localized-with-retained-formal-term
template/quest/puellaHistoria/lastBattle/QuestResultMainBoss.html	37	合计DP	localized-with-retained-formal-term
template/quest/puellaHistoria/lastBattle/QuestResultSubBoss.html	26	获得 DP	localized-with-retained-formal-term
template/quest/puellaHistoria/lastBattle/QuestResultSubBoss.html	30	合计DP	localized-with-retained-formal-term
template/quest/puellaHistoria/lastBattle/SingleRaid.html	34	消耗 AP	localized-with-retained-formal-term
template/quest/puellaHistoria/lastBattle/SubBossList.html	17	消耗 AP	localized-with-retained-formal-term
template/quest/puellaHistoria/MirrorParts_debug.html	8	X坐标:	localized-with-retained-formal-term
template/quest/puellaHistoria/MirrorParts_debug.html	9	Y坐标:	localized-with-retained-formal-term
template/quest/puellaHistoria/MirrorParts_debug.html	13	初始X坐标:	localized-with-retained-formal-term
template/quest/puellaHistoria/MirrorParts_debug.html	14	初始Y坐标:	localized-with-retained-formal-term
template/quest/puellaHistoria/MirrorParts_debug.html	19	【iPad用】	localized-with-retained-formal-term
template/quest/puellaHistoria/MirrorParts_debug.html	23	opened:	debug-code-or-unreferenced-template
template/quest/puellaHistoria/MirrorParts_debug.html	26	state:	debug-code-or-unreferenced-template
template/quest/puellaHistoria/MirrorParts_debug.html	27	isClear:	debug-code-or-unreferenced-template
template/quest/puellaHistoria/MirrorParts_debug.html	28	openUp:	debug-code-or-unreferenced-template
template/quest/puellaHistoria/MirrorParts_debug.html	31	state:	debug-code-or-unreferenced-template
template/quest/puellaHistoria/MirrorParts_debug.html	32	isClear:	debug-code-or-unreferenced-template
template/quest/puellaHistoria/MirrorParts_debug.html	33	openUp:	debug-code-or-unreferenced-template
template/quest/puellaHistoria/MirrorParts_debug.html	36	state:	debug-code-or-unreferenced-template
template/quest/puellaHistoria/MirrorParts_debug.html	37	isClear:	debug-code-or-unreferenced-template
template/quest/puellaHistoria/MirrorParts_debug.html	38	openUp:	debug-code-or-unreferenced-template
template/quest/puellaHistoria/MirrorParts_debug.html	40	※isClear请填入「true」「false」	localized-with-retained-formal-term
template/quest/QuestBattleSelect.html	51	消耗AP：	localized-with-retained-formal-term
template/quest/QuestBattleSelect.html	91	消耗AP：	localized-with-retained-formal-term
template/quest/scene0/BattleSelectBossPopup.html	51	消耗 AP	localized-with-retained-formal-term
template/quest/SupportSelect.html	105	消耗AP：	localized-with-retained-formal-term
template/regularEvent/accomplish/RegularEventAccomplishTop.html	137	HP	formal-retained
template/regularEvent/accomplish/RegularEventAccomplishTop.html	256	displayBase：	debug-code-or-unreferenced-template
template/regularEvent/accomplish/RegularEventAccomplishTop.html	257	displayAlignIcon：	debug-code-or-unreferenced-template
template/regularEvent/accomplish/RegularEventAccomplishTop.html	258	X：	debug-code-or-unreferenced-template
template/regularEvent/accomplish/RegularEventAccomplishTop.html	259	Y：	debug-code-or-unreferenced-template
template/regularEvent/accomplish/RegularEventAccomplishTop.html	260	scale：	debug-code-or-unreferenced-template
template/regularEvent/accomplish/RegularEventAccomplishTop.html	261	currentHp：	debug-code-or-unreferenced-template
template/regularEvent/groupBattle/RegularEventGroupBattleBoss.html	14	Lv	formal-retained
template/regularEvent/groupBattle/RegularEventGroupBattleBoss.html	30	MP	formal-retained
template/regularEvent/groupBattle/RegularEventGroupBattleBoss.html	72	继承MP	localized-with-retained-formal-term
template/regularEvent/groupBattle/RegularEventGroupBattleBoss.html	76	Charge数	localized-with-retained-formal-term
template/regularEvent/groupBattle/RegularEventGroupBattleBoss.html	112	支援Pt	localized-with-retained-formal-term
template/regularEvent/groupBattle/RegularEventGroupBattleBoss.html	136	Lv出现了!	localized-with-retained-formal-term
template/regularEvent/groupBattle/RegularEventGroupBattleBoss.html	156	距下一等级所需GP为	localized-with-retained-formal-term
template/regularEvent/groupBattle/RegularEventGroupBattleBoss.html	157	GP	formal-retained
template/regularEvent/groupBattle/RegularEventGroupBattleMission.html	49	x	formal-retained
template/regularEvent/groupBattle/RegularEventGroupBattleMission.html	52	x	formal-retained
template/regularEvent/groupBattle/RegularEventGroupBattleRanking.html	51	S	formal-retained
template/regularEvent/groupBattle/RegularEventGroupBattleRanking.html	52	A - B	formal-retained
template/regularEvent/groupBattle/RegularEventGroupBattleRanking.html	53	C - D	formal-retained
template/regularEvent/groupBattle/RegularEventGroupBattleResult.html	56	BOSS Lv加成	localized-with-retained-formal-term
template/regularEvent/groupBattle/RegularEventGroupBattleResult.html	57	x	formal-retained
template/regularEvent/groupBattle/RegularEventGroupBattleResult.html	61	x	formal-retained
template/regularEvent/groupBattle/RegularEventGroupBattleResult.html	64	获得GP	localized-with-retained-formal-term
template/regularEvent/groupBattle/RegularEventGroupBattleResult.html	68	继承Charge数	localized-with-retained-formal-term
template/regularEvent/groupBattle/RegularEventGroupBattleResult.html	71	继承MP	localized-with-retained-formal-term
template/regularEvent/groupBattle/RegularEventGroupBattleUnionLog.html	17	持有GP:	localized-with-retained-formal-term
template/regularEvent/groupBattle/RegularEventGroupBattleUser.html	23	心魔最大Lv	localized-with-retained-formal-term
template/regularEvent/groupBattle/RegularEventGroupCommon.html	3	debug	debug-code-or-unreferenced-template
template/regularEvent/groupBattle/RegularEventGroupCommon.html	71	Lv	formal-retained
template/regularEvent/groupBattle/RegularEventGroupCommon.html	83	继承MP	localized-with-retained-formal-term
template/regularEvent/groupBattle/RegularEventGroupCommon.html	88	Charge数	localized-with-retained-formal-term
template/regularEvent/groupBattle/RegularEventGroupCommon.html	145	S	formal-retained
template/regularEvent/groupBattle/RegularEventGroupCommon.html	146	A - B	formal-retained
template/regularEvent/groupBattle/RegularEventGroupCommon.html	147	C - D	formal-retained
template/regularEvent/groupBattle/RegularEventGroupCommon.html	156	自己持有的GP	localized-with-retained-formal-term
