file	leaf_path	classification	base	local	remote	after	source_tier	evidence	source_commit
magica/js/libs/eventStoryList.json	733/pointTitle	both-divergent	Story	故事	剧情	剧情	manual-structural-ui-term	magica/i18n_audit/event_story_structure_localization_20260820/APPLIED.tsv@origin/main	origin/main@ad4f4daf494b10793d23e045fe8ff24d01835afd
magica/js/libs/eventStoryList.json	734/pointTitle	both-divergent	Story	故事	剧情	剧情	manual-structural-ui-term	magica/i18n_audit/event_story_structure_localization_20260820/APPLIED.tsv@origin/main	origin/main@ad4f4daf494b10793d23e045fe8ff24d01835afd
magica/js/libs/eventStoryList.json	734/storyTitle	remote-only	Record Ⅰ	Record Ⅰ	记录Ⅰ	记录Ⅰ	manual-structural-ui-term	magica/i18n_audit/event_story_structure_localization_20260820/APPLIED.tsv@origin/main	origin/main@ad4f4daf494b10793d23e045fe8ff24d01835afd
magica/js/libs/eventStoryList.json	735/pointTitle	both-divergent	Story	故事	剧情	剧情	manual-structural-ui-term	magica/i18n_audit/event_story_structure_localization_20260820/APPLIED.tsv@origin/main	origin/main@ad4f4daf494b10793d23e045fe8ff24d01835afd
magica/js/libs/eventStoryList.json	735/storyTitle	remote-only	Record Ⅱ	Record Ⅱ	记录Ⅱ	记录Ⅱ	manual-structural-ui-term	magica/i18n_audit/event_story_structure_localization_20260820/APPLIED.tsv@origin/main	origin/main@ad4f4daf494b10793d23e045fe8ff24d01835afd
magica/js/libs/eventStoryList.json	736/pointTitle	both-divergent	Story	故事	剧情	剧情	manual-structural-ui-term	magica/i18n_audit/event_story_structure_localization_20260820/APPLIED.tsv@origin/main	origin/main@ad4f4daf494b10793d23e045fe8ff24d01835afd
magica/js/libs/eventStoryList.json	736/storyTitle	remote-only	Record Ⅲ	Record Ⅲ	记录Ⅲ	记录Ⅲ	manual-structural-ui-term	magica/i18n_audit/event_story_structure_localization_20260820/APPLIED.tsv@origin/main	origin/main@ad4f4daf494b10793d23e045fe8ff24d01835afd
magica/js/libs/eventStoryList.json	737/pointTitle	both-divergent	Story	故事	剧情	剧情	manual-structural-ui-term	magica/i18n_audit/event_story_structure_localization_20260820/APPLIED.tsv@origin/main	origin/main@ad4f4daf494b10793d23e045fe8ff24d01835afd
magica/js/libs/eventStoryList.json	738/pointTitle	both-divergent	Story	故事	剧情	剧情	manual-structural-ui-term	magica/i18n_audit/event_story_structure_localization_20260820/APPLIED.tsv@origin/main	origin/main@ad4f4daf494b10793d23e045fe8ff24d01835afd
magica/js/libs/eventStoryList.json	738/storyTitle	remote-only	Record Ⅳ	Record Ⅳ	记录Ⅳ	记录Ⅳ	manual-structural-ui-term	magica/i18n_audit/event_story_structure_localization_20260820/APPLIED.tsv@origin/main	origin/main@ad4f4daf494b10793d23e045fe8ff24d01835afd
magica/js/libs/eventStoryList.json	739/pointTitle	both-divergent	Story	故事	剧情	剧情	manual-structural-ui-term	magica/i18n_audit/event_story_structure_localization_20260820/APPLIED.tsv@origin/main	origin/main@ad4f4daf494b10793d23e045fe8ff24d01835afd
magica/js/libs/eventStoryList.json	739/storyTitle	remote-only	Record Ⅴ-1	Record Ⅴ-1	记录Ⅴ-1	记录Ⅴ-1	manual-structural-ui-term	magica/i18n_audit/event_story_structure_localization_20260820/APPLIED.tsv@origin/main	origin/main@ad4f4daf494b10793d23e045fe8ff24d01835afd
magica/js/libs/eventStoryList.json	74/storyTitle	remote-only	8话(End No3)	8话(End No3)	8话（结局3）	8话（结局3）	manual-structural-ui-term	magica/i18n_audit/event_story_structure_localization_20260820/APPLIED.tsv@origin/main	origin/main@ad4f4daf494b10793d23e045fe8ff24d01835afd
magica/js/libs/eventStoryList.json	740/pointTitle	both-divergent	Story	故事	剧情	剧情	manual-structural-ui-term	magica/i18n_audit/event_story_structure_localization_20260820/APPLIED.tsv@origin/main	origin/main@ad4f4daf494b10793d23e045fe8ff24d01835afd
magica/js/libs/eventStoryList.json	740/storyTitle	remote-only	Record Ⅴ-2	Record Ⅴ-2	记录Ⅴ-2	记录Ⅴ-2	manual-structural-ui-term	magica/i18n_audit/event_story_structure_localization_20260820/APPLIED.tsv@origin/main	origin/main@ad4f4daf494b10793d23e045fe8ff24d01835afd
magica/js/libs/eventStoryList.json	741/pointTitle	both-divergent	Story	故事	剧情	剧情	manual-structural-ui-term	magica/i18n_audit/event_story_structure_localization_20260820/APPLIED.tsv@origin/main	origin/main@ad4f4daf494b10793d23e045fe8ff24d01835afd
magica/js/libs/eventStoryList.json	741/storyTitle	remote-only	Record Ⅵ-1	Record Ⅵ-1	记录Ⅵ-1	记录Ⅵ-1	manual-structural-ui-term	magica/i18n_audit/event_story_structure_localization_20260820/APPLIED.tsv@origin/main	origin/main@ad4f4daf494b10793d23e045fe8ff24d01835afd
magica/js/libs/eventStoryList.json	742/pointTitle	both-divergent	Story	故事	剧情	剧情	manual-structural-ui-term	magica/i18n_audit/event_story_structure_localization_20260820/APPLIED.tsv@origin/main	origin/main@ad4f4daf494b10793d23e045fe8ff24d01835afd
magica/js/libs/eventStoryList.json	742/storyTitle	remote-only	Record Ⅵ-2	Record Ⅵ-2	记录Ⅵ-2	记录Ⅵ-2	manual-structural-ui-term	magica/i18n_audit/event_story_structure_localization_20260820/APPLIED.tsv@origin/main	origin/main@ad4f4daf494b10793d23e045fe8ff24d01835afd
magica/js/libs/eventStoryList.json	743/pointTitle	both-divergent	Story	故事	剧情	剧情	manual-structural-ui-term	magica/i18n_audit/event_story_structure_localization_20260820/APPLIED.tsv@origin/main	origin/main@ad4f4daf494b10793d23e045fe8ff24d01835afd
magica/js/libs/eventStoryList.json	743/storyTitle	remote-only	Record Ⅶ-1	Record Ⅶ-1	记录Ⅶ-1	记录Ⅶ-1	manual-structural-ui-term	magica/i18n_audit/event_story_structure_localization_20260820/APPLIED.tsv@origin/main	origin/main@ad4f4daf494b10793d23e045fe8ff24d01835afd
magica/js/libs/eventStoryList.json	744/pointTitle	both-divergent	Story	故事	剧情	剧情	manual-structural-ui-term	magica/i18n_audit/event_story_structure_localization_20260820/APPLIED.tsv@origin/main	origin/main@ad4f4daf494b10793d23e045fe8ff24d01835afd
magica/js/libs/eventStoryList.json	744/storyTitle	remote-only	Record Ⅶ-2	Record Ⅶ-2	记录Ⅶ-2	记录Ⅶ-2	manual-structural-ui-term	magica/i18n_audit/event_story_structure_localization_20260820/APPLIED.tsv@origin/main	origin/main@ad4f4daf494b10793d23e045fe8ff24d01835afd
magica/js/libs/eventStoryList.json	745/pointTitle	both-divergent	Story	故事	剧情	剧情	manual-structural-ui-term	magica/i18n_audit/event_story_structure_localization_20260820/APPLIED.tsv@origin/main	origin/main@ad4f4daf494b10793d23e045fe8ff24d01835afd
magica/js/libs/eventStoryList.json	745/storyTitle	remote-only	Record Ⅶ-3	Record Ⅶ-3	记录Ⅶ-3	记录Ⅶ-3	manual-structural-ui-term	magica/i18n_audit/event_story_structure_localization_20260820/APPLIED.tsv@origin/main	origin/main@ad4f4daf494b10793d23e045fe8ff24d01835afd
magica/js/libs/eventStoryList.json	746/pointTitle	both-divergent	Story	故事	剧情	剧情	manual-structural-ui-term	magica/i18n_audit/event_story_structure_localization_20260820/APPLIED.tsv@origin/main	origin/main@ad4f4daf494b10793d23e045fe8ff24d01835afd
magica/js/libs/eventStoryList.json	746/storyTitle	remote-only	Record Ⅷ-1	Record Ⅷ-1	记录Ⅷ-1	记录Ⅷ-1	manual-structural-ui-term	magica/i18n_audit/event_story_structure_localization_20260820/APPLIED.tsv@origin/main	origin/main@ad4f4daf494b10793d23e045fe8ff24d01835afd
magica/js/libs/eventStoryList.json	747/pointTitle	both-divergent	Story	故事	剧情	剧情	manual-structural-ui-term	magica/i18n_audit/event_story_structure_localization_20260820/APPLIED.tsv@origin/main	origin/main@ad4f4daf494b10793d23e045fe8ff24d01835afd
magica/js/libs/eventStoryList.json	747/storyTitle	remote-only	Record Ⅷ-2	Record Ⅷ-2	记录Ⅷ-2	记录Ⅷ-2	manual-structural-ui-term	magica/i18n_audit/event_story_structure_localization_20260820/APPLIED.tsv@origin/main	origin/main@ad4f4daf494b10793d23e045fe8ff24d01835afd
magica/js/libs/eventStoryList.json	748/pointTitle	both-divergent	Story	故事	剧情	剧情	manual-structural-ui-term	magica/i18n_audit/event_story_structure_localization_20260820/APPLIED.tsv@origin/main	origin/main@ad4f4daf494b10793d23e045fe8ff24d01835afd
magica/js/libs/eventStoryList.json	748/storyTitle	remote-only	Record Ⅸ	Record Ⅸ	记录Ⅸ	记录Ⅸ	manual-structural-ui-term	magica/i18n_audit/event_story_structure_localization_20260820/APPLIED.tsv@origin/main	origin/main@ad4f4daf494b10793d23e045fe8ff24d01835afd
magica/js/libs/eventStoryList.json	749/pointTitle	both-divergent	Story	故事	剧情	剧情	manual-structural-ui-term	magica/i18n_audit/event_story_structure_localization_20260820/APPLIED.tsv@origin/main	origin/main@ad4f4daf494b10793d23e045fe8ff24d01835afd
magica/js/libs/eventStoryList.json	749/storyTitle	remote-only	Record Ⅹ	Record Ⅹ	记录Ⅹ	记录Ⅹ	manual-structural-ui-term	magica/i18n_audit/event_story_structure_localization_20260820/APPLIED.tsv@origin/main	origin/main@ad4f4daf494b10793d23e045fe8ff24d01835afd
magica/js/libs/eventStoryList.json	750/pointTitle	both-divergent	Story	故事	剧情	剧情	manual-structural-ui-term	magica/i18n_audit/event_story_structure_localization_20260820/APPLIED.tsv@origin/main	origin/main@ad4f4daf494b10793d23e045fe8ff24d01835afd
magica/js/libs/eventStoryList.json	79/storyTitle	remote-only	10话(End No2)	10话(End No2)	10话（结局2）	10话（结局2）	manual-structural-ui-term	magica/i18n_audit/event_story_structure_localization_20260820/APPLIED.tsv@origin/main	origin/main@ad4f4daf494b10793d23e045fe8ff24d01835afd
magica/js/libs/eventStoryList.json	90/storyTitle	remote-only	TRUE END	TRUE END	真结局	真结局	manual-structural-ui-term	magica/i18n_audit/event_story_structure_localization_20260820/APPLIED.tsv@origin/main	origin/main@ad4f4daf494b10793d23e045fe8ff24d01835afd
magica/js/libs/eventStoryList.json	92/storyTitle	remote-only	9话(End No4)	9话(End No4)	9话（结局4）	9话（结局4）	manual-structural-ui-term	magica/i18n_audit/event_story_structure_localization_20260820/APPLIED.tsv@origin/main	origin/main@ad4f4daf494b10793d23e045fe8ff24d01835afd
magica/js/libs/eventStoryList.json	93/storyTitle	remote-only	13话(End No5)	13话(End No5)	13话（结局5）	13话（结局5）	manual-structural-ui-term	magica/i18n_audit/event_story_structure_localization_20260820/APPLIED.tsv@origin/main	origin/main@ad4f4daf494b10793d23e045fe8ff24d01835afd
magica/js/libs/eventStoryList.json	94/storyTitle	remote-only	14话(End No6)	14话(End No6)	14话（结局6）	14话（结局6）	manual-structural-ui-term	magica/i18n_audit/event_story_structure_localization_20260820/APPLIED.tsv@origin/main	origin/main@ad4f4daf494b10793d23e045fe8ff24d01835afd
magica/js/libs/eventStoryList.json	945/storyTitle	remote-only	5话(End No1)	5话(End No1)	5话（结局1）	5话（结局1）	manual-structural-ui-term	magica/i18n_audit/event_story_structure_localization_20260820/APPLIED.tsv@origin/main	origin/main@ad4f4daf494b10793d23e045fe8ff24d01835afd
magica/js/libs/eventStoryList.json	95/storyTitle	remote-only	15话(End No7)	15话(End No7)	15话（结局7）	15话（结局7）	manual-structural-ui-term	magica/i18n_audit/event_story_structure_localization_20260820/APPLIED.tsv@origin/main	origin/main@ad4f4daf494b10793d23e045fe8ff24d01835afd
magica/js/libs/eventStoryList.json	953/storyTitle	remote-only	8话(End No3)	8话(End No3)	8话（结局3）	8话（结局3）	manual-structural-ui-term	magica/i18n_audit/event_story_structure_localization_20260820/APPLIED.tsv@origin/main	origin/main@ad4f4daf494b10793d23e045fe8ff24d01835afd
magica/js/libs/eventStoryList.json	958/storyTitle	remote-only	10话(End No2)	10话(End No2)	10话（结局2）	10话（结局2）	manual-structural-ui-term	magica/i18n_audit/event_story_structure_localization_20260820/APPLIED.tsv@origin/main	origin/main@ad4f4daf494b10793d23e045fe8ff24d01835afd
magica/js/libs/eventStoryList.json	969/storyTitle	remote-only	TRUE END	TRUE END	真结局	真结局	manual-structural-ui-term	magica/i18n_audit/event_story_structure_localization_20260820/APPLIED.tsv@origin/main	origin/main@ad4f4daf494b10793d23e045fe8ff24d01835afd
magica/js/libs/eventStoryList.json	971/storyTitle	remote-only	9话(End No4)	9话(End No4)	9话（结局4）	9话（结局4）	manual-structural-ui-term	magica/i18n_audit/event_story_structure_localization_20260820/APPLIED.tsv@origin/main	origin/main@ad4f4daf494b10793d23e045fe8ff24d01835afd
magica/js/libs/eventStoryList.json	972/storyTitle	remote-only	13话(End No5)	13话(End No5)	13话（结局5）	13话（结局5）	manual-structural-ui-term	magica/i18n_audit/event_story_structure_localization_20260820/APPLIED.tsv@origin/main	origin/main@ad4f4daf494b10793d23e045fe8ff24d01835afd
magica/js/libs/eventStoryList.json	973/storyTitle	remote-only	14话(End No6)	14话(End No6)	14话（结局6）	14话（结局6）	manual-structural-ui-term	magica/i18n_audit/event_story_structure_localization_20260820/APPLIED.tsv@origin/main	origin/main@ad4f4daf494b10793d23e045fe8ff24d01835afd
magica/js/libs/eventStoryList.json	974/storyTitle	remote-only	15话(End No7)	15话(End No7)	15话（结局7）	15话（结局7）	manual-structural-ui-term	magica/i18n_audit/event_story_structure_localization_20260820/APPLIED.tsv@origin/main	origin/main@ad4f4daf494b10793d23e045fe8ff24d01835afd
magica/js/libs/itemList.json	1141/name	both-divergent	Over Limiter	界限突破器	限制解除器	限制解除器	derived-current-product-authority	magica/i18n_audit/libs_derived_name_localization_20260820/APPLIED.tsv@origin/main	origin/main@ad4f4daf494b10793d23e045fe8ff24d01835afd
magica/js/libs/itemList.json	1142/name	both-divergent	Over Limiter - Core	界限突破器·核心	限制解除器·核心	限制解除器·核心	derived-current-product-authority	magica/i18n_audit/libs_derived_name_localization_20260820/APPLIED.tsv@origin/main	origin/main@ad4f4daf494b10793d23e045fe8ff24d01835afd
magica/js/libs/pieceList.json	1039/pieceName	remote-only	Artist and assistants	Artist and assistants	艺术家与助手们	艺术家与助手们	manual-context-reviewed	magica/i18n_audit/piece_title_localization_20260820/APPLIED.tsv@origin/main	origin/main@ad4f4daf494b10793d23e045fe8ff24d01835afd
magica/js/libs/pieceList.json	23/pieceName	remote-only	Different Story：Rookies	Different Story：Rookies	另一段故事：新人们	另一段故事：新人们	manual-context-reviewed	magica/i18n_audit/piece_title_localization_20260820/APPLIED.tsv@origin/main	origin/main@ad4f4daf494b10793d23e045fe8ff24d01835afd
magica/js/libs/pieceList.json	309/pieceName	remote-only	Three geniuses	Three geniuses	三位天才	三位天才	wiki-exact-same-record	piece_title_localization and libs_json_completion audits@origin/main	origin/main@ad4f4daf494b10793d23e045fe8ff24d01835afd
magica/js/libs/pieceList.json	46/pieceName	remote-only	As a fashion model 	As a fashion model 	作为一位时尚模特	作为一位时尚模特	wiki-exact-same-record	piece_title_localization and libs_json_completion audits@origin/main	origin/main@ad4f4daf494b10793d23e045fe8ff24d01835afd
magica/js/libs/pieceList.json	55/pieceName	remote-only	Begin a Hunt	Begin a Hunt	开始狩猎	开始狩猎	wiki-exact-same-record	piece_title_localization and libs_json_completion audits@origin/main	origin/main@ad4f4daf494b10793d23e045fe8ff24d01835afd
magica/js/libs/pieceList.json	589/description	both-divergent	"I just put him in front of the camera in a kawaii pose, talk in a funny voice, aaand... ""Hiii, I'm Kumanosuke! Ashley's friend! Today I'll be taking over to show you all the cool kawaii stuff in Kamihama."" Are you ready? Kumanosuke's Kawaii Kamihama show is about to begin!"	在相机前摆出卡哇伊的姿势，再改变一下语调……＠“大家好，我是熊乃介！是小阿什的朋友唷＠今天就让我替她来介绍神滨的卡哇伊吧”＠非常卡哇伊的熊乃介神滨介绍视频就要开始了～	我把他放在镜头前并摆好了卡哇伊的姿势，用有趣的声音说道… “嗨，我是熊乃介！是阿什莉的朋友！今天我会给大家展示神滨市所有又酷又卡哇伊的地方。”准备好了吗？熊乃介的卡哇伊神滨show就要开始了！	我把他放在镜头前并摆好了卡哇伊的姿势，用有趣的声音说道… “嗨，我是熊乃介！是阿什莉的朋友！今天我会给大家展示神滨市所有又酷又卡哇伊的地方。”准备好了吗？熊乃介的卡哇伊神滨show就要开始了！	wiki-exact-same-record	piece_title_localization and libs_json_completion audits@origin/main	origin/main@ad4f4daf494b10793d23e045fe8ff24d01835afd
magica/js/libs/pieceList.json	59/pieceName	remote-only	Splash party!	Splash party!	戏水派对！	戏水派对！	wiki-exact-same-record	piece_title_localization and libs_json_completion audits@origin/main	origin/main@ad4f4daf494b10793d23e045fe8ff24d01835afd
magica/js/libs/pieceList.json	590/description	both-divergent	Phew, nice one, guys! That wraps up another day of hunting Witches! All right, Kumanosuke... It's time for our sweet victory pose! Face the camera, and... 1...2... Perfect! SO kawaii!	呼，干得漂亮，各位！今天的魔女狩猎也顺利结束了！好啦，熊乃介……该摆出我们的甜美胜利姿势了！看镜头……1……2……完美！超级可爱！	呼，大家干得漂亮！魔女狩猎的一天又结束啦！好的，熊乃介……是时候来摆我们的可爱胜利姿势了！对着镜头，然后……1、2……好！太卡哇伊啦！	呼，大家干得漂亮！魔女狩猎的一天又结束啦！好的，熊乃介……是时候来摆我们的可爱胜利姿势了！对着镜头，然后……1、2……好！太卡哇伊啦！	wiki-exact-same-record	piece_title_localization and libs_json_completion audits@origin/main	origin/main@ad4f4daf494b10793d23e045fe8ff24d01835afd
magica/js/libs/pieceList.json	590/pieceName	both-divergent	My Victory Pose Is Kawaii Too	我的胜利姿势也很可爱	我的胜利姿势也很卡哇伊唷	我的胜利姿势也很卡哇伊唷	wiki-exact-same-record	piece_title_localization and libs_json_completion audits@origin/main	origin/main@ad4f4daf494b10793d23e045fe8ff24d01835afd
magica/js/libs/pieceList.json	591/description	both-divergent	The streets are filled with so much kawaii stuff, I don't know where to put my eyes! Everything is so cute, I can't help wanting it ALL. But ya see, my closet's already exploding with stuff, so I can't buy everything... Just the MOST kawaii things!	街上到处都是可爱的东西，我都不知道该看哪里了！每一样都这么可爱，真想全部带回家。可是我的衣柜已经塞得满满的，买不下所有东西了……所以只挑最可爱的吧！	这些街道上全是卡哇伊的东西，我都不知道眼睛往哪放了！一切都是那么可爱，我想全——部拥有它们。但是，你懂的，我的壁橱已经塞满了东西了，所以没法买下一切……就只买最卡哇伊的那些！	这些街道上全是卡哇伊的东西，我都不知道眼睛往哪放了！一切都是那么可爱，我想全——部拥有它们。但是，你懂的，我的壁橱已经塞满了东西了，所以没法买下一切……就只买最卡哇伊的那些！	wiki-exact-same-record	piece_title_localization and libs_json_completion audits@origin/main	origin/main@ad4f4daf494b10793d23e045fe8ff24d01835afd
magica/js/libs/pieceList.json	591/pieceName	both-divergent	Kawaii Collection	可爱收藏	卡哇伊收藏	卡哇伊收藏	wiki-exact-same-record	piece_title_localization and libs_json_completion audits@origin/main	origin/main@ad4f4daf494b10793d23e045fe8ff24d01835afd
magica/js/libs/pieceList.json	595/pieceName	both-divergent	Night Buzz Time	夜间热聊时光	夜间热议时刻	夜间热议时刻	manual-context-reviewed	magica/i18n_audit/piece_title_localization_20260820/APPLIED.tsv@origin/main	origin/main@ad4f4daf494b10793d23e045fe8ff24d01835afd
magica/js/libs/pieceList.json	596/pieceName	both-divergent	Secret of Success	成功秘诀	成功的秘诀	成功的秘诀	manual-context-reviewed	magica/i18n_audit/piece_title_localization_20260820/APPLIED.tsv@origin/main	origin/main@ad4f4daf494b10793d23e045fe8ff24d01835afd
magica/js/libs/pieceList.json	598/pieceName	both-divergent	Never Forget	永不忘记	永不忘却	永不忘怀	latest-user-authored-manual-intent	.github/workflows/localize-clear-english-memoria-titles-batch2-20260820.yml@origin/main (manual_pairs)	origin/main@ad4f4daf494b10793d23e045fe8ff24d01835afd
magica/js/libs/pieceList.json	664/pieceName	both-divergent	Miracle☆Reporters	奇迹☆记者团	奇迹☆记者们	奇迹☆记者们	manual-context-reviewed	magica/i18n_audit/piece_title_localization_20260820/APPLIED.tsv@origin/main	origin/main@ad4f4daf494b10793d23e045fe8ff24d01835afd
magica/js/libs/pieceList.json	731/pieceName	remote-only	First record	First record	最初的记录	最初的记录	manual-context-reviewed	magica/i18n_audit/piece_title_localization_20260820/APPLIED.tsv@origin/main	origin/main@ad4f4daf494b10793d23e045fe8ff24d01835afd
magica/js/libs/pieceList.json	794/pieceName	both-divergent	Mikoto in Mirrors	镜中的命	镜界中的濑奈命	镜界中的濑奈命	manual-context-reviewed	magica/i18n_audit/piece_title_localization_20260820/APPLIED.tsv@origin/main	origin/main@ad4f4daf494b10793d23e045fe8ff24d01835afd
magica/js/libs/pieceSkillMap.json	161200/name	both-divergent	Never Forget	永不忘记	永不忘却	永不忘怀	latest-user-authored-manual-intent	.github/workflows/localize-clear-english-memoria-titles-batch2-20260820.yml@origin/main (manual_pairs)	origin/main@ad4f4daf494b10793d23e045fe8ff24d01835afd
magica/js/libs/pieceSkillMap.json	161201/name	both-divergent	Never Forget	永不忘记	永不忘却	永不忘怀	latest-user-authored-manual-intent	.github/workflows/localize-clear-english-memoria-titles-batch2-20260820.yml@origin/main (manual_pairs)	origin/main@ad4f4daf494b10793d23e045fe8ff24d01835afd
magica/js/libs/shopItemList.json	468/name	both-divergent	Miracle☆Reporters	奇迹☆记者团	奇迹☆记者们	奇迹☆记者们	derived-current-product-authority	magica/i18n_audit/libs_derived_name_localization_20260820/APPLIED.tsv@origin/main	origin/main@ad4f4daf494b10793d23e045fe8ff24d01835afd
magica/js/libs/shopItemList.json	549/name	both-divergent	Over Limiter - Core	界限突破器·核心	限制解除器·核心	限制解除器·核心	derived-current-product-authority	magica/i18n_audit/libs_derived_name_localization_20260820/APPLIED.tsv@origin/main	origin/main@ad4f4daf494b10793d23e045fe8ff24d01835afd
magica/js/libs/shopItemList.json	619/name	both-divergent	Over Limiter - Core	界限突破器·核心	限制解除器·核心	限制解除器·核心	derived-current-product-authority	magica/i18n_audit/libs_derived_name_localization_20260820/APPLIED.tsv@origin/main	origin/main@ad4f4daf494b10793d23e045fe8ff24d01835afd
