item_id	path	count	source_tier	evidence	note	before	after
TXT-A011-04	magica/js/_common/nativeCommand2.js	1	official-cn	A:/magicaOLD/js/_common/nativeCommand2.js#battle-tips	official CN terminology; exact visible string literal	"""取消圆盘"""	"""取消行动盘"""
TXT-A011-05	magica/js/_common/nativeCommand2.js	1	official-cn	A:/magicaOLD/js/_common/nativeCommand2.js#battle-tips	official CN terminology; exact visible string literal	"""点击已选中的圆盘即可取消@从而重新选择圆盘"""	"""点击已选中的行动盘即可取消@从而重新选择行动盘"""
TXT-A011-06	magica/js/_common/nativeCommand2.js	1	official-cn	A:/magicaOLD/js/_common/nativeCommand2.js#battle-tips	official CN terminology; exact visible string literal	"""即使在选择圆盘的过程中@也可以发动技能"""	"""即使在选择行动盘的过程中@也可以发动技能"""
TXT-A011-07	magica/js/_common/nativeCommand2.js	1	official-cn	A:/magicaOLD/js/_common/nativeCommand2.js#battle-tips	official CN terminology; exact visible string literal	"""更改圆盘外观"""	"""更改行动盘外观"""
TXT-A011-08	magica/js/_common/nativeCommand2.js	1	official-cn	A:/magicaOLD/js/_common/nativeCommand2.js#battle-tips	official CN terminology; exact visible string literal	"""在魔法少女详情画面的设置中@可以更改圆盘的外观"""	"""在魔法少女详情画面的设置中@可以更改行动盘的外观"""
TXT-A011-09	magica/js/_common/nativeCommand2.js	2	official-cn	A:/magicaOLD/js/_common/nativeCommand2.js#battle-tips	official CN terminology; exact visible string literal	"""Accele 圆盘"""	"""Accele 行动盘"""
TXT-A011-10	magica/js/_common/nativeCommand2.js	1	official-cn	A:/magicaOLD/js/_common/nativeCommand2.js#battle-tips	official CN terminology; exact visible string literal	"""先用 Accele 圆盘攻击@之后的圆盘更容易积攒 Magia 槽"""	"""先用 Accele 行动盘攻击@之后的行动盘更容易积攒 Magia 槽"""
TXT-A011-11	magica/js/_common/nativeCommand2.js	1	official-cn	A:/magicaOLD/js/_common/nativeCommand2.js#battle-tips	official CN terminology; exact visible string literal	"""越是第 2 张、第 3 张 Accele 圆盘@越容易积攒 Magia 槽"""	"""越是第 2 张、第 3 张 Accele 行动盘@越容易积攒 Magia 槽"""
TXT-A011-12	magica/js/_common/nativeCommand2.js	3	official-cn	A:/magicaOLD/js/_common/nativeCommand2.js#battle-tips	official CN terminology; exact visible string literal	"""Blast 圆盘"""	"""Blast 行动盘"""
TXT-A011-13	magica/js/_common/nativeCommand2.js	1	official-cn	A:/magicaOLD/js/_common/nativeCommand2.js#battle-tips	official CN terminology; exact visible string literal	"""用 Blast 圆盘攻击时@不会积攒 Magia 槽，请注意"""	"""用 Blast 行动盘攻击时@不会积攒 Magia 槽，请注意"""
TXT-A011-14	magica/js/_common/nativeCommand2.js	1	official-cn	A:/magicaOLD/js/_common/nativeCommand2.js#battle-tips	official CN terminology; exact visible string literal	"""圆盘的出现"""	"""行动盘的出现"""
TXT-A011-15	magica/js/_common/nativeCommand2.js	1	official-cn	A:/magicaOLD/js/_common/nativeCommand2.js#battle-tips	official CN terminology; exact visible string literal	"""被指定为队长的魔法少女@圆盘更容易出现"""	"""被指定为队长的魔法少女@行动盘更容易出现"""
TXT-H001	magica/template/arena/ArenaSimulate.html	1	new-human	path-scoped visible confirmation control	active UI control; does not alter code keys	"<span id=""codeBattleStartBtn"" class=""TE btn b_pink se_decide""><span class=""b_screen""></span>OK</span>"	"<span id=""codeBattleStartBtn"" class=""TE btn b_pink se_decide""><span class=""b_screen""></span>确定</span>"
TXT-H002	magica/template/config/ConfigTop.html	1	new-human	path-scoped visible confirmation control	active UI control; does not alter code keys	"<span class=""btn b_pink se_decide TE dataDecide popupCloseBtn""><span class=""b_screen""></span>OK</span>"	"<span class=""btn b_pink se_decide TE dataDecide popupCloseBtn""><span class=""b_screen""></span>确定</span>"
TXT-H003	magica/template/formation/DeckFormation.html	3	new-human	path-scoped visible confirmation control	active UI control; does not alter code keys	"<td><span id=""autoFormationBtn"" class=""btn b_pink TE se_decide""><span class='b_screen'></span>OK</span></td>"	"<td><span id=""autoFormationBtn"" class=""btn b_pink TE se_decide""><span class='b_screen'></span>确定</span></td>"
TXT-H004	magica/template/memoria/MemoriaComposeTop.html	1	new-human	path-scoped visible confirmation control	active UI control; does not alter code keys	"<td><span class=""decideBtn se_cancel btn b_pink TE""><span class='b_screen'></span>OK</span></td>"	"<td><span class=""decideBtn se_cancel btn b_pink TE""><span class='b_screen'></span>确定</span></td>"
TXT-H005	magica/template/memoria/MemoriaSetList.html	1	new-human	path-scoped visible confirmation control	active UI control; does not alter code keys	"<div class=""btn b_pink se_decide TE"" id=""commentDecide""><span class=""b_screen""></span>OK</div>"	"<div class=""btn b_pink se_decide TE"" id=""commentDecide""><span class=""b_screen""></span>确定</div>"
TXT-H006	magica/template/memoria/PieceArchive.html	1	new-human	path-scoped visible confirmation control	active UI control; does not alter code keys	"<td><span class=""decideBtn se_cancel btn b_pink TE""><span class='b_screen'></span>OK</span></td>"	"<td><span class=""decideBtn se_cancel btn b_pink TE""><span class='b_screen'></span>确定</span></td>"
TXT-H007	magica/template/memoria/PieceArchive.html	1	new-human	path-scoped visible confirmation control	active UI control; does not alter code keys	"<div class=""btn b_pink se_decide TE"" id=""commentDecide""><span class=""b_screen""></span>OK</div>"	"<div class=""btn b_pink se_decide TE"" id=""commentDecide""><span class=""b_screen""></span>确定</div>"
TXT-H008	magica/template/memoria/UserMemoriaList.html	1	new-human	path-scoped visible confirmation control	active UI control; does not alter code keys	"<td><span class=""decideBtn se_cancel btn b_pink TE""><span class='b_screen'></span>OK</span></td>"	"<td><span class=""decideBtn se_cancel btn b_pink TE""><span class='b_screen'></span>确定</span></td>"
TXT-H009	magica/template/memoria/UserMemoriaList.html	1	new-human	path-scoped visible confirmation control	active UI control; does not alter code keys	"<div class=""btn b_pink se_decide TE"" id=""commentDecide""><span class=""b_screen""></span>OK</div>"	"<div class=""btn b_pink se_decide TE"" id=""commentDecide""><span class=""b_screen""></span>确定</div>"
TXT-H010	magica/template/user/MyProfilePopup.html	1	new-human	path-scoped visible confirmation control	active UI control; does not alter code keys	"<span id=""settingDecideBtn"" class=""decideBtn se_kettei02 popupCloseBtn btn TE b_white""><span class='b_screen'></span>OK</span>"	"<span id=""settingDecideBtn"" class=""decideBtn se_kettei02 popupCloseBtn btn TE b_white""><span class='b_screen'></span>确定</span>"
TXT-H011	magica/template/user/MyProfilePopup.html	1	new-human	path-scoped visible confirmation control	active UI control; does not alter code keys	"<span id=""arenaDecideBtn"" class=""decideBtn se_kettei02 popupCloseBtn btn TE b_white"">
						<span class='b_screen'></span>OK"	"<span id=""arenaDecideBtn"" class=""decideBtn se_kettei02 popupCloseBtn btn TE b_white"">
						<span class='b_screen'></span>确定"
TXT-H012	magica/js/view/memoria/PieceArchiveView.js	2	new-human	path-scoped visible confirmation control	active UI control; does not alter code keys	"decideBtnText:""OK"""	"decideBtnText:""确定"""
TXT-H013	magica/js/view/memoria/PieceArchiveView.js	2	new-human	path-scoped visible confirmation control	active UI control; does not alter code keys	"closeBtnText:""OK"""	"closeBtnText:""确定"""
