path,status,current_rule_count,old_rule_count,common_rule_count,exact_rule_count,changed_rule_count,current_only_rule_count,old_only_rule_count,selector_jaccard,current_content_strings,old_content_strings
css/chara/CharaCustomize.css,shared_modified,68,68,68,29,39,0,0,1.0,,
css/chara/CharaEnhancementTree.css,shared_modified,211,211,201,90,111,10,10,0.909502,所持,所持
css/chara/CharaEquip.css,shared_modified,53,42,38,13,25,15,4,0.666667,,
css/chara/CharaTop.css,shared_modified,6,6,6,2,4,0,0,1.0,,
css/collection/CharaCollection.css,shared_modified,39,39,39,16,23,0,0,1.0,,
css/collection/CollectionTop.css,shared_modified,13,13,13,2,11,0,0,1.0,,
css/collection/DoppelCollection.css,shared_modified,33,29,29,13,16,4,0,0.878788,,
css/collection/EnemyCollection.css,shared_modified,32,28,28,9,19,4,0,0.875,,
css/collection/MagiRepo.css,shared_modified,25,25,25,8,17,0,0,1.0,,
css/collection/MagiRepoDetail.css,shared_modified,28,28,28,8,20,0,0,1.0,,
css/collection/MemoriaCollection.css,shared_modified,63,63,62,36,26,1,1,0.96875,所持数 | 選択数,持有数量 | 选择数量
css/collection/StoryCollection.css,shared_modified,222,129,128,56,72,94,1,0.573991,所持 | 所持,所持 | 所持
css/config/ConfigTop.css,shared_modified,271,350,101,32,69,170,249,0.194231,,
css/etc/Help.css,shared_modified,24,24,23,17,6,1,1,0.92,,
css/event/EventArenaRankMatch/Result.css,current_only,132,0,0,0,0,132,0,0.0,対戦相手,
css/event/EventArenaRankMatch/Top.css,current_only,216,0,0,0,0,216,0,0.0,,
css/event/EventArenaRankMatch/parts/OpponentPopup.css,old_only,0,33,0,0,0,0,33,0.0,,
css/event/EventWalpurgis/GroupRaid.css,shared_modified,126,126,119,0,119,7,7,0.894737,,
css/event/EventWalpurgis/QuestResultMainBoss.css,old_only,0,63,0,0,0,0,63,0.0,,
css/event/EventWalpurgis/QuestResultSubBoss.css,shared_modified,61,61,61,0,61,0,0,1.0,,
css/event/EventWitch/ExchangeTop.css,shared_modified,108,108,107,0,107,1,1,0.981651,スキルタイプ | スキル | アビリティタイプ | アビリティ,スキルタイプ | スキル | アビリティタイプ | アビリティ
css/event/EventWitch/Top.css,shared_modified,130,130,130,0,130,0,0,1.0,,
css/event/accomplish/EventAccomplishDeck.css,shared_modified,79,79,79,36,43,0,0,1.0,,
css/event/accomplish/EventAccomplishEnemyDetail.css,shared_modified,56,56,56,15,41,0,0,1.0,,
css/event/accomplish/EventAccomplishRecovery.css,shared_modified,54,54,54,20,34,0,0,1.0,,
css/event/accomplish/EventAccomplishTop.css,shared_modified,71,71,71,23,48,0,0,1.0,,
css/event/aprilfool2018/EventAprilFoolTop.css,old_only,0,72,0,0,0,0,72,0.0,,
css/event/arenaMission/EventArenaMissionCommon.css,shared_identical,9,9,9,9,0,0,0,1.0,,
css/event/arenaMission/EventArenaMissionResult.css,old_only,0,231,0,0,0,0,231,0.0,,
css/event/arenaMission/EventArenaMissionStage.css,shared_modified,148,148,147,60,87,1,1,0.986577,,
css/event/arenaMission/EventArenaMissionTop.css,shared_modified,63,63,63,25,38,0,0,1.0,,
css/event/branch/EventBranch.css,shared_modified,84,81,74,11,63,10,7,0.813187,,
css/event/dailytower/EventDailyTower.css,shared_modified,173,94,93,41,52,80,1,0.534483,次のクエストは未解放です\a 解放日時までお待ち下さい,下一个副本尚未解锁\A解锁前请耐心等候
css/event/dungeon/EventDungeonClearAnimation.css,old_only,0,139,0,0,0,0,139,0.0,,
css/event/dungeon/EventDungeonCurePopup.css,old_only,0,16,0,0,0,0,16,0.0,,
css/event/dungeon/EventDungeonInfoParts.css,old_only,0,13,0,0,0,0,13,0.0,,
css/event/dungeon/EventDungeonMap.css,shared_modified,116,111,110,28,82,6,1,0.940171,,
css/event/dungeon/EventDungeonTop.css,shared_modified,103,101,99,17,82,4,2,0.942857,,
css/event/raid/EventRaidInfoParts.css,old_only,0,9,0,0,0,0,9,0.0,,
css/event/raid/EventRaidRewardParts.css,old_only,0,37,0,0,0,0,37,0.0,,
css/event/raid/EventRaidRpCurePopup.css,old_only,0,17,0,0,0,0,17,0.0,,
css/event/raid/EventRaidTop.css,shared_modified,274,275,272,64,208,2,3,0.981949,受け取る,领取
css/event/singleraid/EventSingleRaidTop.css,shared_modified,182,171,168,42,126,14,3,0.908108,,
css/event/storyraid/EventStoryRaidTop.css,shared_modified,167,167,166,40,126,1,1,0.988095,,
css/event/storyraid/FinalAnimation.css,shared_modified,32,32,32,0,32,0,0,1.0,,
css/event/tower/EventTower.css,shared_modified,85,85,84,48,36,1,1,0.976744,次のクエストは未解放です\a 解放日時までお待ち下さい,下一个副本尚未解锁\A解锁前请耐心等候
css/event/training/EventTrainingCharaSelect.css,shared_modified,57,57,57,10,47,0,0,1.0,,
css/event/training/EventTrainingTop.css,shared_modified,72,72,72,30,42,0,0,1.0,,
css/follow/FollowTop.css,shared_modified,128,123,123,76,47,5,0,0.960938,,
css/formation/DeckFormation.css,shared_modified,730,609,594,274,320,136,15,0.797315,コピー先 | 第一の結界 | 第二の結界 | 第三の結界 | 第四の結界 | 終の結界,复制位置
css/formation/DeckFormationDungeon.css,old_only,0,76,0,0,0,0,76,0.0,,
css/formation/DeckFormationGroup.css,old_only,0,23,0,0,0,0,23,0.0,,
css/formation/FormationArena.css,old_only,0,1,0,0,0,0,1,0.0,,
css/formation/FormationQuest.css,shared_modified,280,280,280,125,155,0,0,1.0,,
css/formation/FormationSupport.css,old_only,0,1,0,0,0,0,1,0.0,,
css/formation/FormationTop.css,shared_modified,14,14,14,3,11,0,0,1.0,,
css/gacha/GachaResult.css,shared_modified,139,98,98,43,55,41,0,0.705036,,
css/gacha/GachaSaleSettingPopup.css,old_only,0,17,0,0,0,0,17,0.0,,
css/gacha/GachaTop.css,shared_modified,379,304,298,122,176,81,6,0.774026,,
css/gacha/SelectableGachaCharaSelect.css,shared_modified,38,38,38,14,24,0,0,1.0,,
css/gacha/SelectableGachaPieceSelect.css,shared_modified,60,60,60,24,36,0,0,1.0,,
css/item/ItemListTop.css,shared_modified,74,71,71,31,40,3,0,0.959459,,
css/memoria/MemoriaComposeTop.css,shared_modified,257,227,207,57,150,50,20,0.747292,ベース選択 | 所持数 | 選択数,基础选择 | 持有数量 | 选择数量
css/memoria/MemoriaEquip.css,shared_modified,111,109,109,54,55,2,0,0.981982,,
css/memoria/MemoriaSetEquip.css,shared_modified,72,66,66,32,34,6,0,0.916667,,
css/memoria/MemoriaSetList.css,shared_modified,32,31,31,16,15,1,0,0.96875,,
css/memoria/MemoriaTop.css,shared_modified,34,12,12,1,11,22,0,0.352941,,
css/memoria/PieceArchive.css,old_only,0,36,0,0,0,0,36,0.0,,保管数量
css/memoria/UserMemoriaList.css,shared_modified,277,169,146,72,74,131,23,0.486667,表示中 | 表示中 | 限界突破済 | 所持数 | 保管数 | 選択数,保管数量 | 界限突破完成 | 持有数量 | 选择数
css/mission/DoppelMissionTop.css,shared_modified,57,57,57,21,36,0,0,1.0,,
css/mission/MissionTop.css,shared_modified,137,107,71,34,37,66,36,0.410405,挑戦する | 受け取る,挑战 | 领取 | 去解锁
css/mission/PanelMissionTop.css,shared_modified,95,95,95,23,72,0,0,1.0,,
css/patrol/PatrolDeckView.css,old_only,0,92,0,0,0,0,92,0.0,,総戦力値 | ドロップ期待度
css/patrol/PatrolLumpFormation.css,shared_modified,241,241,223,0,223,18,18,0.861004,戦力値 | 所用時間 | 総戦力値 | ドロップ期待度 | 総戦力値 | ドロップ期待度,戦力値 | 所用時間 | 総戦力値 | ドロップ期待度 | 総戦力値 | ドロップ期待度
css/patrol/PatrolLumpResult.css,shared_modified,171,171,171,0,171,0,0,1.0,,
css/patrol/PatrolResult.css,shared_modified,173,173,173,0,173,0,0,1.0,,
css/patrol/PatrolTop.css,shared_modified,47,47,47,0,47,0,0,1.0,,
css/present/GachaHistory.css,shared_modified,37,35,35,21,14,2,0,0.945946,,
css/present/PresentController.css,old_only,0,3,0,0,0,0,3,0.0,,
css/present/PresentHistory.css,shared_modified,52,52,52,29,23,0,0,1.0,,
css/present/PresentList.css,shared_modified,44,44,44,20,24,0,0,1.0,,
css/quest/CharaQuest.css,shared_modified,156,156,156,47,109,0,0,1.0,,
css/quest/EventQuest.css,shared_modified,102,86,84,34,50,18,2,0.807692,,
css/quest/MainQuest.css,shared_modified,269,226,224,68,156,45,2,0.826568,最新までクリア済です\a 次回のストーリー配信をお待ち下さい,已通关最新剧情\A请等待后续剧情的更新
css/quest/MainQuestBranch.css,shared_modified,7,8,7,2,5,0,1,0.875,,
css/quest/MainQuestSingleRaid.css,shared_modified,12,8,7,2,5,5,1,0.538462,,
css/quest/PuellaHistoriaLastBattle/GroupRaid.css,current_only,126,0,0,0,0,126,0,0.0,,
css/quest/PuellaHistoriaLastBattle/QuestResultMainBoss.css,current_only,66,0,0,0,0,66,0,0.0,,
css/quest/PuellaHistoriaLastBattle/QuestResultSubBoss.css,current_only,64,0,0,0,0,64,0,0.0,,
css/quest/PuellaHistoriaLastBattle/SingleRaid.css,shared_modified,41,41,41,0,41,0,0,1.0,,
css/quest/PuellaHistoriaTop.css,shared_modified,91,91,91,0,91,0,0,1.0,,
css/quest/QuestBattleSelect.css,shared_modified,192,108,106,44,62,86,2,0.546392,,
css/quest/QuestCommon.css,shared_modified,230,228,228,33,195,2,0,0.991304,,
css/quest/QuestResult.css,shared_modified,489,411,411,110,301,78,0,0.840491,,
css/quest/SecondPartLastBattleConfirm.css,shared_modified,56,56,55,0,55,1,1,0.964912,参加済,参加済
css/quest/SecondPartLastBoss.css,shared_modified,21,21,21,0,21,0,0,1.0,,
css/quest/SecondPartLastEnemyDetailPopup.css,old_only,0,66,0,0,0,0,66,0.0,,
css/quest/SecondPartLastFormation.css,shared_modified,133,133,128,0,128,5,5,0.927536,推奨戦力 | 戦力値,推奨戦力 | 戦力値
css/quest/SecondPartLastTop.css,shared_modified,217,217,217,0,217,0,0,1.0,,
css/quest/SubQuest.css,shared_modified,155,42,41,10,31,114,1,0.262821,,
css/quest/SupportSelect.css,shared_modified,183,172,171,60,111,12,1,0.929348,,
css/quest/scene0/BattleSelect.css,shared_modified,111,111,111,0,111,0,0,1.0,,
css/quest/scene0/SideStorySelect.css,shared_modified,45,45,45,0,45,0,0,1.0,,
css/quest/scene0/StorySelectAfterFilm1.css,shared_modified,40,40,40,0,40,0,0,1.0,,
css/quest/scene0/StorySelectBeforeFilm1.css,shared_modified,45,45,45,0,45,0,0,1.0,,
css/quest/scene0/Top.css,shared_modified,25,25,25,0,25,0,0,1.0,,
css/quest/scene0/UseItem.css,old_only,0,3,0,0,0,0,3,0.0,,
css/regularEvent/RegularEventTop.css,old_only,0,21,0,0,0,0,21,0.0,,
css/regularEvent/accomplish/RegularEventAccomplishRecovery.css,shared_modified,5,5,5,0,5,0,0,1.0,,
css/regularEvent/accomplish/RegularEventAccomplishTop.css,shared_modified,249,249,243,0,243,6,6,0.952941,,
css/regularEvent/extermination/RegularEventExterminationBattleConfirm.css,shared_modified,53,53,52,0,52,1,1,0.962963,参加済,参加済
css/regularEvent/extermination/RegularEventExterminationBattleSelect.css,shared_modified,278,278,276,0,276,2,2,0.985714,,
css/regularEvent/extermination/RegularEventExterminationDifficultyPopupView.css,old_only,0,62,0,0,0,0,62,0.0,,
css/regularEvent/extermination/RegularEventExterminationFormation.css,shared_modified,137,137,132,0,132,5,5,0.929577,推奨戦力 | 戦力値,推奨戦力 | 戦力値
css/regularEvent/extermination/RegularEventExterminationTop.css,shared_modified,120,120,110,0,110,10,10,0.846154,,
css/regularEvent/groupBattle/RegularEventGroupBattleBoss.css,old_only,0,379,0,0,0,0,379,0.0,,ダメージ | 现在的层级 | 已达成的击退Lv | 最高获得徽章 | 必要GP | 每日伤害 | 撃退Lv | 受け取る | 推荐队伍战力 | 难易度在确定之后也能进行更改 | 心魔攻略情报
css/regularEvent/groupBattle/RegularEventGroupBattleRanking.css,old_only,0,360,0,0,0,0,360,0.0,,ダメージ | 现在的层级 | 已达成的击退Lv | 最高获得徽章 | 必要GP | 每日伤害 | 撃退Lv | 受け取る | 推荐队伍战力 | 难易度在确定之后也能进行更改 | 心魔攻略情报
css/regularEvent/groupBattle/RegularEventGroupBattleResult.css,old_only,0,390,0,0,0,0,390,0.0,,ダメージ | 现在的层级 | 已达成的击退Lv | 最高获得徽章 | 必要GP | 每日伤害 | 撃退Lv | 受け取る | 推荐队伍战力 | 难易度在确定之后也能进行更改 | 心魔攻略情报
css/regularEvent/groupBattle/RegularEventGroupBattleSelectUnion.css,shared_modified,28,28,28,7,21,0,0,1.0,,
css/regularEvent/groupBattle/RegularEventGroupBattleTop.css,shared_modified,316,280,76,18,58,240,204,0.146154,現在のグレード | 必要GP | 必要撃退数 | 到達した撃退Lv | 最高獲得エンブレム | デイリーダメージ | 現在のグレード,ダメージ | 现在的层级 | 已达成的击退Lv | 最高获得徽章 | 必要GP | 每日伤害 | 撃退Lv | 受け取る | 推荐队伍战力 | 难易度在确定之后也能进行更改 | 心魔攻略情报
css/regularEvent/groupBattle/RegularEventGroupBattleUser.css,old_only,0,366,0,0,0,0,366,0.0,,ダメージ | 现在的层级 | 已达成的击退Lv | 最高获得徽章 | 必要GP | 每日伤害 | 撃退Lv | 受け取る | 推荐队伍战力 | 难易度在确定之后也能进行更改 | 心魔攻略情报
css/shop/ShopTop.css,shared_modified,257,198,193,67,126,64,5,0.736641,所持 | 合計価格 | 所持 | 価格 | 合計価格 | 所持数,持有 | 合计价格 | 持有 | 价格 | 持有数
css/terms/Terms.css,shared_modified,4,4,4,0,4,0,0,1.0,,
css/test/Backdoor.css,shared_modified,104,70,70,32,38,34,0,0.673077,,
css/test/BackdoorEpLv.css,shared_modified,9,9,9,5,4,0,0,1.0,,
css/test/BackdoorLive2d.css,shared_modified,15,15,15,12,3,0,0,1.0,,
css/test/BackdoorQuestBattle.css,current_only,45,0,0,0,0,45,0,0.0,,
css/test/BackdoorQuestList.css,shared_modified,6,4,4,1,3,2,0,0.666667,,
css/test/CameraTest.css,old_only,0,78,0,0,0,0,78,0.0,,
css/test/CreateTestUser.css,old_only,0,7,0,0,0,0,7,0.0,,
css/test/DeleteDataTest.css,current_only,4,0,0,0,0,4,0,0.0,,
css/test/DoubleUnitTest.css,shared_identical,2,2,2,2,0,0,0,1.0,,
css/test/EffectTest.css,shared_modified,470,388,135,25,110,335,253,0.186722,現在のグレード | 必要GP | 必要撃退数 | 到達した撃退Lv | 最高獲得エンブレム | デイリーダメージ | 現在のグレード,ダメージ | 现在的层级 | 已达成的击退Lv | 最高获得徽章 | 必要GP | 每日伤害 | 撃退Lv | 受け取る | 推荐队伍战力 | 难易度在确定之后也能进行更改 | 心魔攻略情报
css/test/FriendSearch.css,shared_modified,9,9,9,3,6,0,0,1.0,,
css/test/MailSendTest.css,current_only,11,0,0,0,0,11,0,0.0,,
css/test/NativeSandBox.css,shared_modified,5,294,0,0,0,5,294,0.0,,ダメージ | 现在的层级 | 已达成的击退Lv | 最高获得徽章 | 必要GP | 每日伤害 | 撃退Lv | 受け取る | 推荐队伍战力 | 难易度在确定之后也能进行更改 | 心魔攻略情报
css/test/QuestStub.css,shared_modified,16,16,16,9,7,0,0,1.0,,
css/test/RaidAnimationTest.css,shared_modified,51,51,51,6,45,0,0,1.0,,
css/test/RealGachaTop.css,shared_modified,3,3,3,2,1,0,0,1.0,,
css/test/SdCharaTest.css,current_only,330,0,0,0,0,330,0,0.0,現在のグレード | 必要GP | 必要撃退数 | 到達した撃退Lv | 最高獲得エンブレム | デイリーダメージ | 現在のグレード,
css/test/SelectStoryTest.css,shared_modified,31,27,27,9,18,4,0,0.870968,,
css/test/ShopReworkTest.css,current_only,98,0,0,0,0,98,0,0.0,所持 | 所持,
css/test/SoundTest.css,shared_modified,8,8,8,6,2,0,0,1.0,,
css/test/StyleTemplate.css,shared_modified,20,20,20,16,4,0,0,1.0,,
css/test/SubSecondTest.css,current_only,3,0,0,0,0,3,0,0.0,,
css/test/TapEffectTest.css,shared_identical,1,1,1,1,0,0,0,1.0,,
css/test/TipsTest.css,shared_modified,3,3,3,1,2,0,0,1.0,,
css/test/TransferSetting.css,old_only,0,4,0,0,0,0,4,0.0,,
css/test/isBrowser.css,shared_modified,1,2,1,0,1,0,1,0.5,,
css/test/isLocal.css,shared_identical,1,1,1,1,0,0,0,1.0,,
css/top/NewVersionRecommend.css,shared_modified,18,18,18,4,14,0,0,1.0,,
css/top/SampleTop-nomerge.css,old_only,0,9,0,0,0,0,9,0.0,,
css/top/Top.css,shared_modified,152,170,152,56,96,0,18,0.894118,,
css/user/BackgroundSet.css,shared_modified,14,14,14,5,9,0,0,1.0,,
css/user/Ban.css,shared_modified,6,6,6,1,5,0,0,1.0,,
css/user/EventRecord.css,shared_modified,341,341,328,0,328,13,13,0.926554,現在のグレード | 必要GP | 必要撃退数 | 到達した撃退Lv | 最高獲得エンブレム | デイリーダメージ | 現在のグレード,現在のグレード | 必要GP | 必要撃退数 | 到達した撃退Lv | 最高獲得エンブレム | デイリーダメージ | 現在のグレード
css/user/MyPage.css,shared_modified,224,194,186,36,150,38,8,0.801724,,
css/util/FilterPopup.css,old_only,0,76,0,0,0,0,76,0.0,,
css/util/SearchQuest.css,shared_modified,91,85,85,39,46,6,0,0.934066,,
