sequence	file	key	field	before	after	method	score	match_ratio	evidence	source_ja	release_source
14	cardList.json	21045	cardName	小圆·彩羽	圆·伊吕波	wiki_full_exact_review	97	1.0	data/archive/templates.jsonl.gz#Template:角色数据表/まどか・いろは || data/characters.json#圆_伊吕波	まどか・いろは	wiki_authority
15	cardList.json	21074	cardName	小圆前辈·小彩羽	小圆前辈·小伊吕波	wiki_full_exact_review	97	1.0	data/archive/articles.jsonl.gz#魔法少女贴纸 || data/archive/templates.jsonl.gz#Template:角色数据表/まどか先輩・いろはちゃん || data/characters.json#小圆前辈_小伊吕波	まどか先輩・いろはちゃん	wiki_authority
16	cardList.json	21075	cardName	小圆前辈·小彩羽	小圆前辈·小伊吕波	wiki_full_exact_review	97	1.0	data/archive/articles.jsonl.gz#魔法少女贴纸 || data/archive/templates.jsonl.gz#Template:角色数据表/まどか先輩・いろはちゃん || data/characters.json#小圆前辈_小伊吕波	まどか先輩・いろはちゃん	wiki_authority
17	cardMagiaMap.json	10018	shortDescription	对敌方全体造成伤害[Ⅷ] & HP回复(我方全体) & 解除异常状态(我方全体) & 复活	对敌方全体伤害[Ⅷ] & 回复HP(己全) & 状态异常解除(己全) & 苏生	wiki_character_template_typed_id	99	1.0	Template:角色数据表 charaId=1001 doppel-slot-8	敵全体にダメージ[Ⅷ] & HP回復(己全) & 状態異常解除(己全) & 蘇生	wiki_authority
18	cardMagiaMap.json	10028	shortDescription	对敌方全体造成伤害[Ⅸ] & Blast伤害提升(我方全体/3T) & 攻击力提升(我方全体/3T)	对敌方全体伤害[Ⅸ] & Blast伤害UP(全/3T) & 攻击力UP(全/3T)	wiki_character_template_typed_id	99	1.0	Template:角色数据表 charaId=1002 doppel-slot-8	敵全体にダメージ[Ⅸ] & Blast ダメージUP(全/3T) & 攻撃力UP(全/3T)	wiki_authority
19	cardMagiaMap.json	10038	shortDescription	对敌方全体造成伤害[Ⅹ] & Blast伤害提升 & Accele MP提升(我方全体/3T) & 必定回避(自身/1T)	对敌方全体伤害[Ⅹ] & Blast & Accele MPUP(全/3T) & 必定回避(自/1T)	wiki_character_template_typed_id	99	1.0	Template:角色数据表 charaId=1003 doppel-slot-8	敵全体にダメージ[Ⅹ] & Blast & Accele MPUP(全/3T) & 必ず回避(自/1T)	wiki_authority
20	cardMagiaMap.json	10048	shortDescription	对敌方全体造成伤害 & 2种效果随机发动	对敌方全体伤害 & 从2种效果中随机发动	wiki_character_template_typed_id	99	1.0	Template:角色数据表 charaId=1004 doppel-slot-8	敵全体にダメージ & ２パターンの効果がランダムで発動	wiki_authority
21	cardMagiaMap.json	10058	shortDescription	对敌方单体造成伤害[Ⅸ] & 防御力下降 & 进一步防御力下降(敌方单体/3T) & 必定赋予束缚(敌方单体/1T)	对敌方单体伤害[Ⅸ] & 防御力DOWN & 防御力进一步DOWN(敌单/3T) & 必定拘束(敌单/1T)	wiki_character_template_typed_id	99	1.0	Template:角色数据表 charaId=1005 doppel-slot-8	敵単体にダメージ[Ⅸ] & 防御力DOWN & さらに防御力DOWN(敌单/3T) & 必ず拘束(敌单/1T)	wiki_authority
22	cardMagiaMap.json	10068	shortDescription	对敌方全体造成伤害[Ⅸ] & 概率赋予迷惑(敌方全体/2T) & 解除Buff(敌方全体)	对敌方全体伤害[Ⅸ] & 必定幻惑(敌全/2T) & Buff解除(敌全)	wiki_character_template_typed_id	99	1.0	Template:角色数据表 charaId=1006 doppel-slot-8	敵全体にダメージ[Ⅸ] & 必ず幻惑(敌全/2T) & バフ解除(敌全)	wiki_authority
23	cardMagiaMap.json	10078	shortDescription	对敌方全体造成伤害[Ⅸ] & 防御力下降(敌方全体/3T) & 防御力提升(自身/3T) & Magia伤害提升(自身/5T)	对敌方全体伤害[Ⅸ] & 防御力DOWN(敌全/3T) & 防御力UP(自/3T) & Magia伤害UP(自/5T)	wiki_character_template_typed_id	99	1.0	Template:角色数据表 charaId=1007 doppel-slot-8	敵全体にダメージ[Ⅸ] & 防御力DOWN(敌全/3T) & 防御力UP(自/3T) & マギアダメージUP(自/5T)	wiki_authority
24	cardMagiaMap.json	10088	shortDescription	对敌方全体造成伤害[Ⅸ] & 必定赋予毒(敌方全体/3T) & 攻击力提升(自身/2T) & 暴击(自身/2T)	对敌方全体伤害[Ⅸ] & 必定毒(敌全/3T) & 攻击力UP(自/2T) & 暴击(自/2T)	wiki_character_template_typed_id	99	1.0	Template:角色数据表 charaId=1008 doppel-slot-8	敵全体にダメージ[Ⅸ] & 必ず毒(敌全/3T) & 攻撃力UP(自/2T) & クリティカル(自/2T)	wiki_authority
25	cardMagiaMap.json	10098	shortDescription	对敌方单体造成伤害[Ⅸ] & MP回复(自身) & Accele MP提升(自身/3T)	对敌方单体伤害[Ⅸ] & 回复MP(自) & Accele MPUP(自/3T)	wiki_character_template_typed_id	99	1.0	Template:角色数据表 charaId=1009 doppel-slot-8	敵単体にダメージ[Ⅸ] & MP回復(自) & Accele MPUP(自/3T)	wiki_authority
26	cardMagiaMap.json	10108	shortDescription	对敌方单体造成伤害[Ⅸ] & Charge后伤害提升 & Blast伤害提升(我方全体/3T)	对敌方单体伤害[Ⅸ] & Charge后伤害UP & Blast伤害UP(己全/3T)	wiki_character_template_typed_id	99	1.0	Template:角色数据表 charaId=1010 doppel-slot-8	敵単体にダメージ[Ⅸ] & Charge後ダメージUP & Blast ダメージUP(己全/3T)	wiki_authority
27	cardMagiaMap.json	10118	shortDescription	对敌方全体造成属性强化伤害[Ⅸ] & 必定赋予雾(敌方全体) & Charge后伤害提升 & Accele MP提升(我方全体/3T)	对敌方全体属性强化伤害[Ⅸ] & 必定雾(敌全) & Charge后伤害UP & Accele MPUP(全/3T)	wiki_character_template_typed_id	99	1.0	Template:角色数据表 charaId=1011 doppel-slot-8	敵全体に属性強化ダメージ[Ⅸ] & 必ず霧(敌全) & Charge後ダメージUP & Accele MPUP(全/3T)	wiki_authority
28	cardMagiaMap.json	10128	shortDescription	对敌方单体造成伤害[Ⅸ] & 防御力下降(敌方单体/3T) & Accele MP提升 & 伤害提升(我方全体/3T)	对敌方单体伤害[Ⅸ] & 防御力DOWN(敌单/3T) & Accele MPUP & 伤害UP(己全/3T)	wiki_character_template_typed_id	99	1.0	Template:角色数据表 charaId=1012 doppel-slot-8	敵単体にダメージ[Ⅸ] & 防御力DOWN(敌单/3T) & Accele MPUP & ダメージUP(己全/3T)	wiki_authority
29	cardMagiaMap.json	10138	shortDescription	对敌方单体造成伤害[Ⅸ] & 伤害削减(我方全体/3T) & 必定挑衅(自身/1T) & HP自动回复(自身/3T)	对敌方单体伤害[Ⅸ] & 伤害削减状态(己全/3T) & 必定挑衅 & 自动回复HP(自/3T)	wiki_character_template_typed_id	99	1.0	Template:角色数据表 charaId=1013 doppel-slot-8	敵単体にダメージ[Ⅸ] & ダメージカット状態(己全/3T) & 必ず挑発 & HP自動回復(自/3T)	wiki_authority
30	cardMagiaMap.json	10148	shortDescription	对敌方单体造成伤害[Ⅸ] & 必定赋予诱惑、诅咒、黑暗(敌方单体/1T) & 解除状态强化(敌方单体) & 攻击力提升(我方全体/3T)	对敌方单体伤害[Ⅸ] & 必定魅惑、诅咒、黑暗(敌单/1T) & 状态强化解除(敌单) & 攻击力UP(己全/3T)	wiki_character_template_typed_id	99	1.0	Template:角色数据表 charaId=1014 doppel-slot-8	敵単体にダメージ[Ⅸ] & 必ず魅了・呪い・暗闇(敌单/1T) & 状態強化解除(敌单) & 攻撃力UP(己全/3T)	wiki_authority
31	cardMagiaMap.json	10158	shortDescription	对敌方全体造成伤害[Ⅹ] & MP伤害(敌方全体) & 必定赋予诅咒(敌方全体/1T) & MP回复(自身)	对敌方全体伤害[Ⅹ] & MP伤害(敌全) & 必定诅咒(敌全/1T) & 回复MP(自)	wiki_character_template_typed_id	99	1.0	Template:角色数据表 charaId=1015 doppel-slot-8	敵全体にダメージ[Ⅹ] & MPダメージ(敌全) & 必ず呪い(敌全/1T) & MP回復(自)	wiki_authority
32	cardMagiaMap.json	10168	shortDescription	随机5次造成伤害[Ⅷ] & 回避无效(我方全体/1T) & 伤害削减(自身/1T)	随机5次 伤害[Ⅷ] & 必定回避无效(己全/1T) & 伤害削减(自/1T)	wiki_character_template_typed_id	99	1.0	Template:角色数据表 charaId=1016 doppel-slot-8	ランダム5回 ダメージ[Ⅷ] & 必ず回避無効(己全/1T) & ダメージカット(自/1T)	wiki_authority
33	cardMagiaMap.json	10178	shortDescription	必定赋予强化诅咒 & 必定赋予剧毒 & 必定Magia封印(敌方全体/3T) & 攻击力提升(我方全体/3T) & 对自身赋予诅咒(1T)	必定强化诅咒 & 必定强化毒 & 必定Magia封印(敌全/3T) & 攻击力UP(全/3T) & 自身诅咒(1T)	wiki_character_template_typed_id	99	1.0	Template:角色数据表 charaId=1017 doppel-slot-8	必ず強化呪い & 必ず強化毒 & 必ずマギア不可(敌全/3T) & 攻撃力UP(全/3T) & 自身に呪い(1T)	wiki_authority
34	cardMagiaMap.json	10188	shortDescription	对敌方全体造成属性强化伤害[Ⅸ] & Charge后伤害提升(全/5T)	对敌方全体属性强化伤害[Ⅸ] & Charge后伤害UP(全/5T)	wiki_character_template_typed_id	99	1.0	Template:角色数据表 charaId=1018 doppel-slot-8	敵全体に属性強化ダメージ[Ⅸ] & Charge後ダメージUP(全/5T)	wiki_authority
35	cardMagiaMap.json	10198	shortDescription	对敌方全体造成伤害[Ⅷ] & Accele MP提升(我方全体/3T)	对敌方全体伤害[Ⅷ] & Accele MPUP(全/3T)	wiki_character_template_typed_id	99	1.0	Template:角色数据表 charaId=1019 doppel-slot-8	敵全体にダメージ[Ⅷ] & Accele MPUP(全/3T)	wiki_authority
36	cardMagiaMap.json	10204	shortDescription	对敌方全体造成伤害[Ⅴ] & 必定毒(敌方全体/3T) & 木属性攻击力提升 & HP自动回复(我方全体/3T) & 解除异常状态(我方全体)	对敌方全体伤害[Ⅴ] & 必定毒(敌全/3T) & 木属性攻击力UP & 自动回复HP(己全/3T) & 状态异常解除(己全)	wiki_character_template_typed_id	99	1.0	Template:角色数据表 charaId=1020 magia-rank-4	敵全体にダメージ[Ⅴ] & 必ず毒(敌全/3T) & 木属性攻撃力UP & HP自動回復(己全/3T) & 状態異常解除(己全)	wiki_authority
37	cardMagiaMap.json	10205	shortDescription	对敌方全体造成伤害[Ⅶ] & 必定毒(敌方全体/3T) & 木属性攻击力提升 & HP自动回复(我方全体/3T) & 解除异常状态(我方全体)	对敌方全体伤害[Ⅶ] & 必定毒(敌全/3T) & 木属性攻击力UP & 自动回复HP(己全/3T) & 状态异常解除(己全)	wiki_character_template_typed_id	99	1.0	Template:角色数据表 charaId=1020 magia-rank-5	敵全体にダメージ[Ⅶ] & 必ず毒(敌全/3T) & 木属性攻撃力UP & HP自動回復(己全/3T) & 状態異常解除(己全)	wiki_authority
38	cardMagiaMap.json	10208	shortDescription	对敌方全体造成属性强化伤害[Ⅸ] & 必定毒(敌方全体/3T) & 木属性攻击力提升(我方全体/5T) & HP自动回复(我方全体/3T) & 解除异常状态(我方全体)	对敌方全体属性强化伤害[Ⅸ] & 必定毒(敌全/3T) & 木属性攻击力UP(己全/5T) & 自动回复HP(己全/3T) & 状态异常解除(己全)	wiki_character_template_typed_id	99	1.0	Template:角色数据表 charaId=1020 doppel-slot-8	敵全体に属性強化ダメージ[Ⅸ] & 必ず毒(敌全/3T) & 木属性攻撃力UP(己全/5T) & HP自動回復(己全/3T) & 状態異常解除(己全)	wiki_authority
39	cardMagiaMap.json	10214	shortDescription	对敌方单体造成属性强化伤害[Ⅴ] & 攻击力提升 & Magia伤害提升 & 赋予屏障(7000)(自身/3T)	对敌方单体属性强化伤害[Ⅴ] & 攻击力UP & Magia伤害UP & 给与屏障(7000)(自/3T)	wiki_character_template_typed_id	99	1.0	Template:角色数据表 charaId=1021 magia-rank-4	敵単体に属性強化ダメージ[Ⅴ] & 攻撃力UP & マギアダメージUP & バリア(7000)を付与(自/3T)	wiki_authority
40	cardMagiaMap.json	10215	shortDescription	对敌方单体造成属性强化伤害[Ⅶ] & 攻击力提升 & Magia伤害提升 & 赋予屏障(10000)(自身/3T)	对敌方单体属性强化伤害[Ⅶ] & 攻击力UP & Magia伤害UP & 给与屏障(10000)(自/3T)	wiki_character_template_typed_id	99	1.0	Template:角色数据表 charaId=1021 magia-rank-5	敵単体に属性強化ダメージ[Ⅶ] & 攻撃力UP & マギアダメージUP & バリア(10000)を付与(自/3T)	wiki_authority
41	cardMagiaMap.json	10218	name	惩戒的魔女化身	责罚的魔女化身	wiki_character_template_typed_id	99	1.0	Template:角色数据表 charaId=1021 doppel-slot-8	折檻のドッペル	wiki_authority
42	cardMagiaMap.json	10218	shortDescription	对敌方单体造成属性强化伤害[Ⅸ] & 攻击力提升 & Magia伤害提升 & 光属性攻击力提升 & 赋予屏障(15000)(自身/5T)	对敌方单体属性强化伤害[Ⅸ] & 攻击力UP & Magia伤害UP & 光属性攻击力UP & 给与屏障(15000)(自/5T)	wiki_character_template_typed_id	99	1.0	Template:角色数据表 charaId=1021 doppel-slot-8	敵単体に属性強化ダメージ[Ⅸ] & 攻撃力UP & マギアダメージUP & 光属性攻撃力UP & バリア(15000)を付与(自/5T)	wiki_authority
43	cardMagiaMap.json	10225	name	上啊！光之军团！	去吧！光之军团！	wiki_character_template_typed_id	99	1.0	Template:角色数据表 charaId=1022 magia-rank-5	{{Ruby|行け！ひかる軍団！|Go! Hikaru Soldiers!|ja|en}}	wiki_authority
44	cardMagiaMap.json	10225	shortDescription	对敌方全体造成伤害[Ⅶ] & 概率暴击 & 异常状态耐性提升(我方全体/3T)	对敌方全体伤害[Ⅶ] & 概率暴击 & 状态异常耐性UP(全/3T)	wiki_character_template_typed_id	99	1.0	Template:角色数据表 charaId=1022 magia-rank-5	敵全体にダメージ[Ⅶ] & 確率でクリティカル & 状態異常耐性UP(全/3T)	wiki_authority
45	cardMagiaMap.json	10228	shortDescription	对敌方全体造成伤害[Ⅸ] & 概率暴击 & 异常状态耐性提升(我方全体/3T)	对敌方全体伤害[IX] & 概率暴击 & 状态异常耐性UP(全/3T)	wiki_character_template_typed_id	99	1.0	Template:角色数据表 charaId=1022 doppel-slot-8	敵全体にダメージ[IX] & 確率でクリティカル & 状態異常耐性UP(全/3T)	wiki_authority
46	cardMagiaMap.json	10235	shortDescription	对敌方单体造成伤害[Ⅷ] & 解除Buff & 解除状态强化(敌方单体) & 伤害提升(我方全体/3T)	对敌方单体伤害[Ⅷ] & Buff解除 & 状态强化解除(敌单) & 伤害UP(己全/3T)	wiki_character_template_typed_id	99	1.0	Template:角色数据表 charaId=1023 magia-rank-5	敵単体にダメージ[Ⅷ] & バフ解除 & 状態強化解除(敌单) & ダメージUP(己全/3T)	wiki_authority
47	cardMagiaMap.json	10238	shortDescription	对敌方单体造成伤害[Ⅹ] & 解除Buff & 解除状态强化(敌方单体) & 伤害提升(我方全体/3T)	对敌方单体伤害[Ⅹ] & Buff解除 & 状态强化解除(敌单) & 伤害UP(己全/3T)	wiki_character_template_typed_id	99	1.0	Template:角色数据表 charaId=1023 doppel-slot-8	敵単体にダメージ[Ⅹ] & バフ解除 & 状態強化解除(敌单) & ダメージUP(己全/3T)	wiki_authority
48	cardMagiaMap.json	10244	shortDescription	对敌方全体造成伤害[Ⅴ] & 必定灼伤(敌方全体/3T) & 火属性攻击力提升 & 概率无视伤害削减(自身/3T)	对敌方全体伤害[Ⅴ] & 必定烧伤(敌全/3T) & 火属性攻击力UP & 概率无视伤害削减(自/3T)	wiki_character_template_typed_id	99	1.0	Template:角色数据表 charaId=1024 magia-rank-4	敵全体にダメージ[Ⅴ] & 必ずやけど(敌全/3T) & 火属性攻撃力UP & 確率でダメージカット無視(自/3T)	wiki_authority
49	cardMagiaMap.json	10245	shortDescription	对敌方全体造成伤害[Ⅶ] & 必定灼伤(敌方全体/3T) & 火属性攻击力提升 & 概率无视伤害削减(自身/3T)	对敌方全体伤害[Ⅶ] & 必定烧伤(敌全/3T) & 火属性攻击力UP & 概率无视伤害削减(自/3T)	wiki_character_template_typed_id	99	1.0	Template:角色数据表 charaId=1024 magia-rank-5	敵全体にダメージ[Ⅶ] & 必ずやけど(敌全/3T) & 火属性攻撃力UP & 確率でダメージカット無視(自/3T)	wiki_authority
50	cardMagiaMap.json	10248	name	纵情的魔女化身	奖励的魔女化身	wiki_character_template_typed_id	99	1.0	Template:角色数据表 charaId=1024 doppel-slot-8	奨励のドッペル	wiki_authority
51	cardMagiaMap.json	10248	shortDescription	对敌方全体造成伤害[Ⅸ] & 必定灼伤(敌方全体/3T) & 攻击力提升 & 火属性攻击力提升 & 概率无视伤害削减(自身/5T)	对敌方全体伤害[Ⅸ] & 必定烧伤(敌全/3T) & 攻击力UP & 火属性攻击力UP & 概率无视伤害削减(自/5T)	wiki_character_template_typed_id	99	1.0	Template:角色数据表 charaId=1024 doppel-slot-8	敵全体にダメージ[Ⅸ] & 必ずやけど(敌全/3T) & 攻撃力UP & 火属性攻撃力UP & 確率でダメージカット無視(自/5T)	wiki_authority
52	cardMagiaMap.json	10254	shortDescription	对敌方全体造成伤害[Ⅴ] & 攻击力提升 & 防御力提升(我方全体/3T) & 解除状态强化(敌方全体)	对敌方全体伤害[Ⅴ] & 攻击力UP & 防御力UP(全/3T) & 状态强化解除(敌全)	wiki_character_template_typed_id	99	1.0	Template:角色数据表 charaId=1025 magia-rank-4	敵全体にダメージ[Ⅴ] & 攻撃力UP & 防御力UP(全/3T) & 状態強化解除(敌全)	wiki_authority
53	cardMagiaMap.json	10255	shortDescription	对敌方全体造成伤害[Ⅶ] & 攻击力提升 & 防御力提升(我方全体/3T) & 解除状态强化(敌方全体)	对敌方全体伤害[Ⅶ] & 攻击力UP & 防御力UP(全/3T) & 状态强化解除(敌全)	wiki_character_template_typed_id	99	1.0	Template:角色数据表 charaId=1025 magia-rank-5	敵全体にダメージ[Ⅶ] & 攻撃力UP & 防御力UP(全/3T) & 状態強化解除(敌全)	wiki_authority
54	cardMagiaMap.json	10258	shortDescription	对敌方全体造成属性强化伤害[Ⅸ] & 攻击力提升 & 防御力提升(我方全体/3T) & 解除状态强化(敌方全体)	对敌方全体属性强化伤害[Ⅸ] & 攻击力UP & 防御力UP(全/3T) & 状态强化解除(敌全)	wiki_character_template_typed_id	99	1.0	Template:角色数据表 charaId=1025 doppel-slot-8	敵全体に属性強化ダメージ[Ⅸ] & 攻撃力UP & 防御力UP(全/3T) & 状態強化解除(敌全)	wiki_authority
55	cardMagiaMap.json	10268	shortDescription	对敌方单体造成伤害[Ⅸ] & 防御力下降 & 异常状态耐性提升(敌方单体/3T) & 必定赋予束缚(敌方单体/1T)	对敌方单体伤害[Ⅸ] & 防御力DOWN & 状态异常耐性DOWN(敌单/3T) & 必定拘束(敌单/1T)	wiki_character_template_typed_id	99	1.0	Template:角色数据表 charaId=1026 doppel-slot-8	敵単体にダメージ[Ⅸ] & 防御力DOWN & 状態異常耐性DOWN(敌单/3T) & 必ず拘束(敌单/1T)	wiki_authority
56	cardMagiaMap.json	10275	name	对明天的劝诫	明日的戒律	wiki_character_template_typed_id	99	1.0	Template:角色数据表 charaId=1027 magia-rank-5	{{Ruby|明日への戒め|Commandments for Tomorrow|ja|en}}	wiki_authority
57	cardMagiaMap.json	10275	shortDescription	对敌方全体造成属性强化伤害[Ⅶ] & 概率赋予麻痹(敌方全体/1T) & HP自动回复(我方全体/3T)	对敌方全体属性强化伤害[Ⅶ] & 概率眩晕(敌全/1T) & 自动回复HP(全/3T)	wiki_character_template_typed_id	99	1.0	Template:角色数据表 charaId=1027 magia-rank-5	敵全体に属性強化ダメージ[Ⅶ] & 確率でスタン(敌全/1T) & HP自動回復(全/3T)	wiki_authority
58	cardMagiaMap.json	10278	name	断念的魔女化身	谛念的魔女化身	doppel_name_consistency_propagation	110	1.0	doppel group=102700; canonical=wiki_keyed_doppelList	谛念的魔女化身	doppel_name_consistency_propagation
59	cardMagiaMap.json	10278	shortDescription	对敌方全体造成属性强化伤害[Ⅶ] & 概率赋予麻痹(敌方全体/1T) & HP自动回复(我方全体/3T)	对敌方全体属性强化伤害[Ⅸ] & 概率眩晕(敌全/1T) & 自动回复HP(全/3T)	wiki_character_template_typed_id	99	1.0	Template:角色数据表 charaId=1027 doppel-slot-8	敵全体に属性強化ダメージ[Ⅸ] & 確率でスタン(敌全/1T) & HP自動回復(全/3T)	wiki_authority
60	cardMagiaMap.json	10284	shortDescription	对敌方全体造成伤害[Ⅴ] & 攻击力提升 & 水属性攻击力提升(我方全体/3T)	对敌方全体伤害[Ⅴ] & 攻击力UP & 水属性攻击力UP(己全/3T)	wiki_character_template_typed_id	99	1.0	Template:角色数据表 charaId=1028 magia-rank-4	敵全体にダメージ[Ⅴ] & 攻撃力UP & 水属性攻撃力UP(己全/3T)	wiki_authority
61	cardMagiaMap.json	10285	shortDescription	对敌方全体造成伤害[Ⅶ] & 攻击力提升 & 水属性攻击力提升(我方全体/3T)	对敌方全体伤害[Ⅶ] & 攻击力UP & 水属性攻击力UP(己全/3T)	wiki_character_template_typed_id	99	1.0	Template:角色数据表 charaId=1028 magia-rank-5	敵全体にダメージ[Ⅶ] & 攻撃力UP & 水属性攻撃力UP(己全/3T)	wiki_authority
62	cardMagiaMap.json	10288	shortDescription	对敌方全体造成伤害[Ⅸ] & 攻击力提升 & 水属性攻击力提升 & 防御力提升(我方全体/5T)	对敌方全体伤害[Ⅸ] & 攻击力UP & 水属性攻击力UP & 防御力UP(己全/5T)	wiki_character_template_typed_id	99	1.0	Template:角色数据表 charaId=1028 doppel-slot-8	敵全体にダメージ[Ⅸ] & 攻撃力UP & 水属性攻撃力UP & 防御力UP(己全/5T)	wiki_authority
63	cardMagiaMap.json	10295	name	完全爆破·厌恶	极限爆破怨恨	wiki_character_template_typed_id	99	1.0	Template:角色数据表 charaId=1029 magia-rank-5	{{Ruby|フルバースト・ヘイトユー|Full Burst Hate You|ja|en}}	wiki_authority
64	cardMagiaMap.json	10295	shortDescription	对敌方单体造成属性强化伤害[Ⅶ] & 攻击力下降 & Magia伤害下降(敌方单体/3T)	对敌方单体属性强化伤害[Ⅶ] & 攻击力DOWN & Magia伤害DOWN(敌单/3T)	wiki_character_template_typed_id	99	1.0	Template:角色数据表 charaId=1029 magia-rank-5	敵単体に属性強化ダメージ[Ⅶ] & 攻撃力DOWN & マギアダメージDOWN(敌单/3T)	wiki_authority
65	cardMagiaMap.json	10298	shortDescription	对敌方单体造成属性强化伤害[Ⅸ] & 攻击力下降 & Magia伤害下降(敌方单体/3T)	对敌方单体属性强化伤害[Ⅸ] & 攻击力DOWN & Magia伤害DOWN(敌单/3T)	wiki_character_template_typed_id	99	1.0	Template:角色数据表 charaId=1029 doppel-slot-8	敵単体に属性強化ダメージ[Ⅸ] & 攻撃力DOWN & マギアダメージDOWN(敌单/3T)	wiki_authority
66	cardMagiaMap.json	10305	shortDescription	对敌方全体造成伤害[Ⅶ] & 防御力下降(敌方全体/3T) & Charge后伤害提升(我方全体/3T)	对敌方全体伤害[Ⅶ] & 防御力DOWN(敌全/3T) & Charge后伤害UP(全/3T)	wiki_character_template_typed_id	99	1.0	Template:角色数据表 charaId=1030 magia-rank-5	敵全体にダメージ[Ⅶ] & 防御力DOWN(敌全/3T) & Charge後ダメージUP(全/3T)	wiki_authority
67	cardMagiaMap.json	10308	name	虚张声势的魔女化身	虚势的魔女化身	wiki_character_template_typed_id	99	1.0	Template:角色数据表 charaId=1030 doppel-slot-8	虚勢のドッペル	wiki_authority
68	cardMagiaMap.json	10308	shortDescription	对敌方全体造成伤害[Ⅸ] & 防御力下降(敌方全体/3T) & Charge后伤害提升(我方全体/3T)	对敌方全体伤害[Ⅸ] & 防御力DOWN(敌全/3T) & Charge后伤害UP(全/3T)	wiki_character_template_typed_id	99	1.0	Template:角色数据表 charaId=1030 doppel-slot-8	敵全体にダメージ[Ⅸ] & 防御力DOWN(敌全/3T) & Charge後ダメージUP(全/3T)	wiki_authority
