stable_key	group_type	col_id	field	upstream_value	official_cn_value	source_tier	match	source_path	target_path
help/01/07/text	01	07	text	鹿目まどか、巴マミたちが活動の拠点としている地区です。	鹿目圆、巴麻美等人将其作为活动据点的地区。	official-cn	exact-type-id-field	A:\magicaOLD\js\etc\help.json	magica/resource/image_web/_json/help.json
help/01/08/title	01	08	title	神浜市	神滨市	official-cn	exact-type-id-field	A:\magicaOLD\js\etc\help.json	magica/resource/image_web/_json/help.json
help/01/08/text	01	08	text	本作の舞台となる地区です。下記の9つの区画から成っています。<br/>・新西区<br/>・水名区<br/>・参京区<br/>・中央区<br/>・栄区<br/>・工匠区<br/>・大東区<br/>・南凪区<br/>・北養区	本作的发生地点。由下列9个区划组成。<br/>·新西区<br/>·水名区<br/>·参京区<br/>·中央区<br/>·荣区<br/>·工匠区<br/>·大东区<br/>·南凪区<br/>·北养区	official-cn	exact-type-id-field	A:\magicaOLD\js\etc\help.json	magica/resource/image_web/_json/help.json
help/02/@title	02		title	ステータス	状态	official-cn	exact-type	A:\magicaOLD\js\etc\help.json	magica/resource/image_web/_json/help.json
help/02/01/title	02	01	title	プレイヤーランク	玩家等级	official-cn	exact-type-id-field	A:\magicaOLD\js\etc\help.json	magica/resource/image_web/_json/help.json
help/02/01/text	02	01	text	■プレイヤーランクはストーリーのクエスト完了時に入手できるプレイヤーEXPを一定値ためることで上昇します。<br>・プレイヤーランクが上がるとAPの上限が上昇します。特定のランクに到達すると、フォロー数の上限が上昇します。<br>・その際には、APとBPが全回復します。	■完成剧情副本后，可获得玩家经验。积攒一定数值之后，玩家等级上升。<br>·玩家等级上升后，AP上限上升。达到特定等级后，关注数上限提升。<br>·等级上升时，AP与BP全部回复。	official-cn	exact-type-id-field	A:\magicaOLD\js\etc\help.json	magica/resource/image_web/_json/help.json
help/02/02/title	02	02	title	プレイヤーEXP	玩家经验	official-cn	exact-type-id-field	A:\magicaOLD\js\etc\help.json	magica/resource/image_web/_json/help.json
help/02/02/text	02	02	text	■プレイヤーEXPは、クエストで獲得できる経験値です。プレイヤーEXPを一定値ためることでプレイヤーランクが上がります。	■玩家经验指可以通过副本获得的经验值。玩家经验积攒到一定数值后，玩家等级上升。	official-cn	exact-type-id-field	A:\magicaOLD\js\etc\help.json	magica/resource/image_web/_json/help.json
help/02/03/title	02	03	title	カースチップ（CC）	诅咒晶片（CC）	official-cn	exact-type-id-field	A:\magicaOLD\js\etc\help.json	magica/resource/image_web/_json/help.json
help/02/03/text	02	03	text	■カースチップ（CC）とは、魔法少女の間で使われている通貨です。<br>・魔法少女の魔力強化やメモリア強化などに使用します。<br>・クエストの報酬やメモリア売却時に獲得することができます。	■诅咒晶片（CC）指在魔法少女中使用的货币。<br>·用于魔法少女的魔力强化和记忆结晶强化等。<br>·可在副本报酬或卖出记忆结晶时获得。	official-cn	exact-type-id-field	A:\magicaOLD\js\etc\help.json	magica/resource/image_web/_json/help.json
help/02/04/text	02	04	text	■APとは、消費することで各種クエストに挑戦することができるポイントです。<br>・クエストごとに必要なAPが設定されています。<br>・消費したAPは5分に１ずつ回復します。<br>・APはAP回復薬またはマギアストーンを使用することで回復できます。<br>・上記回復をした場合、APの最大値を上回った分はそれを超えて回復します。	■花费AP点数可挑战各种副本。<br>·每个副本都设有所需的AP。<br>·已花费的AP每5分钟回复1点。<br>·AP可使用AP回复药和魔法石来进行回复。<br>·进行上述回复时，超出AP最大值的部分将获得叠加。	official-cn	exact-type-id-field	A:\magicaOLD\js\etc\help.json	magica/resource/image_web/_json/help.json
help/02/05/text	02	05	text	■BPとは、ミラーズでバトルを行う際に使用するポイントです。<br>・消費したBPは60分に1ずつ回復します。<br>・BPはBP回復薬を使用することで回復できます。	■BP指在镜界中进行战斗时所使用的点数。<br>·已花费的BP每60分钟回复1。<br>·BP可使用BP回复药来进行回复。	official-cn	exact-type-id-field	A:\magicaOLD\js\etc\help.json	magica/resource/image_web/_json/help.json
help/02/06/title	02	06	title	マギアストーン	魔法石	official-cn	exact-type-id-field	A:\magicaOLD\js\etc\help.json	magica/resource/image_web/_json/help.json
help/02/06/text	02	06	text	■課金やプレゼント、特定のクエストクリアや特定の敵を倒す、特定のクエストミッション達成等で入手できるアイテムです。<br>ショップや、ガチャでの使用の他、APの回復やクエスト時のコンティニューに使用します。<br/>マギアストーンには有償・無償の二種類があり、使用した際には無償マギアストーンから消費されます。	■是通过氪金、接收礼物、通关特定副本或打倒特定敌人、达成特定副本任务等方式获得的道具。 <br>除了在商店或扭蛋中使用之外，也可用于回复AP或在挑战副本失败后回到战斗。<br/>魔法石分为付费和免费两种，使用时从免费魔法石开始花费。	official-cn	exact-type-id-field	A:\magicaOLD\js\etc\help.json	magica/resource/image_web/_json/help.json
help/03/02/text	03	02	text	■魔法少女の体力の最大値です。<br>クエストやミラーズでダメージを受けHPがゼロになると、戦闘不能状態になります。	■魔法少女体力的最大值。<br/>在副本或镜界中受到伤害后，当HP降为0时，则无法战斗。	official-cn	exact-type-id-field	A:\magicaOLD\js\etc\help.json	magica/resource/image_web/_json/help.json
help/03/03/text	03	03	text	■魔法少女の攻撃力です。<br>値が大きいほど、大きなダメージを与える攻撃を放つことができます。	■魔法少女的攻击力。<br/>数值越大，攻击施加的伤害值越大。	official-cn	exact-type-id-field	A:\magicaOLD\js\etc\help.json	magica/resource/image_web/_json/help.json
help/03/04/text	03	04	text	■魔法少女の防御力です。<br>値が大きいほど、負うダメージの量を減少させることができます。	■魔法少女的防御力。<br/>数值越大，承受的伤害量越小。	official-cn	exact-type-id-field	A:\magicaOLD\js\etc\help.json	magica/resource/image_web/_json/help.json
help/03/05/title	03	05	title	レアリティ	稀有度	official-cn	exact-type-id-field	A:\magicaOLD\js\etc\help.json	magica/resource/image_web/_json/help.json
help/03/05/text	03	05	text	■魔法少女の希少性を表す指標で、星の数によって5段階のレアリティがあります。<br>高いレアリティの魔法少女ほど最大レベルが高く設定されています。<br>魔法少女によっては、覚醒することによってレアリティを上昇させることができます。	■表示魔法少女稀有度的指标，根据星级分为5个稀有度。<br>魔法少女的稀有度越高，设定的最大等级越高。<br>部分魔法少女可通过觉醒来提升稀有度。	official-cn	exact-type-id-field	A:\magicaOLD\js\etc\help.json	magica/resource/image_web/_json/help.json
help/03/06/title	03	06	title	タイプ	类型	official-cn	exact-type-id-field	A:\magicaOLD\js\etc\help.json	magica/resource/image_web/_json/help.json
help/03/06/text	03	06	text	■魔法少女は「アタック」「ディフェンス」「マギア」「ヒール」「サポート」「バランス」<br>「アルティメット」「エクシード」のいずれかのタイプを持っています。<br>タイプによって、それぞれのパラメータやマギアに特徴を持ちます。<br>また、アルティメット、エクシードタイプの魔法少女はEXスキルを所持しています。	■魔法少女分为「攻击」「防御」「Magia」「治疗」「协助」「平衡」<br>「究极」几种类型。<br>根据类型不同，其参数和Magia的特征各有不同。<br>另外，究极类型的魔法少女拥有EX技能。	official-cn	exact-type-id-field	A:\magicaOLD\js\etc\help.json	magica/resource/image_web/_json/help.json
help/03/07/text	03	07	text	■魔法少女は「フレイム」「アクア」「フォレスト」「ライト」「ダーク」のいずれかの属性を持っています。<br>相対する属性によって、有利不利が存在します。	■魔法少女拥有「火」「水」「木」「光」「暗」几种属性。<br>根据不同的属性，在战斗时存在有利与不利之分。	official-cn	exact-type-id-field	A:\magicaOLD\js\etc\help.json	magica/resource/image_web/_json/help.json
help/03/08/text	03	08	text	■魔法少女にはレベルが存在します。<br>クエストに参加もしくは「魔力強化」により魔法少女EXPを上げることでレベルがアップします。<br>レベルアップに伴い「HP」「ATK」「DEF」のパラメータが上昇します。<br>	■魔法少女拥有等级。<br>可通过参加副本或进行「魔力强化」使魔法少女的经验上升，进行升级。<br>随着等级上升，「HP」「ATK」「DEF」的参数也会上升。<br>	official-cn	exact-type-id-field	A:\magicaOLD\js\etc\help.json	magica/resource/image_web/_json/help.json
help/03/09/title	03	09	title	コネクトスキル	Connect技能	official-cn	exact-type-id-field	A:\magicaOLD\js\etc\help.json	magica/resource/image_web/_json/help.json
help/03/09/text	03	09	text	■コネクトスキルはバトル中に魔法少女が発動できる特殊能力です。<br>ディスクを使用することで溜まる、コネクトゲージを3まで溜めることで発動できます。<br>コネクトスキルを発動することで、ステータスアップやHPを回復するなどの効果で、他の魔法少女をサポートすることができます。<br><br>また、コネクトスキルはそれぞれの魔法少女が固有で1個所持しており、変更や追加はできません。	■Connect技能是指魔法少女在战斗中可发动的特殊能力。<br>使用行动盘时，Connect蓄能条积攒，积攒到3时即可发动。<br/>发动Connect技能，可协助其他魔法少女，产生状态上升或HP回复等效果。<br><br>此外，魔法少女固定拥有1个Connect技能，不可变更或追加。	official-cn	exact-type-id-field	A:\magicaOLD\js\etc\help.json	magica/resource/image_web/_json/help.json
help/03/10/title	03	10	title	マギア	Magia	official-cn	exact-type-id-field	A:\magicaOLD\js\etc\help.json	magica/resource/image_web/_json/help.json
help/03/10/text	03	10	text	■マギアとは、魔法少女の必殺技です。<br>マギアゲージのMPを100消費して放つことができます。<br>マギア強化をおこなってマギアレベルを上昇させることで、威力が上がります。	■Magia指魔法少女的必杀技。<br/>花费100Maiga蓄能条的能量即可释放。<br/>进行Magia强化使Magia等级上升，可增强威力。	official-cn	exact-type-id-field	A:\magicaOLD\js\etc\help.json	magica/resource/image_web/_json/help.json
help/03/11/title	03	11	title	ドッペル	魔女化身	official-cn	exact-type-id-field	A:\magicaOLD\js\etc\help.json	magica/resource/image_web/_json/help.json
help/03/11/text	03	11	text	■ドッペルとは、特定の魔法少女のみが持つ魔女の力を使った能力です。<br>魔法少女のドッペルクエストをクリアすることで、その能力を解放することができます。<br>マギアゲージのMPを150消費して、放つことができます。	■魔女化身指仅特定魔法少女所拥有的、使用魔女之力的能力。<br/>通关魔法少女的魔女化身副本即可解放该能力。<br/>花费200Magia蓄能条的能量即可释放。	official-cn	exact-type-id-field	A:\magicaOLD\js\etc\help.json	magica/resource/image_web/_json/help.json
help/03/12/title	03	12	title	EXスキル	EX技能	official-cn	exact-type-id-field	A:\magicaOLD\js\etc\help.json	magica/resource/image_web/_json/help.json
help/03/12/text	03	12	text	■EXスキルは、アルティメット、エクシードタイプの魔法少女が持つ特殊能力です。<br/>クエスト開始時より効果を発揮して、バトルを有利に運びます。<br/><br/>また、EXスキルは魔法少女を最大まで魔力解放することで効果が強化されます。	■EX技能是究极类型魔法少女持有的特殊能力。<br/>在副本开始时发挥效果，使战斗变得更有利。<br/><br/>另外，当魔法少女魔力解放到最大时，EX技能效果会获得强化。	official-cn	exact-type-id-field	A:\magicaOLD\js\etc\help.json	magica/resource/image_web/_json/help.json
help/03/13/title	03	13	title	潜在アビリティ・潜在スキル	潜在能力・潜在技能	official-cn	exact-type-id-field	A:\magicaOLD\js\etc\help.json	magica/resource/image_web/_json/help.json
help/03/13/text	03	13	text	■精神強化で習得した潜在スキルと潜在アビリティは魔法少女固有の能力です。<br/>習得した潜在スキルと潜在アビリティは自動的に魔法少女にセットされ、クエストやミラーズでそのまま使用することができます。<br/>潜在スキルはミラーズ対戦では、発動可能ターンが0の状態で開始されます。	■通过精神强化习得的潜在技能与潜在能力是魔法少女的固有能力。<br/>已习得的潜在技能与潜在能力将自动被魔法少女装备，并可在副本和镜界中使用。<br/>在镜界对战中，潜在技能以可发动需等待回合数为0的状态开始。	official-cn	exact-type-id-field	A:\magicaOLD\js\etc\help.json	magica/resource/image_web/_json/help.json
help/03/14/title	03	14	title	エピソードLv	事件Lv	official-cn	exact-type-id-field	A:\magicaOLD\js\etc\help.json	magica/resource/image_web/_json/help.json
help/03/14/text	03	14	text	■魔法少女にはエピソードレベルが存在しており、クエストをプレイして、エピソードPtを溜めることでエピソードレベルを上げることができます。<br>エピソードレベルが上がるとマギアのLv上限と「魔法少女ストーリー」が解放されます。<br><br>・Lv2：マギアLv2まで上限解放＋魔法少女ストーリー2解放<br>・Lv3：マギアLv3まで上限解放＋魔法少女ストーリー3解放<br>・Lv4：マギアLv4まで上限解放<br>・Lv5：マギアLv5まで上限解放＋ドッペルクエスト解放（特定のキャラクターのみ）	■魔法少女拥有事件等级，打副本积攒点数即可提升事件等级。<br>事件等级上升后，将解放Magia等级上限与「魔法少女剧情」。<br><br>·Lv2：Magia等级上限解放至2级＋解放魔法少女剧情2<br>·Lv3：Magia等级上限解放至3级＋解放魔法少女剧情3<br>·Lv4：Magia等级上限解放至4级<br>·Lv5：Magia等级上限解放至5级＋解放魔女化身副本（仅限特定角色）	official-cn	exact-type-id-field	A:\magicaOLD\js\etc\help.json	magica/resource/image_web/_json/help.json
help/03/15/title	03	15	title	お気に入り	喜欢	official-cn	exact-type-id-field	A:\magicaOLD\js\etc\help.json	magica/resource/image_web/_json/help.json
help/03/15/text	03	15	text	■魔法少女をお気に入りに設定することで、ホーム画面に表示される魔法少女を変更することができます。	■可将魔法少女设定为喜欢，以此变更主页画面表示的魔法少女。	official-cn	exact-type-id-field	A:\magicaOLD\js\etc\help.json	magica/resource/image_web/_json/help.json
help/03/16/title	03	16	title	魔法少女アーカイブ	魔法少女档案	official-cn	exact-type-id-field	A:\magicaOLD\js\etc\help.json	magica/resource/image_web/_json/help.json
help/03/16/text	03	16	text	■魔法少女アーカイブでは、今までに獲得した魔法少女を閲覧できます。<br>魔法少女をタップすることで、魔法少女の詳細の確認やボイスを聞くことができます。	■可在魔法少女档案中阅览至今为止获得的魔法少女。<br>可点击魔法少女来查看魔法少女的详情或聆听语音。	official-cn	exact-type-id-field	A:\magicaOLD\js\etc\help.json	magica/resource/image_web/_json/help.json
help/03/17/title	03	17	title	ドッペルアーカイブ	魔女化身档案	official-cn	exact-type-id-field	A:\magicaOLD\js\etc\help.json	magica/resource/image_web/_json/help.json
help/03/17/text	03	17	text	■ドッペルアーカイブでは、今までに獲得した魔法少女のドッペルを閲覧できます。<br>ドッペルをタップすることで、ドッペルの詳細を確認することができます。	■可在魔女化身档案中阅览至今为止获得的魔法少女的魔女化身。<br>可点击魔女化身来查看魔女化身的详情。	official-cn	exact-type-id-field	A:\magicaOLD\js\etc\help.json	magica/resource/image_web/_json/help.json
help/03/18/title	03	18	title	魔女・ウワサアーカイブ	魔女·传闻档案	official-cn	exact-type-id-field	A:\magicaOLD\js\etc\help.json	magica/resource/image_web/_json/help.json
help/03/18/text	03	18	text	■魔女・ウワサアーカイブでは、今までに姿を表した魔女やその手下、ウワサたちを閲覧できます。<br>アイコンをタップすることで、詳細を確認することができます。<br/>特定のクエストをクリアすることで、アーカイブは解放されます。	■可在魔女·传闻档案中阅览至今为止已现身的魔女及其手下。<br>点击图标即可查看详情。<br/>通关特定副本即可解锁档案。	official-cn	exact-type-id-field	A:\magicaOLD\js\etc\help.json	magica/resource/image_web/_json/help.json
help/04/@title	04		title	魔法少女の成長	魔法少女的成长	official-cn	exact-type	A:\magicaOLD\js\etc\help.json	magica/resource/image_web/_json/help.json
help/04/01/title	04	01	title	魔力強化	魔力强化	official-cn	exact-type-id-field	A:\magicaOLD\js\etc\help.json	magica/resource/image_web/_json/help.json
help/04/01/text	04	01	text	■強化ジェムを使用して魔力強化をおこなうことで、魔法少女を強化することができます。<br>強化をすると魔法少女EXPを得ることができ、100%に成長するとLvが上がりステータスがアップします。<br><br>強化する際には、カースチップ（CC）を消費し、強化に使用した強化ジェムは消滅します。<br>強化する魔法少女と使用する強化ジェムの属性が一致している場合、得られる魔法少女EXPは増加します。	■使用强化宝石来进行魔力强化，即可强化魔法少女。<br>强化即可获得魔法少女经验，成长至100%后等级上升，状态提升。<br><br>强化时花费诅咒晶片（CC），用于强化的强化宝石消失。<br>强化的魔法少女与使用的强化宝石属性一致时，获得的魔法少女经验增加。	official-cn	exact-type-id-field	A:\magicaOLD\js\etc\help.json	magica/resource/image_web/_json/help.json
help/04/02/title	04	02	title	エピソードLv強化	觉醒道具的设置	official-cn	exact-type-id-field	A:\magicaOLD\js\etc\help.json	magica/resource/image_web/_json/help.json
help/04/02/text	04	02	text	■「クリア・アルバム」を使用して魔力強化をおこなうことで、エピソードLvを強化することができます。<br>強化をするとエピソードPtを得ることができ、100%に成長するとエピソードLvが上がります。<br><br>強化する際には、カースチップ（CC）を消費し、強化に使用した「クリア・アルバム」は消滅します。	■使用指定的觉醒素材，即可使魔法少女的参数上升。<br/>设置所有的觉醒素材，将魔力强化至等级上限后，即可进行觉醒。<br/>※不同的魔法少女可觉醒的次数有所不同。	official-cn	exact-type-id-field	A:\magicaOLD\js\etc\help.json	magica/resource/image_web/_json/help.json
help/04/03/title	04	03	title	覚醒アイテムのセット	觉醒	official-cn	exact-type-id-field	A:\magicaOLD\js\etc\help.json	magica/resource/image_web/_json/help.json
help/04/03/text	04	03	text	■指定の覚醒素材を使用することで、魔法少女のパラメータを上昇させることができます。<br/>すべての覚醒素材をセットして、レベル上限まで魔力強化をすると、覚醒をおこなうことができます。<br/>※魔法少女によって、覚醒できる回数に違いがあります。	■设置所有指定的觉醒素材后即可觉醒。<br/>可通过觉醒来提升魔法少女的稀有度。<br>觉醒需要将魔力强化至等级上限。<br>※觉醒后，魔法少女的等级变为1级。<br>※不同的魔法少女可觉醒的次数有所不同。	official-cn	exact-type-id-field	A:\magicaOLD\js\etc\help.json	magica/resource/image_web/_json/help.json
help/04/04/title	04	04	title	覚醒	Magia强化	official-cn	exact-type-id-field	A:\magicaOLD\js\etc\help.json	magica/resource/image_web/_json/help.json
help/04/04/text	04	04	text	■指定の覚醒素材をすべてセットすると、覚醒ができます。<br/>覚醒することで、魔法少女のレアリティをアップすることができます。<br>覚醒するためにはレベル上限まで魔力強化を行う必要があります。<br>※覚醒すると、魔法少女のLvは1になります。<br>※魔法少女によって、覚醒できる回数に違いがあります。	■使用「书」来进行Magia强化，即可使Magia等级上升。<br/>Magia等级的上限可通过提升该魔法少女的事件等级来进行解放。<br>可使Maiga等级上升至最大值，从而将Magia蓄能条的最大值从100提升至200。	official-cn	exact-type-id-field	A:\magicaOLD\js\etc\help.json	magica/resource/image_web/_json/help.json
help/04/05/title	04	05	title	マギア強化	魔女化身的解放	official-cn	exact-type-id-field	A:\magicaOLD\js\etc\help.json	magica/resource/image_web/_json/help.json
help/04/05/text	04	05	text	■「ブック」を使用してマギア強化をおこなうことで、マギアLvを上昇させることができます。<br/>マギアのLvの上限は、該当の魔法少女のエピソードLvを上昇させることで解放されます。<br>マギアLvをMAXまで上昇させることで、マギアゲージの最大値を100から150に引き上げることができます。	■使★5魔法少女的Magia等级最大化，通关魔女化身副本，即可解放该魔法少女的魔女化身。	official-cn	exact-type-id-field	A:\magicaOLD\js\etc\help.json	magica/resource/image_web/_json/help.json
help/04/06/title	04	06	title	ドッペルの解放	魔力解放	official-cn	exact-type-id-field	A:\magicaOLD\js\etc\help.json	magica/resource/image_web/_json/help.json
help/04/06/text	04	06	text	■★5魔法少女のマギアLvをMAXにして、ドッペルクエストをクリアすることで、その魔法少女のドッペルを解放することができます。	■使用与魔法少女对应的命运宝石即可进行「魔力解放」。<br>魔力解放后，记忆结晶装备框扩张。<br/>最多可针对1名魔法少女进行3次魔力解放。	official-cn	exact-type-id-field	A:\magicaOLD\js\etc\help.json	magica/resource/image_web/_json/help.json
help/04/07/title	04	07	title	魔力解放	强化道具	official-cn	exact-type-id-field	A:\magicaOLD\js\etc\help.json	magica/resource/image_web/_json/help.json
help/04/07/text	04	07	text	■魔法少女に対応したデスティニージェムを使用することで「魔力解放」することができます。<br>魔力解放すると、メモリア装備枠が拡張されます。<br/>魔力解放は、1人の魔法少女に対して最大で3度までおこなうことができます。	■「魔法纪录」中存在以下强化道具。<br/>·强化宝石：可用于魔力强化，使魔法少女的等级上升。<br/>·命运宝石：可用于魔力解放，使记忆结晶装备框扩张。<br/>·觉醒素材：可用于觉醒，使参数与能力上升。<br/>·书：可用于Magia强化，使Magia等级上升。	official-cn	exact-type-id-field	A:\magicaOLD\js\etc\help.json	magica/resource/image_web/_json/help.json
help/05/@title	05		title	メモリア	记忆结晶	official-cn	exact-type	A:\magicaOLD\js\etc\help.json	magica/resource/image_web/_json/help.json
help/05/01/title	05	01	title	メモリア	记忆结晶	official-cn	exact-type-id-field	A:\magicaOLD\js\etc\help.json	magica/resource/image_web/_json/help.json
help/05/01/text	05	01	text	■メモリアとは、魔法少女たちの記憶が魔力により結晶化されたものです。<br>魔法少女に装備することで　魔法少女の能力を高めるだけでなく、特殊なスキルやアビリティを持たせることができます。	■记忆结晶是指用魔力使魔法少女的记忆结晶化的物质。<br/>为魔法少女装备上后，不仅可以提高魔法少女的能力，还能使其拥有特殊的技能或能力。	official-cn	exact-type-id-field	A:\magicaOLD\js\etc\help.json	magica/resource/image_web/_json/help.json
help/05/02/title	05	02	title	メモリアのタイプ	记忆结晶的类型	official-cn	exact-type-id-field	A:\magicaOLD\js\etc\help.json	magica/resource/image_web/_json/help.json
help/05/02/text	05	02	text	■メモリアには、スキルとアビリティの2タイプが存在します。<br>メモリアは魔法少女1人に対して、最大で4枚装備することができますが、同タイプのメモリアは最大で2枚までしか装備することができません。<br><br>・スキルタイプ<br>クエスト中に任意のタイミングで使用できる特殊能力を保持したメモリアです。<br><br>・アビリティタイプ<br>装備している状態で自動的に効果が発動する特殊能力を保持したメモリアです。<br><br>※メモリアの装備枠を増やすには「魔力解放」を行う必要があります。	■记忆结晶拥有技能与能力2种类型。<br>记忆结晶最多可以给1名魔法少女装备4枚，但相同类型的记忆结晶最多只可装备2枚。<br><br>·技能类型<br>拥有特殊能力的记忆结晶，可在副本中的任意时候进行使用。<br><br>·能力类型<br>拥有特殊能力的记忆结晶，在已装备的状态下自动发动效果。<br><br>※为了增加记忆结晶的装备框，需要进行「魔力解放」。	official-cn	exact-type-id-field	A:\magicaOLD\js\etc\help.json	magica/resource/image_web/_json/help.json
help/05/03/title	05	03	title	メモリア装備	记忆结晶装备	official-cn	exact-type-id-field	A:\magicaOLD\js\etc\help.json	magica/resource/image_web/_json/help.json
help/05/03/text	05	03	text	■メモリアは、「MENU」＞「チーム」の「各編成ページ」またはクエストに入る前の「チーム編成画面」＞「メモリア装備」から装備させることができます。<br>また、チームごとに別々のメモリアを装備させることができます。<br>メモリアの装備には、装備可能枠があり「魔力解放」することによってメモリアの装備枠を増やすことができます。<br>※最大でスキルタイプ、アビリティタイプをそれぞれ2枚ずつ装備可能です。<br>※同タイプのメモリアを3枚以上装備することはできません。<br>※同じメモリアは複数装備できません。<br>※メモリアの中には特定の魔法少女でなければ装備できないものも存在します。	■记忆结晶装备可在「MENU」>「队伍」的「各编成页面」或进入副本前的「队伍编成画面」＞「记忆结晶装备」中进行装备。<br>另外，各队伍可以装备不同的记忆结晶。<br>记忆结晶的装备中有可装备框，进行「魔力解放」即可增加可装备的记忆结晶的数量。<br>※技能类型和能力类型的记忆结晶最多可各装备2枚。<br>※同类型的记忆结晶不可装备3枚以上。<br>※相同的记忆结晶只可装备1个。<br>※也存在不是特定的魔法少女就无法装备的记忆结晶。	official-cn	exact-type-id-field	A:\magicaOLD\js\etc\help.json	magica/resource/image_web/_json/help.json
help/05/04/title	05	04	title	メモリアセット	记忆结晶套装	official-cn	exact-type-id-field	A:\magicaOLD\js\etc\help.json	magica/resource/image_web/_json/help.json
help/05/05/title	05	05	title	メモリア強化	记忆结晶强化	official-cn	exact-type-id-field	A:\magicaOLD\js\etc\help.json	magica/resource/image_web/_json/help.json
help/05/05/text	05	05	text	■メモリア同士を合成することで経験値を獲得し、レベルを上げることができます。<br>合成には、カースチップ（CC）が必要となります。<br/>同じメモリアを強化に使用することはできません。	■合成记忆结晶可获得经验值，并提升等级。<br>合成需要诅咒晶片（CC）。<br/>不可用相同记忆结晶来进行强化。	official-cn	exact-type-id-field	A:\magicaOLD\js\etc\help.json	magica/resource/image_web/_json/help.json
help/05/06/title	05	06	title	メモリア限界突破	记忆结晶界限突破	official-cn	exact-type-id-field	A:\magicaOLD\js\etc\help.json	magica/resource/image_web/_json/help.json
