stable_key	index	group	type	threshold	force	official_cn_text	source_tier	match	source_path	target_path	referenced_by
RANDOM/none/10	10	TEXT	RANDOM		false	做到了啊！＠来，往深处前进吧！	official-cn	exact-record-file+runtime-schema	A:\magicaOLD\js\event\raid\EventRaidMessage.json	magica/js/event/raid/EventRaidMessage.json	magica/js/event/raid/EventRaidTop.js
RANDOM/none/11	11	TEXT	RANDOM		false	想给大家设圈套，＠我绝对饶不了你！	official-cn	exact-record-file+runtime-schema	A:\magicaOLD\js\event\raid\EventRaidMessage.json	magica/js/event/raid/EventRaidMessage.json	magica/js/event/raid/EventRaidTop.js
RANDOM/none/12	12	TEXT	RANDOM		false	即使这样＠这些使魔还是源源不断地涌出来呢……	official-cn	exact-record-file+runtime-schema	A:\magicaOLD\js\event\raid\EventRaidMessage.json	magica/js/event/raid/EventRaidMessage.json	magica/js/event/raid/EventRaidTop.js
RANDOM/none/13	13	TEXT	RANDOM		false	战果辉煌…＠状态绝佳！	official-cn	exact-record-file+runtime-schema	A:\magicaOLD\js\event\raid\EventRaidMessage.json	magica/js/event/raid/EventRaidMessage.json	magica/js/event/raid/EventRaidTop.js
RANDOM/none/14	14	TEXT	RANDOM		false	是很轻松的对手呢，＠不过，也决不能大意哦。	official-cn	exact-record-file+runtime-schema	A:\magicaOLD\js\event\raid\EventRaidMessage.json	magica/js/event/raid/EventRaidMessage.json	magica/js/event/raid/EventRaidTop.js
RANDOM/none/15	15	TEXT	RANDOM		false	呼…＠总算打倒了呢	official-cn	exact-record-file+runtime-schema	A:\magicaOLD\js\event\raid\EventRaidMessage.json	magica/js/event/raid/EventRaidMessage.json	magica/js/event/raid/EventRaidTop.js
MISSION/none/16	16	TEXT	MISSION		false	都已经这么努力过了，＠能收获回报也不错嘛。	official-cn	exact-record-file+runtime-schema	A:\magicaOLD\js\event\raid\EventRaidMessage.json	magica/js/event/raid/EventRaidMessage.json	magica/js/event/raid/EventRaidTop.js
SELF_BOSS/none/17	17	TEXT	SELF_BOSS		false	有魔女在守护大门……＠做好觉悟吧！	official-cn	exact-record-file+runtime-schema	A:\magicaOLD\js\event\raid\EventRaidMessage.json	magica/js/event/raid/EventRaidMessage.json	magica/js/event/raid/EventRaidTop.js
OTHER_BOSS/none/18	18	TEXT	OTHER_BOSS		false	那边有人在战斗？＠我这就去助阵！	official-cn	exact-record-file+runtime-schema	A:\magicaOLD\js\event\raid\EventRaidMessage.json	magica/js/event/raid/EventRaidMessage.json	magica/js/event/raid/EventRaidTop.js
OTHER_BOSS/none/19	19	TEXT	OTHER_BOSS		false	发现敌人了吗？＠一起战斗吧！	official-cn	exact-record-file+runtime-schema	A:\magicaOLD\js\event\raid\EventRaidMessage.json	magica/js/event/raid/EventRaidMessage.json	magica/js/event/raid/EventRaidTop.js
NO_BOSS/none/20	20	TEXT	NO_BOSS		false	有使魔在守门呢＠先打倒使魔吧！	official-cn	exact-record-file+runtime-schema	A:\magicaOLD\js\event\raid\EventRaidMessage.json	magica/js/event/raid/EventRaidMessage.json	magica/js/event/raid/EventRaidTop.js
