item_id	path	selector	source_values	target_values	source_tier	evidence	before_rule_count	after_rule_count
UI-110	magica/css/formation/DeckFormation.css	#DeckFormation .deckName.deck74:before	第四の結界	第四结界	confirmed-existing-human	current MagiaCN same-path same-selector override content=['第四结界']; old official CSS absent or untranslated at this selector	0	1
UI-111	magica/css/formation/DeckFormation.css	#DeckFormation .deckName.deck75:before	終の結界	终之结界	confirmed-existing-human	current MagiaCN same-path same-selector override content=['终之结界']; old official CSS absent or untranslated at this selector	0	1
UI-112	magica/css/memoria/MemoriaComposeTop.css	#MemoriaComposeTop #mainWrap #statusWrap #beforeStatus .lvWrap:before,#MemoriaComposeTop #mainWrap #statusWrap #afterStatus .lvWrap:before	LV	等级	new-human	path-scoped visible CSS selector context; no usable same-selector CN in A:\magicaOLD; content=['等级']	0	1
UI-113	magica/css/memoria/MemoriaComposeTop.css	#MemoriaComposeTop #cardListWrap .userMemoriaIcon.select .overWrap:before	ベース選択	基础选择	official-cn-css	A:\magicaOLD\css\memoria\MemoriaComposeTop.css same-path same-selector content=['基础选择']	0	1
UI-114	magica/css/memoria/MemoriaComposeTop.css	#MemoriaComposeTop #cardListWrap ul#memoriaListInfo .cardCount_2:before	所持数	持有数量	official-cn-css	A:\magicaOLD\css\memoria\MemoriaComposeTop.css same-path same-selector content=['持有数量']	0	1
UI-115	magica/css/memoria/MemoriaComposeTop.css	#MemoriaComposeTop #cardListWrap ul#memoriaListInfo .cardCount_3:before	選択数	选择数量	official-cn-css	A:\magicaOLD\css\memoria\MemoriaComposeTop.css same-path same-selector content=['选择数量']	0	1
UI-116	magica/css/memoria/UserMemoriaList.css	#popupArea .archiveMoveSelectPop .popupBtnArea .toListBtn.off:after,#popupArea .archiveMoveSelectPop .popupBtnArea .toListBtn.now:after	OVER	不可用	confirmed-existing-human	current MagiaCN same-path same-selector override content=['不可用']; old official CSS absent or untranslated at this selector	0	1
UI-117	magica/css/memoria/UserMemoriaList.css	#popupArea .archiveMoveSelectPop .popupBtnArea .toListBtn.now:after	表示中	显示中	confirmed-existing-human	current MagiaCN same-path same-selector override content=['显示中']; old official CSS absent or untranslated at this selector	0	1
UI-118	magica/css/memoria/UserMemoriaList.css	#popupArea .archiveMoveSelectPop .popupBtnArea .toArchiveBtn.off:after,#popupArea .archiveMoveSelectPop .popupBtnArea .toArchiveBtn.now:after	OVER	不可用	confirmed-existing-human	current MagiaCN same-path same-selector override content=['不可用']; old official CSS absent or untranslated at this selector	0	1
UI-119	magica/css/memoria/UserMemoriaList.css	#popupArea .archiveMoveSelectPop .popupBtnArea .toArchiveBtn.now:after	表示中	显示中	confirmed-existing-human	current MagiaCN same-path same-selector override content=['显示中']; old official CSS absent or untranslated at this selector	0	1
UI-120	magica/css/memoria/UserMemoriaList.css	#UserMemoriaList.compose .userMemoriaIcon.lvMax .overWrap:before	Lv MAX	满级	confirmed-existing-human	current MagiaCN same-path same-selector override content=['满级']; old official CSS absent or untranslated at this selector	0	1
UI-121	magica/css/memoria/UserMemoriaList.css	#UserMemoriaList.limitbreak .userMemoriaIcon.lbMax .overWrap:before	限界突破済	界限突破完成	official-cn-css	A:\magicaOLD\css\memoria\UserMemoriaList.css same-path same-selector content=['界限突破完成']	0	1
UI-122	magica/css/memoria/UserMemoriaList.css	#memoriaSaleGlowWrap #memoriaListInfo .hasMemoriaNum:before	所持数	持有数量	official-cn-css	A:\magicaOLD\css\memoria\UserMemoriaList.css same-path same-selector content=['持有数量']	0	1
UI-123	magica/css/memoria/UserMemoriaList.css	#memoriaSaleGlowWrap #memoriaListInfo .hasMemoriaNum.archive:before	保管数	保管数量	confirmed-existing-human	current MagiaCN same-path same-selector override content=['保管数量']; old official CSS absent or untranslated at this selector	0	1
UI-124	magica/css/memoria/UserMemoriaList.css	#memoriaSaleGlowWrap #memoriaListInfo .memoriaSelectNum:before	選択数	选择数	official-cn-css	A:\magicaOLD\css\memoria\UserMemoriaList.css same-path same-selector content=['选择数']	0	1
UI-125	magica/css/mission/MissionTop.css	#MissionList .wrap .missionBtn:before	挑戦する	挑战	official-cn-css	A:\magicaOLD\css\mission\MissionTop.css same-path same-selector content=['挑战']	0	1
UI-126	magica/css/mission/MissionTop.css	#MissionList .wrap .missionBtn.clear:before	受け取る	领取	official-cn-css	A:\magicaOLD\css\mission\MissionTop.css same-path same-selector content=['领取']	0	1
UI-127	magica/css/patrol/PatrolLumpFormation.css	#popupArea #autoFormationContainer .deck .header .playerPower:after,#PatrolLumpFormation #deckWrap .deck .header .playerPower:after	戦力値	战力值	confirmed-existing-human	current MagiaCN same-path same-selector override content=['战力值']; old official CSS absent or untranslated at this selector	0	1
UI-128	magica/css/patrol/PatrolLumpFormation.css	#popupArea #autoFormationContainer .deck .header .requiredTime:after,#PatrolLumpFormation #deckWrap .deck .header .requiredTime:after	所用時間	所需时间	confirmed-existing-human	current MagiaCN same-path same-selector override content=['所需时间']; old official CSS absent or untranslated at this selector	0	1
UI-129	magica/css/patrol/PatrolLumpFormation.css	#popupArea #autoFormationContainer .deck .userCharaListWarp .rightArea #strengthArea #goalStrength:after,#PatrolLumpFormation #deckWrap .deck .userCharaListWarp .rightArea #strengthArea #goalStrength:after	総戦力値	综合战力值	confirmed-existing-human	current MagiaCN same-path same-selector override content=['综合战力值']; old official CSS absent or untranslated at this selector	0	1
UI-130	magica/css/patrol/PatrolLumpFormation.css	#popupArea #autoFormationContainer .deck .userCharaListWarp .rightArea #strengthArea #goalStrength #expected:before,#PatrolLumpFormation #deckWrap .deck .userCharaListWarp .rightArea #strengthArea #goalStrength #expected:before	ドロップ期待度	掉落期望值	confirmed-existing-human	current MagiaCN same-path same-selector override content=['掉落期望值']; old official CSS absent or untranslated at this selector	0	1
UI-131	magica/css/patrol/PatrolLumpFormation.css	#PatrolLumpFormation #rightArea #strengthArea #goalStrength:after	総戦力値	综合战力值	confirmed-existing-human	current MagiaCN same-path same-selector override content=['综合战力值']; old official CSS absent or untranslated at this selector	0	1
UI-132	magica/css/patrol/PatrolLumpFormation.css	#PatrolLumpFormation #rightArea #strengthArea #goalStrength #expected:before	ドロップ期待度	掉落期望值	confirmed-existing-human	current MagiaCN same-path same-selector override content=['掉落期望值']; old official CSS absent or untranslated at this selector	0	1
UI-133	magica/css/patrol/PatrolLumpFormation.css	#popupArea .popupDetail #popupDetailScrollWrap .scrollInner .commonItemImgWrap.bonus:after	BONUS	加成	new-human	path-scoped visible CSS selector context; no usable same-selector CN in A:\magicaOLD; content=['加成']	0	1
UI-134	magica/css/quest/MainQuest.css	#QuestMap #content #questListWrap #questList.allClear:before,#QuestMap #content #questListWrap #questListSeason2.allClear:before,#QuestMap #content #questListWrapSeason2 #questList.allClear:before,#QuestMap #content #questListWrapSeason2 #questListSeason2.allClear:before	最新までクリア済です\a 次回のストーリー配信をお待ち下さい	已通关最新剧情\A请等待后续剧情的更新	official-cn-css	A:\magicaOLD\css\quest\MainQuest.css same-path same-selector content=['已通关最新剧情\\A请等待后续剧情的更新']	0	1
UI-135	magica/css/quest/SecondPartLastBattleConfirm.css	#SecondPartLastBattleConfirm #deckListArea.off:after	参加済	已参加	confirmed-existing-human	current MagiaCN same-path same-selector override content=['已参加']; old official CSS absent or untranslated at this selector	0	1
UI-136	magica/css/quest/SecondPartLastFormation.css	#SecondPartLastFormation #deckWrap .deck .enemyPower:after,#popupArea #autoFormationContainer .deck .enemyPower:after	推奨戦力	推荐战力	confirmed-existing-human	current MagiaCN same-path same-selector override content=['推荐战力']; old official CSS absent or untranslated at this selector	0	1
UI-137	magica/css/quest/SecondPartLastFormation.css	#SecondPartLastFormation #deckWrap .deck .playerPower:after,#popupArea #autoFormationContainer .deck .playerPower:after	戦力値	战力值	confirmed-existing-human	current MagiaCN same-path same-selector override content=['战力值']; old official CSS absent or untranslated at this selector	0	1
UI-138	magica/css/regularEvent/extermination/RegularEventExterminationBattleConfirm.css	#RegularEventExterminationBattleConfirm #deckListArea.off:after	参加済	已参加	confirmed-existing-human	current MagiaCN same-path same-selector override content=['已参加']; old official CSS absent or untranslated at this selector	0	1
UI-139	magica/css/regularEvent/extermination/RegularEventExterminationFormation.css	#RegularEventExterminationFormation #deckWrap .deck .enemyPower:after,#popupArea #autoFormationContainer .deck .enemyPower:after	推奨戦力	推荐战力	confirmed-existing-human	current MagiaCN same-path same-selector override content=['推荐战力']; old official CSS absent or untranslated at this selector	0	1
UI-140	magica/css/regularEvent/extermination/RegularEventExterminationFormation.css	#RegularEventExterminationFormation #deckWrap .deck .playerPower:after,#popupArea #autoFormationContainer .deck .playerPower:after	戦力値	战力值	confirmed-existing-human	current MagiaCN same-path same-selector override content=['战力值']; old official CSS absent or untranslated at this selector	0	1
UI-141	magica/css/regularEvent/groupBattle/RegularEventGroupBattleBoss.css	#rewardPopup #rewardListWrap #rewardList .reward.current:before	現在のグレード	现在的层级	confirmed-existing-human	current MagiaCN same-path same-selector override content=['现在的层级']; old official CSS absent or untranslated at this selector	0	1
UI-142	magica/css/regularEvent/groupBattle/RegularEventGroupBattleBoss.css	#rewardPopup #rewardListWrap #rewardList .reward .needGp:after	必要GP	所需GP	confirmed-existing-human	current MagiaCN same-path same-selector override content=['所需GP']; old official CSS absent or untranslated at this selector	0	1
UI-143	magica/css/regularEvent/groupBattle/RegularEventGroupBattleBoss.css	#rewardPopup #rewardListWrap #rewardList .reward .needRepel:after	必要撃退数	所需击退数	confirmed-existing-human	current MagiaCN same-path same-selector override content=['所需击退数']; old official CSS absent or untranslated at this selector	0	1
UI-144	magica/css/regularEvent/groupBattle/RegularEventGroupBattleBoss.css	#rewardPopup #rewardListWrap.subjugation #rewardList .reward.current:before	到達した撃退Lv	已达成的击退等级	confirmed-existing-human	current MagiaCN same-path same-selector override content=['已达成的击退等级']; old official CSS absent or untranslated at this selector	0	1
UI-145	magica/css/regularEvent/groupBattle/RegularEventGroupBattleBoss.css	#rewardPopup #rewardListWrap.emblem #rewardList .reward.current:before	最高獲得エンブレム	最高获得徽章	confirmed-existing-human	current MagiaCN same-path same-selector override content=['最高获得徽章']; old official CSS absent or untranslated at this selector	0	1
UI-146	magica/css/regularEvent/groupBattle/RegularEventGroupBattleBoss.css	#rewardPopup #rewardListWrap.emblem #rewardList .reward .needGp:after	デイリーダメージ	每日伤害	confirmed-existing-human	current MagiaCN same-path same-selector override content=['每日伤害']; old official CSS absent or untranslated at this selector	0	1
UI-147	magica/css/regularEvent/groupBattle/RegularEventGroupBattleBoss.css	#rewardPopup #rewardListWrap.group #rewardList .reward.current:before	現在のグレード	现在的层级	confirmed-existing-human	current MagiaCN same-path same-selector override content=['现在的层级']; old official CSS absent or untranslated at this selector	0	1
UI-148	magica/css/regularEvent/groupBattle/RegularEventGroupBattleResult.css	#rewardPopup #rewardListWrap #rewardList .reward.current:before	現在のグレード	现在的层级	confirmed-existing-human	current MagiaCN same-path same-selector override content=['现在的层级']; old official CSS absent or untranslated at this selector	0	1
UI-149	magica/css/regularEvent/groupBattle/RegularEventGroupBattleResult.css	#rewardPopup #rewardListWrap #rewardList .reward .needGp:after	必要GP	所需GP	confirmed-existing-human	current MagiaCN same-path same-selector override content=['所需GP']; old official CSS absent or untranslated at this selector	0	1
UI-150	magica/css/regularEvent/groupBattle/RegularEventGroupBattleResult.css	#rewardPopup #rewardListWrap #rewardList .reward .needRepel:after	必要撃退数	所需击退数	confirmed-existing-human	current MagiaCN same-path same-selector override content=['所需击退数']; old official CSS absent or untranslated at this selector	0	1
UI-151	magica/css/regularEvent/groupBattle/RegularEventGroupBattleResult.css	#rewardPopup #rewardListWrap.subjugation #rewardList .reward.current:before	到達した撃退Lv	已达成的击退等级	confirmed-existing-human	current MagiaCN same-path same-selector override content=['已达成的击退等级']; old official CSS absent or untranslated at this selector	0	1
UI-152	magica/css/regularEvent/groupBattle/RegularEventGroupBattleResult.css	#rewardPopup #rewardListWrap.emblem #rewardList .reward.current:before	最高獲得エンブレム	最高获得徽章	confirmed-existing-human	current MagiaCN same-path same-selector override content=['最高获得徽章']; old official CSS absent or untranslated at this selector	0	1
UI-153	magica/css/regularEvent/groupBattle/RegularEventGroupBattleResult.css	#rewardPopup #rewardListWrap.emblem #rewardList .reward .needGp:after	デイリーダメージ	每日伤害	confirmed-existing-human	current MagiaCN same-path same-selector override content=['每日伤害']; old official CSS absent or untranslated at this selector	0	1
UI-154	magica/css/regularEvent/groupBattle/RegularEventGroupBattleResult.css	#rewardPopup #rewardListWrap.group #rewardList .reward.current:before	現在のグレード	现在的层级	confirmed-existing-human	current MagiaCN same-path same-selector override content=['现在的层级']; old official CSS absent or untranslated at this selector	0	1
UI-155	magica/css/regularEvent/groupBattle/RegularEventGroupBattleTop.css	#rewardPopup #rewardListWrap #rewardList .reward.current:before	現在のグレード	现在的层级	confirmed-existing-human	current MagiaCN same-path same-selector override content=['现在的层级']; old official CSS absent or untranslated at this selector	0	1
UI-156	magica/css/regularEvent/groupBattle/RegularEventGroupBattleTop.css	#rewardPopup #rewardListWrap #rewardList .reward .needGp:after	必要GP	所需GP	confirmed-existing-human	current MagiaCN same-path same-selector override content=['所需GP']; old official CSS absent or untranslated at this selector	0	1
UI-157	magica/css/regularEvent/groupBattle/RegularEventGroupBattleTop.css	#rewardPopup #rewardListWrap #rewardList .reward .needRepel:after	必要撃退数	所需击退数	confirmed-existing-human	current MagiaCN same-path same-selector override content=['所需击退数']; old official CSS absent or untranslated at this selector	0	1
UI-158	magica/css/regularEvent/groupBattle/RegularEventGroupBattleTop.css	#rewardPopup #rewardListWrap.subjugation #rewardList .reward.current:before	到達した撃退Lv	已达成的击退等级	confirmed-existing-human	current MagiaCN same-path same-selector override content=['已达成的击退等级']; old official CSS absent or untranslated at this selector	0	1
UI-159	magica/css/regularEvent/groupBattle/RegularEventGroupBattleTop.css	#rewardPopup #rewardListWrap.emblem #rewardList .reward.current:before	最高獲得エンブレム	最高获得徽章	confirmed-existing-human	current MagiaCN same-path same-selector override content=['最高获得徽章']; old official CSS absent or untranslated at this selector	0	1
UI-160	magica/css/regularEvent/groupBattle/RegularEventGroupBattleTop.css	#rewardPopup #rewardListWrap.emblem #rewardList .reward .needGp:after	デイリーダメージ	每日伤害	confirmed-existing-human	current MagiaCN same-path same-selector override content=['每日伤害']; old official CSS absent or untranslated at this selector	0	1
UI-161	magica/css/regularEvent/groupBattle/RegularEventGroupBattleTop.css	#rewardPopup #rewardListWrap.group #rewardList .reward.current:before	現在のグレード	现在的层级	confirmed-existing-human	current MagiaCN same-path same-selector override content=['现在的层级']; old official CSS absent or untranslated at this selector	0	1
UI-162	magica/css/shop/ShopTop.css	#ShopTop #hasItems:before	所持	持有	official-cn-css	A:\magicaOLD\css\shop\ShopTop.css same-path same-selector content=['持有']	0	1
UI-163	magica/css/shop/ShopTop.css	#popupArea .popupShop .costWrap .useCost:before	合計価格	合计价格	official-cn-css	A:\magicaOLD\css\shop\ShopTop.css same-path same-selector content=['合计价格']	0	1
UI-164	magica/css/shop/ShopTop.css	#popupArea .popupShop .costWrap .costHasNum:before	所持	持有	official-cn-css	A:\magicaOLD\css\shop\ShopTop.css same-path same-selector content=['持有']	0	1
UI-165	magica/css/shop/ShopTop.css	#popupArea .popupShop #shopPopMain .itemPopMiniWrap .useCost:before	価格	价格	official-cn-css	A:\magicaOLD\css\shop\ShopTop.css same-path same-selector content=['价格']	0	1
UI-166	magica/css/shop/ShopTop.css	#popupArea .popupShop.forMoney #shopPopMain .amountSelectWrap .useCost:before	合計価格	合计价格	confirmed-existing-human	current MagiaCN same-path same-selector override content=['合计价格']; old official CSS absent or untranslated at this selector	0	1
UI-167	magica/css/shop/ShopTop.css	#popupArea .completePop .completeQuantity:before	所持数	持有数	official-cn-css	A:\magicaOLD\css\shop\ShopTop.css same-path same-selector content=['持有数']	0	1
UI-168	magica/css/test/SdCharaTest.css	#rewardPopup #rewardListWrap.subjugation #rewardList .reward.current:before	已达到的击退Lv	已达到的击退等级	new-human	path-scoped visible CSS selector context; no usable same-selector CN in A:\magicaOLD; content=['已达到的击退等级']	0	1
UI-169	magica/css/user/EventRecord.css	#rewardPopup #rewardListWrap #rewardList .reward.current:before	現在のグレード	现在的层级	confirmed-existing-human	current MagiaCN same-path same-selector override content=['现在的层级']; old official CSS absent or untranslated at this selector	0	1
UI-170	magica/css/user/EventRecord.css	#rewardPopup #rewardListWrap #rewardList .reward .needGp:after	必要GP	所需GP	confirmed-existing-human	current MagiaCN same-path same-selector override content=['所需GP']; old official CSS absent or untranslated at this selector	0	1
UI-171	magica/css/user/EventRecord.css	#rewardPopup #rewardListWrap #rewardList .reward .needRepel:after	必要撃退数	所需击退数	confirmed-existing-human	current MagiaCN same-path same-selector override content=['所需击退数']; old official CSS absent or untranslated at this selector	0	1
UI-172	magica/css/user/EventRecord.css	#rewardPopup #rewardListWrap.subjugation #rewardList .reward.current:before	到達した撃退Lv	已达成的击退等级	confirmed-existing-human	current MagiaCN same-path same-selector override content=['已达成的击退等级']; old official CSS absent or untranslated at this selector	0	1
