line_no	final_html
85	２．&nbsp;用户事先同意：为测量广告刊登效果、分析本应用使用情况及投放最合适的广告，本公司可能通过adjust股份有限公司（以下简称“adjust公司”）运营的“Adjust”工具，向adjust公司发送下列信息并进行分析等。adjust公司不会因收集及分析这些信息而识别出用户本人。<br>
86	（１）哈希IP地址<br>
87	（２）iOS广告标识符（IDFA）、Google广告ID或类似移动标识符等移动标识符<br>
88	（３）在用户移动设备上安装及首次启动应用程序<br>
89	（４）应用内互动（例如应用内购买、注册）<br>
90	此外，adjust公司将自行负责，依据其政策使用及管理所取得的信息。详情请查阅adjust公司的隐私政策。<br>
91	<span id="ruleLinkAdjust" class="linkText">https://www.adjust.com/ja/terms/privacy-policy/</span><br>
92	３．&nbsp;用户事先同意：为发送推送通知，本公司可能使用由世嘉股份有限公司（以下简称“世嘉公司”）运营的“Pnote”工具，向世嘉公司发送下列信息并进行分析等。世嘉公司不会将这些信息用于其他目的，且不会因收集及分析这些信息而识别出用户本人。<br>
93	（１）设备ID（设备令牌）<br>
94	（２）应用程序及终端信息（设备、OS版本、屏幕尺寸等）<br>
95	（３）与应用程序使用情况有关的信息<br>
97	第１０条（广告刊登）<br>
98	１．&nbsp;本公司可在本应用中刊登本公司及第三方的广告。<br>
99	２．&nbsp;对于通过本应用中的链接（包括前款广告）跳转的第三方网站，本公司不对其内容等的合法性、一致性、安全性、准确性、有用性等作任何保证；对于因用户使用该网站以及通过该网站提供的商品和服务等造成的损害或损失，本公司不承担任何责任。<br>
101	第１１条（免责声明）<br>
102	１．&nbsp;本公司按现状提供本应用，不保证本应用不侵犯第三方的任何权利，不保证本应用不存在漏洞等瑕疵或安全等方面的缺陷，也不对本应用的完整性、确定性、妥当性、可靠性、有用性、适用特定目的性、与用户使用环境的兼容性等作任何保证。用户应自行负责并自行判断是否使用本应用。<br>
103	２．&nbsp;对于因第三方对本应用实施未经授权的访问、计算机病毒入侵等行为，或因电信运营商、电力运营商及其他经营者而给用户造成的损失，本公司不承担任何责任。<br>
104	３．&nbsp;对于因使用本应用而产生的用户与第三方（包括其他用户）之间的争议，本公司不承担任何责任。<br>
106	第１２条（账号使用限制等）<br>
107	用户发生下列任一情形时，本公司可限制、暂停或删除用户账号。即使该等措施给用户造成损失，除存在应归责于本公司的事由外，本公司不承担任何责任。<br>
108	（１）本公司判断用户已经违反本条款或可能违反本条款时<br>
109	（２）不论原因为何，因用户行为导致本应用的提供受到影响或妨碍，或本公司判断可能发生该等情形时<br>
110	（３）查明用户过去曾被本公司限制或暂停账号使用，或被删除账号时<br>
111	（４）用户在未签发、创建用于转移游戏数据的识别码和密码的情况下卸载本应用，且经过本公司认为合理的期间后该状态仍未解除时<br>
112	（５）本公司判断用户不适合继续作为本应用用户的其他情形<br>
114	第１３条（本应用的变更、中止及终止）<br>
115	１．&nbsp;本公司可不事先通知用户，变更本应用全部或部分内容，或中止、终止提供本应用。<br>
116	２．&nbsp;发生下列任一事由时，本公司可不事先通知用户，暂时或长期中止或终止提供本应用。<br>
117	（１）因地震、海啸、洪水等自然灾害，火灾、停电等意外事故，战争、暴动、骚乱、劳资争议等不可抗力而无法提供本应用时<br>
118	（２）因提供本应用所需的系统等需要定期或紧急维护，或因网络线路拥堵、服务提供商等发生故障而无法提供本应用时<br>
119	（３）除前两项规定外，本公司判断有必要中止或终止提供本应用时<br>
120	３．&nbsp;即使本应用的变更、中止或终止给用户造成损失，除存在应归责于本公司的事由外，本公司不承担任何责任。<br>
122	第１４条（废止游戏内货币）<br>
123	本公司可在本应用或本应用官方网站提前一段本公司认为合理的告知期发布公告，废止游戏内货币（指同时停止发行和使用）。除本公司依法负有退款义务外，告知期届满时游戏内货币即告失效。即使游戏内货币失效给用户造成损失，除存在应归责于本公司的事由外，本公司不承担任何责任。<br>
125	第１５条（禁止事项）<br>
126	１．&nbsp;用户使用本应用时，不得实施下列行为。<br>
127	（１）违反法律法规及本条款的行为<br>
128	（２）违反公共秩序和善良风俗的行为<br>
129	（３）通过申报虚假信息开始使用本应用，或在本应用中向本公司或第三方提供、传播不实信息的其他行为<br>
130	（４）不当收集、使用其他用户个人信息的行为<br>
131	（５）侵犯本公司或第三方知识产权、人格权及其他权利的行为<br>
132	（６）利用本应用及从本应用获得的信息牟利的行为<br>
133	（７）无论在本应用内外，以现金或类似物买卖账号、道具、游戏内货币及游戏数据等（不限于这些内容），或进行交换交易的行为<br>
134	（８）无论在本应用内外，就前项买卖或交换交易达成协议，或作为准备实施的任何行为<br>
135	（９）单独、与其他用户串通，或利用其他用户行为，不正当操纵使用本应用所得结果的行为<br>
136	（10）给运营本应用所需的服务器或网络施加显著负荷的行为<br>
137	（11）未经授权访问或冒充其他用户的行为<br>
138	（12）故意向本公司以外的第三方提供或披露本应用缺陷相关信息的行为<br>
139	（13）篡改、损坏本应用所用程序，或对其进行反汇编、反编译、逆向工程的行为<br>
140	（14）给本公司或第三方造成损害，或以其他方式造成任何困扰的行为<br>
141	（15）妨碍本应用正常提供的行为<br>
142	（16）损害本公司或本应用信誉的行为<br>
143	（17）向所谓反社会势力提供利益或给予其他协助的行为<br>
144	（18）本公司判断为不当的其他行为<br>
145	２．&nbsp;用户实施前款各项行为时，本公司无需催告即可立即暂停用户使用账号；即使该暂停给用户造成损失，除存在应归责于本公司的事由外，本公司不承担任何责任。<br>
147	第１６条（损害赔偿）<br>
148	１．&nbsp;用户违反本条款规定，或因应归责于用户的事由给本公司造成损失时，应向本公司赔偿本公司遭受的损失（包括合理的律师费）。<br>
149	２．&nbsp;本公司因故意或重大过失，就本应用给用户造成损失时，应赔偿该损失。<br>
150	３．&nbsp;尽管本条款有其他规定，因本公司与本应用有关的过失（重大过失除外）给用户造成损失时，本公司仅赔偿用户实际发生的直接且通常的损失。但是，本公司对用户的赔偿金额，以损失发生当月本公司从用户处收取的金额为上限。<br>
152	第１７条（权利义务的转让等）<br>
153	用户不得将基于本条款与本公司交易关系中的用户地位及全部或部分权利义务转让给第三方、变更名义或设定担保。<br>
155	第１８条（本条款的修订）<br>
156	１．&nbsp;本公司可提前一段本公司认为合理的告知期，随时修订本条款。<br>
157	２．&nbsp;尽管有前款规定，本公司判断确属不得已时，可不事先通知用户而修订本条款。<br>
158	３．&nbsp;依据前两款修订的本条款，除本公司另有规定外，用户在修订后使用本应用时，视为已经同意修订后的条款。<br>
160	第１９条（适用法律及管辖法院）<br>
161	１．&nbsp;本条款的适用法律为日本法律。<br>
162	２．&nbsp;用户与本公司之间因使用本应用发生争议时，以东京地方法院为第一审专属协议管辖法院。<br>
166	２０１７年８月２２日制定<br>
167	２０１９年４月８日修订<br>
168	２０２３年６月２６日修订<br>
169	２０２４年５月３１日修订<br>
171	Aniplex股份有限公司<br>
