sequence	file	key_field	stable_key	field	baseline	pass14_value	current_product_value	equivalence_kind	normalized_baseline	normalized_pass14	numeric_roman_signature	official_relation	official_value	current_product_relation	runtime_byte_change	counts_toward_pass14_residual	current_net_new_residual_delta	reason
11	itemList.json	itemCode	EVENT_DAILYTOWER_1130_STICKER_303600	parameter	138,由貴真里愛	138,由贵真里爱	138,由贵真里爱	narrow_glyph_exact	138,由贵真里爱	138,由贵真里爱	"[""138""]"	official_same_record_absent		unchanged_since_pass14	false	true	true	closed Japanese-shinjitai/Traditional-to-Simplified bridge
12	itemList.json	itemCode	EVENT_DAILYTOWER_1161_STICKER_103700	name	里見那由他	里见那由他	里见那由他	narrow_glyph_exact	里见那由他	里见那由他	[]	official_same_record_absent		unchanged_since_pass14	false	true	true	closed Japanese-shinjitai/Traditional-to-Simplified bridge
13	itemList.json	itemCode	EVENT_DAILYTOWER_1161_STICKER_103700	parameter	156,里見那由他	156,里见那由他	156,里见那由他	narrow_glyph_exact	156,里见那由他	156,里见那由他	"[""156""]"	official_same_record_absent		unchanged_since_pass14	false	true	true	closed Japanese-shinjitai/Traditional-to-Simplified bridge
14	itemList.json	itemCode	EVENT_DAILYTOWER_1161_STICKER_104300	name	黒江	黑江	黑江	narrow_glyph_exact	黑江	黑江	[]	official_same_record_absent		unchanged_since_pass14	false	true	true	closed Japanese-shinjitai/Traditional-to-Simplified bridge
15	itemList.json	itemCode	EVENT_DAILYTOWER_1161_STICKER_104300	parameter	168,黒江	168,黑江	168,黑江	narrow_glyph_exact	168,黑江	168,黑江	"[""168""]"	official_same_record_absent		unchanged_since_pass14	false	true	true	closed Japanese-shinjitai/Traditional-to-Simplified bridge
16	itemList.json	itemCode	EVENT_DAILYTOWER_1189_STICKER_104400	shortDescription	神浜市大東区	神滨市大东区	神滨市大东区	narrow_glyph_exact	神滨市大东区	神滨市大东区	[]	official_same_record_absent		unchanged_since_pass14	false	true	true	closed Japanese-shinjitai/Traditional-to-Simplified bridge
17	itemList.json	itemCode	EVENT_DAILYTOWER_1189_STICKER_114300	name	水着黒江	水着黑江	水着黑江	narrow_glyph_exact	水着黑江	水着黑江	[]	official_same_record_absent		unchanged_since_pass14	false	true	true	closed Japanese-shinjitai/Traditional-to-Simplified bridge
18	itemList.json	itemCode	EVENT_DAILYTOWER_1189_STICKER_114300	parameter	178,黒江(水着ver.)	178,黑江(水着ver.)	178,黑江(水着ver.)	narrow_glyph_exact	178,黑江(水着ver.)	178,黑江(水着ver.)	"[""178""]"	official_same_record_absent		unchanged_since_pass14	false	true	true	closed Japanese-shinjitai/Traditional-to-Simplified bridge
19	itemList.json	itemCode	EVENT_DAILYTOWER_1189_STICKER_121600	parameter	187,和泉 十七夜(常闇ver.)	187,和泉 十七夜(常暗ver.)	187,和泉 十七夜(常暗ver.)	narrow_glyph_exact	187,和泉 十七夜(常暗ver.)	187,和泉 十七夜(常暗ver.)	"[""187""]"	official_same_record_absent		unchanged_since_pass14	false	true	true	closed Japanese-shinjitai/Traditional-to-Simplified bridge
20	itemList.json	itemCode	EVENT_DAILYTOWER_1189_STICKER_121600	shortDescription	神浜市大東区	神滨市大东区	神滨市大东区	narrow_glyph_exact	神滨市大东区	神滨市大东区	[]	official_same_record_absent		unchanged_since_pass14	false	true	true	closed Japanese-shinjitai/Traditional-to-Simplified bridge
21	itemList.json	itemCode	EVENT_DAILYTOWER_1189_STICKER_121700	name	常闇淑女	常暗淑女	常暗淑女	narrow_glyph_exact	常暗淑女	常暗淑女	[]	official_same_record_absent		unchanged_since_pass14	false	true	true	closed Japanese-shinjitai/Traditional-to-Simplified bridge
22	itemList.json	itemCode	EVENT_DAILYTOWER_1189_STICKER_121700	shortDescription	神浜市大東区	神滨市大东区	神滨市大东区	narrow_glyph_exact	神滨市大东区	神滨市大东区	[]	official_same_record_absent		unchanged_since_pass14	false	true	true	closed Japanese-shinjitai/Traditional-to-Simplified bridge
23	itemList.json	itemCode	EVENT_DAILYTOWER_1189_STICKER_220300	shortDescription	見滝原市？	见滝原市？	见滝原市？	narrow_glyph_exact	见滝原市？	见滝原市？	[]	official_same_record_absent		unchanged_since_pass14	false	true	true	closed Japanese-shinjitai/Traditional-to-Simplified bridge
24	itemList.json	itemCode	EVENT_DAILYTOWER_1189_STICKER_400400	shortDescription	見滝原市	见滝原市	见滝原市	narrow_glyph_exact	见滝原市	见滝原市	[]	official_same_record_absent		unchanged_since_pass14	false	true	true	closed Japanese-shinjitai/Traditional-to-Simplified bridge
25	itemList.json	itemCode	EVENT_DAILYTOWER_1212_STICKER_200900	shortDescription	見滝原市	见滝原市	见滝原市	narrow_glyph_exact	见滝原市	见滝原市	[]	official_same_record_absent		unchanged_since_pass14	false	true	true	closed Japanese-shinjitai/Traditional-to-Simplified bridge
26	itemList.json	itemCode	EVENT_DAILYTOWER_1212_STICKER_210500	shortDescription	見滝原市	见滝原市	见滝原市	narrow_glyph_exact	见滝原市	见滝原市	[]	official_same_record_absent		unchanged_since_pass14	false	true	true	closed Japanese-shinjitai/Traditional-to-Simplified bridge
27	itemList.json	itemCode	EVENT_DAILYTOWER_1212_STICKER_230100	shortDescription	見滝原市	见滝原市	见滝原市	narrow_glyph_exact	见滝原市	见滝原市	[]	official_same_record_absent		unchanged_since_pass14	false	true	true	closed Japanese-shinjitai/Traditional-to-Simplified bridge
28	itemList.json	itemCode	EVENT_DAILYTOWER_1212_STICKER_240200	shortDescription	見滝原市	见滝原市	见滝原市	narrow_glyph_exact	见滝原市	见滝原市	[]	official_same_record_absent		unchanged_since_pass14	false	true	true	closed Japanese-shinjitai/Traditional-to-Simplified bridge
29	itemList.json	itemCode	EVENT_DAILYTOWER_1212_STICKER_250300	shortDescription	見滝原市	见滝原市	见滝原市	narrow_glyph_exact	见滝原市	见滝原市	[]	official_same_record_absent		unchanged_since_pass14	false	true	true	closed Japanese-shinjitai/Traditional-to-Simplified bridge
30	itemList.json	itemCode	EVENT_DAILYTOWER_1212_STICKER_260100	shortDescription	見滝原市	见滝原市	见滝原市	narrow_glyph_exact	见滝原市	见滝原市	[]	official_same_record_absent		unchanged_since_pass14	false	true	true	closed Japanese-shinjitai/Traditional-to-Simplified bridge
31	itemList.json	itemCode	EVENT_DAILYTOWER_1212_STICKER_350500	shortDescription	神浜市大東区	神滨市大东区	神滨市大东区	narrow_glyph_exact	神滨市大东区	神滨市大东区	[]	official_same_record_absent		unchanged_since_pass14	false	true	true	closed Japanese-shinjitai/Traditional-to-Simplified bridge
32	itemList.json	itemCode	HOME_EV_1131_20191	name	背景「見滝原中学校 屋上」	背景「见滝原中学校 屋上」	背景「见滝原中学校 屋上」	narrow_glyph_exact	背景「见滝原中学校 屋上」	背景「见滝原中学校 屋上」	[]	official_same_record_absent		unchanged_since_pass14	false	true	true	closed Japanese-shinjitai/Traditional-to-Simplified bridge
33	itemList.json	itemCode	HOME_EV_1131_20191	shortDescription	見滝原中学校 屋上(10周年記念)	见滝原中学校 屋上(10周年记念)	见滝原中学校 屋上(10周年记念)	narrow_glyph_exact	见滝原中学校 屋上(10周年记念)	见滝原中学校 屋上(10周年记念)	"[""10""]"	official_same_record_absent		unchanged_since_pass14	false	true	true	closed Japanese-shinjitai/Traditional-to-Simplified bridge
34	itemList.json	itemCode	HOME_EV_1131_20201	name	背景「見滝原中学校 教室」	背景「见滝原中学校 教室」	背景「见滝原中学校 教室」	narrow_glyph_exact	背景「见滝原中学校 教室」	背景「见滝原中学校 教室」	[]	official_same_record_absent		unchanged_since_pass14	false	true	true	closed Japanese-shinjitai/Traditional-to-Simplified bridge
35	itemList.json	itemCode	HOME_EV_1131_20201	shortDescription	見滝原中学校 教室(10周年記念)	见滝原中学校 教室(10周年记念)	见滝原中学校 教室(10周年记念)	narrow_glyph_exact	见滝原中学校 教室(10周年记念)	见滝原中学校 教室(10周年记念)	"[""10""]"	official_same_record_absent		unchanged_since_pass14	false	true	true	closed Japanese-shinjitai/Traditional-to-Simplified bridge
36	itemList.json	itemCode	HOME_EV_1131_20211	name	背景「見滝原中学校 校舎」	背景「见滝原中学校 校舎」	背景「见滝原中学校 校舎」	narrow_glyph_exact	背景「见滝原中学校 校舎」	背景「见滝原中学校 校舎」	[]	official_same_record_absent		unchanged_since_pass14	false	true	true	closed Japanese-shinjitai/Traditional-to-Simplified bridge
37	itemList.json	itemCode	HOME_EV_1131_20211	shortDescription	見滝原中学校 校舎(10周年記念)	见滝原中学校 校舎(10周年记念)	见滝原中学校 校舎(10周年记念)	narrow_glyph_exact	见滝原中学校 校舎(10周年记念)	见滝原中学校 校舎(10周年记念)	"[""10""]"	official_same_record_absent		unchanged_since_pass14	false	true	true	closed Japanese-shinjitai/Traditional-to-Simplified bridge
38	itemList.json	itemCode	HOME_EV_1131_23051	name	背景「見滝原市 通学路」	背景「见滝原市 通学路」	背景「见滝原市 通学路」	narrow_glyph_exact	背景「见滝原市 通学路」	背景「见滝原市 通学路」	[]	official_same_record_absent		unchanged_since_pass14	false	true	true	closed Japanese-shinjitai/Traditional-to-Simplified bridge
39	itemList.json	itemCode	HOME_EV_1131_23051	shortDescription	見滝原市 通学路(10周年記念)	见滝原市 通学路(10周年记念)	见滝原市 通学路(10周年记念)	narrow_glyph_exact	见滝原市 通学路(10周年记念)	见滝原市 通学路(10周年记念)	"[""10""]"	official_same_record_absent		unchanged_since_pass14	false	true	true	closed Japanese-shinjitai/Traditional-to-Simplified bridge
40	live2dList.json	charaId_live2dId	1801|02	description	魔法少女(黒江)	魔法少女(黑江)	魔法少女(黑江)	narrow_glyph_exact	魔法少女(黑江)	魔法少女(黑江)	[]	official_same_record_absent		unchanged_since_pass14	false	true	true	closed Japanese-shinjitai/Traditional-to-Simplified bridge
41	pieceSkillMap.json	dict_key	158500	shortDescription	MP獲得量UP[Ⅳ] & 防御力UP[Ⅲ](自/3T)	MP获得量提升[Ⅳ] & 防御力提升[Ⅲ](自身/3T)	MP获得量提升[Ⅳ] & 防御力提升[Ⅲ](自身/3T)	narrow_glyph_plus_closed_mechanics_notation	MP获得量UP[Ⅳ]&防御力UP[Ⅲ](自/3T)	MP获得量UP[Ⅳ]&防御力UP[Ⅲ](自/3T)	"[""Ⅳ"", ""Ⅲ"", ""3""]"	official_same_record_absent		unchanged_since_pass14	false	true	true	closed glyph bridge plus field-typed notation normalization; no fuzzy matching
42	pieceSkillMap.json	dict_key	158501	shortDescription	MP獲得量UP[Ⅳ] & 防御力UP[Ⅲ](自/3T)	MP获得量提升[Ⅳ] & 防御力提升[Ⅲ](自身/3T)	MP获得量提升[Ⅳ] & 防御力提升[Ⅲ](自身/3T)	narrow_glyph_plus_closed_mechanics_notation	MP获得量UP[Ⅳ]&防御力UP[Ⅲ](自/3T)	MP获得量UP[Ⅳ]&防御力UP[Ⅲ](自/3T)	"[""Ⅳ"", ""Ⅲ"", ""3""]"	official_same_record_absent		unchanged_since_pass14	false	true	true	closed glyph bridge plus field-typed notation normalization; no fuzzy matching
43	pieceSkillMap.json	dict_key	171200	shortDescription	Accele MPUP[Ⅲ] & MP獲得量UP[Ⅱ] & 防御力UP[Ⅲ]	Accele MP提升[Ⅲ] & MP获得量提升[Ⅱ] & 防御力提升[Ⅲ]	Accele MP提升[Ⅲ] & MP获得量提升[Ⅱ] & 防御力提升[Ⅲ]	narrow_glyph_plus_closed_mechanics_notation	AcceleMPUP[Ⅲ]&MP获得量UP[Ⅱ]&防御力UP[Ⅲ]	AcceleMPUP[Ⅲ]&MP获得量UP[Ⅱ]&防御力UP[Ⅲ]	"[""Ⅲ"", ""Ⅱ"", ""Ⅲ""]"	official_same_record_absent		unchanged_since_pass14	false	true	true	closed glyph bridge plus field-typed notation normalization; no fuzzy matching
44	pieceSkillMap.json	dict_key	171201	shortDescription	Accele MPUP[Ⅳ] & MP獲得量UP[Ⅲ] & 防御力UP[Ⅳ]	Accele MP提升[Ⅳ] & MP获得量提升[Ⅲ] & 防御力提升[Ⅳ]	Accele MP提升[Ⅳ] & MP获得量提升[Ⅲ] & 防御力提升[Ⅳ]	narrow_glyph_plus_closed_mechanics_notation	AcceleMPUP[Ⅳ]&MP获得量UP[Ⅲ]&防御力UP[Ⅳ]	AcceleMPUP[Ⅳ]&MP获得量UP[Ⅲ]&防御力UP[Ⅳ]	"[""Ⅳ"", ""Ⅲ"", ""Ⅳ""]"	official_same_record_absent		unchanged_since_pass14	false	true	true	closed glyph bridge plus field-typed notation normalization; no fuzzy matching
45	pieceSkillMap.json	dict_key	183901	shortDescription	攻撃力UP[Ⅴ] & MP獲得量UP[Ⅳ]	攻击力提升[Ⅴ] & MP获得量提升[Ⅳ]	攻击力提升[Ⅴ] & MP获得量提升[Ⅳ]	narrow_glyph_plus_closed_mechanics_notation	攻击力UP[Ⅴ]&MP获得量UP[Ⅳ]	攻击力UP[Ⅴ]&MP获得量UP[Ⅳ]	"[""Ⅴ"", ""Ⅳ""]"	official_same_record_absent		unchanged_since_pass14	false	true	true	closed glyph bridge plus field-typed notation normalization; no fuzzy matching
46	pieceSkillMap.json	dict_key	193700	shortDescription	状態強化解除(敵全)	状态强化解除(敌全)	状态强化解除(敌全)	narrow_glyph_exact	状态强化解除(敌全)	状态强化解除(敌全)	[]	official_same_record_absent		unchanged_since_pass14	false	true	true	closed Japanese-shinjitai/Traditional-to-Simplified bridge
47	pieceSkillMap.json	dict_key	193701	shortDescription	状態強化解除(敵全)	状态强化解除(敌全)	状态强化解除(敌全)	narrow_glyph_exact	状态强化解除(敌全)	状态强化解除(敌全)	[]	official_same_record_absent		unchanged_since_pass14	false	true	true	closed Japanese-shinjitai/Traditional-to-Simplified bridge
48	sectionList.json	sectionId	310431	charaName	黒江	黑江	黑江	narrow_glyph_exact	黑江	黑江	[]	official_same_record_absent		unchanged_since_pass14	false	true	true	closed Japanese-shinjitai/Traditional-to-Simplified bridge
49	sectionList.json	sectionId	310432	charaName	黒江	黑江	黑江	narrow_glyph_exact	黑江	黑江	[]	official_same_record_absent		unchanged_since_pass14	false	true	true	closed Japanese-shinjitai/Traditional-to-Simplified bridge
50	sectionList.json	sectionId	310433	charaName	黒江	黑江	黑江	narrow_glyph_exact	黑江	黑江	[]	official_same_record_absent		unchanged_since_pass14	false	true	true	closed Japanese-shinjitai/Traditional-to-Simplified bridge
51	sectionList.json	sectionId	310434	charaName	黒江	黑江	黑江	narrow_glyph_exact	黑江	黑江	[]	official_same_record_absent		unchanged_since_pass14	false	true	true	closed Japanese-shinjitai/Traditional-to-Simplified bridge
52	sectionList.json	sectionId	311431	charaName	黒江	黑江	黑江	narrow_glyph_exact	黑江	黑江	[]	official_same_record_absent		unchanged_since_pass14	false	true	true	closed Japanese-shinjitai/Traditional-to-Simplified bridge
53	sectionList.json	sectionId	311432	charaName	黒江	黑江	黑江	narrow_glyph_exact	黑江	黑江	[]	official_same_record_absent		unchanged_since_pass14	false	true	true	closed Japanese-shinjitai/Traditional-to-Simplified bridge
54	sectionList.json	sectionId	311433	charaName	黒江	黑江	黑江	narrow_glyph_exact	黑江	黑江	[]	official_same_record_absent		unchanged_since_pass14	false	true	true	closed Japanese-shinjitai/Traditional-to-Simplified bridge
55	sectionList.json	sectionId	311434	charaName	黒江	黑江	黑江	narrow_glyph_exact	黑江	黑江	[]	official_same_record_absent		unchanged_since_pass14	false	true	true	closed Japanese-shinjitai/Traditional-to-Simplified bridge
56	sectionList.json	sectionId	318011	charaName	黒江	黑江	黑江	narrow_glyph_exact	黑江	黑江	[]	official_same_record_absent		unchanged_since_pass14	false	true	true	closed Japanese-shinjitai/Traditional-to-Simplified bridge
57	sectionList.json	sectionId	318014	charaName	黒江	黑江	黑江	narrow_glyph_exact	黑江	黑江	[]	official_same_record_absent		unchanged_since_pass14	false	true	true	closed Japanese-shinjitai/Traditional-to-Simplified bridge
58	sectionList.json	sectionId	330561	title	露見―Disclose―	露见―Disclose―	露见―Disclose―	narrow_glyph_exact	露见―Disclose―	露见―Disclose―	[]	official_same_record_absent		unchanged_since_pass14	false	true	true	closed Japanese-shinjitai/Traditional-to-Simplified bridge
59	shopItemList.json	id	10820	name	【期間限定】userName	【期间限定】userName	【期间限定】userName	narrow_glyph_exact	【期间限定】userName	【期间限定】userName	[]	official_same_record_absent		unchanged_since_pass14	false	true	true	closed Japanese-shinjitai/Traditional-to-Simplified bridge
60	shopItemList.json	id	12838	name	【期間限定】美琴椿	【期间限定】美琴椿	【期间限定】美琴椿	narrow_glyph_exact	【期间限定】美琴椿	【期间限定】美琴椿	[]	official_same_record_absent		unchanged_since_pass14	false	true	true	closed Japanese-shinjitai/Traditional-to-Simplified bridge
61	shopItemList.json	id	14811	name	里見那由他	里见那由他	里见那由他	narrow_glyph_exact	里见那由他	里见那由他	[]	official_same_record_absent		unchanged_since_pass14	false	true	true	closed Japanese-shinjitai/Traditional-to-Simplified bridge
62	shopItemList.json	id	17979	name	黒	黑	黑	narrow_glyph_exact	黑	黑	[]	official_same_record_absent		unchanged_since_pass14	false	true	true	closed Japanese-shinjitai/Traditional-to-Simplified bridge
63	shopItemList.json	id	19789	name	【期間限定】黒江	【期间限定】黑江	【期间限定】黑江	narrow_glyph_exact	【期间限定】黑江	【期间限定】黑江	[]	official_same_record_absent		unchanged_since_pass14	false	true	true	closed Japanese-shinjitai/Traditional-to-Simplified bridge
64	shopItemList.json	id	21968	name	【期間限定】黒江 水着ver.	【期间限定】黑江 水着ver.	【期间限定】黑江 水着ver.	narrow_glyph_exact	【期间限定】黑江 水着ver.	【期间限定】黑江 水着ver.	[]	official_same_record_absent		unchanged_since_pass14	false	true	true	closed Japanese-shinjitai/Traditional-to-Simplified bridge
65	shopItemList.json	id	23187	name	【期間限定】和泉十七夜 常闇ver.	【期间限定】和泉十七夜 常暗ver.	【期间限定】和泉十七夜 常暗ver.	narrow_glyph_exact	【期间限定】和泉十七夜 常暗ver.	【期间限定】和泉十七夜 常暗ver.	[]	official_same_record_absent		unchanged_since_pass14	false	true	true	closed Japanese-shinjitai/Traditional-to-Simplified bridge
66	shopItemList.json	id	25379	name	【期間限定】水名露	【期间限定】水名露	【期间限定】水名露	narrow_glyph_exact	【期间限定】水名露	【期间限定】水名露	[]	official_same_record_absent		unchanged_since_pass14	false	true	true	closed Japanese-shinjitai/Traditional-to-Simplified bridge
67	shopItemList.json	id	33317	name	黒江 水着ver.	黑江 水着ver.	黑江 水着ver.	narrow_glyph_exact	黑江 水着ver.	黑江 水着ver.	[]	official_same_record_absent		unchanged_since_pass14	false	true	true	closed Japanese-shinjitai/Traditional-to-Simplified bridge
68	shopItemList.json	id	33361	name	黒江 水着ver.	黑江 水着ver.	黑江 水着ver.	narrow_glyph_exact	黑江 水着ver.	黑江 水着ver.	[]	official_same_record_absent		unchanged_since_pass14	false	true	true	closed Japanese-shinjitai/Traditional-to-Simplified bridge
69	shopItemList.json	id	33578	name	黒江	黑江	黑江	narrow_glyph_exact	黑江	黑江	[]	official_same_record_absent		unchanged_since_pass14	false	true	true	closed Japanese-shinjitai/Traditional-to-Simplified bridge
70	shopItemList.json	id	33584	name	黒江 水着ver.	黑江 水着ver.	黑江 水着ver.	narrow_glyph_exact	黑江 水着ver.	黑江 水着ver.	[]	official_same_record_absent		unchanged_since_pass14	false	true	true	closed Japanese-shinjitai/Traditional-to-Simplified bridge
71	shopItemList.json	id	33587	name	和泉十七夜 常闇ver.	和泉十七夜 常暗ver.	和泉十七夜 常暗ver.	narrow_glyph_exact	和泉十七夜 常暗ver.	和泉十七夜 常暗ver.	[]	official_same_record_absent		unchanged_since_pass14	false	true	true	closed Japanese-shinjitai/Traditional-to-Simplified bridge
72	shopItemList.json	id	33637	name	里見灯花	里见灯花	里见灯花	narrow_glyph_exact	里见灯花	里见灯花	[]	official_same_record_absent		unchanged_since_pass14	false	true	true	closed Japanese-shinjitai/Traditional-to-Simplified bridge
73	shopItemList.json	id	33664	name	里見那由他	里见那由他	里见那由他	narrow_glyph_exact	里见那由他	里见那由他	[]	official_same_record_absent		unchanged_since_pass14	false	true	true	closed Japanese-shinjitai/Traditional-to-Simplified bridge
