sequence	layer	file	key_field	stable_key	field	expected_before	after	runtime_byte_change	counts_toward_residual	original_pass9_residual	authority_tier	authority_type	source_locator	source_record_sha256	wiki_locator	wiki_record_sha256	note
13	pass17_first_authority	cardMagiaMap.json	dict_key	90001	shortDescription	对敌方全体造成伤害[Ⅵ] & 束缚(我方全体/1T) & 自身防御下降(自身/1T)	对全体敌人造成伤害[Ⅵ] & 束缚（全体敌人/1T） & 自身防御下降（自己/1T）	true	true	true	1_official_cn_dump	official_cn_same_skill_exact_name_level_and_mechanics	cardMagiaMap.json/20054/shortDescription	73919e654a1047df3fc60e3079f859ee11c4b95ac2930227f526235b92cb4ce4	templates.jsonl.gz::Template:角色数据表/巴 マミ#magia效果4	71fc7ae13c941f79762faa61fa65992a78f80f5180ff35864aa7317729b3b870	official cardMagiaMap/20054 is the exact Tiro Finale 4-star record; Wiki independently confirms restraint targets enemy-all
14	pass17_official_override	cardMagiaMap.json	dict_key	90013	name	连环巨拳	连环巨拳	false	true	true	1_official_cn_dump	official_cn_same_family_linked_by_typed_wiki_character	cardMagiaMap.json/30082/name;cardMagiaMap.json/30083/name;cardMagiaMap.json/30084/name	7d0263e894263f2c7c7c3433e1574c03e0650eb683ca393e9cf5bb1a5a48c81b;ef80049cb58ec3a52ebad1e8e7201a665f05e9771d11dbc238fd1d5bc92f29c7;8be789cd1e64fbec53b9cb4a73eece4e42d3fbdf72e48cf6ff45302a0fa186c2	templates.jsonl.gz::Template:角色数据表/志伸 あきら#magia中文	33dcf6030a0a26e9406506c4c6e7c2f09c5d16b11be46e87b5a97ee7663c6d93	Official CN current value overrides the lower-priority Wiki baseline; current bytes are retained.
15	pass17_first_authority	cardMagiaMap.json	dict_key	90017	name	樱隐	樱隐	false	true	true	1_official_cn_dump	official_cn_same_family_linked_by_typed_wiki_character	cardMagiaMap.json/10184/name;cardMagiaMap.json/10185/name;cardMagiaMap.json/101855/name	76ee3ca51e9d6600cc494e1b4ceed2afc05734d0832c24a6918c3088a0823713;ff8f8b2b52be7d037ff6f2c7f9684e543109f8f4eb6f4093d38af1c1cfabb0cf;eb0fe99e31e0ee9936db6dd329bb789ee0e5333082e0f95ce12cd3dfb48c6d3b	templates.jsonl.gz::Template:角色数据表/天音 月夜#magia中文	059b6b723e1458f8143b38ede2dc0e4a430be77122bb20d60c7b30d84a9e9ad8	typed Wiki relationship identifies the character skill family and official CN in that family exactly equals current
16	pass17_first_authority	cardMagiaMap.json	dict_key	90018	name	樱语	樱语	false	true	true	1_official_cn_dump	official_cn_same_family_linked_by_typed_wiki_character	cardMagiaMap.json/10193/name;cardMagiaMap.json/10194/name;cardMagiaMap.json/10195/name	7211f57b6e7e92dffd6888521f1a06cea8290aae9ee95cedd68bc33eafe3f924;e3d36481f49e434dd5113a565fecc6f7854b95e73b3466d4e623b623052ad49d;dd25746a8287314ef4f718e7210144d512a804370c5306ccc692a88efec5a69a	templates.jsonl.gz::Template:角色数据表/天音 月咲#magia中文	2570ba796e046c9b6ac0f64c9f213d1b248b02232c086702f03bd9a47e850af0	typed Wiki relationship identifies the character skill family and official CN in that family exactly equals current
17	pass17_official_override	cardMagiaMap.json	dict_key	90020	name	Nine Phases	Nine Phases	false	true	true	1_official_cn_dump	official_cn_same_family_linked_by_typed_wiki_character	cardMagiaMap.json/10084/name;cardMagiaMap.json/10085/name	a086f67809c21f79c4a0b5b8cc45299277a52fad9f04a79823e8a18ac10b7b5b;2de982279d20e199e16c3e8968f044bb4dd076face7ff832ae187ab2667ae3d1	templates.jsonl.gz::Template:角色数据表/アリナ・グレイ#magia中文	21fe0ce1be2bea018712762fb042397b0a840953e8c7c5d4bf1fed34afcfb74a	Official CN current value overrides the lower-priority Wiki baseline; current bytes are retained.
18	pass17_first_authority	cardMagiaMap.json	dict_key	90023	name	时间停止Special	时间停止Special	false	true	true	1_official_cn_dump	official_cn_same_family_linked_by_typed_wiki_character	cardMagiaMap.json/20034/name;cardMagiaMap.json/20035/name;cardMagiaMap.json/200355/name	4dd315c27ff490e621bac3e5d2231ff8c9be42add815d7ac2582f1469aa40ee3;48cde1ba0457130da743a1dce907636b2ae849c71b1325db11a47568ffbcba5b;032c06ae2f0bde5b0d63d848e6b6ffe8fdfbf5a21edd6a03d66eca45e8278f9e	templates.jsonl.gz::Template:角色数据表/暁美 ほむら（眼鏡ver.）#magia中文	fa12ce79ee479fdde1ac3f7cd272fe301acc0fa3e747d7c90bf695cb6eb36d51	typed Wiki relationship identifies the character skill family and official CN in that family exactly equals current
19	pass17_first_authority	cardMagiaMap.json	dict_key	90027	name	樱语	樱语	false	true	true	1_official_cn_dump	official_cn_same_family_linked_by_typed_wiki_character	cardMagiaMap.json/10193/name;cardMagiaMap.json/10194/name;cardMagiaMap.json/10195/name	7211f57b6e7e92dffd6888521f1a06cea8290aae9ee95cedd68bc33eafe3f924;e3d36481f49e434dd5113a565fecc6f7854b95e73b3466d4e623b623052ad49d;dd25746a8287314ef4f718e7210144d512a804370c5306ccc692a88efec5a69a	templates.jsonl.gz::Template:角色数据表/天音 月咲#magia中文	2570ba796e046c9b6ac0f64c9f213d1b248b02232c086702f03bd9a47e850af0	typed Wiki relationship identifies the character skill family and official CN in that family exactly equals current
20	pass17_first_authority	cardMagiaMap.json	dict_key	90028	name	樱隐	樱隐	false	true	true	1_official_cn_dump	official_cn_same_family_linked_by_typed_wiki_character	cardMagiaMap.json/10184/name;cardMagiaMap.json/10185/name;cardMagiaMap.json/101855/name	76ee3ca51e9d6600cc494e1b4ceed2afc05734d0832c24a6918c3088a0823713;ff8f8b2b52be7d037ff6f2c7f9684e543109f8f4eb6f4093d38af1c1cfabb0cf;eb0fe99e31e0ee9936db6dd329bb789ee0e5333082e0f95ce12cd3dfb48c6d3b	templates.jsonl.gz::Template:角色数据表/天音 月夜#magia中文	059b6b723e1458f8143b38ede2dc0e4a430be77122bb20d60c7b30d84a9e9ad8	typed Wiki relationship identifies the character skill family and official CN in that family exactly equals current
21	pass17_official_override	cardMagiaMap.json	dict_key	90037	name	死亡糖果暴风	死亡糖果暴风	false	true	true	1_official_cn_dump	official_cn_same_family_linked_by_typed_wiki_character	cardMagiaMap.json/10124/name;cardMagiaMap.json/10125/name;cardMagiaMap.json/101255/name	2715d3e20156df39a6abf08193f91db2d01ebfc3666ee93ca7e5861158c54739;45e7413804a11741b8c4875df7bfbde79a7a3a62aad5bb715133ce7a1f1c3149;fdd1612c2da88b2a42e9602502320efdb879d2f8aa5a8ca776a221376f460234	templates.jsonl.gz::Template:角色数据表/御園 かりん#magia中文	e98c4b2744c1c10dc396e55bf497a23aa6ad00ab1e0bc9ef2ea5cda219e2ec73	Official CN current value overrides the lower-priority Wiki baseline; current bytes are retained.
22	pass17_official_override	cardMagiaMap.json	dict_key	90038	name	通往未来的道路	通往未来的道路	false	true	true	1_official_cn_dump	official_cn_same_family_linked_by_typed_wiki_character	cardMagiaMap.json/10011/name;cardMagiaMap.json/10012/name;cardMagiaMap.json/10013/name;cardMagiaMap.json/10014/name;cardMagiaMap.json/10015/name;cardMagiaMap.json/100155/name	59584ea694fee877bdd7e6ee155a261786cea08078edff83ca8777e0440a722c;2bb3b1d1215bdf7612e1cb546e82849e4df8b19d24485f1806cf4e7377a76bd2;1ef356471760d915b8443bcf0f8c13254ff424380b3677df1ac56f3f382f62cd;20a9b342676a464343e358873244af02b2760e6cda581d0376e9332973d6e3af;249857a74ad0363580e1cea7f628ec9b6694ef35325bd7e8f30b69c46834cbf6;99874db95d27c80e7491f5a9b5a5325e3cd6fe97e3d095d7b84551605c14a0fa	templates.jsonl.gz::Template:角色数据表/環 いろは#magia中文	8501d4d5dffdcbeda6bc6e4e5fef0b61339f91701fd6887c149e304805177b78	Official CN current value overrides the lower-priority Wiki baseline; current bytes are retained.
23	pass17_official_override	cardMagiaMap.json	dict_key	90050	name	连环巨拳	连环巨拳	false	true	true	1_official_cn_dump	official_cn_same_family_linked_by_typed_wiki_character	cardMagiaMap.json/30082/name;cardMagiaMap.json/30083/name;cardMagiaMap.json/30084/name	7d0263e894263f2c7c7c3433e1574c03e0650eb683ca393e9cf5bb1a5a48c81b;ef80049cb58ec3a52ebad1e8e7201a665f05e9771d11dbc238fd1d5bc92f29c7;8be789cd1e64fbec53b9cb4a73eece4e42d3fbdf72e48cf6ff45302a0fa186c2	templates.jsonl.gz::Template:角色数据表/志伸 あきら#magia中文	33dcf6030a0a26e9406506c4c6e7c2f09c5d16b11be46e87b5a97ee7663c6d93	Official CN current value overrides the lower-priority Wiki baseline; current bytes are retained.
24	pass17_official_override	cardMagiaMap.json	dict_key	90052	name	千年日月	千年日月	false	true	true	1_official_cn_dump	official_cn_same_family_linked_by_typed_wiki_character	cardMagiaMap.json/30072/name;cardMagiaMap.json/30073/name;cardMagiaMap.json/30074/name	7f90060af2e48c252214ddf7292376f1793f89e5ed75aeb26b2d7cc8aaefcb84;749fa2dc16d80af6a01dc7dbf4386d3b9e08fd63c6c9c1ea82f8701ac53db723;7c2c22678b9c3099ab345703b430f8737d0f75ae15ae6d8a1558db1327a7f4ab	templates.jsonl.gz::Template:角色数据表/保澄 雫#magia中文	9fd2694651dc67c25e8f75afeb12bb5143c3bbd2a1d83786187500c3325622d9	Official CN current value overrides the lower-priority Wiki baseline; current bytes are retained.
25	pass17_official_override	cardMagiaMap.json	dict_key	90055	name	连环巨拳	连环巨拳	false	true	true	1_official_cn_dump	official_cn_same_family_linked_by_typed_wiki_character	cardMagiaMap.json/30082/name;cardMagiaMap.json/30083/name;cardMagiaMap.json/30084/name	7d0263e894263f2c7c7c3433e1574c03e0650eb683ca393e9cf5bb1a5a48c81b;ef80049cb58ec3a52ebad1e8e7201a665f05e9771d11dbc238fd1d5bc92f29c7;8be789cd1e64fbec53b9cb4a73eece4e42d3fbdf72e48cf6ff45302a0fa186c2	templates.jsonl.gz::Template:角色数据表/志伸 あきら#magia中文	33dcf6030a0a26e9406506c4c6e7c2f09c5d16b11be46e87b5a97ee7663c6d93	Official CN current value overrides the lower-priority Wiki baseline; current bytes are retained.
26	pass17_official_override	cardMagiaMap.json	dict_key	90063	name	终极大锤	终极大锤	false	true	true	1_official_cn_dump	official_cn_same_family_linked_by_typed_wiki_character	cardMagiaMap.json/10052/name;cardMagiaMap.json/10053/name;cardMagiaMap.json/10054/name;cardMagiaMap.json/10055/name;cardMagiaMap.json/100555/name	0e06cdeafea900ae2f87fe3541b238d85f7f6a04950276d63e1ce1ba4662fb9f;3b63f879e787b9495d8930cb98b1afc9e2627283f1a4af90e93f7bb62d849377;c63f39762d17206d964759b1ec70b384abae5e7681d113f3878dcb96888318d7;1fa7715e05fbd0739a86b9143e994afc301891faa2420241658e8055cc3bb4b5;bf80385ec8c742d2333009bfdc0c0657704fd5568b24aba306777dd3692d3bf2	templates.jsonl.gz::Template:角色数据表/深月 フェリシア#magia中文	5eac553c47edbf4f5cba4578bc7eb11ada573efec8b8fb0bdc50c807f44719a5	Official CN current value overrides the lower-priority Wiki baseline; current bytes are retained.
27	pass17_official_override	cardMagiaMap.json	dict_key	90067	name	魂之救赎	魂之救赎	false	true	true	1_official_cn_dump	official_cn_same_family_linked_by_typed_wiki_character	cardMagiaMap.json/30254/name;cardMagiaMap.json/30255/name;cardMagiaMap.json/302555/name	c2b8261c83dd37942f8d36512fc8d97ac2af2a41ecc9e24d0da96a5c683245ce;ae0f6637a852cafe23b8873461aba721cc7afde3f29a2133b1f8784daac2ff76;36d94c990cbdf0c0b35bffcbef255b42db48ba85a8aa780bbac03df70ea4ce03	templates.jsonl.gz::Template:角色数据表/五十鈴 れん#magia中文	3427f44c5bf8b858ce4e3d30c161bc07c805ce092a4e469b0365af7fa9b2ff79	Official CN current value overrides the lower-priority Wiki baseline; current bytes are retained.
28	pass17_official_override	cardMagiaMap.json	dict_key	90069	name	超辣全套料理	超辣全套料理	false	true	true	1_official_cn_dump	official_cn_same_family_linked_by_typed_wiki_character	cardMagiaMap.json/30092/name;cardMagiaMap.json/30093/name;cardMagiaMap.json/30094/name	10fb18ec6d482a05c174ef5f1ffe78ea7ed8c323504ca979d942c940de768167;59761ab2ab036212bd358fe5c1079eba3f8d485c0c091eafda6fa58801c3640b;171be331926a3fc57b7ad1a676fbb54108e085267eaaa8a15c10946b4214d459	templates.jsonl.gz::Template:角色数据表/胡桃 まなか#magia中文	6c85abdb673a2eb96341917e7a24e4766b195ab7dbcfb317acf0907a12385bd6	Official CN current value overrides the lower-priority Wiki baseline; current bytes are retained.
29	pass17_first_authority	cardMagiaMap.json	dict_key	90070	name	时间停止Special	时间停止Special	false	true	true	1_official_cn_dump	official_cn_same_family_linked_by_typed_wiki_character	cardMagiaMap.json/20034/name;cardMagiaMap.json/20035/name;cardMagiaMap.json/200355/name	4dd315c27ff490e621bac3e5d2231ff8c9be42add815d7ac2582f1469aa40ee3;48cde1ba0457130da743a1dce907636b2ae849c71b1325db11a47568ffbcba5b;032c06ae2f0bde5b0d63d848e6b6ffe8fdfbf5a21edd6a03d66eca45e8278f9e	templates.jsonl.gz::Template:角色数据表/暁美 ほむら（眼鏡ver.）#magia中文	fa12ce79ee479fdde1ac3f7cd272fe301acc0fa3e747d7c90bf695cb6eb36d51	typed Wiki relationship identifies the character skill family and official CN in that family exactly equals current
30	pass17_official_override	cardMagiaMap.json	dict_key	90074	name	通向辉煌路的书页	通向辉煌路的书页	false	true	true	1_official_cn_dump	official_cn_same_family_linked_by_typed_wiki_character	cardMagiaMap.json/30112/name;cardMagiaMap.json/30113/name;cardMagiaMap.json/30114/name;cardMagiaMap.json/30115/name	20750cafb349e3c484f8c738e1d18a070fbf10db1f6319aef7bb05ced410c043;27818055493fffa44f51fae3ec562a17615920f1fc3d4f228f87aefa83f31bfe;f8e9a21c134a3b7857d98749247a76b5c5533803ec9b2f496c7a27c45672c9fc;da538e4ee5eaf798cdf17d8452eebd8d4193811cabaf8d48c7321c15e72d048f	templates.jsonl.gz::Template:角色数据表/夏目 かこ#magia中文	fed2ca68f4f48389b8726d3a2732e10118df0a3713cdd20b8e8e754f13cd1162	Official CN current value overrides the lower-priority Wiki baseline; current bytes are retained.
31	pass17_official_override	cardMagiaMap.json	dict_key	90075	name	千年日月	千年日月	false	true	true	1_official_cn_dump	official_cn_same_family_linked_by_typed_wiki_character	cardMagiaMap.json/30072/name;cardMagiaMap.json/30073/name;cardMagiaMap.json/30074/name	7f90060af2e48c252214ddf7292376f1793f89e5ed75aeb26b2d7cc8aaefcb84;749fa2dc16d80af6a01dc7dbf4386d3b9e08fd63c6c9c1ea82f8701ac53db723;7c2c22678b9c3099ab345703b430f8737d0f75ae15ae6d8a1558db1327a7f4ab	templates.jsonl.gz::Template:角色数据表/保澄 雫#magia中文	9fd2694651dc67c25e8f75afeb12bb5143c3bbd2a1d83786187500c3325622d9	Official CN current value overrides the lower-priority Wiki baseline; current bytes are retained.
32	pass17_official_override	cardMagiaMap.json	dict_key	90081	name	终极大锤	终极大锤	false	true	true	1_official_cn_dump	official_cn_same_family_linked_by_typed_wiki_character	cardMagiaMap.json/10052/name;cardMagiaMap.json/10053/name;cardMagiaMap.json/10054/name;cardMagiaMap.json/10055/name;cardMagiaMap.json/100555/name	0e06cdeafea900ae2f87fe3541b238d85f7f6a04950276d63e1ce1ba4662fb9f;3b63f879e787b9495d8930cb98b1afc9e2627283f1a4af90e93f7bb62d849377;c63f39762d17206d964759b1ec70b384abae5e7681d113f3878dcb96888318d7;1fa7715e05fbd0739a86b9143e994afc301891faa2420241658e8055cc3bb4b5;bf80385ec8c742d2333009bfdc0c0657704fd5568b24aba306777dd3692d3bf2	templates.jsonl.gz::Template:角色数据表/深月 フェリシア#magia中文	5eac553c47edbf4f5cba4578bc7eb11ada573efec8b8fb0bdc50c807f44719a5	Official CN current value overrides the lower-priority Wiki baseline; current bytes are retained.
33	pass17_first_authority	cardMagiaMap.json	dict_key	90084	name	时间停止Special	时间停止Special	false	true	true	1_official_cn_dump	official_cn_same_family_linked_by_typed_wiki_character	cardMagiaMap.json/20034/name;cardMagiaMap.json/20035/name;cardMagiaMap.json/200355/name	4dd315c27ff490e621bac3e5d2231ff8c9be42add815d7ac2582f1469aa40ee3;48cde1ba0457130da743a1dce907636b2ae849c71b1325db11a47568ffbcba5b;032c06ae2f0bde5b0d63d848e6b6ffe8fdfbf5a21edd6a03d66eca45e8278f9e	templates.jsonl.gz::Template:角色数据表/暁美 ほむら（眼鏡ver.）#magia中文	fa12ce79ee479fdde1ac3f7cd272fe301acc0fa3e747d7c90bf695cb6eb36d51	typed Wiki relationship identifies the character skill family and official CN in that family exactly equals current
34	pass17_first_authority	cardMagiaMap.json	dict_key	90086	name	礼拜的魔女化身	礼拜的魔女化身	false	true	true	1_official_cn_dump	official_cn_same_family_linked_by_typed_wiki_character	doppelList.json/250000/name	2fe1bf7cf59b5a0f134699ef222b0a4a5f5be72e1b01920b9fe4736398b9712b	templates.jsonl.gz::Template:角色数据表/ホーリーマミ#doppel中文	f9ef6a00575a2cbcf85346815a156e85c9afdde302fe5736f2bcc082bb3805cd	typed Wiki relationship identifies the character skill family and official CN in that family exactly equals current
35	pass17_first_authority	cardMagiaMap.json	dict_key	90087	name	礼拜的魔女化身	礼拜的魔女化身	false	true	true	1_official_cn_dump	official_cn_same_family_linked_by_typed_wiki_character	doppelList.json/250000/name	2fe1bf7cf59b5a0f134699ef222b0a4a5f5be72e1b01920b9fe4736398b9712b	templates.jsonl.gz::Template:角色数据表/ホーリーマミ#doppel中文	f9ef6a00575a2cbcf85346815a156e85c9afdde302fe5736f2bcc082bb3805cd	typed Wiki relationship identifies the character skill family and official CN in that family exactly equals current
36	pass17_official_override	cardMagiaMap.json	dict_key	90089	name	激情的最急板	激情的最急板	false	true	true	1_official_cn_dump	official_cn_same_family_linked_by_typed_wiki_character	cardMagiaMap.json/20044/name;cardMagiaMap.json/20045/name;cardMagiaMap.json/200455/name	882bd9c0dfa0c86285f6e0eacc685d6b42aa581dd8e8457d7e55f9354b773c47;5d714b5f3ed8ed641833db1bb0bcae2d7469b6cf9077417380b9d93d54f0136c;5b415f76f92085f94c1c47a20c9b4cf2b4da46bb4e3699804d968889e5d68e62	templates.jsonl.gz::Template:角色数据表/美樹 さやか#magia中文	e6dba4dceee53968a8a1ef5a8e0734285fcb2b6c604b5027e76b969760a60d17	Official CN current value overrides the lower-priority Wiki baseline; current bytes are retained.
37	pass17_official_override	cardMagiaMap.json	dict_key	90091	name	闪电激流	闪电激流	false	true	true	1_official_cn_dump	official_cn_same_family_linked_by_typed_wiki_character	cardMagiaMap.json/30273/name;cardMagiaMap.json/30274/name	ee6106c424bd27a462520a3450d0301abd932eec91eda1e1f1f443d40bf847c9;f337d74be13c1bc785c433efd52fbb1d75a661f389dc77bfad3c0040237f9c72	templates.jsonl.gz::Template:角色数据表/遊佐 葉月#magia中文	b478e1ceb08a707632f470096baf364450fd200725b2187df06841ca6e78318a	Official CN current value overrides the lower-priority Wiki baseline; current bytes are retained.
38	pass17_official_override	cardMagiaMap.json	dict_key	90092	name	未知飞焰	未知飞焰	false	true	true	1_official_cn_dump	official_cn_same_family_linked_by_typed_wiki_character	cardMagiaMap.json/30282/name;cardMagiaMap.json/30283/name;cardMagiaMap.json/30284/name	e5fb047bcb7a6e7fb6517d209527432f9024d567bd988d52fc03ea2b12674dda;341116c23cee46cc200b93c5cb8e37515e5389ef25ddef0c0c55e914a7fd3be0;c454603e7c9f95f223e91e14e843a8322927983cb593a9e17d1da2f7cf75caef	templates.jsonl.gz::Template:角色数据表/三栗 あやめ#magia中文	13efb63eae66942c6e1b350d4be0a39f20c9dcc7ae633d4ab0b60f2ccddfc5ce	Official CN current value overrides the lower-priority Wiki baseline; current bytes are retained.
39	pass17_official_override	cardMagiaMap.json	dict_key	90095	name	终极大锤	终极大锤	false	true	true	1_official_cn_dump	official_cn_same_family_linked_by_typed_wiki_character	cardMagiaMap.json/10052/name;cardMagiaMap.json/10053/name;cardMagiaMap.json/10054/name;cardMagiaMap.json/10055/name;cardMagiaMap.json/100555/name	0e06cdeafea900ae2f87fe3541b238d85f7f6a04950276d63e1ce1ba4662fb9f;3b63f879e787b9495d8930cb98b1afc9e2627283f1a4af90e93f7bb62d849377;c63f39762d17206d964759b1ec70b384abae5e7681d113f3878dcb96888318d7;1fa7715e05fbd0739a86b9143e994afc301891faa2420241658e8055cc3bb4b5;bf80385ec8c742d2333009bfdc0c0657704fd5568b24aba306777dd3692d3bf2	templates.jsonl.gz::Template:角色数据表/深月 フェリシア#magia中文	5eac553c47edbf4f5cba4578bc7eb11ada573efec8b8fb0bdc50c807f44719a5	Official CN current value overrides the lower-priority Wiki baseline; current bytes are retained.
