file	key	field	baseline	pass8	current	normalized_baseline	normalized_current	numeric_roman_signature_baseline	numeric_roman_signature_current	target_signature_baseline	target_signature_current	turn_signature_baseline	turn_signature_current	direction_signature_baseline	direction_signature_current	closed_normalization_equal	numeric_roman_equal	target_equal	turn_equal	direction_equal	failure_reasons	authority_type	source_locator	source_record_sha256	original_pass9_residual	pass14_residual	existing_ledger_overlap	runtime_byte_change	reason
cardMagiaMap.json	90143	shortDescription	对全体敌人造成伤害 & 拘束(全体敌人/1T) 	对敌方全体造成伤害 & 束缚(敌方全体/1T)	对敌方全体造成伤害 & 束缚(敌方全体/1T)	敌全伤害束缚(敌全/1t)	敌全伤害束缚(敌全/1t)	1	1	ENEMY_ALL|ENEMY_ALL	ENEMY_ALL|ENEMY_ALL	1	1			true	true	true	true	true		pre_llm_baseline_strict_mechanical_equivalence	transcript_replay_remaining_cardMagia_highrisk_208.tsv/90143/shortDescription/baseline	74de52b4da6bd930abcbb952f93e7c68b719d567935ba23aa344bb1599ff37fd	true	true	false	false	current wording and pre-LLM baseline normalize to the same closed mechanic while all independent numeric/Roman, target, turn and direction signatures are identical
cardMagiaMap.json	90156	shortDescription	对全体敌人造成伤害[Ⅵ] & 拘束(全体敌人/1T) 	对敌方全体造成伤害[Ⅵ] & 束缚(敌方全体/1T)	对敌方全体造成伤害[Ⅵ] & 束缚(敌方全体/1T)	敌全伤害[vi]束缚(敌全/1t)	敌全伤害[vi]束缚(敌全/1t)	Ⅵ|1	Ⅵ|1	ENEMY_ALL|ENEMY_ALL	ENEMY_ALL|ENEMY_ALL	1	1			true	true	true	true	true		pre_llm_baseline_strict_mechanical_equivalence	transcript_replay_remaining_cardMagia_highrisk_208.tsv/90156/shortDescription/baseline	4b2fe3291abf8853f4ce60a4937aeb66b289a9fff073fec0526202c1e3235e2d	true	true	false	false	current wording and pre-LLM baseline normalize to the same closed mechanic while all independent numeric/Roman, target, turn and direction signatures are identical
cardMagiaMap.json	90171	shortDescription	对单个敌人造成伤害 & 一定几率反击(全体/3T)	对敌方单体造成伤害 & 概率反击(我方全体/3T)	对敌方单体造成伤害 & 概率反击(我方全体/3T)	敌单伤害概率反击(味全/3t)	敌单伤害概率反击(味全/3t)	3	3	ENEMY_SINGLE|ALLY_ALL	ENEMY_SINGLE|ALLY_ALL	3	3			true	true	true	true	true		pre_llm_baseline_strict_mechanical_equivalence	transcript_replay_remaining_cardMagia_highrisk_208.tsv/90171/shortDescription/baseline	44880dbc8a8a4da32fdc5bc3d2963e15a77e630a8cef706552c970274e019d97	true	true	false	false	current wording and pre-LLM baseline normalize to the same closed mechanic while all independent numeric/Roman, target, turn and direction signatures are identical
cardMagiaMap.json	90176	shortDescription	对全体敌人造成伤害 & 一定几率拘束(全体敌人/1T)	对敌方全体造成伤害 & 概率赋予束缚(敌方全体/1T)	对敌方全体造成伤害 & 概率赋予束缚(敌方全体/1T)	敌全伤害概率束缚(敌全/1t)	敌全伤害概率束缚(敌全/1t)	1	1	ENEMY_ALL|ENEMY_ALL	ENEMY_ALL|ENEMY_ALL	1	1			true	true	true	true	true		pre_llm_baseline_strict_mechanical_equivalence	transcript_replay_remaining_cardMagia_highrisk_208.tsv/90176/shortDescription/baseline	ac570348819d3837898b58ba667cd3c2e2a6bb2fcaa770e8d7f20a30269d8fcd	true	true	false	false	current wording and pre-LLM baseline normalize to the same closed mechanic while all independent numeric/Roman, target, turn and direction signatures are identical
cardMagiaMap.json	90178	shortDescription	对全体敌人造成伤害 & 一定几率毒(全体敌人/3T) & 一定几率黑暗·束缚·禁用技能(全体敌人/1T)	对敌方全体造成伤害 & 概率赋予毒(敌方全体/3T) & 概率赋予黑暗、束缚、技能封印(敌方全体/1T)	对敌方全体造成伤害 & 概率赋予毒(敌方全体/3T) & 概率赋予黑暗、束缚、技能封印(敌方全体/1T)	敌全伤害概率毒(敌全/3t)概率黑暗束缚禁用技能(敌全/1t)	敌全伤害概率毒(敌全/3t)概率黑暗束缚禁用技能(敌全/1t)	3|1	3|1	ENEMY_ALL|ENEMY_ALL|ENEMY_ALL	ENEMY_ALL|ENEMY_ALL|ENEMY_ALL	3|1	3|1			true	true	true	true	true		pre_llm_baseline_strict_mechanical_equivalence	transcript_replay_remaining_cardMagia_highrisk_208.tsv/90178/shortDescription/baseline	bba9aab13fb21105713a28cb312815330e079a77a49b09ab682460cdde7c50a4	true	true	false	false	current wording and pre-LLM baseline normalize to the same closed mechanic while all independent numeric/Roman, target, turn and direction signatures are identical
cardMagiaMap.json	90180	shortDescription	对全体敌人造成伤害 & Blast 伤害UP(全体/3T)	对敌方全体造成伤害 & Blast 伤害提升(我方全体/3T)	对敌方全体造成伤害 & Blast 伤害提升(我方全体/3T)	敌全伤害blast伤害up(味全/3t)	敌全伤害blast伤害up(味全/3t)	3	3	ENEMY_ALL|ALLY_ALL	ENEMY_ALL|ALLY_ALL	3	3	UP	UP	true	true	true	true	true		pre_llm_baseline_strict_mechanical_equivalence	transcript_replay_remaining_cardMagia_highrisk_208.tsv/90180/shortDescription/baseline	3ed17de9a08aec3bba7fca6b01850b303780832ed00b30d45122f8c2c8ece419	true	true	false	false	current wording and pre-LLM baseline normalize to the same closed mechanic while all independent numeric/Roman, target, turn and direction signatures are identical
cardMagiaMap.json	90184	shortDescription	对全体敌人造成伤害 & 苏生	对敌方全体造成伤害 & 复活	对敌方全体造成伤害 & 复活	敌全伤害苏生	敌全伤害苏生			ENEMY_ALL	ENEMY_ALL					true	true	true	true	true		pre_llm_baseline_strict_mechanical_equivalence	transcript_replay_remaining_cardMagia_highrisk_208.tsv/90184/shortDescription/baseline	e43d6adb3d453c8feb190a4f1677491dacf80a8bb8577c2b64498b58e4e3e6bd	true	true	false	false	current wording and pre-LLM baseline normalize to the same closed mechanic while all independent numeric/Roman, target, turn and direction signatures are identical
cardMagiaMap.json	90186	shortDescription	对全体敌人造成伤害 & 防御力UP(全体/3T) & 伤害削减(全体/3T)	对敌方全体造成伤害 & 防御力提升(我方全体/3T) & 伤害削减(我方全体/3T)	对敌方全体造成伤害 & 防御力提升(我方全体/3T) & 伤害削减(我方全体/3T)	敌全伤害防御力up(味全/3t)伤害削减(味全/3t)	敌全伤害防御力up(味全/3t)伤害削减(味全/3t)	3|3	3|3	ENEMY_ALL|ALLY_ALL|ALLY_ALL	ENEMY_ALL|ALLY_ALL|ALLY_ALL	3|3	3|3	UP	UP	true	true	true	true	true		pre_llm_baseline_strict_mechanical_equivalence	transcript_replay_remaining_cardMagia_highrisk_208.tsv/90186/shortDescription/baseline	2a815c10173f2576a52258c630c1c5bf57d879da5c822fe35133b1e3d425d058	true	true	false	false	current wording and pre-LLM baseline normalize to the same closed mechanic while all independent numeric/Roman, target, turn and direction signatures are identical
cardMagiaMap.json	90187	shortDescription	对全体敌人造成伤害 & MP回复（全体） &伤害削减(全体/3T)	对敌方全体造成伤害 & MP回复(我方全体) & 伤害削减(我方全体/3T)	对敌方全体造成伤害 & MP回复(我方全体) & 伤害削减(我方全体/3T)	敌全伤害mp回复(味全)伤害削减(味全/3t)	敌全伤害mp回复(味全)伤害削减(味全/3t)	3	3	ENEMY_ALL|ALLY_ALL|ALLY_ALL	ENEMY_ALL|ALLY_ALL|ALLY_ALL	3	3			true	true	true	true	true		pre_llm_baseline_strict_mechanical_equivalence	transcript_replay_remaining_cardMagia_highrisk_208.tsv/90187/shortDescription/baseline	5e8c77bce622dc8de31642e37b9071c122756281c4a28c46295cd07058eb127f	true	true	false	false	current wording and pre-LLM baseline normalize to the same closed mechanic while all independent numeric/Roman, target, turn and direction signatures are identical
cardMagiaMap.json	90189	shortDescription	对全体敌人造成属性强化伤害 & 攻击力UP(自己/3T)&Blast 伤害UP(全体/3T)	对敌方全体造成属性强化伤害 & 攻击力提升(自身/3T) & Blast 伤害提升(我方全体/3T)	对敌方全体造成属性强化伤害 & 攻击力提升(自身/3T) & Blast 伤害提升(我方全体/3T)	敌全属性强化伤害攻击力up(自/3t)blast伤害up(味全/3t)	敌全属性强化伤害攻击力up(自/3t)blast伤害up(味全/3t)	3|3	3|3	ENEMY_ALL|SELF|ALLY_ALL	ENEMY_ALL|SELF|ALLY_ALL	3|3	3|3	UP|UP	UP|UP	true	true	true	true	true		pre_llm_baseline_strict_mechanical_equivalence	transcript_replay_remaining_cardMagia_highrisk_208.tsv/90189/shortDescription/baseline	bdc8eda00363fa8fbea5734727e499e8dee81cf9c43f71680c1af181a58d031f	true	true	false	false	current wording and pre-LLM baseline normalize to the same closed mechanic while all independent numeric/Roman, target, turn and direction signatures are identical
cardMagiaMap.json	90190	shortDescription	对全体敌人造成伤害 & 技能加速(全体/1T)	对敌方全体造成伤害 & 技能加速(我方全体/1T)	对敌方全体造成伤害 & 技能加速(我方全体/1T)	敌全伤害技能加速(味全/1t)	敌全伤害技能加速(味全/1t)	1	1	ENEMY_ALL|ALLY_ALL	ENEMY_ALL|ALLY_ALL	1	1			true	true	true	true	true		pre_llm_baseline_strict_mechanical_equivalence	transcript_replay_remaining_cardMagia_highrisk_208.tsv/90190/shortDescription/baseline	6a56daa302fcea248d3bb3831b5bef6a629d44a5b8d76e9a90206bd63d9c38a1	true	true	false	false	current wording and pre-LLM baseline normalize to the same closed mechanic while all independent numeric/Roman, target, turn and direction signatures are identical
cardMagiaMap.json	90195	shortDescription	对全体敌人造成伤害 & Accele MP UP(全体/3T)	对敌方全体造成伤害 & Accele MP提升(我方全体/3T)	对敌方全体造成伤害 & Accele MP提升(我方全体/3T)	敌全伤害accelempup(味全/3t)	敌全伤害accelempup(味全/3t)	3	3	ENEMY_ALL|ALLY_ALL	ENEMY_ALL|ALLY_ALL	3	3	UP	UP	true	true	true	true	true		pre_llm_baseline_strict_mechanical_equivalence	transcript_replay_remaining_cardMagia_highrisk_208.tsv/90195/shortDescription/baseline	1be3ee7d8a7428cf247c27899d03248484184b739919944af0f0432d1ac31c3e	true	true	false	false	current wording and pre-LLM baseline normalize to the same closed mechanic while all independent numeric/Roman, target, turn and direction signatures are identical
cardMagiaMap.json	90196	shortDescription	对单个敌人造成属性强化伤害[Ⅲ] & Charge后伤害UP(全体/3T) & 解除状态异常（全体） 	对敌方单体造成属性强化伤害[Ⅲ] & Charge后伤害提升(我方全体/3T) & 解除异常状态(我方全体)	对敌方单体造成属性强化伤害[Ⅲ] & Charge后伤害提升(我方全体/3T) & 解除异常状态(我方全体)	敌单属性强化伤害[iii]charge后伤害up(味全/3t)解除状态异常(味全)	敌单属性强化伤害[iii]charge后伤害up(味全/3t)解除状态异常(味全)	Ⅲ|3	Ⅲ|3	ENEMY_SINGLE|ALLY_ALL|ALLY_ALL	ENEMY_SINGLE|ALLY_ALL|ALLY_ALL	3	3	UP	UP	true	true	true	true	true		pre_llm_baseline_strict_mechanical_equivalence	transcript_replay_remaining_cardMagia_highrisk_208.tsv/90196/shortDescription/baseline	c1326c02fa979ba9c0073aff9edc9592218e44bddd3accd1b67f4d889b3eca24	true	true	false	false	current wording and pre-LLM baseline normalize to the same closed mechanic while all independent numeric/Roman, target, turn and direction signatures are identical
cardMagiaMap.json	90197	shortDescription	对全体敌人造成伤害[Ⅲ] & 必定雾(全体敌人/3T)&  Blast伤害DOWN(全体敌人/3T)	对敌方全体造成伤害[Ⅲ] & 必定赋予雾(敌方全体/3T) & Blast 伤害下降(敌方全体/3T)	对敌方全体造成伤害[Ⅲ] & 必定赋予雾(敌方全体/3T) & Blast 伤害下降(敌方全体/3T)	敌全伤害[iii]必定雾(敌全/3t)blast伤害down(敌全/3t)	敌全伤害[iii]必定雾(敌全/3t)blast伤害down(敌全/3t)	Ⅲ|3|3	Ⅲ|3|3	ENEMY_ALL|ENEMY_ALL|ENEMY_ALL	ENEMY_ALL|ENEMY_ALL|ENEMY_ALL	3|3	3|3	DOWN	DOWN	true	true	true	true	true		pre_llm_baseline_strict_mechanical_equivalence	transcript_replay_remaining_cardMagia_highrisk_208.tsv/90197/shortDescription/baseline	cef0a8017fb007e3b0863362fa62c01790aa20b85169dbf08905f98eab39d246	true	true	false	false	current wording and pre-LLM baseline normalize to the same closed mechanic while all independent numeric/Roman, target, turn and direction signatures are identical
cardMagiaMap.json	90198	shortDescription	对单个敌人造成伤害[Ⅴ]  & 必定挑衅 & 一定几率回避(自己/1T) & 防御力UP(全体/3T)	对敌方单体造成伤害[Ⅴ] & 必定挑衅 & 概率回避(自身/1T) & 防御力提升(我方全体/3T)	对敌方单体造成伤害[Ⅴ] & 必定挑衅 & 概率回避(自身/1T) & 防御力提升(我方全体/3T)	敌单伤害[v]必定挑衅概率回避(自/1t)防御力up(味全/3t)	敌单伤害[v]必定挑衅概率回避(自/1t)防御力up(味全/3t)	Ⅴ|1|3	Ⅴ|1|3	ENEMY_SINGLE|SELF|ALLY_ALL	ENEMY_SINGLE|SELF|ALLY_ALL	1|3	1|3	UP	UP	true	true	true	true	true		pre_llm_baseline_strict_mechanical_equivalence	transcript_replay_remaining_cardMagia_highrisk_208.tsv/90198/shortDescription/baseline	a761b5b7d5d21c83a286d236e96f9257c560e8d184b12ad0b8a37f4e29a229f8	true	true	false	false	current wording and pre-LLM baseline normalize to the same closed mechanic while all independent numeric/Roman, target, turn and direction signatures are identical
cardMagiaMap.json	90202	shortDescription	对单个敌人造成伤害[Ⅱ] & HP自动回复(全体/3T)& 解除状态异常（全体）	对敌方单体造成伤害[Ⅱ] & HP自动回复(我方全体/3T) & 解除异常状态(我方全体)	对敌方单体造成伤害[Ⅱ] & HP自动回复(我方全体/3T) & 解除异常状态(我方全体)	敌单伤害[ii]hp自动回复(味全/3t)解除状态异常(味全)	敌单伤害[ii]hp自动回复(味全/3t)解除状态异常(味全)	Ⅱ|3	Ⅱ|3	ENEMY_SINGLE|ALLY_ALL|ALLY_ALL	ENEMY_SINGLE|ALLY_ALL|ALLY_ALL	3	3			true	true	true	true	true		pre_llm_baseline_strict_mechanical_equivalence	transcript_replay_remaining_cardMagia_highrisk_208.tsv/90202/shortDescription/baseline	30251bd59c8f15a13429f0f30973e67dbb3d9868bd7362a1e01f99392f323f05	true	true	false	false	current wording and pre-LLM baseline normalize to the same closed mechanic while all independent numeric/Roman, target, turn and direction signatures are identical
cardMagiaMap.json	90203	shortDescription	随机3次 伤害[Ⅴ] 	随机3次造成伤害[Ⅴ]	随机3次造成伤害[Ⅴ]	随机3次伤害[v]	随机3次伤害[v]	3|Ⅴ	3|Ⅴ							true	true	true	true	true		pre_llm_baseline_strict_mechanical_equivalence	transcript_replay_remaining_cardMagia_highrisk_208.tsv/90203/shortDescription/baseline	cac11d7af2d270aa64b505bfa1f7cebb26ce72064d57f68486e7ee69e495cb91	true	true	false	false	current wording and pre-LLM baseline normalize to the same closed mechanic while all independent numeric/Roman, target, turn and direction signatures are identical
