sequence	file	key_field	stable_key	field	baseline	pass14_value	current_product_value	equivalence_kind	normalized_baseline	normalized_pass14	numeric_roman_signature	official_relation	official_value	current_product_relation	runtime_byte_change	counts_toward_pass14_residual	current_net_new_residual_delta	reason
11	itemList.json	itemCode	EVENT_WITCH_1210_EXCHANGE_6	name	可能性の因子	可能性因子	可能性因子	closed_japanese_compound_particle_normalization	可能性因子	可能性因子	[]	official_same_record_absent		unchanged_since_pass14	false	true	true	closed repeated Japanese compound particle normalization; exact pair only
12	itemList.json	itemCode	EVENT_WITCH_1214_EXCHANGE_6	name	可能性の因子	可能性因子	可能性因子	closed_japanese_compound_particle_normalization	可能性因子	可能性因子	[]	official_same_record_absent		unchanged_since_pass14	false	true	true	closed repeated Japanese compound particle normalization; exact pair only
13	itemList.json	itemCode	EVENT_WITCH_1219_EXCHANGE_6	name	可能性の因子	可能性因子	可能性因子	closed_japanese_compound_particle_normalization	可能性因子	可能性因子	[]	official_same_record_absent		unchanged_since_pass14	false	true	true	closed repeated Japanese compound particle normalization; exact pair only
14	sectionList.json	sectionId	208102	areaDetailName	栄区・1090前	荣区・1090前	荣区·1090前	extended_jp_glyph_exact	荣区・1090前	荣区・1090前	"[""1090""]"	official_same_record_absent		verified_later_sequential_transition	false	true	false	reviewed extended Japanese-shinjitai glyph bridge plus ICU Traditional-Simplified
15	sectionList.json	sectionId	420091	title	殲滅戦 EASY	歼灭战 EASY	歼灭战 EASY	extended_jp_glyph_exact	歼灭战 EASY	歼灭战 EASY	[]	official_same_record_absent		unchanged_since_pass14	false	true	true	reviewed extended Japanese-shinjitai glyph bridge plus ICU Traditional-Simplified
16	sectionList.json	sectionId	420092	title	殲滅戦 NORMAL	歼灭战 NORMAL	歼灭战 NORMAL	extended_jp_glyph_exact	歼灭战 NORMAL	歼灭战 NORMAL	[]	official_same_record_absent		unchanged_since_pass14	false	true	true	reviewed extended Japanese-shinjitai glyph bridge plus ICU Traditional-Simplified
17	sectionList.json	sectionId	420093	title	殲滅戦 HARD	歼灭战 HARD	歼灭战 HARD	extended_jp_glyph_exact	歼灭战 HARD	歼灭战 HARD	[]	official_same_record_absent		unchanged_since_pass14	false	true	true	reviewed extended Japanese-shinjitai glyph bridge plus ICU Traditional-Simplified
18	sectionList.json	sectionId	420094	title	殲滅戦 CHALLENGE	歼灭战 CHALLENGE	歼灭战 CHALLENGE	extended_jp_glyph_exact	歼灭战 CHALLENGE	歼灭战 CHALLENGE	[]	official_same_record_absent		unchanged_since_pass14	false	true	true	reviewed extended Japanese-shinjitai glyph bridge plus ICU Traditional-Simplified
19	sectionList.json	sectionId	420095	title	殲滅戦 EXCHALLENGE	歼灭战 EXCHALLENGE	歼灭战 EXCHALLENGE	extended_jp_glyph_exact	歼灭战 EXCHALLENGE	歼灭战 EXCHALLENGE	[]	official_same_record_absent		unchanged_since_pass14	false	true	true	reviewed extended Japanese-shinjitai glyph bridge plus ICU Traditional-Simplified
20	sectionList.json	sectionId	420111	title	殲滅戦 EASY	歼灭战 EASY	歼灭战 EASY	extended_jp_glyph_exact	歼灭战 EASY	歼灭战 EASY	[]	official_same_record_absent		unchanged_since_pass14	false	true	true	reviewed extended Japanese-shinjitai glyph bridge plus ICU Traditional-Simplified
21	sectionList.json	sectionId	420112	title	殲滅戦 NORMAL	歼灭战 NORMAL	歼灭战 NORMAL	extended_jp_glyph_exact	歼灭战 NORMAL	歼灭战 NORMAL	[]	official_same_record_absent		unchanged_since_pass14	false	true	true	reviewed extended Japanese-shinjitai glyph bridge plus ICU Traditional-Simplified
22	sectionList.json	sectionId	420113	title	殲滅戦 HARD	歼灭战 HARD	歼灭战 HARD	extended_jp_glyph_exact	歼灭战 HARD	歼灭战 HARD	[]	official_same_record_absent		unchanged_since_pass14	false	true	true	reviewed extended Japanese-shinjitai glyph bridge plus ICU Traditional-Simplified
23	sectionList.json	sectionId	420114	title	殲滅戦 CHALLENGE	歼灭战 CHALLENGE	歼灭战 CHALLENGE	extended_jp_glyph_exact	歼灭战 CHALLENGE	歼灭战 CHALLENGE	[]	official_same_record_absent		unchanged_since_pass14	false	true	true	reviewed extended Japanese-shinjitai glyph bridge plus ICU Traditional-Simplified
24	sectionList.json	sectionId	420115	title	殲滅戦 EXCHALLENGE	歼灭战 EXCHALLENGE	歼灭战 EXCHALLENGE	extended_jp_glyph_exact	歼灭战 EXCHALLENGE	歼灭战 EXCHALLENGE	[]	official_same_record_absent		unchanged_since_pass14	false	true	true	reviewed extended Japanese-shinjitai glyph bridge plus ICU Traditional-Simplified
25	sectionList.json	sectionId	420161	title	殲滅戦 EASY	歼灭战 EASY	歼灭战 EASY	extended_jp_glyph_exact	歼灭战 EASY	歼灭战 EASY	[]	official_same_record_absent		unchanged_since_pass14	false	true	true	reviewed extended Japanese-shinjitai glyph bridge plus ICU Traditional-Simplified
26	sectionList.json	sectionId	420162	title	殲滅戦 NORMAL	歼灭战 NORMAL	歼灭战 NORMAL	extended_jp_glyph_exact	歼灭战 NORMAL	歼灭战 NORMAL	[]	official_same_record_absent		unchanged_since_pass14	false	true	true	reviewed extended Japanese-shinjitai glyph bridge plus ICU Traditional-Simplified
27	sectionList.json	sectionId	420163	title	殲滅戦 HARD	歼灭战 HARD	歼灭战 HARD	extended_jp_glyph_exact	歼灭战 HARD	歼灭战 HARD	[]	official_same_record_absent		unchanged_since_pass14	false	true	true	reviewed extended Japanese-shinjitai glyph bridge plus ICU Traditional-Simplified
28	sectionList.json	sectionId	420164	title	殲滅戦 CHALLENGE	歼灭战 CHALLENGE	歼灭战 CHALLENGE	extended_jp_glyph_exact	歼灭战 CHALLENGE	歼灭战 CHALLENGE	[]	official_same_record_absent		unchanged_since_pass14	false	true	true	reviewed extended Japanese-shinjitai glyph bridge plus ICU Traditional-Simplified
29	sectionList.json	sectionId	420165	title	殲滅戦 EXCHALLENGE	歼灭战 EXCHALLENGE	歼灭战 EXCHALLENGE	extended_jp_glyph_exact	歼灭战 EXCHALLENGE	歼灭战 EXCHALLENGE	[]	official_same_record_absent		unchanged_since_pass14	false	true	true	reviewed extended Japanese-shinjitai glyph bridge plus ICU Traditional-Simplified
30	sectionList.json	sectionId	420201	title	殲滅戦 EASY	歼灭战 EASY	歼灭战 EASY	extended_jp_glyph_exact	歼灭战 EASY	歼灭战 EASY	[]	official_same_record_absent		unchanged_since_pass14	false	true	true	reviewed extended Japanese-shinjitai glyph bridge plus ICU Traditional-Simplified
31	sectionList.json	sectionId	420202	title	殲滅戦 NORMAL	歼灭战 NORMAL	歼灭战 NORMAL	extended_jp_glyph_exact	歼灭战 NORMAL	歼灭战 NORMAL	[]	official_same_record_absent		unchanged_since_pass14	false	true	true	reviewed extended Japanese-shinjitai glyph bridge plus ICU Traditional-Simplified
32	sectionList.json	sectionId	420203	title	殲滅戦 HARD	歼灭战 HARD	歼灭战 HARD	extended_jp_glyph_exact	歼灭战 HARD	歼灭战 HARD	[]	official_same_record_absent		unchanged_since_pass14	false	true	true	reviewed extended Japanese-shinjitai glyph bridge plus ICU Traditional-Simplified
33	sectionList.json	sectionId	420204	title	殲滅戦 CHALLENGE	歼灭战 CHALLENGE	歼灭战 CHALLENGE	extended_jp_glyph_exact	歼灭战 CHALLENGE	歼灭战 CHALLENGE	[]	official_same_record_absent		unchanged_since_pass14	false	true	true	reviewed extended Japanese-shinjitai glyph bridge plus ICU Traditional-Simplified
34	sectionList.json	sectionId	420205	title	殲滅戦 EXCHALLENGE	歼灭战 EXCHALLENGE	歼灭战 EXCHALLENGE	extended_jp_glyph_exact	歼灭战 EXCHALLENGE	歼灭战 EXCHALLENGE	[]	official_same_record_absent		unchanged_since_pass14	false	true	true	reviewed extended Japanese-shinjitai glyph bridge plus ICU Traditional-Simplified
35	sectionList.json	sectionId	420241	title	殲滅戦 EASY	歼灭战 EASY	歼灭战 EASY	extended_jp_glyph_exact	歼灭战 EASY	歼灭战 EASY	[]	official_same_record_absent		unchanged_since_pass14	false	true	true	reviewed extended Japanese-shinjitai glyph bridge plus ICU Traditional-Simplified
36	sectionList.json	sectionId	420242	title	殲滅戦 NORMAL	歼灭战 NORMAL	歼灭战 NORMAL	extended_jp_glyph_exact	歼灭战 NORMAL	歼灭战 NORMAL	[]	official_same_record_absent		unchanged_since_pass14	false	true	true	reviewed extended Japanese-shinjitai glyph bridge plus ICU Traditional-Simplified
37	sectionList.json	sectionId	420243	title	殲滅戦 HARD	歼灭战 HARD	歼灭战 HARD	extended_jp_glyph_exact	歼灭战 HARD	歼灭战 HARD	[]	official_same_record_absent		unchanged_since_pass14	false	true	true	reviewed extended Japanese-shinjitai glyph bridge plus ICU Traditional-Simplified
38	sectionList.json	sectionId	420244	title	殲滅戦 CHALLENGE	歼灭战 CHALLENGE	歼灭战 CHALLENGE	extended_jp_glyph_exact	歼灭战 CHALLENGE	歼灭战 CHALLENGE	[]	official_same_record_absent		unchanged_since_pass14	false	true	true	reviewed extended Japanese-shinjitai glyph bridge plus ICU Traditional-Simplified
39	sectionList.json	sectionId	420245	title	殲滅戦 EXCHALLENGE	歼灭战 EXCHALLENGE	歼灭战 EXCHALLENGE	extended_jp_glyph_exact	歼灭战 EXCHALLENGE	歼灭战 EXCHALLENGE	[]	official_same_record_absent		unchanged_since_pass14	false	true	true	reviewed extended Japanese-shinjitai glyph bridge plus ICU Traditional-Simplified
40	sectionList.json	sectionId	420381	title	殲滅戦 EASY	歼灭战 EASY	歼灭战 EASY	extended_jp_glyph_exact	歼灭战 EASY	歼灭战 EASY	[]	official_same_record_absent		unchanged_since_pass14	false	true	true	reviewed extended Japanese-shinjitai glyph bridge plus ICU Traditional-Simplified
41	sectionList.json	sectionId	420382	title	殲滅戦 NORMAL	歼灭战 NORMAL	歼灭战 NORMAL	extended_jp_glyph_exact	歼灭战 NORMAL	歼灭战 NORMAL	[]	official_same_record_absent		unchanged_since_pass14	false	true	true	reviewed extended Japanese-shinjitai glyph bridge plus ICU Traditional-Simplified
42	sectionList.json	sectionId	420383	title	殲滅戦 HARD	歼灭战 HARD	歼灭战 HARD	extended_jp_glyph_exact	歼灭战 HARD	歼灭战 HARD	[]	official_same_record_absent		unchanged_since_pass14	false	true	true	reviewed extended Japanese-shinjitai glyph bridge plus ICU Traditional-Simplified
43	sectionList.json	sectionId	420384	title	殲滅戦 CHALLENGE	歼灭战 CHALLENGE	歼灭战 CHALLENGE	extended_jp_glyph_exact	歼灭战 CHALLENGE	歼灭战 CHALLENGE	[]	official_same_record_absent		unchanged_since_pass14	false	true	true	reviewed extended Japanese-shinjitai glyph bridge plus ICU Traditional-Simplified
44	sectionList.json	sectionId	420385	title	殲滅戦 EXCHALLENGE	歼灭战 EXCHALLENGE	歼灭战 EXCHALLENGE	extended_jp_glyph_exact	歼灭战 EXCHALLENGE	歼灭战 EXCHALLENGE	[]	official_same_record_absent		unchanged_since_pass14	false	true	true	reviewed extended Japanese-shinjitai glyph bridge plus ICU Traditional-Simplified
45	shopItemList.json	id	33216	name	AP回復薬	AP回复药	AP回复药	extended_jp_glyph_exact	AP回复药	AP回复药	[]	official_same_record_absent		unchanged_since_pass14	false	true	true	reviewed extended Japanese-shinjitai glyph bridge plus ICU Traditional-Simplified
46	shopItemList.json	id	33217	name	BP回復薬	BP回复药	BP回复药	extended_jp_glyph_exact	BP回复药	BP回复药	[]	official_same_record_absent		unchanged_since_pass14	false	true	true	reviewed extended Japanese-shinjitai glyph bridge plus ICU Traditional-Simplified
47	shopItemList.json	id	33780	name	AP回復薬	AP回复药	AP回复药	extended_jp_glyph_exact	AP回复药	AP回复药	[]	official_same_record_absent		unchanged_since_pass14	false	true	true	reviewed extended Japanese-shinjitai glyph bridge plus ICU Traditional-Simplified
48	shopItemList.json	id	33781	name	BP回復薬	BP回复药	BP回复药	extended_jp_glyph_exact	BP回复药	BP回复药	[]	official_same_record_absent		unchanged_since_pass14	false	true	true	reviewed extended Japanese-shinjitai glyph bridge plus ICU Traditional-Simplified
49	shopItemList.json	id	33920	name	AP回復薬	AP回复药	AP回复药	extended_jp_glyph_exact	AP回复药	AP回复药	[]	official_same_record_absent		unchanged_since_pass14	false	true	true	reviewed extended Japanese-shinjitai glyph bridge plus ICU Traditional-Simplified
50	shopItemList.json	id	34082	name	AP回復薬	AP回复药	AP回复药	extended_jp_glyph_exact	AP回复药	AP回复药	[]	official_same_record_absent		unchanged_since_pass14	false	true	true	reviewed extended Japanese-shinjitai glyph bridge plus ICU Traditional-Simplified
51	shopItemList.json	id	34086	name	AP回復薬	AP回复药	AP回复药	extended_jp_glyph_exact	AP回复药	AP回复药	[]	official_same_record_absent		unchanged_since_pass14	false	true	true	reviewed extended Japanese-shinjitai glyph bridge plus ICU Traditional-Simplified
52	shopItemList.json	id	34087	name	BP回復薬	BP回复药	BP回复药	extended_jp_glyph_exact	BP回复药	BP回复药	[]	official_same_record_absent		unchanged_since_pass14	false	true	true	reviewed extended Japanese-shinjitai glyph bridge plus ICU Traditional-Simplified
