item_id	chara_id	record_index	current_name	current_title	current_kana	recommended_kana	decision	source_class	source_tier	wiki_pages	wiki_nameZh	runtime_location	target_path	target_field	evidence	review_status	product_write_allowed
CHARA-KANA-CN-1040	1040	39	篠目夜鹤		Sasame Yozuru	篠目夜鹤	replace-kana-with-same-record-chinese-name	wiki-nameZh-literal-exact	wiki	篠目夜鹤	篠目夜鹤	magica/template/chara/CharaDetail.html:13 model.chara.kana	magica/js/libs/charaList.json	kana	characters.json#篠目夜鹤;charaId=1040;nameZh=篠目夜鹤	authority-structural-ready	true
CHARA-KANA-CN-1041	1041	40	莉薇娅·梅黛洛斯		Livia Medeiros	莉薇娅·梅黛洛斯	replace-kana-with-same-record-chinese-name	wiki-nameZh-literal-exact	wiki	莉薇娅_梅黛洛斯	莉薇娅·梅黛洛斯	magica/template/chara/CharaDetail.html:13 model.chara.kana	magica/js/libs/charaList.json	kana	characters.json#莉薇娅_梅黛洛斯;charaId=1041;nameZh=莉薇娅·梅黛洛斯	authority-structural-ready	true
CHARA-KANA-CN-1042	1042	41	小丘比		Chiisana Kyūbē	小丘比	replace-kana-with-same-record-chinese-name	wiki-nameZh-literal-exact	wiki	小丘比	小丘比	magica/template/chara/CharaDetail.html:13 model.chara.kana	magica/js/libs/charaList.json	kana	characters.json#小丘比;charaId=1042;nameZh=小丘比	authority-structural-ready	true
CHARA-KANA-CN-1043	1043	42	黑江		Kuroe	黑江	replace-kana-with-same-record-chinese-name	wiki-nameZh-literal-exact	wiki	黑江	黑江	magica/template/chara/CharaDetail.html:13 model.chara.kana	magica/js/libs/charaList.json	kana	characters.json#黑江;charaId=1043;nameZh=黑江	authority-structural-ready	true
CHARA-KANA-CN-1044	1044	43	濑奈命		Sena Mikoto	濑奈命	replace-kana-with-same-record-chinese-name	wiki-nameZh-literal-exact	wiki	濑奈命	濑奈命	magica/template/chara/CharaDetail.html:13 model.chara.kana	magica/js/libs/charaList.json	kana	characters.json#濑奈命;charaId=1044;nameZh=濑奈命	authority-structural-ready	true
CHARA-KANA-CN-1045	1045	44	水名露		Mizuna Tsuyu	水名露	replace-kana-with-same-record-chinese-name	wiki-nameZh-literal-exact	wiki	水名露	水名露	magica/template/chara/CharaDetail.html:13 model.chara.kana	magica/js/libs/charaList.json	kana	characters.json#水名露;charaId=1045;nameZh=水名露	authority-structural-ready	true
CHARA-KANA-CN-1046	1046	45	千鹤		Chizuru	千鹤	replace-kana-with-same-record-chinese-name	wiki-nameZh-literal-exact	wiki	千鹤	千鹤	magica/template/chara/CharaDetail.html:13 model.chara.kana	magica/js/libs/charaList.json	kana	characters.json#千鹤;charaId=1046;nameZh=千鹤	authority-structural-ready	true
CHARA-KANA-CN-1047	1047	46	小黑		Kuro	小黑	replace-kana-with-same-record-chinese-name	wiki-nameZh-literal-exact	wiki	小黑	小黑	magica/template/chara/CharaDetail.html:13 model.chara.kana	magica/js/libs/charaList.json	kana	characters.json#小黑;charaId=1047;nameZh=小黑	authority-structural-ready	true
CHARA-KANA-CN-1048	1048	47	埃博妮		Ebony	埃博妮	replace-kana-with-same-record-chinese-name	wiki-nameZh-literal-exact	wiki	埃博妮	埃博妮	magica/template/chara/CharaDetail.html:13 model.chara.kana	magica/js/libs/charaList.json	kana	characters.json#埃博妮;charaId=1048;nameZh=埃博妮	authority-structural-ready	true
CHARA-KANA-CN-1049	1049	48	奥尔加		Olga	奥尔加	replace-kana-with-same-record-chinese-name	wiki-nameZh-literal-exact	wiki	奥尔加	奥尔加	magica/template/chara/CharaDetail.html:13 model.chara.kana	magica/js/libs/charaList.json	kana	characters.json#奥尔加;charaId=1049;nameZh=奥尔加	authority-structural-ready	true
CHARA-KANA-CN-1050	1050	49	冈希尔德		Gunhild	冈希尔德	replace-kana-with-same-record-chinese-name	wiki-nameZh-literal-exact	wiki	冈希尔德	冈希尔德	magica/template/chara/CharaDetail.html:13 model.chara.kana	magica/js/libs/charaList.json	kana	characters.json#冈希尔德;charaId=1050;nameZh=冈希尔德	authority-structural-ready	true
CHARA-KANA-CN-1051	1051	50	赫露迦		Heruka	赫露迦	replace-kana-with-same-record-chinese-name	wiki-nameZh-literal-exact	wiki	赫露迦	赫露迦	magica/template/chara/CharaDetail.html:13 model.chara.kana	magica/js/libs/charaList.json	kana	characters.json#赫露迦;charaId=1051;nameZh=赫露迦	authority-structural-ready	true
CHARA-KANA-CN-1052	1052	51	台与		Toyo	台与	replace-kana-with-same-record-chinese-name	wiki-nameZh-literal-exact	wiki	台与	台与	magica/template/chara/CharaDetail.html:13 model.chara.kana	magica/js/libs/charaList.json	kana	characters.json#台与;charaId=1052;nameZh=台与	authority-structural-ready	true
CHARA-KANA-CN-1053	1053	52	阿玛琉莉丝		Amaryllis	阿玛琉莉丝	replace-kana-with-same-record-chinese-name	wiki-nameZh-literal-exact	wiki	阿玛琉莉丝	阿玛琉莉丝	magica/template/chara/CharaDetail.html:13 model.chara.kana	magica/js/libs/charaList.json	kana	characters.json#阿玛琉莉丝;charaId=1053;nameZh=阿玛琉莉丝	authority-structural-ready	true
CHARA-KANA-CN-1102	1102	54	八千代·美冬	起始ver.	Yachiyo·Mifuyu	八千代·美冬	replace-kana-with-same-record-chinese-name	stable-id-same-record-name-inheritance	current-stable-id-name+wiki-component-evidence	八千代_美冬_起始ver	八千代·美冬（起始ver.）	magica/template/chara/CharaDetail.html:13 model.chara.kana	magica/js/libs/charaList.json	kana	charaList.json#id=1102;same-record-name=八千代·美冬;same-record-title=起始ver.;characters.json#八千代_美冬_起始ver;charaId=1102;nameZh=八千代·美冬（起始ver.）	authority-structural-ready	true
CHARA-KANA-CN-1104	1104	56	传闻莎奈		Uwasa no Sana	传闻莎奈	replace-kana-with-same-record-chinese-name	stable-id-same-record-name-inheritance	current-stable-id-name+wiki-component-evidence	谣莎奈	谣莎奈	magica/template/chara/CharaDetail.html:13 model.chara.kana	magica/js/libs/charaList.json	kana	charaList.json#id=1104;same-record-name=传闻莎奈;same-record-title=;characters.json#谣莎奈;charaId=1104;nameZh=谣莎奈	authority-structural-ready	true
CHARA-KANA-CN-1106	1106	58	梓美冬	童话ver.	Azusa Mifuyu	梓美冬	replace-kana-with-same-record-chinese-name	wiki-nameZh-literal-exact	wiki	梓美冬	梓美冬	magica/template/chara/CharaDetail.html:13 model.chara.kana	magica/js/libs/charaList.json	kana	characters.json#梓美冬;charaId=1006;nameZh=梓美冬	authority-structural-ready	true
CHARA-KANA-CN-1107	1107	59	灯花·音梦	圣夜ver.	Touka·Nemu	灯花·音梦	replace-kana-with-same-record-chinese-name	stable-id-same-record-name-inheritance	current-stable-id-name+wiki-component-evidence	灯花_音梦_圣夜ver	灯花·音梦（圣夜ver.）	magica/template/chara/CharaDetail.html:13 model.chara.kana	magica/js/libs/charaList.json	kana	charaList.json#id=1107;same-record-name=灯花·音梦;same-record-title=圣夜ver.;characters.json#灯花_音梦_圣夜ver;charaId=1107;nameZh=灯花·音梦（圣夜ver.）	authority-structural-ready	true
CHARA-KANA-CN-1109	1109	61	小玲奈	偶像ver.	Rena Chan	小玲奈	replace-kana-with-same-record-chinese-name	stable-id-same-record-name-inheritance	current-stable-id-name+wiki-component-evidence	小玲奈_偶像ver	小玲奈（偶像ver.）	magica/template/chara/CharaDetail.html:13 model.chara.kana	magica/js/libs/charaList.json	kana	charaList.json#id=1109;same-record-name=小玲奈;same-record-title=偶像ver.;characters.json#小玲奈_偶像ver;charaId=1109;nameZh=小玲奈（偶像ver.）	authority-structural-ready	true
CHARA-KANA-CN-1110	1110	62	十咎桃子	修女ver.	Togame Momoko	十咎桃子	replace-kana-with-same-record-chinese-name	wiki-nameZh-literal-exact	wiki	十咎桃子	十咎桃子	magica/template/chara/CharaDetail.html:13 model.chara.kana	magica/js/libs/charaList.json	kana	characters.json#十咎桃子;charaId=1010;nameZh=十咎桃子	authority-structural-ready	true
CHARA-KANA-CN-1112	1112	63	花凛·阿莉娜	万圣节ver.	Karin・Alina	花凛·阿莉娜	replace-kana-with-same-record-chinese-name	stable-id-same-record-name-inheritance	current-stable-id-name+wiki-component-evidence	花凛_阿莉娜_万圣ver	花凛·阿莉娜（万圣ver.）	magica/template/chara/CharaDetail.html:13 model.chara.kana	magica/js/libs/charaList.json	kana	charaList.json#id=1112;same-record-name=花凛·阿莉娜;same-record-title=万圣节ver.;characters.json#花凛_阿莉娜_万圣ver;charaId=1112;nameZh=花凛·阿莉娜（万圣ver.）	authority-structural-ready	true
CHARA-KANA-CN-1113	1113	64	龙城明日香	新春龙神ver.	Tatsuki Asuka	龙城明日香	replace-kana-with-same-record-chinese-name	wiki-nameZh-literal-exact	wiki	龙城明日香	龙城明日香	magica/template/chara/CharaDetail.html:13 model.chara.kana	magica/js/libs/charaList.json	kana	characters.json#龙城明日香;charaId=1013;nameZh=龙城明日香	authority-structural-ready	true
CHARA-KANA-CN-1116	1116	65	和泉十七夜	吸血鬼ver.	Izumi Kanagi	和泉十七夜	replace-kana-with-same-record-chinese-name	wiki-nameZh-literal-exact	wiki	和泉十七夜	和泉十七夜	magica/template/chara/CharaDetail.html:13 model.chara.kana	magica/js/libs/charaList.json	kana	characters.json#和泉十七夜;charaId=1016;nameZh=和泉十七夜	authority-structural-ready	true
CHARA-KANA-CN-1120	1120	68	佐鸟笼目	百鬼夜行ver.	Satori Kagome	佐鸟笼目	replace-kana-with-same-record-chinese-name	wiki-nameZh-literal-exact	wiki	佐鸟笼目	佐鸟笼目	magica/template/chara/CharaDetail.html:13 model.chara.kana	magica/js/libs/charaList.json	kana	characters.json#佐鸟笼目;charaId=1020;nameZh=佐鸟笼目	authority-structural-ready	true
CHARA-KANA-CN-1121	1121	69	结菜·树里	吸血鬼ver.	Yuna・Juri	结菜·树里	replace-kana-with-same-record-chinese-name	stable-id-same-record-name-inheritance	current-stable-id-name+wiki-component-evidence	结菜_树里_吸血鬼ver	结菜·树里（吸血鬼ver.）	magica/template/chara/CharaDetail.html:13 model.chara.kana	magica/js/libs/charaList.json	kana	charaList.json#id=1121;same-record-name=结菜·树里;same-record-title=吸血鬼ver.;characters.json#结菜_树里_吸血鬼ver;charaId=1121;nameZh=结菜·树里（吸血鬼ver.）	authority-structural-ready	true
CHARA-KANA-CN-1125	1125	70	时女静香	元旦日出ver.	Tokime Shizuka	时女静香	replace-kana-with-same-record-chinese-name	wiki-nameZh-literal-exact	wiki	时女静香	时女静香	magica/template/chara/CharaDetail.html:13 model.chara.kana	magica/js/libs/charaList.json	kana	characters.json#时女静香;charaId=1025;nameZh=时女静香	authority-structural-ready	true
CHARA-KANA-CN-1133	1133	71	冰室拉比	心魔ver.	Himuro Lavi	冰室拉比	replace-kana-with-same-record-chinese-name	wiki-nameZh-literal-exact	wiki	冰室拉比	冰室拉比	magica/template/chara/CharaDetail.html:13 model.chara.kana	magica/js/libs/charaList.json	kana	characters.json#冰室拉比;charaId=1033;nameZh=冰室拉比	authority-structural-ready	true
CHARA-KANA-CN-1137	1137	72	那由他·御影	圣诞ver.	Nayuta·Mikage	那由他·御影	replace-kana-with-same-record-chinese-name	stable-id-same-record-name-inheritance	current-stable-id-name+wiki-component-evidence	那由他_御影_圣诞ver	那由他·御影（圣诞ver.）	magica/template/chara/CharaDetail.html:13 model.chara.kana	magica/js/libs/charaList.json	kana	charaList.json#id=1137;same-record-name=那由他·御影;same-record-title=圣诞ver.;characters.json#那由他_御影_圣诞ver;charaId=1137;nameZh=那由他·御影（圣诞ver.）	authority-structural-ready	true
CHARA-KANA-CN-1139	1139	73	佐和月出里	情人节ver.	Sawa Yozuru	佐和月出里	replace-kana-with-same-record-chinese-name	wiki-nameZh-literal-exact	wiki	佐和月出里	佐和月出里	magica/template/chara/CharaDetail.html:13 model.chara.kana	magica/js/libs/charaList.json	kana	characters.json#佐和月出里;charaId=1039;nameZh=佐和月出里	authority-structural-ready	true
CHARA-KANA-CN-1143	1143	74	黑江	泳装ver.	Kuroe	黑江	replace-kana-with-same-record-chinese-name	wiki-nameZh-literal-exact	wiki	黑江	黑江	magica/template/chara/CharaDetail.html:13 model.chara.kana	magica/js/libs/charaList.json	kana	characters.json#黑江;charaId=1043;nameZh=黑江	authority-structural-ready	true
CHARA-KANA-CN-1144	1144	75	谣命		Uwasa no Mikoto	谣命	replace-kana-with-same-record-chinese-name	wiki-nameZh-literal-exact	wiki	谣命	谣命	magica/template/chara/CharaDetail.html:13 model.chara.kana	magica/js/libs/charaList.json	kana	characters.json#谣命;charaId=1144;nameZh=谣命	authority-structural-ready	true
CHARA-KANA-CN-1202	1202	77	七海八千代	七夕ver.	Nanami Yachiyo	七海八千代	replace-kana-with-same-record-chinese-name	wiki-nameZh-literal-exact	wiki	七海八千代	七海八千代	magica/template/chara/CharaDetail.html:13 model.chara.kana	magica/js/libs/charaList.json	kana	characters.json#七海八千代;charaId=1002;nameZh=七海八千代	authority-structural-ready	true
CHARA-KANA-CN-1203	1203	78	鹤乃·菲莉希亚	宅配ver.	Tsuruno・Felicia	鹤乃·菲莉希亚	replace-kana-with-same-record-chinese-name	stable-id-same-record-name-inheritance	current-stable-id-name+wiki-component-evidence	鹤乃_菲莉希亚_快递ver	鹤乃·菲莉希亚（快递ver.）	magica/template/chara/CharaDetail.html:13 model.chara.kana	magica/js/libs/charaList.json	kana	charaList.json#id=1203;same-record-name=鹤乃·菲莉希亚;same-record-title=宅配ver.;characters.json#鹤乃_菲莉希亚_快递ver;charaId=1203;nameZh=鹤乃·菲莉希亚（快递ver.）	authority-structural-ready	true
CHARA-KANA-CN-1209	1209	79	玲奈·枫	泳装ver.	Rena·Kaede	玲奈·枫	replace-kana-with-same-record-chinese-name	stable-id-same-record-name-inheritance	current-stable-id-name+wiki-component-evidence	玲奈_枫_泳装ver	玲奈·枫（泳装ver.）	magica/template/chara/CharaDetail.html:13 model.chara.kana	magica/js/libs/charaList.json	kana	charaList.json#id=1209;same-record-name=玲奈·枫;same-record-title=泳装ver.;characters.json#玲奈_枫_泳装ver;charaId=1209;nameZh=玲奈·枫（泳装ver.）	authority-structural-ready	true
CHARA-KANA-CN-1210	1210	80	桃子·御魂	人鱼ver.	Momoko·Mitama	桃子·御魂	replace-kana-with-same-record-chinese-name	stable-id-same-record-name-inheritance	current-stable-id-name+wiki-component-evidence	桃子_御魂_人鱼ver	桃子·御魂（人鱼ver.）	magica/template/chara/CharaDetail.html:13 model.chara.kana	magica/js/libs/charaList.json	kana	charaList.json#id=1210;same-record-name=桃子·御魂;same-record-title=人鱼ver.;characters.json#桃子_御魂_人鱼ver;charaId=1210;nameZh=桃子·御魂（人鱼ver.）	authority-structural-ready	true
CHARA-KANA-CN-1216	1216	81	和泉十七夜	常暗ver.	Izumi Kanagi	和泉十七夜	replace-kana-with-same-record-chinese-name	wiki-nameZh-literal-exact	wiki	和泉十七夜	和泉十七夜	magica/template/chara/CharaDetail.html:13 model.chara.kana	magica/js/libs/charaList.json	kana	characters.json#和泉十七夜;charaId=1016;nameZh=和泉十七夜	authority-structural-ready	true
CHARA-KANA-CN-1217	1217	82	八云御魂	常暗ver.	Yakumo Mitama	八云御魂	replace-kana-with-same-record-chinese-name	wiki-nameZh-literal-exact	wiki	八云御魂	八云御魂	magica/template/chara/CharaDetail.html:13 model.chara.kana	magica/js/libs/charaList.json	kana	characters.json#八云御魂;charaId=1017;nameZh=八云御魂	authority-structural-ready	true
CHARA-KANA-CN-1302	1302	84	七海八千代	动画ver.	Nanami Yachiyo	七海八千代	replace-kana-with-same-record-chinese-name	wiki-nameZh-literal-exact	wiki	七海八千代	七海八千代	magica/template/chara/CharaDetail.html:13 model.chara.kana	magica/js/libs/charaList.json	kana	characters.json#七海八千代;charaId=1002;nameZh=七海八千代	authority-structural-ready	true
CHARA-KANA-CN-1303	1303	85	传闻鹤乃	动画ver.	Uwasa no Tsuruno	传闻鹤乃	replace-kana-with-same-record-chinese-name	stable-id-same-record-name-inheritance	current-stable-id-name+wiki-component-evidence	谣鹤乃_动画ver	谣鹤乃（动画ver.）	magica/template/chara/CharaDetail.html:13 model.chara.kana	magica/js/libs/charaList.json	kana	charaList.json#id=1303;same-record-name=传闻鹤乃;same-record-title=动画ver.;characters.json#谣鹤乃_动画ver;charaId=1303;nameZh=谣鹤乃（动画ver.）	authority-structural-ready	true
CHARA-KANA-CN-1309	1309	86	水波玲奈	动画ver.	Minami Rena	水波玲奈	replace-kana-with-same-record-chinese-name	wiki-nameZh-literal-exact	wiki	水波玲奈	水波玲奈	magica/template/chara/CharaDetail.html:13 model.chara.kana	magica/js/libs/charaList.json	kana	characters.json#水波玲奈;charaId=1009;nameZh=水波玲奈	authority-structural-ready	true
CHARA-KANA-CN-1401	1401	87	彩羽·忧	巫女ver.	Iroha·Ui	彩羽·忧	replace-kana-with-same-record-chinese-name	stable-id-same-record-name-inheritance	current-stable-id-name+wiki-component-evidence	伊吕波_忧_巫女ver	伊吕波·忧（巫女ver.）	magica/template/chara/CharaDetail.html:13 model.chara.kana	magica/js/libs/charaList.json	kana	charaList.json#id=1401;same-record-name=彩羽·忧;same-record-title=巫女ver.;characters.json#伊吕波_忧_巫女ver;charaId=1401;nameZh=伊吕波·忧（巫女ver.）	authority-structural-ready	true
CHARA-KANA-CN-1402	1402	88	七海八千代	童话ver.	Nanami Yachiyo	七海八千代	replace-kana-with-same-record-chinese-name	wiki-nameZh-literal-exact	wiki	七海八千代	七海八千代	magica/template/chara/CharaDetail.html:13 model.chara.kana	magica/js/libs/charaList.json	kana	characters.json#七海八千代;charaId=1002;nameZh=七海八千代	authority-structural-ready	true
CHARA-KANA-CN-1501	1501	89	环彩羽	动画ver.	Tamaki Iroha	环彩羽	replace-kana-with-same-record-chinese-name	stable-id-same-record-name-inheritance	current-stable-id-name+wiki-component-evidence	环伊吕波_动画ver	环伊吕波（动画ver.）	magica/template/chara/CharaDetail.html:13 model.chara.kana	magica/js/libs/charaList.json	kana	charaList.json#id=1501;same-record-name=环彩羽;same-record-title=动画ver.;characters.json#环伊吕波_动画ver;charaId=1501;nameZh=环伊吕波（动画ver.）	authority-structural-ready	true
CHARA-KANA-CN-1502	1502	90	七海八千代	历史ver.	Nanami Yachiyo	七海八千代	replace-kana-with-same-record-chinese-name	wiki-nameZh-literal-exact	wiki	七海八千代	七海八千代	magica/template/chara/CharaDetail.html:13 model.chara.kana	magica/js/libs/charaList.json	kana	characters.json#七海八千代;charaId=1002;nameZh=七海八千代	authority-structural-ready	true
CHARA-KANA-CN-1601	1601	91	∞彩羽		Infinity Iroha	∞彩羽	replace-kana-with-same-record-chinese-name	stable-id-same-record-name-inheritance	current-stable-id-name+wiki-component-evidence	伊吕波	∞伊吕波	magica/template/chara/CharaDetail.html:13 model.chara.kana	magica/js/libs/charaList.json	kana	charaList.json#id=1601;same-record-name=∞彩羽;same-record-title=;characters.json#伊吕波;charaId=1601;nameZh=∞伊吕波	authority-structural-ready	true
CHARA-KANA-CN-1701	1701	92	无限大小彩羽		Mugendai Iroha	无限大小彩羽	replace-kana-with-same-record-chinese-name	stable-id-same-record-name-inheritance	current-stable-id-name+wiki-component-evidence	无限大小伊吕波	无限大小伊吕波	magica/template/chara/CharaDetail.html:13 model.chara.kana	magica/js/libs/charaList.json	kana	charaList.json#id=1701;same-record-name=无限大小彩羽;same-record-title=;characters.json#无限大小伊吕波;charaId=1701;nameZh=无限大小伊吕波	authority-structural-ready	true
CHARA-KANA-CN-1801	1801	93	彩羽·黑江		Iroha・Kuroe	彩羽·黑江	replace-kana-with-same-record-chinese-name	stable-id-same-record-name-inheritance	current-stable-id-name+wiki-component-evidence	伊吕波_黑江	伊吕波·黑江	magica/template/chara/CharaDetail.html:13 model.chara.kana	magica/js/libs/charaList.json	kana	charaList.json#id=1801;same-record-name=彩羽·黑江;same-record-title=;characters.json#伊吕波_黑江;charaId=1801;nameZh=伊吕波·黑江	authority-structural-ready	true
CHARA-KANA-CN-2009	2009	101	爱生眩		Aki Mabayu	爱生眩	replace-kana-with-same-record-chinese-name	wiki-nameZh-literal-exact	wiki	爱生眩	爱生眩	magica/template/chara/CharaDetail.html:13 model.chara.kana	magica/js/libs/charaList.json	kana	characters.json#爱生眩;charaId=2009;nameZh=爱生眩	authority-structural-ready	true
CHARA-KANA-CN-2103	2103	105	究极小圆前辈		Ultimate Madoka Senpai	究极小圆前辈	replace-kana-with-same-record-chinese-name	wiki-nameZh-literal-exact	wiki	究极小圆前辈	究极小圆前辈	magica/template/chara/CharaDetail.html:13 model.chara.kana	magica/js/libs/charaList.json	kana	characters.json#究极小圆前辈;charaId=2103;nameZh=究极小圆前辈	authority-structural-ready	true
