peer_rule_id	audit_index	path	line	slot	kind	scope_class	old	proposed_new	anchor_before	anchor_after	decision	confidence	evidence_type	evidence	structure_preserved	structure_note	application_mode	placeholder_status	production_status	repeated_old_count	repeated_old_indexes	context_variant	main_value	main_relation	exclusion_class	risk
peer_static_011	10	magica/js/test/BackdoorList.js	282	113	js_string	test_or_backdoor	 ★おためしついーと★%0a https://twitter.com/	 ★测试推文★%0a https://twitter.com/	 ★おためしついーと★%0a https://twitter.com/	 ★测试推文★%0a https://twitter.com/	translate	high	manual_semantic_with_url_lock	translate share-text label; retain %0a and URL/path bytes	True	tags/percent-escapes/URLs/newline-tab fingerprint equal; brackets paired	slot_or_exact_context_anchor	no_embedded_placeholder	test_or_backdoor	1		unique_old	 ★试用测试★%0a https://twitter.com/	peer_differs_from_current_main	url_fragment_protected_not_identifier_exclusion	medium: URL/share payload; preserve URL and percent escapes byte-for-byte
peer_static_012	11	magica/js/test/BackdoorList.js	282	115	js_string	test_or_backdoor	/photo/1%0a★おためしついーと★	/photo/1%0a★测试推文★	/photo/1%0a★おためしついーと★	/photo/1%0a★测试推文★	translate	high	manual_semantic_with_url_lock	translate share-text label; retain %0a and URL/path bytes	True	tags/percent-escapes/URLs/newline-tab fingerprint equal; brackets paired	slot_or_exact_context_anchor	no_embedded_placeholder	test_or_backdoor	1		unique_old	/照片/1%0a★试听课★	peer_differs_from_current_main	url_fragment_protected_not_identifier_exclusion	medium: URL/share payload; preserve URL and percent escapes byte-for-byte
peer_static_013	12	magica/js/test/BackdoorList.js	414	165	js_string	test_or_backdoor	ストーリークエストデバッグモードをオンにしました。<br>オフにするにはアプリを再起動してください。	已启用剧情关卡调试模式。<br>要关闭此模式，请重新启动应用。	ストーリークエストデバッグモードをオンにしました。<br>オフにするにはアプリを再起動してください。	已启用剧情关卡调试模式。<br>要关闭此模式，请重新启动应用。	translate	high	manual_semantic_review	peer translation from Japanese UI context; technical identifiers retained	True	tags/percent-escapes/URLs/newline-tab fingerprint equal; brackets paired	slot_or_exact_context_anchor	no_embedded_placeholder	test_or_backdoor	1		unique_old	剧情任务打开调试模式。<br>请重新启动应用程序以将其关闭。	peer_differs_from_current_main	none	low: direct UI translation
peer_static_014	13	magica/js/test/BackdoorList.js	424	169	js_string	test_or_backdoor	チャレンジクエストデバッグモードをオンにしました。<br>オフにするにはアプリを再起動してください。	已启用挑战关卡调试模式。<br>要关闭此模式，请重新启动应用。	チャレンジクエストデバッグモードをオンにしました。<br>オフにするにはアプリを再起動してください。	已启用挑战关卡调试模式。<br>要关闭此模式，请重新启动应用。	translate	high	manual_semantic_review	peer translation from Japanese UI context; technical identifiers retained	True	tags/percent-escapes/URLs/newline-tab fingerprint equal; brackets paired	slot_or_exact_context_anchor	no_embedded_placeholder	test_or_backdoor	1		unique_old	挑战任务打开调试模式。<br>请重新启动应用程序以将其关闭。	peer_differs_from_current_main	none	low: direct UI translation
peer_static_015	14	magica/js/test/BackdoorList.js	486	177	js_string	test_or_backdoor	ダンジョン1	地下城1	ダンジョン1	地下城1	translate	medium	manual_semantic_review	peer translation from Japanese UI context; technical identifiers retained	True	tags/percent-escapes/URLs/newline-tab fingerprint equal; brackets paired	slot_or_exact_context_anchor	no_embedded_placeholder	test_or_backdoor	1		unique_old	地牢 1	peer_differs_from_current_main	none	medium: internal/debug terminology has no direct authority entry
peer_static_016	15	magica/js/test/BackdoorList.js	503	182	js_string	test_or_backdoor	ダンジョンイベントの開催期間外です。	当前不在地下城活动开放期间。	ダンジョンイベントの開催期間外です。	当前不在地下城活动开放期间。	translate	medium	manual_semantic_review	peer translation from Japanese UI context; technical identifiers retained	True	tags/percent-escapes/URLs/newline-tab fingerprint equal; brackets paired	slot_or_exact_context_anchor	no_embedded_placeholder	test_or_backdoor	1		unique_old	地下城 活动 已过时。	peer_differs_from_current_main	none	medium: internal/debug terminology has no direct authority entry
peer_static_017	16	magica/js/test/BackdoorList.js	558	197	js_string	test_or_backdoor	ロック状態のproduct_idリスト<br>	处于锁定状态的product_id列表<br>	ロック状態のproduct_idリスト<br>	处于锁定状态的product_id列表<br>	translate	high	manual_semantic_review	peer translation from Japanese UI context; technical identifiers retained	True	tags/percent-escapes/URLs/newline-tab fingerprint equal; brackets paired	slot_or_exact_context_anchor	no_embedded_placeholder	test_or_backdoor	1		unique_old	锁定的product_id列表<br>	peer_differs_from_current_main	none	low: direct UI translation
peer_static_018	17	magica/js/test/BackdoorQuestList.js	69	16	js_string	test_or_backdoor	神浜の戦神子編	神滨的战神子篇	神浜の戦神子編	神滨的战神子篇	translate	high	wiki_exact_title	data/archive/game.jsonl.gz exact page title: Game:Puella Historia/神滨的战神子篇	True	tags/percent-escapes/URLs/newline-tab fingerprint equal; brackets paired	slot_or_exact_context_anchor	no_embedded_placeholder	test_or_backdoor	1		unique_old	神滨战神版	peer_differs_from_current_main	proper_story_title_not_creator_name	low: exact Wiki event-title spelling
peer_static_019	18	magica/js/test/BackdoorQuestList.js	73	17	js_string	test_or_backdoor	アレクサンドリアの蜃気楼編	亚历山德里亚的蜃楼篇	アレクサンドリアの蜃気楼編	亚历山德里亚的蜃楼篇	translate	high	wiki_exact_title	data/archive/game.jsonl.gz exact page title: Game:Puella Historia/亚历山德里亚的蜃楼篇	True	tags/percent-escapes/URLs/newline-tab fingerprint equal; brackets paired	slot_or_exact_context_anchor	no_embedded_placeholder	test_or_backdoor	1		unique_old	亚历山大海市蜃楼	peer_differs_from_current_main	proper_story_title_not_creator_name	low: exact Wiki event-title spelling
peer_static_020	19	magica/js/test/BackdoorQuestList.js	77	18	js_string	test_or_backdoor	ヴィークのワルキューレ編	维京的女武神篇	ヴィークのワルキューレ編	维京的女武神篇	translate	high	wiki_exact_title	data/archive/game.jsonl.gz exact page title: Game:Puella Historia/维京的女武神篇	True	tags/percent-escapes/URLs/newline-tab fingerprint equal; brackets paired	slot_or_exact_context_anchor	no_embedded_placeholder	test_or_backdoor	1		unique_old	维克的瓦尔基里版	peer_differs_from_current_main	proper_story_title_not_creator_name	low: exact Wiki event-title spelling
peer_static_021	20	magica/js/test/BackdoorQuestList.js	81	19	js_string	test_or_backdoor	チベットのラクシャーシー編	藏地的罗刹女篇	チベットのラクシャーシー編	藏地的罗刹女篇	translate	high	wiki_exact_title	data/archive/game.jsonl.gz exact page title: Game:Puella Historia/藏地的罗刹女篇	True	tags/percent-escapes/URLs/newline-tab fingerprint equal; brackets paired	slot_or_exact_context_anchor	no_embedded_placeholder	test_or_backdoor	1		unique_old	藏罗刹版	peer_differs_from_current_main	proper_story_title_not_creator_name	low: exact Wiki event-title spelling
peer_static_022	21	magica/js/test/BackdoorQuestList.js	85	20	js_string	test_or_backdoor	邪馬台国の跡目編	邪马台国的后嗣篇	邪馬台国の跡目編	邪马台国的后嗣篇	translate	high	wiki_exact_title	data/archive/game.jsonl.gz exact page title: Game:Puella Historia/邪马台国的后嗣篇	True	tags/percent-escapes/URLs/newline-tab fingerprint equal; brackets paired	slot_or_exact_context_anchor	no_embedded_placeholder	test_or_backdoor	1		unique_old	邪马台国的踪迹	peer_differs_from_current_main	proper_story_title_not_creator_name	low: exact Wiki event-title spelling
peer_static_023	22	magica/js/test/BackdoorQuestList.js	90	21	js_string	test_or_backdoor	パクス・ロマーナの恋人編	罗马治世的恋人篇	パクス・ロマーナの恋人編	罗马治世的恋人篇	translate	high	wiki_exact_title	data/archive/game.jsonl.gz exact page title: Game:Puella Historia/罗马治世的恋人篇	True	tags/percent-escapes/URLs/newline-tab fingerprint equal; brackets paired	slot_or_exact_context_anchor	no_embedded_placeholder	test_or_backdoor	1		unique_old	罗马和平之情人版	peer_differs_from_current_main	proper_story_title_not_creator_name	low: exact Wiki event-title spelling
peer_static_024	23	magica/js/test/BackdoorQuestList.js	198	57	js_string	test_or_backdoor	」が <span class='c_red'>	」还差 <span class='c_red'>	」が <span class='c_red'>	」还差 <span class='c_red'>	translate	high	manual_contextual_sentence_reconstruction	combined output becomes 「ITEM」还差 <span class='c_red'>N</span> 个	True	tags/percent-escapes/URLs/newline-tab fingerprint equal; brackets paired	slot_or_exact_context_anchor	no_embedded_placeholder	test_or_backdoor	1		unique_old	” 是 <span class='c_red'>	peer_differs_from_current_main	none	medium: split quantity sentence; must apply both slots together
peer_static_025	24	magica/js/test/BackdoorQuestList.js	198	58	js_string	test_or_backdoor	</span> 不足しています	</span> 个	</span> 不足しています	</span> 个	translate	high	manual_contextual_sentence_reconstruction	combined output becomes 「ITEM」还差 <span class='c_red'>N</span> 个	True	tags/percent-escapes/URLs/newline-tab fingerprint equal; brackets paired	slot_or_exact_context_anchor	no_embedded_placeholder	test_or_backdoor	1		unique_old	缺少	peer_differs_from_current_main	none	medium: split quantity sentence; must apply both slots together
peer_static_026	25	magica/js/test/MailSendTest.js	62	17	js_string	test_or_backdoor	エラーメッセージ<br><br>【 	错误信息<br><br>【 	エラーメッセージ<br><br>【 	错误信息<br><br>【 	translate	high	manual_semantic_review	peer translation from Japanese UI context; technical identifiers retained	True	tags/percent-escapes/URLs/newline-tab fingerprint equal; brackets paired	slot_or_exact_context_anchor	no_embedded_placeholder	test_or_backdoor	1		unique_old	错误留言<br><br>【 	peer_differs_from_current_main	none	low: direct UI translation
peer_static_027	26	magica/js/test/NativeSandBox.js	124	29	js_string	test_or_backdoor	入力欄にuserQuestBattleResultIdを入力してください。	请在输入框中输入userQuestBattleResultId。	入力欄にuserQuestBattleResultIdを入力してください。	请在输入框中输入userQuestBattleResultId。	translate	high	manual_semantic_review	peer translation from Japanese UI context; technical identifiers retained	True	tags/percent-escapes/URLs/newline-tab fingerprint equal; brackets paired	slot_or_exact_context_anchor	no_embedded_placeholder	test_or_backdoor	1		unique_old	请在输入字段中输入 userQuestBattleResultId。	peer_differs_from_current_main	none	low: direct UI translation
peer_static_028	27	magica/js/test/SoundTest.js	6	7	js_string	test_or_backdoor	セクション①クリア時	章节①通关时	セクション①クリア時	章节①通关时	translate	high	manual_semantic_review	peer translation from Japanese UI context; technical identifiers retained	True	tags/percent-escapes/URLs/newline-tab fingerprint equal; brackets paired	slot_or_exact_context_anchor	no_embedded_placeholder	test_or_backdoor	1		unique_old	第①节通关	peer_differs_from_current_main	none	low: direct UI translation
peer_static_029	28	magica/js/test/SoundTest.js	7	9	js_string	test_or_backdoor	セクション②クリア時	章节②通关时	セクション②クリア時	章节②通关时	translate	high	manual_semantic_review	peer translation from Japanese UI context; technical identifiers retained	True	tags/percent-escapes/URLs/newline-tab fingerprint equal; brackets paired	slot_or_exact_context_anchor	no_embedded_placeholder	test_or_backdoor	1		unique_old	第二节通关	peer_differs_from_current_main	none	low: direct UI translation
peer_static_030	29	magica/js/test/SoundTest.js	8	11	js_string	test_or_backdoor	セクション③クリア時	章节③通关时	セクション③クリア時	章节③通关时	translate	high	manual_semantic_review	peer translation from Japanese UI context; technical identifiers retained	True	tags/percent-escapes/URLs/newline-tab fingerprint equal; brackets paired	slot_or_exact_context_anchor	no_embedded_placeholder	test_or_backdoor	1		unique_old	第三节通关	peer_differs_from_current_main	none	low: direct UI translation
peer_static_031	30	magica/js/test/SoundTest.js	17	29	js_string	test_or_backdoor	強化MAX	强化MAX	強化MAX	强化MAX	translate	medium	manual_semantic_review	peer translation from Japanese UI context; technical identifiers retained	True	tags/percent-escapes/URLs/newline-tab fingerprint equal; brackets paired	slot_or_exact_context_anchor	no_embedded_placeholder	test_or_backdoor	1		unique_old	強化MAX	current_main_untranslated	none	medium: internal/debug terminology has no direct authority entry
peer_static_032	31	magica/js/test/SoundTest.js	23	41	js_string	test_or_backdoor	覚醒（レアリティアップ）②	觉醒（稀有度提升）②	覚醒（レアリティアップ）②	觉醒（稀有度提升）②	translate	high	manual_semantic_review	peer translation from Japanese UI context; technical identifiers retained	True	tags/percent-escapes/URLs/newline-tab fingerprint equal; brackets paired	slot_or_exact_context_anchor	no_embedded_placeholder	test_or_backdoor	1		unique_old	觉醒（稀有度上升）②	peer_differs_from_current_main	none	low: direct UI translation
peer_static_033	32	magica/js/test/SoundTest.js	24	43	js_string	test_or_backdoor	覚醒（レアリティアップ）③	觉醒（稀有度提升）③	覚醒（レアリティアップ）③	觉醒（稀有度提升）③	translate	high	manual_semantic_review	peer translation from Japanese UI context; technical identifiers retained	True	tags/percent-escapes/URLs/newline-tab fingerprint equal; brackets paired	slot_or_exact_context_anchor	no_embedded_placeholder	test_or_backdoor	1		unique_old	觉醒（稀有度上升）③	peer_differs_from_current_main	none	low: direct UI translation
peer_static_034	33	magica/js/test/SoundTest.js	25	45	js_string	test_or_backdoor	覚醒（レアリティアップ）④	觉醒（稀有度提升）④	覚醒（レアリティアップ）④	觉醒（稀有度提升）④	translate	high	manual_semantic_review	peer translation from Japanese UI context; technical identifiers retained	True	tags/percent-escapes/URLs/newline-tab fingerprint equal; brackets paired	slot_or_exact_context_anchor	no_embedded_placeholder	test_or_backdoor	1		unique_old	觉醒（稀有度上升）④	peer_differs_from_current_main	none	low: direct UI translation
peer_static_035	34	magica/js/test/SoundTest.js	26	47	js_string	test_or_backdoor	覚醒（レアリティアップ）⑤	觉醒（稀有度提升）⑤	覚醒（レアリティアップ）⑤	觉醒（稀有度提升）⑤	translate	high	manual_semantic_review	peer translation from Japanese UI context; technical identifiers retained	True	tags/percent-escapes/URLs/newline-tab fingerprint equal; brackets paired	slot_or_exact_context_anchor	no_embedded_placeholder	test_or_backdoor	1		unique_old	觉醒（稀有度上升）⑤	peer_differs_from_current_main	none	low: direct UI translation
peer_static_036	35	magica/js/test/SoundTest.js	27	49	js_string	test_or_backdoor	1日の初回ログイン時	每日首次登录时	1日の初回ログイン時	每日首次登录时	translate	high	manual_semantic_review	peer translation from Japanese UI context; technical identifiers retained	True	tags/percent-escapes/URLs/newline-tab fingerprint equal; brackets paired	slot_or_exact_context_anchor	no_embedded_placeholder	test_or_backdoor	1		unique_old	当天第一时间 登录	peer_differs_from_current_main	none	low: direct UI translation
peer_static_037	36	magica/js/test/SoundTest.js	36	67	js_string	test_or_backdoor	タップ時セリフ（デフォルト①）	点击时台词（默认①）	タップ時セリフ（デフォルト①）	点击时台词（默认①）	translate	high	manual_semantic_review	peer translation from Japanese UI context; technical identifiers retained	True	tags/percent-escapes/URLs/newline-tab fingerprint equal; brackets paired	slot_or_exact_context_anchor	no_embedded_placeholder	test_or_backdoor	1		unique_old	点击时的线条（默认①）	peer_differs_from_current_main	none	low: direct UI translation
peer_static_038	37	magica/js/test/SoundTest.js	37	69	js_string	test_or_backdoor	タップ時セリフ（デフォルト②）	点击时台词（默认②）	タップ時セリフ（デフォルト②）	点击时台词（默认②）	translate	high	manual_semantic_review	peer translation from Japanese UI context; technical identifiers retained	True	tags/percent-escapes/URLs/newline-tab fingerprint equal; brackets paired	slot_or_exact_context_anchor	no_embedded_placeholder	test_or_backdoor	1		unique_old	点击时的对话（默认②）	peer_differs_from_current_main	none	low: direct UI translation
peer_static_039	38	magica/js/test/SoundTest.js	38	71	js_string	test_or_backdoor	タップ時セリフ（デフォルト③）	点击时台词（默认③）	タップ時セリフ（デフォルト③）	点击时台词（默认③）	translate	high	manual_semantic_review	peer translation from Japanese UI context; technical identifiers retained	True	tags/percent-escapes/URLs/newline-tab fingerprint equal; brackets paired	slot_or_exact_context_anchor	no_embedded_placeholder	test_or_backdoor	1		unique_old	点击时的线条（默认 ③）	peer_differs_from_current_main	none	low: direct UI translation
peer_static_040	39	magica/js/test/SoundTest.js	39	73	js_string	test_or_backdoor	タップ時セリフ（デフォルト④）	点击时台词（默认④）	タップ時セリフ（デフォルト④）	点击时台词（默认④）	translate	high	manual_semantic_review	peer translation from Japanese UI context; technical identifiers retained	True	tags/percent-escapes/URLs/newline-tab fingerprint equal; brackets paired	slot_or_exact_context_anchor	no_embedded_placeholder	test_or_backdoor	1		unique_old	点击时的对话（默认 ④）	peer_differs_from_current_main	none	low: direct UI translation
peer_static_041	40	magica/js/test/SoundTest.js	40	75	js_string	test_or_backdoor	タップ時セリフ（エピソードLv２）	点击时台词（剧情等级２）	タップ時セリフ（エピソードLv２）	点击时台词（剧情等级２）	translate	high	frozen_project_terminology	frozen terms: ガチャ=扭蛋; ボックスガチャ=箱子扭蛋; デッキ=队伍; フォーメーション=魔法阵型; エピソードLv=剧情等级	True	tags/percent-escapes/URLs/newline-tab fingerprint equal; brackets paired	slot_or_exact_context_anchor	no_embedded_placeholder	test_or_backdoor	1		unique_old	点击时的线条 (章节Lv2)	peer_differs_from_current_main	none	low: direct UI translation
peer_static_042	41	magica/js/test/SoundTest.js	41	77	js_string	test_or_backdoor	タップ時セリフ（エピソードLv３）	点击时台词（剧情等级３）	タップ時セリフ（エピソードLv３）	点击时台词（剧情等级３）	translate	high	frozen_project_terminology	frozen terms: ガチャ=扭蛋; ボックスガチャ=箱子扭蛋; デッキ=队伍; フォーメーション=魔法阵型; エピソードLv=剧情等级	True	tags/percent-escapes/URLs/newline-tab fingerprint equal; brackets paired	slot_or_exact_context_anchor	no_embedded_placeholder	test_or_backdoor	1		unique_old	点击时的线条 (章节Lv3)	peer_differs_from_current_main	none	low: direct UI translation
peer_static_043	42	magica/js/test/SoundTest.js	42	79	js_string	test_or_backdoor	タップ時セリフ（エピソードLv４）	点击时台词（剧情等级４）	タップ時セリフ（エピソードLv４）	点击时台词（剧情等级４）	translate	high	frozen_project_terminology	frozen terms: ガチャ=扭蛋; ボックスガチャ=箱子扭蛋; デッキ=队伍; フォーメーション=魔法阵型; エピソードLv=剧情等级	True	tags/percent-escapes/URLs/newline-tab fingerprint equal; brackets paired	slot_or_exact_context_anchor	no_embedded_placeholder	test_or_backdoor	1		unique_old	点击时的线条 (章节Lv4)	peer_differs_from_current_main	none	low: direct UI translation
peer_static_044	43	magica/js/test/SoundTest.js	43	81	js_string	test_or_backdoor	タップ時セリフ（エピソードLv５）	点击时台词（剧情等级５）	タップ時セリフ（エピソードLv５）	点击时台词（剧情等级５）	translate	high	frozen_project_terminology	frozen terms: ガチャ=扭蛋; ボックスガチャ=箱子扭蛋; デッキ=队伍; フォーメーション=魔法阵型; エピソードLv=剧情等级	True	tags/percent-escapes/URLs/newline-tab fingerprint equal; brackets paired	slot_or_exact_context_anchor	no_embedded_placeholder	test_or_backdoor	1		unique_old	点击时的线条 (章节Lv5)	peer_differs_from_current_main	none	low: direct UI translation
peer_static_045	44	magica/js/test/SoundTest.js	44	83	js_string	test_or_backdoor	タップ時セリフ（複数回タップ）	点击时台词（多次点击）	タップ時セリフ（複数回タップ）	点击时台词（多次点击）	translate	high	manual_semantic_review	peer translation from Japanese UI context; technical identifiers retained	True	tags/percent-escapes/URLs/newline-tab fingerprint equal; brackets paired	slot_or_exact_context_anchor	no_embedded_placeholder	test_or_backdoor	1		unique_old	点击时的线条（多次点击）	peer_differs_from_current_main	none	low: direct UI translation
peer_static_046	45	magica/js/test/SoundTest.js	50	95	js_string	test_or_backdoor	ディスクセット①	行动盘选择①	ディスクセット①	行动盘选择①	translate	medium	manual_semantic_review	peer translation from Japanese UI context; technical identifiers retained	True	tags/percent-escapes/URLs/newline-tab fingerprint equal; brackets paired	slot_or_exact_context_anchor	no_embedded_placeholder	test_or_backdoor	1		unique_old	光盘组①	peer_differs_from_current_main	none	medium: internal/debug terminology has no direct authority entry
peer_static_047	46	magica/js/test/SoundTest.js	51	97	js_string	test_or_backdoor	ディスクセット②	行动盘选择②	ディスクセット②	行动盘选择②	translate	medium	manual_semantic_review	peer translation from Japanese UI context; technical identifiers retained	True	tags/percent-escapes/URLs/newline-tab fingerprint equal; brackets paired	slot_or_exact_context_anchor	no_embedded_placeholder	test_or_backdoor	1		unique_old	光盘组②	peer_differs_from_current_main	none	medium: internal/debug terminology has no direct authority entry
peer_static_048	47	magica/js/test/SoundTest.js	52	99	js_string	test_or_backdoor	ディスクセット③	行动盘选择③	ディスクセット③	行动盘选择③	translate	medium	manual_semantic_review	peer translation from Japanese UI context; technical identifiers retained	True	tags/percent-escapes/URLs/newline-tab fingerprint equal; brackets paired	slot_or_exact_context_anchor	no_embedded_placeholder	test_or_backdoor	1		unique_old	光盘组③	peer_differs_from_current_main	none	medium: internal/debug terminology has no direct authority entry
peer_static_049	48	magica/js/test/SoundTest.js	53	101	js_string	test_or_backdoor	ディスクセット④	行动盘选择④	ディスクセット④	行动盘选择④	translate	medium	manual_semantic_review	peer translation from Japanese UI context; technical identifiers retained	True	tags/percent-escapes/URLs/newline-tab fingerprint equal; brackets paired	slot_or_exact_context_anchor	no_embedded_placeholder	test_or_backdoor	1		unique_old	光盘组 ④	peer_differs_from_current_main	none	medium: internal/debug terminology has no direct authority entry
peer_static_050	49	magica/js/test/SoundTest.js	54	103	js_string	test_or_backdoor	ディスクセット（コネクトした）	行动盘选择（发起连携）	ディスクセット（コネクトした）	行动盘选择（发起连携）	translate	medium	manual_semantic_review	peer translation from Japanese UI context; technical identifiers retained	True	tags/percent-escapes/URLs/newline-tab fingerprint equal; brackets paired	slot_or_exact_context_anchor	no_embedded_placeholder	test_or_backdoor	1		unique_old	磁盘组（连携）	peer_differs_from_current_main	none	medium: internal/debug terminology has no direct authority entry
