text	occurrences	dictionaries	fields	keys	confidence	evidence_sample	review_index	classification	classification_label	risk	semantic_note	wiki_check_recommended	wiki_check_note
"3周年DX福袋(銅)	"	1	shopItemList.json	name	shopItemList.json:11003/name	0.95	scan=opencc_t2s_difference | pass15_text_health=replacement/control/bidi:0 | orthography_check=opencc_t2s_diff | official_cn_dump=missing_record:authority.json/shopItemList.json/11003/name | wiki_frozen_exact=none | wiki_frozen_zh_exact=none | pass15_coverage=unchanged_or_not_in_382_delta	18	A	仅日文字形/繁简规范	medium	福袋商品名只涉及金属档位字形；原值末尾另有TAB，字形与尾随空白应分开审计。	True	周年商店礼包名；DX 与金属档位属于标题组成，需核对 Wiki 或同系列固定命名。
"4周年DX福袋(銅)	"	1	shopItemList.json	name	shopItemList.json:15980/name	0.95	scan=opencc_t2s_difference | pass15_text_health=replacement/control/bidi:0 | orthography_check=opencc_t2s_diff | official_cn_dump=missing_record:authority.json/shopItemList.json/15980/name | wiki_frozen_exact=none | wiki_frozen_zh_exact=none | pass15_coverage=unchanged_or_not_in_382_delta	19	A	仅日文字形/繁简规范	medium	福袋商品名只涉及金属档位字形；原值末尾另有TAB，保留周年与档位对应。	True	周年商店礼包名；DX 与金属档位属于标题组成，需核对 Wiki 或同系列固定命名。
"5周年DX福袋(銅)	"	1	shopItemList.json	name	shopItemList.json:22134/name	0.95	scan=opencc_t2s_difference | pass15_text_health=replacement/control/bidi:0 | orthography_check=opencc_t2s_diff | official_cn_dump=missing_record:authority.json/shopItemList.json/22134/name | wiki_frozen_exact=none | wiki_frozen_zh_exact=none | pass15_coverage=unchanged_or_not_in_382_delta	20	A	仅日文字形/繁简规范	medium	福袋商品名只涉及金属档位字形；原值末尾另有TAB，保留周年与档位对应。	True	周年商店礼包名；DX 与金属档位属于标题组成，需核对 Wiki 或同系列固定命名。
"6周年DX福袋(銅)	"	1	shopItemList.json	name	shopItemList.json:28596/name	0.95	scan=opencc_t2s_difference | pass15_text_health=replacement/control/bidi:0 | orthography_check=opencc_t2s_diff | official_cn_dump=missing_record:authority.json/shopItemList.json/28596/name | wiki_frozen_exact=none | wiki_frozen_zh_exact=none | pass15_coverage=unchanged_or_not_in_382_delta	21	A	仅日文字形/繁简规范	medium	福袋商品名只涉及金属档位字形；原值末尾另有TAB，保留周年与档位对应。	True	周年商店礼包名；DX 与金属档位属于标题组成，需核对 Wiki 或同系列固定命名。
AP回复药内含特別套装。详情可点击图标查看。	1	shopItemList.json	description	shopItemList.json:15564/description	0.95	scan=opencc_t2s_difference | pass15_text_health=replacement/control/bidi:0 | orthography_check=opencc_t2s_diff | official_cn_dump=missing_record:authority.json/shopItemList.json/15564/description | wiki_frozen_exact=none | wiki_frozen_zh_exact=none | pass15_coverage=unchanged_or_not_in_382_delta	22	A	仅日文字形/繁简规范	low	仅处理日文字形/繁简差异；保持数字、符号、字段结构与既有中文语义。	False	""
HP自动回复[Ⅱ] & 防御力上昇[Ⅰ]	1	placeSkillMap.json	shortDescription	placeSkillMap.json:30/shortDescription	0.95	scan=opencc_t2s_difference | pass15_text_health=replacement/control/bidi:0 | orthography_check=opencc_t2s_diff | official_cn_dump=missing_record:authority.json/placeSkillMap.json/30/shortDescription | wiki_frozen_exact=none | wiki_frozen_zh_exact=none | pass15_coverage=unchanged_or_not_in_382_delta	23	B	中日混写，需语义翻译	medium	“上昇”是日文技能词，不宜只做OpenCC；按项目既有防御增益术语处理，HP回复等级及连接符不动。	False	""
HP自动回复[Ⅲ] & 状态異常耐性UP[Ⅲ](我方全体/3T)	2	pieceSkillMap.json	shortDescription	pieceSkillMap.json:174500/shortDescription | pieceSkillMap.json:174501/shortDescription	0.95	scan=opencc_t2s_difference,japanese_shinjitai_marker | pass15_text_health=replacement/control/bidi:0 | orthography_check=opencc_t2s_diff | japanese_marker_chars=異 | official_cn_dump=missing_record:authority.json/pieceSkillMap.json/174500/shortDescription | wiki_frozen_exact=none | wiki_frozen_zh_exact=none | pass15_coverage=unchanged_or_not_in_382_delta	24	A	仅日文字形/繁简规范	medium	仅处理日文字形/繁简差异；保持数字、符号、字段结构与既有中文语义。	False	""
HP自动回复[Ⅳ] & 状态異常耐性UP[Ⅱ](自身/3T)	2	pieceSkillMap.json	shortDescription	pieceSkillMap.json:189900/shortDescription | pieceSkillMap.json:189901/shortDescription	0.95	scan=opencc_t2s_difference,japanese_shinjitai_marker | pass15_text_health=replacement/control/bidi:0 | orthography_check=opencc_t2s_diff | japanese_marker_chars=異 | official_cn_dump=missing_record:authority.json/pieceSkillMap.json/189900/shortDescription | wiki_frozen_exact=none | wiki_frozen_zh_exact=none | pass15_coverage=unchanged_or_not_in_382_delta	25	A	仅日文字形/繁简规范	medium	仅处理日文字形/繁简差异；保持数字、符号、字段结构与既有中文语义。	False	""
“你们要悔改”（译注：《圣经·马太福音》3章第2節）＠背对十字的光线，稳静地陈述着＠班里活跃的开心果＠站在有烦恼的人面前，也会露出这样的一面	1	pieceList.json	description	pieceList.json:1561/description	0.95	scan=opencc_t2s_difference | pass15_text_health=replacement/control/bidi:0 | orthography_check=opencc_t2s_diff | official_cn_dump=missing_record:authority.json/pieceList.json/1561/description | wiki_frozen_typed_record=data/memoria.json/町の片隅の小さな光#number | wiki_frozen_zh_exact=none | pass15_coverage=unchanged_or_not_in_382_delta	26	A	仅日文字形/繁简规范	medium	正文已是中文，仅章/节字形残留；必须保留＠分段、引号、经文编号和四段顺序。	False	""
★4必得扭蛋券内含特別套装。※具体内容请查看公告	1	shopItemList.json	description	shopItemList.json:11003/description	0.95	scan=opencc_t2s_difference | pass15_text_health=replacement/control/bidi:0 | orthography_check=opencc_t2s_diff | official_cn_dump=missing_record:authority.json/shopItemList.json/11003/description | wiki_frozen_exact=none | wiki_frozen_zh_exact=none | pass15_coverage=unchanged_or_not_in_382_delta	27	A	仅日文字形/繁简规范	low	仅处理日文字形/繁简差异；保持数字、符号、字段结构与既有中文语义。	False	""
★4魔法少女必得扭蛋券内含特別套装。详情可点击图标查看。	7	shopItemList.json	description	shopItemList.json:15980/description | shopItemList.json:16716/description | shopItemList.json:18067/description | shopItemList.json:22134/description | shopItemList.json:24647/description | shopItemList.json:28596/description | shopItemList.json:31117/description	0.95	scan=opencc_t2s_difference | pass15_text_health=replacement/control/bidi:0 | orthography_check=opencc_t2s_diff | official_cn_dump=missing_record:authority.json/shopItemList.json/15980/description | wiki_frozen_exact=none | wiki_frozen_zh_exact=none | pass15_coverage=unchanged_or_not_in_382_delta	28	A	仅日文字形/繁简规范	low	仅处理日文字形/繁简差异；保持数字、符号、字段结构与既有中文语义。	False	""
「情人节交換券」的兑换道具	5	itemList.json	description | shortDescription	itemList.json:EVENT_DAILYTOWER_1086_EXCHANGE_2/shortDescription | itemList.json:EVENT_DAILYTOWER_1124_EXCHANGE_2/description | itemList.json:EVENT_DAILYTOWER_1124_EXCHANGE_2/shortDescription | itemList.json:EVENT_DAILYTOWER_1125_EXCHANGE_2/description | itemList.json:EVENT_DAILYTOWER_1125_EXCHANGE_2/shortDescription	0.95	scan=opencc_t2s_difference | pass15_text_health=replacement/control/bidi:0 | orthography_check=opencc_t2s_diff | official_cn_dump=missing_field:authority.json/itemList.json/EVENT_DAILYTOWER_1086_EXCHANGE_2/shortDescription | wiki_frozen_exact=none | wiki_frozen_zh_exact=none | pass15_coverage=unchanged_or_not_in_382_delta	29	B	中日混写，需语义翻译	medium	引号内是券种名；“交換券”需按项目道具领域术语处理，且5处 description/shortDescription须一致。	True	引号内为活动兑换券名；需与对应活动页和同名道具的固定写法一致。
「时女拾遺物語」的兑换道具	4	itemList.json	description | shortDescription	itemList.json:EVENT_DAILYTOWER_1154_EXCHANGE_1/description | itemList.json:EVENT_DAILYTOWER_1154_EXCHANGE_1/shortDescription | itemList.json:EVENT_DAILYTOWER_1154_EXCHANGE_2/description | itemList.json:EVENT_DAILYTOWER_1154_EXCHANGE_2/shortDescription	0.95	scan=opencc_t2s_difference | pass15_text_health=replacement/control/bidi:0 | orthography_check=opencc_t2s_diff | official_cn_dump=missing_record:authority.json/itemList.json/EVENT_DAILYTOWER_1154_EXCHANGE_1/description | wiki_frozen_exact=none | wiki_frozen_zh_exact=none | pass15_coverage=unchanged_or_not_in_382_delta	30	C	专名，须查Wiki	high	活动/背景专名；Wiki或同活动资料确认完整名称，四处兑换道具描述必须同步。	True	引号内为活动标题；该系列标题写法应按 Wiki 活动条目核定。
「神滨时空運動会」的兑换道具	2	itemList.json	description | shortDescription	itemList.json:EVENT_DAILYTOWER_1212_EXCHANGE_1/description | itemList.json:EVENT_DAILYTOWER_1212_EXCHANGE_1/shortDescription	0.95	scan=opencc_t2s_difference | pass15_text_health=replacement/control/bidi:0 | orthography_check=opencc_t2s_diff | official_cn_dump=missing_record:authority.json/itemList.json/EVENT_DAILYTOWER_1212_EXCHANGE_1/description | wiki_frozen_exact=none | wiki_frozen_zh_exact=none | pass15_coverage=unchanged_or_not_in_382_delta	31	C	专名，须查Wiki	high	活动专名；不可只把“運動”机械转字后忽略官方活动名，2处字段同步。	True	引号内为活动标题；与同组活动名称可能有版本差异，需查 Wiki 定名。
一次又一次地想起来＠垂死的少女们的慟哭，和令人窒息的血腥味＠握住手掌上残留着鲜血感觉，直面无法赦免的罪＠也许是因为想受到制裁，亦或是...	1	pieceList.json	description	pieceList.json:1973/description	0.95	scan=opencc_t2s_difference | pass15_text_health=replacement/control/bidi:0 | orthography_check=opencc_t2s_diff | official_cn_dump=missing_record:authority.json/pieceList.json/1973/description | wiki_frozen_typed_record=data/memoria.json/赦されぬ罪#number | wiki_frozen_zh_exact=none | pass15_coverage=unchanged_or_not_in_382_delta	32	A	仅日文字形/繁简规范	medium	记忆结晶正文仅“慟”字形残留；保留＠分段、语气及省略号。	False	""
七色夏模様	1	itemList.json	shortDescription	itemList.json:HOME_EV_1170_20831/shortDescription	0.95	scan=japanese_shinjitai_marker | pass15_text_health=replacement/control/bidi:0 | japanese_marker_chars=様 | official_cn_dump=missing_record:authority.json/itemList.json/HOME_EV_1170_20831/shortDescription | wiki_frozen_exact=none | wiki_frozen_zh_exact=none | pass15_coverage=unchanged_or_not_in_382_delta	33	C	专名，须查Wiki	high	背景/活动专名；与同名背景的name、description三字段联动查Wiki。	True	主页背景标题，疑为夏季活动专名；应按 Wiki 对应活动或背景条目核定。
主页背景「七色夏模様」。	1	itemList.json	description	itemList.json:HOME_EV_1170_20831/description	0.95	scan=japanese_shinjitai_marker | pass15_text_health=replacement/control/bidi:0 | japanese_marker_chars=様 | official_cn_dump=missing_record:authority.json/itemList.json/HOME_EV_1170_20831/description | wiki_frozen_exact=none | wiki_frozen_zh_exact=none | pass15_coverage=unchanged_or_not_in_382_delta	34	C	专名，须查Wiki	high	背景描述包含专名；与短说明和背景商品名共用同一权威名称。	True	背景说明中嵌入同名标题；复用该标题的 Wiki 定名，外围说明句另行处理。
主页背景「时女拾遺物語」。	1	itemList.json	description	itemList.json:HOME_EV_1154_50083/description	0.95	scan=opencc_t2s_difference | pass15_text_health=replacement/control/bidi:0 | orthography_check=opencc_t2s_diff | official_cn_dump=missing_record:authority.json/itemList.json/HOME_EV_1154_50083/description | wiki_frozen_exact=none | wiki_frozen_zh_exact=none | pass15_coverage=unchanged_or_not_in_382_delta	35	C	专名，须查Wiki	high	背景描述包含活动专名；与兑换道具和背景name/shortDescription联动。	True	背景说明中嵌入活动标题；复用对应 Wiki 活动定名，外围说明句另行处理。
主页背景「神滨大運動会」。	1	itemList.json	description	itemList.json:HOME_EV_1212_31201/description	0.95	scan=opencc_t2s_difference | pass15_text_health=replacement/control/bidi:0 | orthography_check=opencc_t2s_diff | official_cn_dump=missing_record:authority.json/itemList.json/HOME_EV_1212_31201/description | wiki_frozen_exact=none | wiki_frozen_zh_exact=none | pass15_coverage=unchanged_or_not_in_382_delta	36	C	专名，须查Wiki	high	背景描述包含活动专名；与活动兑换道具和背景name/shortDescription联动。	True	背景说明中嵌入活动标题；复用对应 Wiki 活动定名，外围说明句另行处理。
仏罰！	1	charaMessageList.json	message	charaMessageList.json:3058_61/message	0.95	scan=opencc_t2s_difference,japanese_shinjitai_marker | pass15_text_health=replacement/control/bidi:0 | orthography_check=opencc_t2s_diff | japanese_marker_chars=仏 | official_cn_dump=missing_record:authority.json/charaMessageList.json/3058_61/message | wiki_frozen_exact=data/voice_subtitles.json/vo_char_3058_00_61 | wiki_frozen_zh_exact=none | pass15_coverage=unchanged_or_not_in_382_delta	37	B	中日混写，需语义翻译	medium	角色语音短句，需按语气翻译；感叹号与技能/角色语境保留。	False	""
兑换券内含特別套装。详情可点击图标查看。	1	shopItemList.json	description	shopItemList.json:12086/description	0.95	scan=opencc_t2s_difference | pass15_text_health=replacement/control/bidi:0 | orthography_check=opencc_t2s_diff | official_cn_dump=missing_record:authority.json/shopItemList.json/12086/description | wiki_frozen_exact=none | wiki_frozen_zh_exact=none | pass15_coverage=unchanged_or_not_in_382_delta	38	A	仅日文字形/繁简规范	low	仅处理日文字形/繁简差异；保持数字、符号、字段结构与既有中文语义。	False	""
兑换券内含特別套装。详情可通过按钮查看。	1	shopItemList.json	description	shopItemList.json:11402/description	0.95	scan=opencc_t2s_difference | pass15_text_health=replacement/control/bidi:0 | orthography_check=opencc_t2s_diff | official_cn_dump=missing_record:authority.json/shopItemList.json/11402/description | wiki_frozen_exact=none | wiki_frozen_zh_exact=none | pass15_coverage=unchanged_or_not_in_382_delta	39	A	仅日文字形/繁简规范	low	仅处理日文字形/繁简差异；保持数字、符号、字段结构与既有中文语义。	False	""
全体編 10話	1	sectionList.json	title	sectionList.json:102960/title	0.95	scan=opencc_t2s_difference | pass15_text_health=replacement/control/bidi:0 | orthography_check=opencc_t2s_diff | official_cn_dump=missing_record:authority.json/sectionList.json/102960/title | wiki_frozen_exact=none | wiki_frozen_zh_exact=none | pass15_coverage=unchanged_or_not_in_382_delta	40	B	中日混写，需语义翻译	high	连续10个章节标签；整体确定“全体編”领域译法和话数格式，保持1—10键值顺序，禁止跨章串项。	True	章节序号标题；需按 Wiki 核定“全体編”系列名与“話”格式，并保持数字不变。
全体編 1話	1	sectionList.json	title	sectionList.json:102951/title	0.95	scan=opencc_t2s_difference | pass15_text_health=replacement/control/bidi:0 | orthography_check=opencc_t2s_diff | official_cn_dump=missing_record:authority.json/sectionList.json/102951/title | wiki_frozen_exact=none | wiki_frozen_zh_exact=none | pass15_coverage=unchanged_or_not_in_382_delta	41	B	中日混写，需语义翻译	high	连续10个章节标签；整体确定“全体編”领域译法和话数格式，保持1—10键值顺序，禁止跨章串项。	True	章节序号标题；需按 Wiki 核定“全体編”系列名与“話”格式，并保持数字不变。
全体編 2話	1	sectionList.json	title	sectionList.json:102952/title	0.95	scan=opencc_t2s_difference | pass15_text_health=replacement/control/bidi:0 | orthography_check=opencc_t2s_diff | official_cn_dump=missing_record:authority.json/sectionList.json/102952/title | wiki_frozen_exact=none | wiki_frozen_zh_exact=none | pass15_coverage=unchanged_or_not_in_382_delta	42	B	中日混写，需语义翻译	high	连续10个章节标签；整体确定“全体編”领域译法和话数格式，保持1—10键值顺序，禁止跨章串项。	True	章节序号标题；需按 Wiki 核定“全体編”系列名与“話”格式，并保持数字不变。
全体編 3話	1	sectionList.json	title	sectionList.json:102953/title	0.95	scan=opencc_t2s_difference | pass15_text_health=replacement/control/bidi:0 | orthography_check=opencc_t2s_diff | official_cn_dump=missing_record:authority.json/sectionList.json/102953/title | wiki_frozen_exact=none | wiki_frozen_zh_exact=none | pass15_coverage=unchanged_or_not_in_382_delta	43	B	中日混写，需语义翻译	high	连续10个章节标签；整体确定“全体編”领域译法和话数格式，保持1—10键值顺序，禁止跨章串项。	True	章节序号标题；需按 Wiki 核定“全体編”系列名与“話”格式，并保持数字不变。
全体編 4話	1	sectionList.json	title	sectionList.json:102954/title	0.95	scan=opencc_t2s_difference | pass15_text_health=replacement/control/bidi:0 | orthography_check=opencc_t2s_diff | official_cn_dump=missing_record:authority.json/sectionList.json/102954/title | wiki_frozen_exact=none | wiki_frozen_zh_exact=none | pass15_coverage=unchanged_or_not_in_382_delta	44	B	中日混写，需语义翻译	high	连续10个章节标签；整体确定“全体編”领域译法和话数格式，保持1—10键值顺序，禁止跨章串项。	True	章节序号标题；需按 Wiki 核定“全体編”系列名与“話”格式，并保持数字不变。
全体編 5話	1	sectionList.json	title	sectionList.json:102955/title	0.95	scan=opencc_t2s_difference | pass15_text_health=replacement/control/bidi:0 | orthography_check=opencc_t2s_diff | official_cn_dump=missing_record:authority.json/sectionList.json/102955/title | wiki_frozen_exact=none | wiki_frozen_zh_exact=none | pass15_coverage=unchanged_or_not_in_382_delta	45	B	中日混写，需语义翻译	high	连续10个章节标签；整体确定“全体編”领域译法和话数格式，保持1—10键值顺序，禁止跨章串项。	True	章节序号标题；需按 Wiki 核定“全体編”系列名与“話”格式，并保持数字不变。
全体編 6話	1	sectionList.json	title	sectionList.json:102956/title	0.95	scan=opencc_t2s_difference | pass15_text_health=replacement/control/bidi:0 | orthography_check=opencc_t2s_diff | official_cn_dump=missing_record:authority.json/sectionList.json/102956/title | wiki_frozen_exact=none | wiki_frozen_zh_exact=none | pass15_coverage=unchanged_or_not_in_382_delta	46	B	中日混写，需语义翻译	high	连续10个章节标签；整体确定“全体編”领域译法和话数格式，保持1—10键值顺序，禁止跨章串项。	True	章节序号标题；需按 Wiki 核定“全体編”系列名与“話”格式，并保持数字不变。
全体編 7話	1	sectionList.json	title	sectionList.json:102957/title	0.95	scan=opencc_t2s_difference | pass15_text_health=replacement/control/bidi:0 | orthography_check=opencc_t2s_diff | official_cn_dump=missing_record:authority.json/sectionList.json/102957/title | wiki_frozen_exact=none | wiki_frozen_zh_exact=none | pass15_coverage=unchanged_or_not_in_382_delta	47	B	中日混写，需语义翻译	high	连续10个章节标签；整体确定“全体編”领域译法和话数格式，保持1—10键值顺序，禁止跨章串项。	True	章节序号标题；需按 Wiki 核定“全体編”系列名与“話”格式，并保持数字不变。
