record_id	evidence_kind	source	current_cn	official_cn	selected_cn	decision	source_tier	product_write_allowed	supporting_symbols	both_official_cn_abis	rationale
CN-NATIVE-0011	stable-object-slot	CディスクダメージDown	Charge圆盘伤害下降	C行动盘伤害下降	C行动盘伤害下降	replace-with-official-exact	official-cn-native-exact	True	_ZN5QbDef19StatusInfoNameTableE	True	stable object slot and both CN ABIs select the official value
CN-NATIVE-0012	stable-object-slot	CディスクダメージUp	Charge圆盘伤害提升	C行动盘伤害提升	C行动盘伤害提升	replace-with-official-exact	official-cn-native-exact	True	_ZN5QbDef19StatusInfoNameTableE	True	stable object slot and both CN ABIs select the official value
CN-NATIVE-0013	stable-object-slot	HP回復禁止	禁止回复HP	禁止回复HP	禁止回复HP	adopt-existing-official-exact	official-cn-native-exact	True	_ZN5QbDef19StatusInfoNameTableE	True	stable object slot and both CN ABIs exactly corroborate the current value
CN-NATIVE-0014	stable-object-slot	HP自動回復	自动回复HP	自动回复HP	自动回复HP	adopt-existing-official-exact	official-cn-native-exact	True	_ZN5QbDef19StatusInfoNameTableE	True	stable object slot and both CN ABIs exactly corroborate the current value
CN-NATIVE-0015	stable-object-slot	HP連動マギアアップ	HP联动Magia提升	HP连动MagiaUp	HP联动Magia提升	apply-official-normalized	official-cn-native-normalized	True	_ZN5QbDef19StatusInfoNameTableE	True	official semantics retained; residual English/Japanese/typo/label-shape normalized
CN-NATIVE-0016	stable-object-slot	MP100以上の際にMPゲージアップ	MP在100以上时MP充能条增加	MP在100以上时MP充能条增加	MP在100以上时MP充能条增加	adopt-existing-official-exact	official-cn-native-exact	True	_ZN5QbDef19StatusInfoNameTableE	True	stable object slot and both CN ABIs exactly corroborate the current value
CN-NATIVE-0017	stable-object-slot	MPゲージ	MP计量表	MP计量表	MP计量表	adopt-existing-official-exact	official-cn-native-exact	True	_ZN5QbArt19DebugBuffObjectNameE	True	stable object slot and both CN ABIs exactly corroborate the current value
CN-NATIVE-0018	stable-object-slot	MPゲージダウン	MP槽下降	MP蓄能条下降	MP蓄能条下降	replace-with-official-exact	official-cn-native-exact	True	_ZN5QbDef19StatusInfoNameTableE	True	stable object slot and both CN ABIs select the official value
CN-NATIVE-0019	stable-object-slot	MPブーストUp	MP增幅	MP获取量Up	MP获取量提升	apply-official-normalized	official-cn-native-normalized	True	_ZN5QbArt19DebugBuffObjectNameE | _ZN5QbDef19StatusInfoNameTableE	True	official semantics retained; residual English/Japanese/typo/label-shape normalized
CN-NATIVE-0020	stable-object-slot	MP回復不能	MP无法回复	无法回复MP	无法回复MP	replace-with-official-exact	official-cn-native-exact	True	_ZN5QbDef19StatusInfoNameTableE	True	stable object slot and both CN ABIs select the official value
CN-NATIVE-0021	stable-object-slot	MP回復禁止	禁止回复MP	禁止回复MP	禁止回复MP	adopt-existing-official-exact	official-cn-native-exact	True	_ZN5QbDef19StatusInfoNameTableE	True	stable object slot and both CN ABIs exactly corroborate the current value
CN-NATIVE-0022	stable-object-slot	MP自動回復	自动回复MP	自动回复MP	自动回复MP	adopt-existing-official-exact	official-cn-native-exact	True	_ZN5QbDef19StatusInfoNameTableE	True	stable object slot and both CN ABIs exactly corroborate the current value
CN-NATIVE-0023	stable-object-slot	かばう	庇护	庇护	庇护	adopt-existing-official-exact	official-cn-native-exact	True	_ZN5QbDef19StatusInfoNameTableE	True	stable object slot and both CN ABIs exactly corroborate the current value
CN-NATIVE-0024	stable-object-slot	やけど	灼伤	灼伤	灼伤	adopt-existing-official-exact	official-cn-native-exact	True	_ZN5QbDef19StatusInfoNameTableE	True	stable object slot and both CN ABIs exactly corroborate the current value
CN-NATIVE-0025	stable-object-slot	アクセルディスクによる被ダメージが上昇	受到来自Accele行动盘的伤害上升	受到来自Accele行动盘的伤害上升	受到来自Accele行动盘的伤害上升	adopt-existing-official-exact	official-cn-native-exact	True	_ZN5QbDef19StatusInfoNameTableE	True	stable object slot and both CN ABIs exactly corroborate the current value
CN-NATIVE-0026	stable-object-slot	アクセルディスク使用時のマギアゲージ獲得量が上昇	使用Accele圆盘时的MP获得量提升	使用Accele行动盘时，Magia蓄能条获得量提升	使用Accele行动盘时，Magia蓄能条获得量提升	replace-with-official-exact	official-cn-native-exact	True	_ZN5QbDef19StatusInfoNameTableE	True	stable object slot and both CN ABIs select the official value
CN-NATIVE-0027	stable-object-slot	アクセルディスク使用時のマギアゲージ獲得量が減少	使用Accele圆盘时的MP获得量下降	使用Accele行动盘时，Magia蓄能条获得量降低	使用Accele行动盘时，Magia蓄能条获得量降低	replace-with-official-exact	official-cn-native-exact	True	_ZN5QbDef19StatusInfoNameTableE	True	stable object slot and both CN ABIs select the official value
CN-NATIVE-0028	stable-object-slot	カウンター	反击	反击技能	反击技能	replace-with-official-exact	official-cn-native-exact	True	_ZN5QbDef19StatusInfoNameTableE	True	stable object slot and both CN ABIs select the official value
CN-NATIVE-0029	stable-object-slot	カウンター無効	反击无效	反击技能无效	反击技能无效	replace-with-official-exact	official-cn-native-exact	True	_ZN5QbDef19StatusInfoNameTableE	True	stable object slot and both CN ABIs select the official value
CN-NATIVE-0030	stable-object-slot	クリティカル	暴击	会心	会心	replace-with-official-exact	official-cn-native-exact	True	_ZN5QbDef19StatusInfoNameTableE	True	stable object slot and both CN ABIs select the official value
CN-NATIVE-0031	stable-object-slot	クリティカル無効	暴击无效	暴击无效	暴击无效	adopt-existing-official-exact	official-cn-native-exact	True	_ZN5QbDef19StatusInfoNameTableE	True	stable object slot and both CN ABIs exactly corroborate the current value
CN-NATIVE-0032	stable-object-slot	サヴァイヴ	Survive	幸存	幸存	replace-with-official-exact	official-cn-native-exact	True	_ZN5QbDef19StatusInfoNameTableE	True	stable object slot and both CN ABIs select the official value
CN-NATIVE-0033	stable-object-slot	スキルが使用不能	无法使用技能	无法使用技能	无法使用技能	adopt-existing-official-exact	official-cn-native-exact	True	_ZN5QbDef19StatusInfoNameTableE	True	stable object slot and both CN ABIs exactly corroborate the current value
CN-NATIVE-0034	stable-object-slot	スキルの発動待ちターンが減少	技能发动所需等待回合数减少	发动Skill所需的等待时间減少	技能发动所需等待回合数减少	apply-official-normalized	official-cn-native-normalized	True	_ZN5QbDef19StatusInfoNameTableE	True	official semantics retained; residual English/Japanese/typo/label-shape normalized
CN-NATIVE-0035	stable-object-slot	スキルクイック	技能加速	技能加速	技能加速	adopt-existing-official-exact	official-cn-native-exact	True	_ZN5QbDef19StatusInfoNameTableE	True	stable object slot and both CN ABIs exactly corroborate the current value
CN-NATIVE-0036	stable-object-slot	スキル不可	禁止技能	禁止技能	禁止技能	adopt-existing-official-exact	official-cn-native-exact	True	_ZN5QbDef19StatusInfoNameTableE	True	stable object slot and both CN ABIs exactly corroborate the current value
CN-NATIVE-0037	stable-object-slot	スタン	麻痹	麻痹	麻痹	adopt-existing-official-exact	official-cn-native-exact	True	_ZN5QbDef19StatusInfoNameTableE	True	stable object slot and both CN ABIs exactly corroborate the current value
CN-NATIVE-0038	stable-object-slot	ダメージカット無視	无视伤害削减	无视伤害削减	无视伤害削减	adopt-existing-official-exact	official-cn-native-exact	True	_ZN5QbDef19StatusInfoNameTableE	True	stable object slot and both CN ABIs exactly corroborate the current value
CN-NATIVE-0039	stable-object-slot	チャージDown	Charge下降	充能Down	充能下降	apply-official-normalized	official-cn-native-normalized	True	_ZN5QbDef19StatusInfoNameTableE	True	official semantics retained; residual English/Japanese/typo/label-shape normalized
CN-NATIVE-0040	stable-object-slot	チャージUp	Charge提升	充能Up	充能提升	apply-official-normalized	official-cn-native-normalized	True	_ZN5QbDef19StatusInfoNameTableE	True	official semantics retained; residual English/Japanese/typo/label-shape normalized
CN-NATIVE-0041	stable-object-slot	チャージを消費した攻撃による被ダメージが上昇	受到消耗Charge的攻击伤害提升	受到来自消耗Charge充能的攻击的伤害上升	受到来自消耗Charge充能的攻击的伤害上升	replace-with-official-exact	official-cn-native-exact	True	_ZN5QbDef19StatusInfoNameTableE	True	stable object slot and both CN ABIs select the official value
CN-NATIVE-0042	stable-object-slot	チャージを消費した際のダメージが上昇	消耗Charge时伤害提升	消耗充能时伤害提升	消耗充能时伤害提升	replace-with-official-exact	official-cn-native-exact	True	_ZN5QbDef19StatusInfoNameTableE	True	stable object slot and both CN ABIs select the official value
CN-NATIVE-0043	stable-object-slot	チャージを消費した際のダメージが減少	消耗Charge时的伤害下降	消耗充能时伤害降低	消耗充能时伤害降低	replace-with-official-exact	official-cn-native-exact	True	_ZN5QbDef19StatusInfoNameTableE	True	stable object slot and both CN ABIs select the official value
CN-NATIVE-0044	stable-object-slot	チャージコンボプラス	Charge连击数附加	Charge连击数附加	Charge连击数附加	adopt-existing-official-exact	official-cn-native-exact	True	_ZN5QbDef19StatusInfoNameTableE	True	stable object slot and both CN ABIs exactly corroborate the current value
CN-NATIVE-0045	stable-object-slot	チャージコンボ時のコンボ数UP	Charge连击时连击数提升	Charge连击时连击数增加	Charge连击时连击数增加	replace-with-official-exact	official-cn-native-exact	True	_ZN5QbDef19StatusInfoNameTableE	True	stable object slot and both CN ABIs select the official value
CN-NATIVE-0046	stable-object-slot	チャージディスクによる被ダメージが上昇	受到来自Charge行动盘的伤害上升	受到来自Charge行动盘的伤害上升	受到来自Charge行动盘的伤害上升	adopt-existing-official-exact	official-cn-native-exact	True	_ZN5QbDef19StatusInfoNameTableE	True	stable object slot and both CN ABIs exactly corroborate the current value
CN-NATIVE-0047	stable-object-slot	チャージディスクのダメージが上昇	Charge行动盘造成的伤害上升	Charge行动盘造成的伤害上升	Charge行动盘造成的伤害上升	adopt-existing-official-exact	official-cn-native-exact	True	_ZN5QbDef19StatusInfoNameTableE	True	stable object slot and both CN ABIs exactly corroborate the current value
CN-NATIVE-0048	stable-object-slot	チャージディスクのダメージが減少	Charge圆盘造成的伤害减少	Charge行动盘造成的伤害减少	Charge行动盘造成的伤害减少	replace-with-official-exact	official-cn-native-exact	True	_ZN5QbDef19StatusInfoNameTableE	True	stable object slot and both CN ABIs select the official value
CN-NATIVE-0049	stable-object-slot	チャージ後のみダメージを減少	仅减少Charge后的伤害	仅减少Charge后的攻击伤害	仅减少Charge后的攻击伤害	replace-with-official-exact	official-cn-native-exact	True	_ZN5QbDef19StatusInfoNameTableE	True	stable object slot and both CN ABIs select the official value
CN-NATIVE-0050	stable-object-slot	チャージ後攻撃弱点	Charge后攻击弱点	Charge后攻击弱点	Charge后攻击弱点	adopt-existing-official-exact	official-cn-native-exact	True	_ZN5QbArt19DebugBuffObjectNameE	True	stable object slot and both CN ABIs exactly corroborate the current value
CN-NATIVE-0051	stable-object-slot	デバフ無効	减益无效	减益无效	减益无效	adopt-existing-official-exact	official-cn-native-exact	True	_ZN5QbDef19StatusInfoNameTableE	True	stable object slot and both CN ABIs exactly corroborate the current value
CN-NATIVE-0052	stable-object-slot	ドッペル	魔女化身	魔女化身	魔女化身	adopt-existing-official-exact	official-cn-native-exact	True	_ZN5QbArt16DebugArtTypeNameE | _ZN5QbArt19DebugBuffObjectNameE	True	stable object slot and both CN ABIs exactly corroborate the current value
CN-NATIVE-0053	stable-object-slot	ドッペルUp	魔女化身提升	魔女化身强化	魔女化身强化	replace-with-official-exact	official-cn-native-exact	True	_ZN5QbDef19StatusInfoNameTableE	True	stable object slot and both CN ABIs select the official value
CN-NATIVE-0054	stable-object-slot	ドッペルによるダメージが上昇	魔女化身伤害提升	魔女化身造成的伤害上升	魔女化身造成的伤害上升	replace-with-official-exact	official-cn-native-exact	True	_ZN5QbDef19StatusInfoNameTableE	True	stable object slot and both CN ABIs select the official value
CN-NATIVE-0055	stable-object-slot	ブラストディスクでの攻撃時にMPゲージUp	Blast圆盘攻击时MP槽提升	使用Blast行动盘攻击时MP增加	使用Blast行动盘攻击时MP增加	replace-with-official-exact	official-cn-native-exact	True	_ZN5QbDef19StatusInfoNameTableE	True	stable object slot and both CN ABIs select the official value
CN-NATIVE-0056	stable-object-slot	ブラストディスクによる被ダメージが上昇	受到来自Blast行动盘的伤害上升	受到来自Blast行动盘的伤害上升	受到来自Blast行动盘的伤害上升	adopt-existing-official-exact	official-cn-native-exact	True	_ZN5QbDef19StatusInfoNameTableE	True	stable object slot and both CN ABIs exactly corroborate the current value
CN-NATIVE-0057	stable-object-slot	ブラストディスクのダメージが上昇	Blast行动盘的伤害提升	Blast行动盘的伤害提升	Blast行动盘的伤害提升	adopt-existing-official-exact	official-cn-native-exact	True	_ZN5QbDef19StatusInfoNameTableE	True	stable object slot and both CN ABIs exactly corroborate the current value
CN-NATIVE-0058	stable-object-slot	ブラストディスクのダメージが減少	Blast圆盘伤害下降	Blast行动盘的伤害降低	Blast行动盘的伤害降低	replace-with-official-exact	official-cn-native-exact	True	_ZN5QbDef19StatusInfoNameTableE	True	stable object slot and both CN ABIs select the official value
CN-NATIVE-0059	stable-object-slot	ブラスト時MPゲージUp	Blast攻击时MP槽提升	Blast攻击時MP增加	Blast攻击时MP增加	apply-official-normalized	official-cn-native-normalized	True	_ZN5QbDef19StatusInfoNameTableE	True	official semantics retained; residual English/Japanese/typo/label-shape normalized
CN-NATIVE-0060	stable-object-slot	マギアが使用不能	无法使用Magia	无法使用Magia	无法使用Magia	adopt-existing-official-exact	official-cn-native-exact	True	_ZN5QbDef19StatusInfoNameTableE	True	stable object slot and both CN ABIs exactly corroborate the current value
CN-NATIVE-0061	stable-object-slot	マギアによるダメージが上昇	Magia伤害提升	Magia所给予伤害提升	Magia造成的伤害提升	apply-official-normalized	official-cn-native-normalized	True	_ZN5QbDef19StatusInfoNameTableE	True	official semantics retained; residual English/Japanese/typo/label-shape normalized
CN-NATIVE-0062	stable-object-slot	マギアによるダメージが減少	Magia伤害下降	Magia所给予伤害降低	Magia造成的伤害降低	apply-official-normalized	official-cn-native-normalized	True	_ZN5QbDef19StatusInfoNameTableE	True	official semantics retained; residual English/Japanese/typo/label-shape normalized
CN-NATIVE-0063	stable-object-slot	マギアダメージカット	Magia伤害削减	Magia伤害削减	Magia伤害削减	adopt-existing-official-exact	official-cn-native-exact	True	_ZN5QbDef19StatusInfoNameTableE	True	stable object slot and both CN ABIs exactly corroborate the current value
CN-NATIVE-0064	stable-object-slot	マギア不可	Magia不可	禁止Magia	禁止Magia	replace-with-official-exact	official-cn-native-exact	True	_ZN5QbDef19StatusInfoNameTableE	True	stable object slot and both CN ABIs select the official value
CN-NATIVE-0065	stable-object-slot	仲間の代わりに攻撃を受ける	代替队友承受攻击	代替同伴遭受攻击	代替同伴遭受攻击	replace-with-official-exact	official-cn-native-exact	True	_ZN5QbDef19StatusInfoNameTableE	True	stable object slot and both CN ABIs select the official value
CN-NATIVE-0066	stable-object-slot	使用済み	已使用	已使用	已使用	adopt-existing-official-exact	official-cn-native-exact	True	_ZN5QbArt15ArtErrorMessageE	True	stable object slot and both CN ABIs exactly corroborate the current value
CN-NATIVE-0067	stable-object-slot	使用禁止	禁止使用	禁止使用	禁止使用	adopt-existing-official-exact	official-cn-native-exact	True	_ZN5QbArt15ArtErrorMessageE	True	stable object slot and both CN ABIs exactly corroborate the current value
CN-NATIVE-0068	stable-object-slot	光属性からのダメージが減少	受到光属性的伤害减少	来自光属性的伤害减少	来自光属性的伤害减少	replace-with-official-exact	official-cn-native-exact	True	_ZN5QbDef19StatusInfoNameTableE	True	stable object slot and both CN ABIs select the official value
CN-NATIVE-0069	stable-object-slot	光属性ダメージカット	光属性伤害削减	光属性伤害削减	光属性伤害削减	adopt-existing-official-exact	official-cn-native-exact	True	_ZN5QbDef19StatusInfoNameTableE	True	stable object slot and both CN ABIs exactly corroborate the current value
CN-NATIVE-0070	stable-object-slot	助っ人不可	不可使用支援	不可使用支援	不可使用支援	adopt-existing-official-exact	official-cn-native-exact	True	_ZN5QbArt15ArtErrorMessageE	True	stable object slot and both CN ABIs exactly corroborate the current value
CN-NATIVE-0071	stable-object-slot	単発 - アニメ		单抽 - 动画		exclude-developer-debug	official-cn-native-debug-only	False	_ZN5gacha5state5debug5LABELE	True	gacha debug label table; no player-facing runtime source row
CN-NATIVE-0072	stable-object-slot	単発 - レアカード	单抽 - 稀有卡牌	单抽 - 稀有卡牌	单抽 - 稀有卡牌	adopt-existing-official-exact	official-cn-native-exact	True	_ZN5gacha5state5debug5LABELE	True	stable object slot and both CN ABIs exactly corroborate the current value
CN-NATIVE-0073	stable-object-slot	単発 - レアメモリア	单抽 - 稀有记忆结晶	单抽 - 稀有记忆结晶	单抽 - 稀有记忆结晶	adopt-existing-official-exact	official-cn-native-exact	True	_ZN5gacha5state5debug5LABELE	True	stable object slot and both CN ABIs exactly corroborate the current value
CN-NATIVE-0074	stable-object-slot	単発 - 通常カード	单抽 - 普通卡牌	单抽 - 普通卡牌	单抽 - 普通卡牌	adopt-existing-official-exact	official-cn-native-exact	True	_ZN5gacha5state5debug5LABELE	True	stable object slot and both CN ABIs exactly corroborate the current value
CN-NATIVE-0075	stable-object-slot	単発 - 通常メモリア	单抽 - 普通记忆结晶	单抽 - 普通记忆结晶	单抽 - 普通记忆结晶	adopt-existing-official-exact	official-cn-native-exact	True	_ZN5gacha5state5debug5LABELE	True	stable object slot and both CN ABIs exactly corroborate the current value
CN-NATIVE-0076	stable-object-slot	受けたクリティカルを1回無効にする	使受到的暴击无效1次	无效1次受到的暴击	无效1次受到的暴击	replace-with-official-exact	official-cn-native-exact	True	_ZN5QbDef19StatusInfoNameTableE	True	stable object slot and both CN ABIs select the official value
CN-NATIVE-0077	stable-object-slot	受けるダメージが減少	受到伤害减少	受到伤害减少	受到伤害减少	adopt-existing-official-exact	official-cn-native-exact	True	_ZN5QbDef19StatusInfoNameTableE	True	stable object slot and both CN ABIs exactly corroborate the current value
CN-NATIVE-0078	stable-object-slot	呪い	诅咒	诅咒	诅咒	adopt-existing-official-exact	official-cn-native-exact	True	_ZN5QbDef19StatusInfoNameTableE	True	stable object slot and both CN ABIs exactly corroborate the current value
CN-NATIVE-0079	stable-object-slot	回避無効	回避无效	回避无效	回避无效	adopt-existing-official-exact	official-cn-native-exact	True	_ZN5QbDef19StatusInfoNameTableE	True	stable object slot and both CN ABIs exactly corroborate the current value
CN-NATIVE-0080	stable-object-slot	対象なし	无目标	无对象	无目标	apply-official-normalized	official-cn-native-normalized	True	_ZN5QbArt15ArtErrorMessageE	True	official semantics retained; residual English/Japanese/typo/label-shape normalized
CN-NATIVE-0081	stable-object-slot	対魔女ダメージアップ	对魔女伤害提升	对魔女伤害提升	对魔女伤害提升	adopt-existing-official-exact	official-cn-native-exact	True	_ZN5QbDef19StatusInfoNameTableE	True	stable object slot and both CN ABIs exactly corroborate the current value
CN-NATIVE-0082	stable-object-slot	幻惑		迷惑	迷惑	add-official-exact	official-cn-native-exact	True	_ZN5QbDef19StatusInfoNameTableE	True	stable object slot and both CN ABIs expose a missing player-facing source key
CN-NATIVE-0083	stable-object-slot	弱体[アクセル]	弱化[Accele]	弱化[Accele]	弱化[Accele]	adopt-existing-official-exact	official-cn-native-exact	True	_ZN5QbDef19StatusInfoNameTableE	True	stable object slot and both CN ABIs exactly corroborate the current value
CN-NATIVE-0084	stable-object-slot	弱体[チャージ]	弱化[Charge]	弱化[Charge]	弱化[Charge]	adopt-existing-official-exact	official-cn-native-exact	True	_ZN5QbDef19StatusInfoNameTableE	True	stable object slot and both CN ABIs exactly corroborate the current value
CN-NATIVE-0085	stable-object-slot	弱体[チャージＤ]	弱化[Charge D]	弱化[Charge D]	弱化[Charge D]	adopt-existing-official-exact	official-cn-native-exact	True	_ZN5QbDef19StatusInfoNameTableE	True	stable object slot and both CN ABIs exactly corroborate the current value
CN-NATIVE-0086	stable-object-slot	弱体[ブラスト]	弱化[Blast]	弱化[Blast]	弱化[Blast]	adopt-existing-official-exact	official-cn-native-exact	True	_ZN5QbDef19StatusInfoNameTableE	True	stable object slot and both CN ABIs exactly corroborate the current value
CN-NATIVE-0087	stable-object-slot	悪い状態にかかる確率が上昇	陷入状态异常的概率提升	陷入负面状态的概率提升	陷入负面状态的概率提升	replace-with-official-exact	official-cn-native-exact	True	_ZN5QbDef19StatusInfoNameTableE	True	stable object slot and both CN ABIs select the official value
CN-NATIVE-0088	stable-object-slot	悪い状態にかかる確率が減少	陷入状态异常的概率降低	陷入负面状态的概率降低	陷入负面状态的概率降低	replace-with-official-exact	official-cn-native-exact	True	_ZN5QbDef19StatusInfoNameTableE	True	stable object slot and both CN ABIs select the official value
CN-NATIVE-0089	stable-object-slot	戦闘不能中	战斗不能中	此时无法战斗	战斗不能中	apply-official-normalized	official-cn-native-normalized	True	_ZN5QbArt15ArtErrorMessageE	True	official semantics retained; residual English/Japanese/typo/label-shape normalized
CN-NATIVE-0090	stable-object-slot	所持なし	未持有	未持有	未持有	adopt-existing-official-exact	official-cn-native-exact	True	_ZN5QbArt15ArtErrorMessageE	True	stable object slot and both CN ABIs exactly corroborate the current value
CN-NATIVE-0091	stable-object-slot	挑発		挑衅	挑衅	add-official-exact	official-cn-native-exact	True	_ZN5QbDef19StatusInfoNameTableE	True	stable object slot and both CN ABIs expose a missing player-facing source key
CN-NATIVE-0092	stable-object-slot	挑発無視	无视挑衅	挑衅无视	无视挑衅	apply-official-normalized	official-cn-native-normalized	True	_ZN5QbDef19StatusInfoNameTableE	True	official semantics retained; residual English/Japanese/typo/label-shape normalized
CN-NATIVE-0093	stable-object-slot	攻撃力Down	攻击力下降	攻击力下降	攻击力下降	adopt-existing-official-exact	official-cn-native-exact	True	_ZN5QbDef19StatusInfoNameTableE	True	stable object slot and both CN ABIs exactly corroborate the current value
CN-NATIVE-0094	stable-object-slot	攻撃力Up	攻击力提升	攻击力提升	攻击力提升	adopt-existing-official-exact	official-cn-native-exact	True	_ZN5QbDef19StatusInfoNameTableE	True	stable object slot and both CN ABIs exactly corroborate the current value
CN-NATIVE-0095	stable-object-slot	攻撃力が減少	攻击力下降	攻击力降低	攻击力降低	replace-with-official-exact	official-cn-native-exact	True	_ZN5QbDef19StatusInfoNameTableE	True	stable object slot and both CN ABIs select the official value
CN-NATIVE-0096	stable-object-slot	攻撃対象が悪い状態時に与えるダメージが上昇	攻击目标处于状态异常时，造成的伤害提升	攻击对象陷入负面状态时，给予伤害提升	攻击对象陷入负面状态时，给予伤害提升	replace-with-official-exact	official-cn-native-exact	True	_ZN5QbDef19StatusInfoNameTableE	True	stable object slot and both CN ABIs select the official value
CN-NATIVE-0097	stable-object-slot	攻撃対象のカウンターを無効化	使攻击对象的反击技能无效	使攻击对象的反击技能无效	使攻击对象的反击技能无效	adopt-existing-official-exact	official-cn-native-exact	True	_ZN5QbDef19StatusInfoNameTableE	True	stable object slot and both CN ABIs exactly corroborate the current value
CN-NATIVE-0098	stable-object-slot	攻撃対象のダメージカットを無効化	使攻击对象的伤害削减效果无效化	使攻击对象的伤害削减效果无效化	使攻击对象的伤害削减效果无效化	adopt-existing-official-exact	official-cn-native-exact	True	_ZN5QbDef19StatusInfoNameTableE	True	stable object slot and both CN ABIs exactly corroborate the current value
CN-NATIVE-0099	stable-object-slot	攻撃対象の回避を無効化	使攻击对象的回避无效	使攻击对象的回避无效	使攻击对象的回避无效	adopt-existing-official-exact	official-cn-native-exact	True	_ZN5QbDef19StatusInfoNameTableE	True	stable object slot and both CN ABIs exactly corroborate the current value
CN-NATIVE-0100	stable-object-slot	敵の攻撃時、ターゲットを自分に変更	敌方攻击时，将目标改为自己	在敌人进行攻击时，将目标变更为自己	在敌人进行攻击时，将目标变更为自己	replace-with-official-exact	official-cn-native-exact	True	_ZN5QbDef19StatusInfoNameTableE	True	stable object slot and both CN ABIs select the official value
CN-NATIVE-0101	stable-object-slot	敵陣の挑発を無視する	无视敌方挑衅	无视敌方挑衅	无视敌方挑衅	adopt-existing-official-exact	official-cn-native-exact	True	_ZN5QbDef19StatusInfoNameTableE	True	stable object slot and both CN ABIs exactly corroborate the current value
CN-NATIVE-0102	stable-object-slot	暗闇		黑暗	黑暗	add-official-exact	official-cn-native-exact	True	_ZN5QbDef19StatusInfoNameTableE	True	stable object slot and both CN ABIs expose a missing player-facing source key
CN-NATIVE-0103	stable-object-slot	木属性からのダメージが減少	受到木属性的伤害减少	来自木属性的伤害减少	来自木属性的伤害减少	replace-with-official-exact	official-cn-native-exact	True	_ZN5QbDef19StatusInfoNameTableE	True	stable object slot and both CN ABIs select the official value
CN-NATIVE-0104	stable-object-slot	木属性ダメージカット	木属性伤害削减	木属性伤害削减	木属性伤害削减	adopt-existing-official-exact	official-cn-native-exact	True	_ZN5QbDef19StatusInfoNameTableE	True	stable object slot and both CN ABIs exactly corroborate the current value
CN-NATIVE-0105	stable-object-slot	残HPが低いほどマギアのダメージが上昇	剩余HP越低，Magia伤害越高	Magia所造成伤害随着剩余HP降低而提升	Magia所造成伤害随着剩余HP降低而提升	replace-with-official-exact	official-cn-native-exact	True	_ZN5QbDef19StatusInfoNameTableE	True	stable object slot and both CN ABIs select the official value
